-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-120.25,2007,05,01,              2.73
42.25,-119.75,2007,05,01,              4.12
42.25,-119.25,2007,05,01,              4.12
42.25,-118.75,2007,05,01,              6.29
42.25,-118.25,2007,05,01,              6.29
42.25,-117.75,2007,05,01,              6.67
42.25,-117.25,2007,05,01,              6.67
42.25,-116.75,2007,05,01,              6.91
42.25,-116.25,2007,05,01,              6.91
42.75,-120.25,2007,05,01,              2.73
42.75,-119.75,2007,05,01,              4.12
42.75,-119.25,2007,05,01,              4.12
42.75,-118.75,2007,05,01,              6.29
42.75,-118.25,2007,05,01,              6.29
42.75,-117.75,2007,05,01,              6.67
42.75,-117.25,2007,05,01,              6.67
42.75,-116.75,2007,05,01,              6.91
42.75,-116.25,2007,05,01,              6.91
43.25,-120.25,2007,05,01,              2.19
43.25,-119.75,2007,05,01,              3.09
43.25,-119.25,2007,05,01,              3.09
43.25,-118.75,2007,05,01,              4.81
43.25,-118.25,2007,05,01,              4.81
43.25,-117.75,2007,05,01,              6.04
43.25,-117.25,2007,05,01,              6.04
43.25,-116.75,2007,05,01,              6.74
43.25,-116.25,2007,05,01,              6.74
43.75,-120.25,2007,05,01,              2.19
43.75,-119.75,2007,05,01,              3.09
43.75,-119.25,2007,05,01,              3.09
43.75,-118.75,2007,05,01,              4.81
43.75,-118.25,2007,05,01,              4.81
43.75,-117.75,2007,05,01,              6.04
43.75,-117.25,2007,05,01,              6.04
43.75,-116.75,2007,05,01,              6.74
43.75,-116.25,2007,05,01,              6.74
44.25,-120.25,2007,05,01,              2.58
44.25,-119.75,2007,05,01,              2.72
44.25,-119.25,2007,05,01,              2.72
44.25,-118.75,2007,05,01,              4.76
44.25,-118.25,2007,05,01,              4.76
44.25,-117.75,2007,05,01,              6.33
44.25,-117.25,2007,05,01,              6.33
44.25,-116.75,2007,05,01,              6.41
44.25,-116.25,2007,05,01,              6.41
44.75,-120.25,2007,05,01,              2.58
44.75,-119.75,2007,05,01,              2.72
44.75,-119.25,2007,05,01,              2.72
44.75,-118.75,2007,05,01,              4.76
44.75,-118.25,2007,05,01,              4.76
44.75,-117.75,2007,05,01,              6.33
44.75,-117.25,2007,05,01,              6.33
44.75,-116.75,2007,05,01,              6.41
44.75,-116.25,2007,05,01,              6.41
45.25,-120.25,2007,05,01,              2.81
45.25,-119.75,2007,05,01,              3.50
45.25,-119.25,2007,05,01,              3.50
45.25,-118.75,2007,05,01,              3.50
45.25,-118.25,2007,05,01,              3.50
45.25,-117.75,2007,05,01,              6.19
45.25,-117.25,2007,05,01,              6.19
45.25,-116.75,2007,05,01,              6.19
45.25,-116.25,2007,05,01,              6.19
45.75,-120.25,2007,05,01,              2.81
45.75,-119.75,2007,05,01,              3.50
45.75,-119.25,2007,05,01,              3.50
45.75,-118.75,2007,05,01,              3.50
45.75,-118.25,2007,05,01,              3.50
45.75,-117.75,2007,05,01,              6.19
45.75,-117.25,2007,05,01,              6.19
45.75,-116.75,2007,05,01,              6.19
45.75,-116.25,2007,05,01,              6.19
46.25,-120.25,2007,05,01,              3.20
46.25,-119.75,2007,05,01,              2.61
46.25,-119.25,2007,05,01,              2.61
46.25,-118.75,2007,05,01,              2.61
46.25,-118.25,2007,05,01,              2.61
46.25,-117.75,2007,05,01,              5.20
46.25,-117.25,2007,05,01,              5.20
46.25,-116.75,2007,05,01,              5.20
46.25,-116.25,2007,05,01,              5.20
42.25,-120.25,2007,05,02,              4.39
42.25,-119.75,2007,05,02,              4.70
42.25,-119.25,2007,05,02,              4.70
42.25,-118.75,2007,05,02,              4.84
42.25,-118.25,2007,05,02,              4.84
42.25,-117.75,2007,05,02,              3.04
42.25,-117.25,2007,05,02,              3.04
42.25,-116.75,2007,05,02,              2.47
42.25,-116.25,2007,05,02,              2.47
42.75,-120.25,2007,05,02,              4.39
42.75,-119.75,2007,05,02,              4.70
42.75,-119.25,2007,05,02,              4.70
42.75,-118.75,2007,05,02,              4.84
42.75,-118.25,2007,05,02,              4.84
42.75,-117.75,2007,05,02,              3.04
42.75,-117.25,2007,05,02,              3.04
42.75,-116.75,2007,05,02,              2.47
42.75,-116.25,2007,05,02,              2.47
43.25,-120.25,2007,05,02,              5.16
43.25,-119.75,2007,05,02,              3.68
43.25,-119.25,2007,05,02,              3.68
43.25,-118.75,2007,05,02,              3.25
43.25,-118.25,2007,05,02,              3.25
43.25,-117.75,2007,05,02,              4.27
43.25,-117.25,2007,05,02,              4.27
43.25,-116.75,2007,05,02,              2.64
43.25,-116.25,2007,05,02,              2.64
43.75,-120.25,2007,05,02,              5.16
43.75,-119.75,2007,05,02,              3.68
43.75,-119.25,2007,05,02,              3.68
43.75,-118.75,2007,05,02,              3.25
43.75,-118.25,2007,05,02,              3.25
43.75,-117.75,2007,05,02,              4.27
43.75,-117.25,2007,05,02,              4.27
43.75,-116.75,2007,05,02,              2.64
43.75,-116.25,2007,05,02,              2.64
44.25,-120.25,2007,05,02,              4.93
44.25,-119.75,2007,05,02,              4.51
44.25,-119.25,2007,05,02,              4.51
44.25,-118.75,2007,05,02,              3.48
44.25,-118.25,2007,05,02,              3.48
44.25,-117.75,2007,05,02,              2.70
44.25,-117.25,2007,05,02,              2.70
44.25,-116.75,2007,05,02,              2.32
44.25,-116.25,2007,05,02,              2.32
44.75,-120.25,2007,05,02,              4.93
44.75,-119.75,2007,05,02,              4.51
44.75,-119.25,2007,05,02,              4.51
44.75,-118.75,2007,05,02,              3.48
44.75,-118.25,2007,05,02,              3.48
44.75,-117.75,2007,05,02,              2.70
44.75,-117.25,2007,05,02,              2.70
44.75,-116.75,2007,05,02,              2.32
44.75,-116.25,2007,05,02,              2.32
45.25,-120.25,2007,05,02,              3.92
45.25,-119.75,2007,05,02,              4.11
45.25,-119.25,2007,05,02,              4.11
45.25,-118.75,2007,05,02,              4.11
45.25,-118.25,2007,05,02,              4.11
45.25,-117.75,2007,05,02,              2.75
45.25,-117.25,2007,05,02,              2.75
45.25,-116.75,2007,05,02,              2.75
45.25,-116.25,2007,05,02,              2.75
45.75,-120.25,2007,05,02,              3.92
45.75,-119.75,2007,05,02,              4.11
45.75,-119.25,2007,05,02,              4.11
45.75,-118.75,2007,05,02,              4.11
45.75,-118.25,2007,05,02,              4.11
45.75,-117.75,2007,05,02,              2.75
45.75,-117.25,2007,05,02,              2.75
45.75,-116.75,2007,05,02,              2.75
