-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-108.25,2007,05,01,              5.06
38.25,-107.75,2007,05,01,              4.89
38.25,-107.25,2007,05,01,              4.89
38.25,-106.75,2007,05,01,              4.34
38.25,-106.25,2007,05,01,              4.34
38.25,-105.75,2007,05,01,              4.89
38.25,-105.25,2007,05,01,              4.89
38.25,-104.75,2007,05,01,              4.87
38.25,-104.25,2007,05,01,              4.87
38.75,-108.25,2007,05,01,              5.06
38.75,-107.75,2007,05,01,              4.89
38.75,-107.25,2007,05,01,              4.89
38.75,-106.75,2007,05,01,              4.34
38.75,-106.25,2007,05,01,              4.34
38.75,-105.75,2007,05,01,              4.89
38.75,-105.25,2007,05,01,              4.89
38.75,-104.75,2007,05,01,              4.87
38.75,-104.25,2007,05,01,              4.87
39.25,-108.25,2007,05,01,              5.64
39.25,-107.75,2007,05,01,              5.57
39.25,-107.25,2007,05,01,              5.57
39.25,-106.75,2007,05,01,              4.46
39.25,-106.25,2007,05,01,              4.46
39.25,-105.75,2007,05,01,              4.86
39.25,-105.25,2007,05,01,              4.86
39.25,-104.75,2007,05,01,              5.23
39.25,-104.25,2007,05,01,              5.23
39.75,-108.25,2007,05,01,              5.64
39.75,-107.75,2007,05,01,              5.57
39.75,-107.25,2007,05,01,              5.57
39.75,-106.75,2007,05,01,              4.46
39.75,-106.25,2007,05,01,              4.46
39.75,-105.75,2007,05,01,              4.86
39.75,-105.25,2007,05,01,              4.86
39.75,-104.75,2007,05,01,              5.23
39.75,-104.25,2007,05,01,              5.23
40.25,-108.25,2007,05,01,              5.84
40.25,-107.75,2007,05,01,              5.61
40.25,-107.25,2007,05,01,              5.61
40.25,-106.75,2007,05,01,              5.06
40.25,-106.25,2007,05,01,              5.06
40.25,-105.75,2007,05,01,              5.64
40.25,-105.25,2007,05,01,              5.64
40.25,-104.75,2007,05,01,              5.57
40.25,-104.25,2007,05,01,              5.57
40.75,-108.25,2007,05,01,              5.84
40.75,-107.75,2007,05,01,              5.61
40.75,-107.25,2007,05,01,              5.61
40.75,-106.75,2007,05,01,              5.06
40.75,-106.25,2007,05,01,              5.06
40.75,-105.75,2007,05,01,              5.64
40.75,-105.25,2007,05,01,              5.64
40.75,-104.75,2007,05,01,              5.57
40.75,-104.25,2007,05,01,              5.57
41.25,-108.25,2007,05,01,              6.44
41.25,-107.75,2007,05,01,              7.06
41.25,-107.25,2007,05,01,              7.06
41.25,-106.75,2007,05,01,              5.74
41.25,-106.25,2007,05,01,              5.74
41.25,-105.75,2007,05,01,              5.68
41.25,-105.25,2007,05,01,              5.68
41.25,-104.75,2007,05,01,              6.79
41.25,-104.25,2007,05,01,              6.79
41.75,-108.25,2007,05,01,              6.44
41.75,-107.75,2007,05,01,              7.06
41.75,-107.25,2007,05,01,              7.06
41.75,-106.75,2007,05,01,              5.74
41.75,-106.25,2007,05,01,              5.74
41.75,-105.75,2007,05,01,              5.68
41.75,-105.25,2007,05,01,              5.68
41.75,-104.75,2007,05,01,              6.79
41.75,-104.25,2007,05,01,              6.79
42.25,-108.25,2007,05,01,              7.96
42.25,-107.75,2007,05,01,              7.29
42.25,-107.25,2007,05,01,              7.29
42.25,-106.75,2007,05,01,              8.30
42.25,-106.25,2007,05,01,              8.30
42.25,-105.75,2007,05,01,              7.23
42.25,-105.25,2007,05,01,              7.23
42.25,-104.75,2007,05,01,              6.93
42.25,-104.25,2007,05,01,              6.93
38.25,-108.25,2007,05,02,              3.69
38.25,-107.75,2007,05,02,              3.65
38.25,-107.25,2007,05,02,              3.65
38.25,-106.75,2007,05,02,              3.29
38.25,-106.25,2007,05,02,              3.29
38.25,-105.75,2007,05,02,              2.76
38.25,-105.25,2007,05,02,              2.76
38.25,-104.75,2007,05,02,              3.25
38.25,-104.25,2007,05,02,              3.25
38.75,-108.25,2007,05,02,              3.69
38.75,-107.75,2007,05,02,              3.65
38.75,-107.25,2007,05,02,              3.65
38.75,-106.75,2007,05,02,              3.29
38.75,-106.25,2007,05,02,              3.29
38.75,-105.75,2007,05,02,              2.76
38.75,-105.25,2007,05,02,              2.76
38.75,-104.75,2007,05,02,              3.25
38.75,-104.25,2007,05,02,              3.25
39.25,-108.25,2007,05,02,              3.82
39.25,-107.75,2007,05,02,              3.85
39.25,-107.25,2007,05,02,              3.85
39.25,-106.75,2007,05,02,              4.02
39.25,-106.25,2007,05,02,              4.02
39.25,-105.75,2007,05,02,              3.96
39.25,-105.25,2007,05,02,              3.96
39.25,-104.75,2007,05,02,              4.92
39.25,-104.25,2007,05,02,              4.92
39.75,-108.25,2007,05,02,              3.82
39.75,-107.75,2007,05,02,              3.85
39.75,-107.25,2007,05,02,              3.85
39.75,-106.75,2007,05,02,              4.02
39.75,-106.25,2007,05,02,              4.02
39.75,-105.75,2007,05,02,              3.96
39.75,-105.25,2007,05,02,              3.96
39.75,-104.75,2007,05,02,              4.92
39.75,-104.25,2007,05,02,              4.92
40.25,-108.25,2007,05,02,              3.75
40.25,-107.75,2007,05,02,              4.20
40.25,-107.25,2007,05,02,              4.20
40.25,-106.75,2007,05,02,              4.67
40.25,-106.25,2007,05,02,              4.67
40.25,-105.75,2007,05,02,              5.47
40.25,-105.25,2007,05,02,              5.47
40.25,-104.75,2007,05,02,              5.55
40.25,-104.25,2007,05,02,              5.55
40.75,-108.25,2007,05,02,              3.75
40.75,-107.75,2007,05,02,              4.20
40.75,-107.25,2007,05,02,              4.20
40.75,-106.75,2007,05,02,              4.67
40.75,-106.25,2007,05,02,              4.67
40.75,-105.75,2007,05,02,              5.47
40.75,-105.25,2007,05,02,              5.47
40.75,-104.75,2007,05,02,              5.55
40.75,-104.25,2007,05,02,              5.55
41.25,-108.25,2007,05,02,              4.44
41.25,-107.75,2007,05,02,              4.54
41.25,-107.25,2007,05,02,              4.54
41.25,-106.75,2007,05,02,              5.25
41.25,-106.25,2007,05,02,              5.25
41.25,-105.75,2007,05,02,              6.79
41.25,-105.25,2007,05,02,              6.79
41.25,-104.75,2007,05,02,              6.28
41.25,-104.25,2007,05,02,              6.28
41.75,-108.25,2007,05,02,              4.44
41.75,-107.75,2007,05,02,              4.54
41.75,-107.25,2007,05,02,              4.54
41.75,-106.75,2007,05,02,              5.25
41.75,-106.25,2007,05,02,              5.25
41.75,-105.75,2007,05,02,              6.79
41.75,-105.25,2007,05,02,              6.79
41.75,-104.75,2007,05,02,              6.28
41.75,-104.25,2007,05,02,              6.28
42.25,-108.25,2007,05,02,              4.38
42.25,-107.75,2007,05,02,              5.99
42.25,-107.25,2007,05,02,              5.99
42.25,-106.75,2007,05,02,              4.45
42.25,-106.25,2007,05,02,              4.45
42.25,-105.75,2007,05,02,              5.63
42.25,-105.25,2007,05,02,              5.63
42.25,-104.75,2007,05,02,              6.47
42.25,-104.25,2007,05,02,              6.47
38.25,-108.25,2007,05,03,              4.62
38.25,-107.75,2007,05,03,              4.28
38.25,-107.25,2007,05,03,              4.28
38.25,-106.75,2007,05,03,              4.29
38.25,-106.25,2007,05,03,              4.29
38.25,-105.75,2007,05,03,              7.02
38.25,-105.25,2007,05,03,              7.02
38.25,-104.75,2007,05,03,              6.98
38.25,-104.25,2007,05,03,              6.98
38.75,-108.25,2007,05,03,              4.62
38.75,-107.75,2007,05,03,              4.28
38.75,-107.25,2007,05,03,              4.28
38.75,-106.75,2007,05,03,              4.29
38.75,-106.25,2007,05,03,              4.29
38.75,-105.75,2007,05,03,              7.02
38.75,-105.25,2007,05,03,              7.02
38.75,-104.75,2007,05,03,              6.98
38.75,-104.25,2007,05,03,              6.98
39.25,-108.25,2007,05,03,              3.38
39.25,-107.75,2007,05,03,              4.51
39.25,-107.25,2007,05,03,              4.51
39.25,-106.75,2007,05,03,              5.28
39.25,-106.25,2007,05,03,              5.28
39.25,-105.75,2007,05,03,              5.79
39.25,-105.25,2007,05,03,              5.79
39.25,-104.75,2007,05,03,              7.39
39.25,-104.25,2007,05,03,              7.39
39.75,-108.25,2007,05,03,              3.38
39.75,-107.75,2007,05,03,              4.51
39.75,-107.25,2007,05,03,              4.51
39.75,-106.75,2007,05,03,              5.28
39.75,-106.25,2007,05,03,              5.28
39.75,-105.75,2007,05,03,              5.79
39.75,-105.25,2007,05,03,              5.79
39.75,-104.75,2007,05,03,              7.39
39.75,-104.25,2007,05,03,              7.39
40.25,-108.25,2007,05,03,              2.45
40.25,-107.75,2007,05,03,              3.77
40.25,-107.25,2007,05,03,              3.77
40.25,-106.75,2007,05,03,              4.64
40.25,-106.25,2007,05,03,              4.64
40.25,-105.75,2007,05,03,              6.32
40.25,-105.25,2007,05,03,              6.32
40.25,-104.75,2007,05,03,              7.16
40.25,-104.25,2007,05,03,              7.16
40.75,-108.25,2007,05,03,              2.45
40.75,-107.75,2007,05,03,              3.77
40.75,-107.25,2007,05,03,              3.77
40.75,-106.75,2007,05,03,              4.64
40.75,-106.25,2007,05,03,              4.64
40.75,-105.75,2007,05,03,              6.32
40.75,-105.25,2007,05,03,              6.32
40.75,-104.75,2007,05,03,              7.16
40.75,-104.25,2007,05,03,              7.16
41.25,-108.25,2007,05,03,              3.43
41.25,-107.75,2007,05,03,              4.30
41.25,-107.25,2007,05,03,              4.30
41.25,-106.75,2007,05,03,              5.31
41.25,-106.25,2007,05,03,              5.31
41.25,-105.75,2007,05,03,              5.45
41.25,-105.25,2007,05,03,              5.45
41.25,-104.75,2007,05,03,              5.84
41.25,-104.25,2007,05,03,              5.84
41.75,-108.25,2007,05,03,              3.43
41.75,-107.75,2007,05,03,              4.30
41.75,-107.25,2007,05,03,              4.30
41.75,-106.75,2007,05,03,              5.31
41.75,-106.25,2007,05,03,              5.31
41.75,-105.75,2007,05,03,              5.45
41.75,-105.25,2007,05,03,              5.45
41.75,-104.75,2007,05,03,              5.84
41.75,-104.25,2007,05,03,              5.84
42.25,-108.25,2007,05,03,              4.77
42.25,-107.75,2007,05,03,              4.88
42.25,-107.25,2007,05,03,              4.88
42.25,-106.75,2007,05,03,              5.34
42.25,-106.25,2007,05,03,              5.34
42.25,-105.75,2007,05,03,              4.05
42.25,-105.25,2007,05,03,              4.05
42.25,-104.75,2007,05,03,              3.85
42.25,-104.25,2007,05,03,              3.85
38.25,-108.25,2007,05,04,              3.95
38.25,-107.75,2007,05,04,              3.69
38.25,-107.25,2007,05,04,              3.69
38.25,-106.75,2007,05,04,              3.29
38.25,-106.25,2007,05,04,              3.29
38.25,-105.75,2007,05,04,              3.78
38.25,-105.25,2007,05,04,              3.78
38.25,-104.75,2007,05,04,              5.94
38.25,-104.25,2007,05,04,              5.94
38.75,-108.25,2007,05,04,              3.95
38.75,-107.75,2007,05,04,              3.69
38.75,-107.25,2007,05,04,              3.69
38.75,-106.75,2007,05,04,              3.29
38.75,-106.25,2007,05,04,              3.29
38.75,-105.75,2007,05,04,              3.78
38.75,-105.25,2007,05,04,              3.78
38.75,-104.75,2007,05,04,              5.94
38.75,-104.25,2007,05,04,              5.94
39.25,-108.25,2007,05,04,              3.40
39.25,-107.75,2007,05,04,              3.72
39.25,-107.25,2007,05,04,              3.72
39.25,-106.75,2007,05,04,              3.05
39.25,-106.25,2007,05,04,              3.05
39.25,-105.75,2007,05,04,              3.36
39.25,-105.25,2007,05,04,              3.36
39.25,-104.75,2007,05,04,              3.96
39.25,-104.25,2007,05,04,              3.96
39.75,-108.25,2007,05,04,              3.40
39.75,-107.75,2007,05,04,              3.72
39.75,-107.25,2007,05,04,              3.72
39.75,-106.75,2007,05,04,              3.05
39.75,-106.25,2007,05,04,              3.05
39.75,-105.75,2007,05,04,              3.36
39.75,-105.25,2007,05,04,              3.36
39.75,-104.75,2007,05,04,              3.96
39.75,-104.25,2007,05,04,              3.96
40.25,-108.25,2007,05,04,              5.06
40.25,-107.75,2007,05,04,              5.66
40.25,-107.25,2007,05,04,              5.66
40.25,-106.75,2007,05,04,              3.40
40.25,-106.25,2007,05,04,              3.40
40.25,-105.75,2007,05,04,              3.42
40.25,-105.25,2007,05,04,              3.42
40.25,-104.75,2007,05,04,              3.65
40.25,-104.25,2007,05,04,              3.65
40.75,-108.25,2007,05,04,              5.06
40.75,-107.75,2007,05,04,              5.66
40.75,-107.25,2007,05,04,              5.66
40.75,-106.75,2007,05,04,              3.40
40.75,-106.25,2007,05,04,              3.40
40.75,-105.75,2007,05,04,              3.42
40.75,-105.25,2007,05,04,              3.42
40.75,-104.75,2007,05,04,              3.65
40.75,-104.25,2007,05,04,              3.65
41.25,-108.25,2007,05,04,              5.96
41.25,-107.75,2007,05,04,              5.99
41.25,-107.25,2007,05,04,              5.99
41.25,-106.75,2007,05,04,              6.14
41.25,-106.25,2007,05,04,              6.14
41.25,-105.75,2007,05,04,              4.01
41.25,-105.25,2007,05,04,              4.01
41.25,-104.75,2007,05,04,              3.08
41.25,-104.25,2007,05,04,              3.08
41.75,-108.25,2007,05,04,              5.96
41.75,-107.75,2007,05,04,              5.99
41.75,-107.25,2007,05,04,              5.99
41.75,-106.75,2007,05,04,              6.14
41.75,-106.25,2007,05,04,              6.14
41.75,-105.75,2007,05,04,              4.01
41.75,-105.25,2007,05,04,              4.01
41.75,-104.75,2007,05,04,              3.08
41.75,-104.25,2007,05,04,              3.08
42.25,-108.25,2007,05,04,              7.50
42.25,-107.75,2007,05,04,              7.10
42.25,-107.25,2007,05,04,              7.10
42.25,-106.75,2007,05,04,              5.94
42.25,-106.25,2007,05,04,              5.94
42.25,-105.75,2007,05,04,              6.45
42.25,-105.25,2007,05,04,              6.45
42.25,-104.75,2007,05,04,              6.41
