-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-84.25,2007,05,01,              7.20
34.25,-83.75,2007,05,01,              7.46
34.25,-83.25,2007,05,01,              7.46
34.25,-82.75,2007,05,01,              7.64
34.25,-82.25,2007,05,01,              7.64
34.25,-81.75,2007,05,01,              7.55
34.25,-81.25,2007,05,01,              7.55
34.25,-80.75,2007,05,01,              7.67
34.25,-80.25,2007,05,01,              7.67
34.75,-84.25,2007,05,01,              7.20
34.75,-83.75,2007,05,01,              7.46
34.75,-83.25,2007,05,01,              7.46
34.75,-82.75,2007,05,01,              7.64
34.75,-82.25,2007,05,01,              7.64
34.75,-81.75,2007,05,01,              7.55
34.75,-81.25,2007,05,01,              7.55
34.75,-80.75,2007,05,01,              7.67
34.75,-80.25,2007,05,01,              7.67
35.25,-84.25,2007,05,01,              7.16
35.25,-83.75,2007,05,01,              7.28
35.25,-83.25,2007,05,01,              7.28
35.25,-82.75,2007,05,01,              7.58
35.25,-82.25,2007,05,01,              7.58
35.25,-81.75,2007,05,01,              7.46
35.25,-81.25,2007,05,01,              7.46
35.25,-80.75,2007,05,01,              7.52
35.25,-80.25,2007,05,01,              7.52
35.75,-84.25,2007,05,01,              7.16
35.75,-83.75,2007,05,01,              7.28
35.75,-83.25,2007,05,01,              7.28
35.75,-82.75,2007,05,01,              7.58
35.75,-82.25,2007,05,01,              7.58
35.75,-81.75,2007,05,01,              7.46
35.75,-81.25,2007,05,01,              7.46
35.75,-80.75,2007,05,01,              7.52
35.75,-80.25,2007,05,01,              7.52
36.25,-84.25,2007,05,01,              6.95
36.25,-83.75,2007,05,01,              6.93
36.25,-83.25,2007,05,01,              6.93
36.25,-82.75,2007,05,01,              7.31
36.25,-82.25,2007,05,01,              7.31
36.25,-81.75,2007,05,01,              7.17
36.25,-81.25,2007,05,01,              7.17
36.25,-80.75,2007,05,01,              6.98
36.25,-80.25,2007,05,01,              6.98
36.75,-84.25,2007,05,01,              6.95
36.75,-83.75,2007,05,01,              6.93
36.75,-83.25,2007,05,01,              6.93
36.75,-82.75,2007,05,01,              7.31
36.75,-82.25,2007,05,01,              7.31
36.75,-81.75,2007,05,01,              7.17
36.75,-81.25,2007,05,01,              7.17
36.75,-80.75,2007,05,01,              6.98
36.75,-80.25,2007,05,01,              6.98
37.25,-84.25,2007,05,01,              6.32
37.25,-83.75,2007,05,01,              6.28
37.25,-83.25,2007,05,01,              6.28
37.25,-82.75,2007,05,01,              6.54
37.25,-82.25,2007,05,01,              6.54
37.25,-81.75,2007,05,01,              7.17
37.25,-81.25,2007,05,01,              7.17
37.25,-80.75,2007,05,01,              7.44
37.25,-80.25,2007,05,01,              7.44
37.75,-84.25,2007,05,01,              6.32
37.75,-83.75,2007,05,01,              6.28
37.75,-83.25,2007,05,01,              6.28
37.75,-82.75,2007,05,01,              6.54
37.75,-82.25,2007,05,01,              6.54
37.75,-81.75,2007,05,01,              7.17
37.75,-81.25,2007,05,01,              7.17
37.75,-80.75,2007,05,01,              7.44
37.75,-80.25,2007,05,01,              7.44
38.25,-84.25,2007,05,01,              5.92
38.25,-83.75,2007,05,01,              6.22
38.25,-83.25,2007,05,01,              6.22
38.25,-82.75,2007,05,01,              6.25
38.25,-82.25,2007,05,01,              6.25
38.25,-81.75,2007,05,01,              6.96
38.25,-81.25,2007,05,01,              6.96
38.25,-80.75,2007,05,01,              7.37
38.25,-80.25,2007,05,01,              7.37
34.25,-84.25,2007,05,02,              6.29
34.25,-83.75,2007,05,02,              6.10
34.25,-83.25,2007,05,02,              6.10
34.25,-82.75,2007,05,02,              6.48
34.25,-82.25,2007,05,02,              6.48
34.25,-81.75,2007,05,02,              6.41
34.25,-81.25,2007,05,02,              6.41
34.25,-80.75,2007,05,02,              6.46
34.25,-80.25,2007,05,02,              6.46
34.75,-84.25,2007,05,02,              6.29
34.75,-83.75,2007,05,02,              6.10
34.75,-83.25,2007,05,02,              6.10
34.75,-82.75,2007,05,02,              6.48
34.75,-82.25,2007,05,02,              6.48
34.75,-81.75,2007,05,02,              6.41
34.75,-81.25,2007,05,02,              6.41
34.75,-80.75,2007,05,02,              6.46
34.75,-80.25,2007,05,02,              6.46
35.25,-84.25,2007,05,02,              5.12
35.25,-83.75,2007,05,02,              5.93
35.25,-83.25,2007,05,02,              5.93
35.25,-82.75,2007,05,02,              6.06
35.25,-82.25,2007,05,02,              6.06
35.25,-81.75,2007,05,02,              6.33
35.25,-81.25,2007,05,02,              6.33
35.25,-80.75,2007,05,02,              6.75
35.25,-80.25,2007,05,02,              6.75
35.75,-84.25,2007,05,02,              5.12
35.75,-83.75,2007,05,02,              5.93
35.75,-83.25,2007,05,02,              5.93
35.75,-82.75,2007,05,02,              6.06
35.75,-82.25,2007,05,02,              6.06
35.75,-81.75,2007,05,02,              6.33
35.75,-81.25,2007,05,02,              6.33
35.75,-80.75,2007,05,02,              6.75
35.75,-80.25,2007,05,02,              6.75
36.25,-84.25,2007,05,02,              4.16
36.25,-83.75,2007,05,02,              5.13
36.25,-83.25,2007,05,02,              5.13
36.25,-82.75,2007,05,02,              6.10
36.25,-82.25,2007,05,02,              6.10
36.25,-81.75,2007,05,02,              6.31
36.25,-81.25,2007,05,02,              6.31
36.25,-80.75,2007,05,02,              6.53
36.25,-80.25,2007,05,02,              6.53
36.75,-84.25,2007,05,02,              4.16
36.75,-83.75,2007,05,02,              5.13
36.75,-83.25,2007,05,02,              5.13
36.75,-82.75,2007,05,02,              6.10
36.75,-82.25,2007,05,02,              6.10
36.75,-81.75,2007,05,02,              6.31
36.75,-81.25,2007,05,02,              6.31
36.75,-80.75,2007,05,02,              6.53
36.75,-80.25,2007,05,02,              6.53
37.25,-84.25,2007,05,02,              3.58
37.25,-83.75,2007,05,02,              3.49
37.25,-83.25,2007,05,02,              3.49
37.25,-82.75,2007,05,02,              4.33
37.25,-82.25,2007,05,02,              4.33
37.25,-81.75,2007,05,02,              3.68
37.25,-81.25,2007,05,02,              3.68
37.25,-80.75,2007,05,02,              4.01
37.25,-80.25,2007,05,02,              4.01
37.75,-84.25,2007,05,02,              3.58
37.75,-83.75,2007,05,02,              3.49
37.75,-83.25,2007,05,02,              3.49
37.75,-82.75,2007,05,02,              4.33
37.75,-82.25,2007,05,02,              4.33
37.75,-81.75,2007,05,02,              3.68
37.75,-81.25,2007,05,02,              3.68
37.75,-80.75,2007,05,02,              4.01
37.75,-80.25,2007,05,02,              4.01
38.25,-84.25,2007,05,02,              2.16
