-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-88.25,2007,05,01,              6.25
42.25,-87.75,2007,05,01,              5.76
42.25,-87.25,2007,05,01,              5.76
42.25,-86.75,2007,05,01,              5.36
42.25,-86.25,2007,05,01,              5.36
42.25,-85.75,2007,05,01,              3.82
42.25,-85.25,2007,05,01,              3.82
42.25,-84.75,2007,05,01,              3.03
42.25,-84.25,2007,05,01,              3.03
42.75,-88.25,2007,05,01,              6.25
42.75,-87.75,2007,05,01,              5.76
42.75,-87.25,2007,05,01,              5.76
42.75,-86.75,2007,05,01,              5.36
42.75,-86.25,2007,05,01,              5.36
42.75,-85.75,2007,05,01,              3.82
42.75,-85.25,2007,05,01,              3.82
42.75,-84.75,2007,05,01,              3.03
42.75,-84.25,2007,05,01,              3.03
43.25,-88.25,2007,05,01,              6.02
43.25,-87.75,2007,05,01,              4.38
43.25,-87.25,2007,05,01,              4.38
43.25,-86.75,2007,05,01,              3.87
43.25,-86.25,2007,05,01,              3.87
43.25,-85.75,2007,05,01,              1.93
43.25,-85.25,2007,05,01,              1.93
43.25,-84.75,2007,05,01,              0.78
43.25,-84.25,2007,05,01,              0.78
43.75,-88.25,2007,05,01,              6.02
43.75,-87.75,2007,05,01,              4.38
43.75,-87.25,2007,05,01,              4.38
43.75,-86.75,2007,05,01,              3.87
43.75,-86.25,2007,05,01,              3.87
43.75,-85.75,2007,05,01,              1.93
43.75,-85.25,2007,05,01,              1.93
43.75,-84.75,2007,05,01,              0.78
43.75,-84.25,2007,05,01,              0.78
44.25,-88.25,2007,05,01,              5.70
44.25,-87.75,2007,05,01,              4.02
44.25,-87.25,2007,05,01,              4.02
44.25,-86.75,2007,05,01,              2.43
44.25,-86.25,2007,05,01,              2.43
44.25,-85.75,2007,05,01,              1.65
44.25,-85.25,2007,05,01,              1.65
44.25,-84.75,2007,05,01,              0.82
44.25,-84.25,2007,05,01,              0.82
44.75,-88.25,2007,05,01,              5.70
44.75,-87.75,2007,05,01,              4.02
44.75,-87.25,2007,05,01,              4.02
44.75,-86.75,2007,05,01,              2.43
44.75,-86.25,2007,05,01,              2.43
44.75,-85.75,2007,05,01,              1.65
44.75,-85.25,2007,05,01,              1.65
44.75,-84.75,2007,05,01,              0.82
44.75,-84.25,2007,05,01,              0.82
45.25,-88.25,2007,05,01,              5.41
45.25,-87.75,2007,05,01,              3.76
45.25,-87.25,2007,05,01,              3.76
45.25,-86.75,2007,05,01,              3.76
45.25,-86.25,2007,05,01,              3.76
45.25,-85.75,2007,05,01,              2.24
45.25,-85.25,2007,05,01,              2.24
45.25,-84.75,2007,05,01,              2.24
45.25,-84.25,2007,05,01,              2.24
45.75,-88.25,2007,05,01,              5.41
45.75,-87.75,2007,05,01,              3.76
45.75,-87.25,2007,05,01,              3.76
45.75,-86.75,2007,05,01,              3.76
45.75,-86.25,2007,05,01,              3.76
45.75,-85.75,2007,05,01,              2.24
45.75,-85.25,2007,05,01,              2.24
45.75,-84.75,2007,05,01,              2.24
45.75,-84.25,2007,05,01,              2.24
46.25,-88.25,2007,05,01,              4.75
46.25,-87.75,2007,05,01,              3.63
46.25,-87.25,2007,05,01,              3.63
46.25,-86.75,2007,05,01,              3.63
46.25,-86.25,2007,05,01,              3.63
46.25,-85.75,2007,05,01,              4.21
46.25,-85.25,2007,05,01,              4.21
46.25,-84.75,2007,05,01,              4.21
46.25,-84.25,2007,05,01,              4.21
42.25,-88.25,2007,05,02,              6.58
42.25,-87.75,2007,05,02,              6.62
42.25,-87.25,2007,05,02,              6.62
42.25,-86.75,2007,05,02,              7.19
42.25,-86.25,2007,05,02,              7.19
42.25,-85.75,2007,05,02,              6.52
42.25,-85.25,2007,05,02,              6.52
42.25,-84.75,2007,05,02,              5.39
42.25,-84.25,2007,05,02,              5.39
42.75,-88.25,2007,05,02,              6.58
42.75,-87.75,2007,05,02,              6.62
42.75,-87.25,2007,05,02,              6.62
42.75,-86.75,2007,05,02,              7.19
42.75,-86.25,2007,05,02,              7.19
42.75,-85.75,2007,05,02,              6.52
42.75,-85.25,2007,05,02,              6.52
42.75,-84.75,2007,05,02,              5.39
42.75,-84.25,2007,05,02,              5.39
43.25,-88.25,2007,05,02,              6.00
43.25,-87.75,2007,05,02,              6.44
43.25,-87.25,2007,05,02,              6.44
43.25,-86.75,2007,05,02,              6.93
43.25,-86.25,2007,05,02,              6.93
43.25,-85.75,2007,05,02,              6.05
43.25,-85.25,2007,05,02,              6.05
43.25,-84.75,2007,05,02,              5.46
43.25,-84.25,2007,05,02,              5.46
43.75,-88.25,2007,05,02,              6.00
43.75,-87.75,2007,05,02,              6.44
43.75,-87.25,2007,05,02,              6.44
43.75,-86.75,2007,05,02,              6.93
43.75,-86.25,2007,05,02,              6.93
43.75,-85.75,2007,05,02,              6.05
43.75,-85.25,2007,05,02,              6.05
43.75,-84.75,2007,05,02,              5.46
43.75,-84.25,2007,05,02,              5.46
44.25,-88.25,2007,05,02,              5.78
44.25,-87.75,2007,05,02,              5.26
44.25,-87.25,2007,05,02,              5.26
44.25,-86.75,2007,05,02,              6.36
44.25,-86.25,2007,05,02,              6.36
44.25,-85.75,2007,05,02,              5.52
44.25,-85.25,2007,05,02,              5.52
44.25,-84.75,2007,05,02,              4.39
44.25,-84.25,2007,05,02,              4.39
44.75,-88.25,2007,05,02,              5.78
44.75,-87.75,2007,05,02,              5.26
44.75,-87.25,2007,05,02,              5.26
44.75,-86.75,2007,05,02,              6.36
44.75,-86.25,2007,05,02,              6.36
44.75,-85.75,2007,05,02,              5.52
44.75,-85.25,2007,05,02,              5.52
44.75,-84.75,2007,05,02,              4.39
44.75,-84.25,2007,05,02,              4.39
45.25,-88.25,2007,05,02,              5.64
45.25,-87.75,2007,05,02,              5.10
45.25,-87.25,2007,05,02,              5.10
45.25,-86.75,2007,05,02,              5.10
45.25,-86.25,2007,05,02,              5.10
45.25,-85.75,2007,05,02,              6.09
45.25,-85.25,2007,05,02,              6.09
45.25,-84.75,2007,05,02,              6.09
45.25,-84.25,2007,05,02,              6.09
45.75,-88.25,2007,05,02,              5.64
45.75,-87.75,2007,05,02,              5.10
45.75,-87.25,2007,05,02,              5.10
45.75,-86.75,2007,05,02,              5.10
45.75,-86.25,2007,05,02,              5.10
45.75,-85.75,2007,05,02,              6.09
45.75,-85.25,2007,05,02,              6.09
45.75,-84.75,2007,05,02,              6.09
45.75,-84.25,2007,05,02,              6.09
46.25,-88.25,2007,05,02,              4.34
46.25,-87.75,2007,05,02,              5.24
46.25,-87.25,2007,05,02,              5.24
46.25,-86.75,2007,05,02,              5.24
46.25,-86.25,2007,05,02,              5.24
46.25,-85.75,2007,05,02,              4.26
46.25,-85.25,2007,05,02,              4.26
46.25,-84.75,2007,05,02,              4.26
46.25,-84.25,2007,05,02,              4.26
42.25,-88.25,2007,05,03,              7.24
42.25,-87.75,2007,05,03,              7.57
42.25,-87.25,2007,05,03,              7.57
42.25,-86.75,2007,05,03,              8.01
42.25,-86.25,2007,05,03,              8.01
42.25,-85.75,2007,05,03,              8.04
42.25,-85.25,2007,05,03,              8.04
42.25,-84.75,2007,05,03,              7.95
42.25,-84.25,2007,05,03,              7.95
42.75,-88.25,2007,05,03,              7.24
42.75,-87.75,2007,05,03,              7.57
42.75,-87.25,2007,05,03,              7.57
42.75,-86.75,2007,05,03,              8.01
42.75,-86.25,2007,05,03,              8.01
42.75,-85.75,2007,05,03,              8.04
42.75,-85.25,2007,05,03,              8.04
42.75,-84.75,2007,05,03,              7.95
42.75,-84.25,2007,05,03,              7.95
43.25,-88.25,2007,05,03,              7.41
43.25,-87.75,2007,05,03,              7.68
43.25,-87.25,2007,05,03,              7.68
43.25,-86.75,2007,05,03,              8.05
43.25,-86.25,2007,05,03,              8.05
43.25,-85.75,2007,05,03,              8.05
43.25,-85.25,2007,05,03,              8.05
43.25,-84.75,2007,05,03,              8.07
43.25,-84.25,2007,05,03,              8.07
43.75,-88.25,2007,05,03,              7.41
43.75,-87.75,2007,05,03,              7.68
43.75,-87.25,2007,05,03,              7.68
43.75,-86.75,2007,05,03,              8.05
43.75,-86.25,2007,05,03,              8.05
43.75,-85.75,2007,05,03,              8.05
43.75,-85.25,2007,05,03,              8.05
43.75,-84.75,2007,05,03,              8.07
43.75,-84.25,2007,05,03,              8.07
44.25,-88.25,2007,05,03,              7.91
44.25,-87.75,2007,05,03,              7.77
44.25,-87.25,2007,05,03,              7.77
44.25,-86.75,2007,05,03,              8.08
44.25,-86.25,2007,05,03,              8.08
44.25,-85.75,2007,05,03,              7.91
44.25,-85.25,2007,05,03,              7.91
44.25,-84.75,2007,05,03,              8.08
44.25,-84.25,2007,05,03,              8.08
44.75,-88.25,2007,05,03,              7.91
44.75,-87.75,2007,05,03,              7.77
44.75,-87.25,2007,05,03,              7.77
44.75,-86.75,2007,05,03,              8.08
44.75,-86.25,2007,05,03,              8.08
44.75,-85.75,2007,05,03,              7.91
44.75,-85.25,2007,05,03,              7.91
44.75,-84.75,2007,05,03,              8.08
44.75,-84.25,2007,05,03,              8.08
45.25,-88.25,2007,05,03,              7.94
45.25,-87.75,2007,05,03,              7.79
45.25,-87.25,2007,05,03,              7.79
45.25,-86.75,2007,05,03,              7.79
45.25,-86.25,2007,05,03,              7.79
45.25,-85.75,2007,05,03,              7.97
45.25,-85.25,2007,05,03,              7.97
45.25,-84.75,2007,05,03,              7.97
45.25,-84.25,2007,05,03,              7.97
45.75,-88.25,2007,05,03,              7.94
45.75,-87.75,2007,05,03,              7.79
45.75,-87.25,2007,05,03,              7.79
45.75,-86.75,2007,05,03,              7.79
45.75,-86.25,2007,05,03,              7.79
45.75,-85.75,2007,05,03,              7.97
45.75,-85.25,2007,05,03,              7.97
45.75,-84.75,2007,05,03,              7.97
45.75,-84.25,2007,05,03,              7.97
46.25,-88.25,2007,05,03,              7.84
46.25,-87.75,2007,05,03,              7.76
46.25,-87.25,2007,05,03,              7.76
46.25,-86.75,2007,05,03,              7.76
46.25,-86.25,2007,05,03,              7.76
46.25,-85.75,2007,05,03,              7.81
46.25,-85.25,2007,05,03,              7.81
46.25,-84.75,2007,05,03,              7.81
46.25,-84.25,2007,05,03,              7.81
42.25,-88.25,2007,05,04,              2.96
42.25,-87.75,2007,05,04,              5.01
42.25,-87.25,2007,05,04,              5.01
