-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-96.25,2007,05,01,              7.82
26.25,-95.75,2007,05,01,              7.62
26.25,-95.25,2007,05,01,              7.62
26.25,-94.75,2007,05,01,              7.84
26.25,-94.25,2007,05,01,              7.84
26.25,-93.75,2007,05,01,              8.06
26.25,-93.25,2007,05,01,              8.06
26.25,-92.75,2007,05,01,              7.85
26.25,-92.25,2007,05,01,              7.85
26.75,-96.25,2007,05,01,              7.82
26.75,-95.75,2007,05,01,              7.62
26.75,-95.25,2007,05,01,              7.62
26.75,-94.75,2007,05,01,              7.84
26.75,-94.25,2007,05,01,              7.84
26.75,-93.75,2007,05,01,              8.06
26.75,-93.25,2007,05,01,              8.06
26.75,-92.75,2007,05,01,              7.85
26.75,-92.25,2007,05,01,              7.85
27.25,-96.25,2007,05,01,              6.43
27.25,-95.75,2007,05,01,              7.52
27.25,-95.25,2007,05,01,              7.52
27.25,-94.75,2007,05,01,              7.53
27.25,-94.25,2007,05,01,              7.53
27.25,-93.75,2007,05,01,              7.71
27.25,-93.25,2007,05,01,              7.71
27.25,-92.75,2007,05,01,              7.93
27.25,-92.25,2007,05,01,              7.93
27.75,-96.25,2007,05,01,              6.43
27.75,-95.75,2007,05,01,              7.52
27.75,-95.25,2007,05,01,              7.52
27.75,-94.75,2007,05,01,              7.53
27.75,-94.25,2007,05,01,              7.53
27.75,-93.75,2007,05,01,              7.71
27.75,-93.25,2007,05,01,              7.71
27.75,-92.75,2007,05,01,              7.93
27.75,-92.25,2007,05,01,              7.93
28.25,-96.25,2007,05,01,              4.83
28.25,-95.75,2007,05,01,              5.20
28.25,-95.25,2007,05,01,              5.20
28.25,-94.75,2007,05,01,              7.29
28.25,-94.25,2007,05,01,              7.29
28.25,-93.75,2007,05,01,              7.83
28.25,-93.25,2007,05,01,              7.83
28.25,-92.75,2007,05,01,              7.79
28.25,-92.25,2007,05,01,              7.79
28.75,-96.25,2007,05,01,              4.83
28.75,-95.75,2007,05,01,              5.20
28.75,-95.25,2007,05,01,              5.20
28.75,-94.75,2007,05,01,              7.29
28.75,-94.25,2007,05,01,              7.29
28.75,-93.75,2007,05,01,              7.83
28.75,-93.25,2007,05,01,              7.83
28.75,-92.75,2007,05,01,              7.79
28.75,-92.25,2007,05,01,              7.79
29.25,-96.25,2007,05,01,              3.46
29.25,-95.75,2007,05,01,              4.57
29.25,-95.25,2007,05,01,              4.57
29.25,-94.75,2007,05,01,              5.20
29.25,-94.25,2007,05,01,              5.20
29.25,-93.75,2007,05,01,              7.40
29.25,-93.25,2007,05,01,              7.40
29.25,-92.75,2007,05,01,              7.34
29.25,-92.25,2007,05,01,              7.34
29.75,-96.25,2007,05,01,              3.46
29.75,-95.75,2007,05,01,              4.57
29.75,-95.25,2007,05,01,              4.57
29.75,-94.75,2007,05,01,              5.20
29.75,-94.25,2007,05,01,              5.20
29.75,-93.75,2007,05,01,              7.40
29.75,-93.25,2007,05,01,              7.40
29.75,-92.75,2007,05,01,              7.34
29.75,-92.25,2007,05,01,              7.34
30.25,-96.25,2007,05,01,              1.22
30.25,-95.75,2007,05,01,              1.55
30.25,-95.25,2007,05,01,              1.55
30.25,-94.75,2007,05,01,              3.39
30.25,-94.25,2007,05,01,              3.39
30.25,-93.75,2007,05,01,              5.96
30.25,-93.25,2007,05,01,              5.96
30.25,-92.75,2007,05,01,              5.94
30.25,-92.25,2007,05,01,              5.94
