-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-76.25,2007,05,01,              6.11
46.25,-75.75,2007,05,01,              6.23
46.25,-75.25,2007,05,01,              6.23
46.25,-74.75,2007,05,01,              6.23
46.25,-74.25,2007,05,01,              6.23
46.25,-73.75,2007,05,01,              6.45
46.25,-73.25,2007,05,01,              6.45
46.25,-72.75,2007,05,01,              6.45
46.25,-72.25,2007,05,01,              6.45
46.75,-76.25,2007,05,01,              6.11
46.75,-75.75,2007,05,01,              6.23
46.75,-75.25,2007,05,01,              6.23
46.75,-74.75,2007,05,01,              6.23
46.75,-74.25,2007,05,01,              6.23
46.75,-73.75,2007,05,01,              6.45
46.75,-73.25,2007,05,01,              6.45
46.75,-72.75,2007,05,01,              6.45
46.75,-72.25,2007,05,01,              6.45
47.25,-76.25,2007,05,01,              6.38
47.25,-75.75,2007,05,01,              6.16
47.25,-75.25,2007,05,01,              6.16
47.25,-74.75,2007,05,01,              6.16
47.25,-74.25,2007,05,01,              6.16
47.25,-73.75,2007,05,01,              4.85
47.25,-73.25,2007,05,01,              4.85
47.25,-72.75,2007,05,01,              4.85
47.25,-72.25,2007,05,01,              4.85
47.75,-76.25,2007,05,01,              6.38
47.75,-75.75,2007,05,01,              6.16
47.75,-75.25,2007,05,01,              6.16
47.75,-74.75,2007,05,01,              6.16
47.75,-74.25,2007,05,01,              6.16
47.75,-73.75,2007,05,01,              4.85
47.75,-73.25,2007,05,01,              4.85
47.75,-72.75,2007,05,01,              4.85
47.75,-72.25,2007,05,01,              4.85
48.25,-76.25,2007,05,01,              6.08
48.25,-75.75,2007,05,01,              5.10
48.25,-75.25,2007,05,01,              5.10
48.25,-74.75,2007,05,01,              5.10
48.25,-74.25,2007,05,01,              5.10
48.25,-73.75,2007,05,01,              3.43
48.25,-73.25,2007,05,01,              3.43
48.25,-72.75,2007,05,01,              3.43
48.25,-72.25,2007,05,01,              3.43
48.75,-76.25,2007,05,01,              6.08
48.75,-75.75,2007,05,01,              5.10
48.75,-75.25,2007,05,01,              5.10
48.75,-74.75,2007,05,01,              5.10
48.75,-74.25,2007,05,01,              5.10
48.75,-73.75,2007,05,01,              3.43
48.75,-73.25,2007,05,01,              3.43
48.75,-72.75,2007,05,01,              3.43
48.75,-72.25,2007,05,01,              3.43
49.25,-76.25,2007,05,01,              5.30
49.25,-75.75,2007,05,01,              3.93
49.25,-75.25,2007,05,01,              3.93
49.25,-74.75,2007,05,01,              3.93
49.25,-74.25,2007,05,01,              3.93
49.25,-73.75,2007,05,01,              2.91
49.25,-73.25,2007,05,01,              2.91
49.25,-72.75,2007,05,01,              2.91
49.25,-72.25,2007,05,01,              2.91
49.75,-76.25,2007,05,01,              5.30
49.75,-75.75,2007,05,01,              3.93
49.75,-75.25,2007,05,01,              3.93
49.75,-74.75,2007,05,01,              3.93
49.75,-74.25,2007,05,01,              3.93
49.75,-73.75,2007,05,01,              2.91
49.75,-73.25,2007,05,01,              2.91
49.75,-72.75,2007,05,01,              2.91
49.75,-72.25,2007,05,01,              2.91
50.25,-76.25,2007,05,01,              4.53
50.25,-75.75,2007,05,01,              3.85
50.25,-75.25,2007,05,01,              3.85
