-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-92.25,2007,05,01,              3.04
38.25,-91.75,2007,05,01,              3.48
38.25,-91.25,2007,05,01,              3.48
38.25,-90.75,2007,05,01,              3.61
38.25,-90.25,2007,05,01,              3.61
38.25,-89.75,2007,05,01,              4.15
38.25,-89.25,2007,05,01,              4.15
38.25,-88.75,2007,05,01,              4.57
38.25,-88.25,2007,05,01,              4.57
38.75,-92.25,2007,05,01,              3.04
38.75,-91.75,2007,05,01,              3.48
38.75,-91.25,2007,05,01,              3.48
38.75,-90.75,2007,05,01,              3.61
38.75,-90.25,2007,05,01,              3.61
38.75,-89.75,2007,05,01,              4.15
38.75,-89.25,2007,05,01,              4.15
38.75,-88.75,2007,05,01,              4.57
38.75,-88.25,2007,05,01,              4.57
39.25,-92.25,2007,05,01,              2.39
39.25,-91.75,2007,05,01,              2.28
39.25,-91.25,2007,05,01,              2.28
39.25,-90.75,2007,05,01,              3.53
39.25,-90.25,2007,05,01,              3.53
39.25,-89.75,2007,05,01,              3.47
39.25,-89.25,2007,05,01,              3.47
39.25,-88.75,2007,05,01,              3.40
39.25,-88.25,2007,05,01,              3.40
39.75,-92.25,2007,05,01,              2.39
39.75,-91.75,2007,05,01,              2.28
39.75,-91.25,2007,05,01,              2.28
39.75,-90.75,2007,05,01,              3.53
39.75,-90.25,2007,05,01,              3.53
39.75,-89.75,2007,05,01,              3.47
39.75,-89.25,2007,05,01,              3.47
39.75,-88.75,2007,05,01,              3.40
39.75,-88.25,2007,05,01,              3.40
40.25,-92.25,2007,05,01,              4.04
40.25,-91.75,2007,05,01,              3.74
40.25,-91.25,2007,05,01,              3.74
40.25,-90.75,2007,05,01,              3.39
40.25,-90.25,2007,05,01,              3.39
40.25,-89.75,2007,05,01,              4.07
40.25,-89.25,2007,05,01,              4.07
40.25,-88.75,2007,05,01,              4.74
40.25,-88.25,2007,05,01,              4.74
40.75,-92.25,2007,05,01,              4.04
40.75,-91.75,2007,05,01,              3.74
40.75,-91.25,2007,05,01,              3.74
40.75,-90.75,2007,05,01,              3.39
40.75,-90.25,2007,05,01,              3.39
40.75,-89.75,2007,05,01,              4.07
40.75,-89.25,2007,05,01,              4.07
40.75,-88.75,2007,05,01,              4.74
40.75,-88.25,2007,05,01,              4.74
41.25,-92.25,2007,05,01,              5.83
41.25,-91.75,2007,05,01,              5.72
41.25,-91.25,2007,05,01,              5.72
41.25,-90.75,2007,05,01,              5.75
41.25,-90.25,2007,05,01,              5.75
41.25,-89.75,2007,05,01,              6.01
41.25,-89.25,2007,05,01,              6.01
41.25,-88.75,2007,05,01,              5.67
41.25,-88.25,2007,05,01,              5.67
41.75,-92.25,2007,05,01,              5.83
41.75,-91.75,2007,05,01,              5.72
41.75,-91.25,2007,05,01,              5.72
41.75,-90.75,2007,05,01,              5.75
41.75,-90.25,2007,05,01,              5.75
41.75,-89.75,2007,05,01,              6.01
41.75,-89.25,2007,05,01,              6.01
41.75,-88.75,2007,05,01,              5.67
41.75,-88.25,2007,05,01,              5.67
42.25,-92.25,2007,05,01,              6.62
42.25,-91.75,2007,05,01,              6.64
42.25,-91.25,2007,05,01,              6.64
42.25,-90.75,2007,05,01,              6.71
42.25,-90.25,2007,05,01,              6.71
42.25,-89.75,2007,05,01,              6.65
42.25,-89.25,2007,05,01,              6.65
42.25,-88.75,2007,05,01,              6.25
42.25,-88.25,2007,05,01,              6.25
38.25,-92.25,2007,05,02,              1.11
38.25,-91.75,2007,05,02,              1.57
38.25,-91.25,2007,05,02,              1.57
38.25,-90.75,2007,05,02,              1.78
38.25,-90.25,2007,05,02,              1.78
38.25,-89.75,2007,05,02,              1.36
38.25,-89.25,2007,05,02,              1.36
38.25,-88.75,2007,05,02,              1.27
38.25,-88.25,2007,05,02,              1.27
38.75,-92.25,2007,05,02,              1.11
38.75,-91.75,2007,05,02,              1.57
38.75,-91.25,2007,05,02,              1.57
38.75,-90.75,2007,05,02,              1.78
38.75,-90.25,2007,05,02,              1.78
38.75,-89.75,2007,05,02,              1.36
38.75,-89.25,2007,05,02,              1.36
38.75,-88.75,2007,05,02,              1.27
38.75,-88.25,2007,05,02,              1.27
39.25,-92.25,2007,05,02,              1.67
39.25,-91.75,2007,05,02,              1.83
39.25,-91.25,2007,05,02,              1.83
39.25,-90.75,2007,05,02,              1.57
39.25,-90.25,2007,05,02,              1.57
39.25,-89.75,2007,05,02,              1.37
39.25,-89.25,2007,05,02,              1.37
39.25,-88.75,2007,05,02,              1.33
39.25,-88.25,2007,05,02,              1.33
39.75,-92.25,2007,05,02,              1.67
39.75,-91.75,2007,05,02,              1.83
39.75,-91.25,2007,05,02,              1.83
39.75,-90.75,2007,05,02,              1.57
39.75,-90.25,2007,05,02,              1.57
39.75,-89.75,2007,05,02,              1.37
39.75,-89.25,2007,05,02,              1.37
39.75,-88.75,2007,05,02,              1.33
39.75,-88.25,2007,05,02,              1.33
40.25,-92.25,2007,05,02,              4.10
40.25,-91.75,2007,05,02,              4.02
40.25,-91.25,2007,05,02,              4.02
40.25,-90.75,2007,05,02,              3.36
40.25,-90.25,2007,05,02,              3.36
40.25,-89.75,2007,05,02,              2.64
40.25,-89.25,2007,05,02,              2.64
40.25,-88.75,2007,05,02,              2.48
40.25,-88.25,2007,05,02,              2.48
40.75,-92.25,2007,05,02,              4.10
40.75,-91.75,2007,05,02,              4.02
40.75,-91.25,2007,05,02,              4.02
40.75,-90.75,2007,05,02,              3.36
40.75,-90.25,2007,05,02,              3.36
40.75,-89.75,2007,05,02,              2.64
40.75,-89.25,2007,05,02,              2.64
40.75,-88.75,2007,05,02,              2.48
40.75,-88.25,2007,05,02,              2.48
41.25,-92.25,2007,05,02,              5.62
41.25,-91.75,2007,05,02,              5.63
41.25,-91.25,2007,05,02,              5.63
41.25,-90.75,2007,05,02,              5.67
41.25,-90.25,2007,05,02,              5.67
41.25,-89.75,2007,05,02,              5.68
41.25,-89.25,2007,05,02,              5.68
41.25,-88.75,2007,05,02,              5.80
41.25,-88.25,2007,05,02,              5.80
41.75,-92.25,2007,05,02,              5.62
41.75,-91.75,2007,05,02,              5.63
41.75,-91.25,2007,05,02,              5.63
41.75,-90.75,2007,05,02,              5.67
41.75,-90.25,2007,05,02,              5.67
41.75,-89.75,2007,05,02,              5.68
41.75,-89.25,2007,05,02,              5.68
41.75,-88.75,2007,05,02,              5.80
41.75,-88.25,2007,05,02,              5.80
42.25,-92.25,2007,05,02,              6.22
42.25,-91.75,2007,05,02,              6.73
42.25,-91.25,2007,05,02,              6.73
42.25,-90.75,2007,05,02,              6.74
42.25,-90.25,2007,05,02,              6.74
42.25,-89.75,2007,05,02,              6.61
42.25,-89.25,2007,05,02,              6.61
42.25,-88.75,2007,05,02,              6.58
42.25,-88.25,2007,05,02,              6.58
38.25,-92.25,2007,05,03,              1.79
38.25,-91.75,2007,05,03,              1.70
38.25,-91.25,2007,05,03,              1.70
38.25,-90.75,2007,05,03,              0.87
38.25,-90.25,2007,05,03,              0.87
38.25,-89.75,2007,05,03,              0.88
38.25,-89.25,2007,05,03,              0.88
38.25,-88.75,2007,05,03,              0.93
38.25,-88.25,2007,05,03,              0.93
38.75,-92.25,2007,05,03,              1.79
38.75,-91.75,2007,05,03,              1.70
38.75,-91.25,2007,05,03,              1.70
38.75,-90.75,2007,05,03,              0.87
38.75,-90.25,2007,05,03,              0.87
38.75,-89.75,2007,05,03,              0.88
38.75,-89.25,2007,05,03,              0.88
38.75,-88.75,2007,05,03,              0.93
38.75,-88.25,2007,05,03,              0.93
39.25,-92.25,2007,05,03,              1.01
39.25,-91.75,2007,05,03,              0.54
39.25,-91.25,2007,05,03,              0.54
39.25,-90.75,2007,05,03,              1.15
39.25,-90.25,2007,05,03,              1.15
39.25,-89.75,2007,05,03,              1.43
39.25,-89.25,2007,05,03,              1.43
39.25,-88.75,2007,05,03,              1.23
39.25,-88.25,2007,05,03,              1.23
39.75,-92.25,2007,05,03,              1.01
39.75,-91.75,2007,05,03,              0.54
39.75,-91.25,2007,05,03,              0.54
39.75,-90.75,2007,05,03,              1.15
39.75,-90.25,2007,05,03,              1.15
39.75,-89.75,2007,05,03,              1.43
39.75,-89.25,2007,05,03,              1.43
39.75,-88.75,2007,05,03,              1.23
39.75,-88.25,2007,05,03,              1.23
40.25,-92.25,2007,05,03,              0.60
40.25,-91.75,2007,05,03,              0.46
40.25,-91.25,2007,05,03,              0.46
40.25,-90.75,2007,05,03,              0.56
40.25,-90.25,2007,05,03,              0.56
40.25,-89.75,2007,05,03,              0.87
40.25,-89.25,2007,05,03,              0.87
40.25,-88.75,2007,05,03,              1.64
40.25,-88.25,2007,05,03,              1.64
40.75,-92.25,2007,05,03,              0.60
40.75,-91.75,2007,05,03,              0.46
40.75,-91.25,2007,05,03,              0.46
40.75,-90.75,2007,05,03,              0.56
40.75,-90.25,2007,05,03,              0.56
40.75,-89.75,2007,05,03,              0.87
40.75,-89.25,2007,05,03,              0.87
40.75,-88.75,2007,05,03,              1.64
40.75,-88.25,2007,05,03,              1.64
41.25,-92.25,2007,05,03,              0.55
41.25,-91.75,2007,05,03,              1.62
41.25,-91.25,2007,05,03,              1.62
41.25,-90.75,2007,05,03,              2.36
41.25,-90.25,2007,05,03,              2.36
41.25,-89.75,2007,05,03,              3.44
41.25,-89.25,2007,05,03,              3.44
41.25,-88.75,2007,05,03,              5.16
41.25,-88.25,2007,05,03,              5.16
41.75,-92.25,2007,05,03,              0.55
41.75,-91.75,2007,05,03,              1.62
41.75,-91.25,2007,05,03,              1.62
41.75,-90.75,2007,05,03,              2.36
