-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-80.25,2007,05,01,              3.72
46.25,-79.75,2007,05,01,              4.52
46.25,-79.25,2007,05,01,              4.52
46.25,-78.75,2007,05,01,              4.52
46.25,-78.25,2007,05,01,              4.52
46.25,-77.75,2007,05,01,              6.11
46.25,-77.25,2007,05,01,              6.11
46.25,-76.75,2007,05,01,              6.11
46.25,-76.25,2007,05,01,              6.11
46.75,-80.25,2007,05,01,              3.72
46.75,-79.75,2007,05,01,              4.52
46.75,-79.25,2007,05,01,              4.52
46.75,-78.75,2007,05,01,              4.52
46.75,-78.25,2007,05,01,              4.52
46.75,-77.75,2007,05,01,              6.11
46.75,-77.25,2007,05,01,              6.11
46.75,-76.75,2007,05,01,              6.11
46.75,-76.25,2007,05,01,              6.11
47.25,-80.25,2007,05,01,              3.90
47.25,-79.75,2007,05,01,              5.74
47.25,-79.25,2007,05,01,              5.74
47.25,-78.75,2007,05,01,              5.74
47.25,-78.25,2007,05,01,              5.74
47.25,-77.75,2007,05,01,              6.38
47.25,-77.25,2007,05,01,              6.38
47.25,-76.75,2007,05,01,              6.38
47.25,-76.25,2007,05,01,              6.38
47.75,-80.25,2007,05,01,              3.90
47.75,-79.75,2007,05,01,              5.74
47.75,-79.25,2007,05,01,              5.74
47.75,-78.75,2007,05,01,              5.74
47.75,-78.25,2007,05,01,              5.74
47.75,-77.75,2007,05,01,              6.38
47.75,-77.25,2007,05,01,              6.38
47.75,-76.75,2007,05,01,              6.38
47.75,-76.25,2007,05,01,              6.38
48.25,-80.25,2007,05,01,              5.42
48.25,-79.75,2007,05,01,              5.91
48.25,-79.25,2007,05,01,              5.91
48.25,-78.75,2007,05,01,              5.91
48.25,-78.25,2007,05,01,              5.91
48.25,-77.75,2007,05,01,              6.08
48.25,-77.25,2007,05,01,              6.08
48.25,-76.75,2007,05,01,              6.08
48.25,-76.25,2007,05,01,              6.08
48.75,-80.25,2007,05,01,              5.42
48.75,-79.75,2007,05,01,              5.91
48.75,-79.25,2007,05,01,              5.91
48.75,-78.75,2007,05,01,              5.91
48.75,-78.25,2007,05,01,              5.91
48.75,-77.75,2007,05,01,              6.08
48.75,-77.25,2007,05,01,              6.08
48.75,-76.75,2007,05,01,              6.08
48.75,-76.25,2007,05,01,              6.08
49.25,-80.25,2007,05,01,              5.87
49.25,-79.75,2007,05,01,              5.90
49.25,-79.25,2007,05,01,              5.90
49.25,-78.75,2007,05,01,              5.90
49.25,-78.25,2007,05,01,              5.90
49.25,-77.75,2007,05,01,              5.30
49.25,-77.25,2007,05,01,              5.30
49.25,-76.75,2007,05,01,              5.30
49.25,-76.25,2007,05,01,              5.30
49.75,-80.25,2007,05,01,              5.87
49.75,-79.75,2007,05,01,              5.90
49.75,-79.25,2007,05,01,              5.90
49.75,-78.75,2007,05,01,              5.90
49.75,-78.25,2007,05,01,              5.90
49.75,-77.75,2007,05,01,              5.30
49.75,-77.25,2007,05,01,              5.30
49.75,-76.75,2007,05,01,              5.30
49.75,-76.25,2007,05,01,              5.30
50.25,-80.25,2007,05,01,              5.92
50.25,-79.75,2007,05,01,              4.43
50.25,-79.25,2007,05,01,              4.43
50.25,-78.75,2007,05,01,              4.43
50.25,-78.25,2007,05,01,              4.43
50.25,-77.75,2007,05,01,              4.53
50.25,-77.25,2007,05,01,              4.53
50.25,-76.75,2007,05,01,              4.53
50.25,-76.25,2007,05,01,              4.53
46.25,-80.25,2007,05,02,              4.79
46.25,-79.75,2007,05,02,              7.18
46.25,-79.25,2007,05,02,              7.18
46.25,-78.75,2007,05,02,              7.18
46.25,-78.25,2007,05,02,              7.18
46.25,-77.75,2007,05,02,              7.84
46.25,-77.25,2007,05,02,              7.84
46.25,-76.75,2007,05,02,              7.84
46.25,-76.25,2007,05,02,              7.84
46.75,-80.25,2007,05,02,              4.79
46.75,-79.75,2007,05,02,              7.18
46.75,-79.25,2007,05,02,              7.18
46.75,-78.75,2007,05,02,              7.18
46.75,-78.25,2007,05,02,              7.18
46.75,-77.75,2007,05,02,              7.84
46.75,-77.25,2007,05,02,              7.84
46.75,-76.75,2007,05,02,              7.84
46.75,-76.25,2007,05,02,              7.84
47.25,-80.25,2007,05,02,              7.17
47.25,-79.75,2007,05,02,              7.66
47.25,-79.25,2007,05,02,              7.66
47.25,-78.75,2007,05,02,              7.66
47.25,-78.25,2007,05,02,              7.66
47.25,-77.75,2007,05,02,              7.92
47.25,-77.25,2007,05,02,              7.92
47.25,-76.75,2007,05,02,              7.92
