-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-72.25,2007,05,01,              5.65
42.25,-71.75,2007,05,01,              5.53
42.25,-71.25,2007,05,01,              5.53
42.25,-70.75,2007,05,01,              6.73
42.25,-70.25,2007,05,01,              6.73
42.25,-69.75,2007,05,01,              7.90
42.25,-69.25,2007,05,01,              7.90
42.25,-68.75,2007,05,01,              7.89
42.25,-68.25,2007,05,01,              7.89
42.75,-72.25,2007,05,01,              5.65
42.75,-71.75,2007,05,01,              5.53
42.75,-71.25,2007,05,01,              5.53
42.75,-70.75,2007,05,01,              6.73
42.75,-70.25,2007,05,01,              6.73
42.75,-69.75,2007,05,01,              7.90
42.75,-69.25,2007,05,01,              7.90
42.75,-68.75,2007,05,01,              7.89
42.75,-68.25,2007,05,01,              7.89
43.25,-72.25,2007,05,01,              6.00
43.25,-71.75,2007,05,01,              6.39
43.25,-71.25,2007,05,01,              6.39
43.25,-70.75,2007,05,01,              6.83
43.25,-70.25,2007,05,01,              6.83
43.25,-69.75,2007,05,01,              7.45
43.25,-69.25,2007,05,01,              7.45
43.25,-68.75,2007,05,01,              7.82
43.25,-68.25,2007,05,01,              7.82
43.75,-72.25,2007,05,01,              6.00
43.75,-71.75,2007,05,01,              6.39
43.75,-71.25,2007,05,01,              6.39
43.75,-70.75,2007,05,01,              6.83
43.75,-70.25,2007,05,01,              6.83
43.75,-69.75,2007,05,01,              7.45
43.75,-69.25,2007,05,01,              7.45
43.75,-68.75,2007,05,01,              7.82
43.75,-68.25,2007,05,01,              7.82
44.25,-72.25,2007,05,01,              6.41
44.25,-71.75,2007,05,01,              6.00
44.25,-71.25,2007,05,01,              6.00
44.25,-70.75,2007,05,01,              5.76
44.25,-70.25,2007,05,01,              5.76
44.25,-69.75,2007,05,01,              6.75
44.25,-69.25,2007,05,01,              6.75
44.25,-68.75,2007,05,01,              5.74
44.25,-68.25,2007,05,01,              5.74
44.75,-72.25,2007,05,01,              6.41
44.75,-71.75,2007,05,01,              6.00
44.75,-71.25,2007,05,01,              6.00
44.75,-70.75,2007,05,01,              5.76
44.75,-70.25,2007,05,01,              5.76
44.75,-69.75,2007,05,01,              6.75
44.75,-69.25,2007,05,01,              6.75
44.75,-68.75,2007,05,01,              5.74
44.75,-68.25,2007,05,01,              5.74
45.25,-72.25,2007,05,01,              6.19
45.25,-71.75,2007,05,01,              4.36
45.25,-71.25,2007,05,01,              4.36
45.25,-70.75,2007,05,01,              4.36
45.25,-70.25,2007,05,01,              4.36
45.25,-69.75,2007,05,01,              3.54
45.25,-69.25,2007,05,01,              3.54
45.25,-68.75,2007,05,01,              3.54
45.25,-68.25,2007,05,01,              3.54
45.75,-72.25,2007,05,01,              6.19
45.75,-71.75,2007,05,01,              4.36
45.75,-71.25,2007,05,01,              4.36
45.75,-70.75,2007,05,01,              4.36
45.75,-70.25,2007,05,01,              4.36
45.75,-69.75,2007,05,01,              3.54
45.75,-69.25,2007,05,01,              3.54
45.75,-68.75,2007,05,01,              3.54
45.75,-68.25,2007,05,01,              3.54
46.25,-72.25,2007,05,01,              6.45
46.25,-71.75,2007,05,01,              5.00
46.25,-71.25,2007,05,01,              5.00
46.25,-70.75,2007,05,01,              5.00
46.25,-70.25,2007,05,01,              5.00
46.25,-69.75,2007,05,01,              3.14
46.25,-69.25,2007,05,01,              3.14
46.25,-68.75,2007,05,01,              3.14
46.25,-68.25,2007,05,01,              3.14
42.25,-72.25,2007,05,02,              5.14
42.25,-71.75,2007,05,02,              5.01
42.25,-71.25,2007,05,02,              5.01
42.25,-70.75,2007,05,02,              4.50
42.25,-70.25,2007,05,02,              4.50
42.25,-69.75,2007,05,02,              5.56
42.25,-69.25,2007,05,02,              5.56
42.25,-68.75,2007,05,02,              5.00
42.25,-68.25,2007,05,02,              5.00
42.75,-72.25,2007,05,02,              5.14
42.75,-71.75,2007,05,02,              5.01
42.75,-71.25,2007,05,02,              5.01
42.75,-70.75,2007,05,02,              4.50
42.75,-70.25,2007,05,02,              4.50
42.75,-69.75,2007,05,02,              5.56
42.75,-69.25,2007,05,02,              5.56
42.75,-68.75,2007,05,02,              5.00
42.75,-68.25,2007,05,02,              5.00
43.25,-72.25,2007,05,02,              7.29
43.25,-71.75,2007,05,02,              6.65
43.25,-71.25,2007,05,02,              6.65
43.25,-70.75,2007,05,02,              6.68
43.25,-70.25,2007,05,02,              6.68
43.25,-69.75,2007,05,02,              6.74
43.25,-69.25,2007,05,02,              6.74
43.25,-68.75,2007,05,02,              7.24
43.25,-68.25,2007,05,02,              7.24
43.75,-72.25,2007,05,02,              7.29
43.75,-71.75,2007,05,02,              6.65
43.75,-71.25,2007,05,02,              6.65
43.75,-70.75,2007,05,02,              6.68
43.75,-70.25,2007,05,02,              6.68
43.75,-69.75,2007,05,02,              6.74
43.75,-69.25,2007,05,02,              6.74
43.75,-68.75,2007,05,02,              7.24
43.75,-68.25,2007,05,02,              7.24
44.25,-72.25,2007,05,02,              7.04
44.25,-71.75,2007,05,02,              6.81
44.25,-71.25,2007,05,02,              6.81
44.25,-70.75,2007,05,02,              6.20
44.25,-70.25,2007,05,02,              6.20
44.25,-69.75,2007,05,02,              6.07
44.25,-69.25,2007,05,02,              6.07
44.25,-68.75,2007,05,02,              6.11
44.25,-68.25,2007,05,02,              6.11
44.75,-72.25,2007,05,02,              7.04
44.75,-71.75,2007,05,02,              6.81
44.75,-71.25,2007,05,02,              6.81
44.75,-70.75,2007,05,02,              6.20
44.75,-70.25,2007,05,02,              6.20
44.75,-69.75,2007,05,02,              6.07
44.75,-69.25,2007,05,02,              6.07
44.75,-68.75,2007,05,02,              6.11
44.75,-68.25,2007,05,02,              6.11
45.25,-72.25,2007,05,02,              6.94
45.25,-71.75,2007,05,02,              5.58
45.25,-71.25,2007,05,02,              5.58
45.25,-70.75,2007,05,02,              5.58
45.25,-70.25,2007,05,02,              5.58
45.25,-69.75,2007,05,02,              5.10
45.25,-69.25,2007,05,02,              5.10
45.25,-68.75,2007,05,02,              5.10
45.25,-68.25,2007,05,02,              5.10
45.75,-72.25,2007,05,02,              6.94
45.75,-71.75,2007,05,02,              5.58
45.75,-71.25,2007,05,02,              5.58
45.75,-70.75,2007,05,02,              5.58
45.75,-70.25,2007,05,02,              5.58
45.75,-69.75,2007,05,02,              5.10
45.75,-69.25,2007,05,02,              5.10
45.75,-68.75,2007,05,02,              5.10
45.75,-68.25,2007,05,02,              5.10
46.25,-72.25,2007,05,02,              6.75
46.25,-71.75,2007,05,02,              6.13
46.25,-71.25,2007,05,02,              6.13
46.25,-70.75,2007,05,02,              6.13
46.25,-70.25,2007,05,02,              6.13
46.25,-69.75,2007,05,02,              4.66
46.25,-69.25,2007,05,02,              4.66
46.25,-68.75,2007,05,02,              4.66
46.25,-68.25,2007,05,02,              4.66
42.25,-72.25,2007,05,03,              8.24
42.25,-71.75,2007,05,03,              8.24
42.25,-71.25,2007,05,03,              8.24
42.25,-70.75,2007,05,03,              8.44
42.25,-70.25,2007,05,03,              8.44
42.25,-69.75,2007,05,03,              8.42
42.25,-69.25,2007,05,03,              8.42
42.25,-68.75,2007,05,03,              8.43
42.25,-68.25,2007,05,03,              8.43
42.75,-72.25,2007,05,03,              8.24
42.75,-71.75,2007,05,03,              8.24
42.75,-71.25,2007,05,03,              8.24
42.75,-70.75,2007,05,03,              8.44
42.75,-70.25,2007,05,03,              8.44
42.75,-69.75,2007,05,03,              8.42
42.75,-69.25,2007,05,03,              8.42
42.75,-68.75,2007,05,03,              8.43
42.75,-68.25,2007,05,03,              8.43
43.25,-72.25,2007,05,03,              8.18
43.25,-71.75,2007,05,03,              8.29
43.25,-71.25,2007,05,03,              8.29
43.25,-70.75,2007,05,03,              8.27
43.25,-70.25,2007,05,03,              8.27
43.25,-69.75,2007,05,03,              8.38
43.25,-69.25,2007,05,03,              8.38
43.25,-68.75,2007,05,03,              8.36
43.25,-68.25,2007,05,03,              8.36
43.75,-72.25,2007,05,03,              8.18
43.75,-71.75,2007,05,03,              8.29
43.75,-71.25,2007,05,03,              8.29
43.75,-70.75,2007,05,03,              8.27
43.75,-70.25,2007,05,03,              8.27
43.75,-69.75,2007,05,03,              8.38
43.75,-69.25,2007,05,03,              8.38
43.75,-68.75,2007,05,03,              8.36
43.75,-68.25,2007,05,03,              8.36
44.25,-72.25,2007,05,03,              7.82
44.25,-71.75,2007,05,03,              7.82
44.25,-71.25,2007,05,03,              7.82
44.25,-70.75,2007,05,03,              7.59
44.25,-70.25,2007,05,03,              7.59
44.25,-69.75,2007,05,03,              7.66
44.25,-69.25,2007,05,03,              7.66
44.25,-68.75,2007,05,03,              7.69
44.25,-68.25,2007,05,03,              7.69
44.75,-72.25,2007,05,03,              7.82
44.75,-71.75,2007,05,03,              7.82
44.75,-71.25,2007,05,03,              7.82
44.75,-70.75,2007,05,03,              7.59
44.75,-70.25,2007,05,03,              7.59
44.75,-69.75,2007,05,03,              7.66
44.75,-69.25,2007,05,03,              7.66
44.75,-68.75,2007,05,03,              7.69
44.75,-68.25,2007,05,03,              7.69
45.25,-72.25,2007,05,03,              7.49
45.25,-71.75,2007,05,03,              7.19
45.25,-71.25,2007,05,03,              7.19
45.25,-70.75,2007,05,03,              7.19
45.25,-70.25,2007,05,03,              7.19
45.25,-69.75,2007,05,03,              6.32
45.25,-69.25,2007,05,03,              6.32
45.25,-68.75,2007,05,03,              6.32
45.25,-68.25,2007,05,03,              6.32
45.75,-72.25,2007,05,03,              7.49
45.75,-71.75,2007,05,03,              7.19
45.75,-71.25,2007,05,03,              7.19
45.75,-70.75,2007,05,03,              7.19
45.75,-70.25,2007,05,03,              7.19
45.75,-69.75,2007,05,03,              6.32
45.75,-69.25,2007,05,03,              6.32
45.75,-68.75,2007,05,03,              6.32
45.75,-68.25,2007,05,03,              6.32
46.25,-72.25,2007,05,03,              7.30
46.25,-71.75,2007,05,03,              7.31
46.25,-71.25,2007,05,03,              7.31
46.25,-70.75,2007,05,03,              7.31
46.25,-70.25,2007,05,03,              7.31
46.25,-69.75,2007,05,03,              5.85
46.25,-69.25,2007,05,03,              5.85
46.25,-68.75,2007,05,03,              5.85
46.25,-68.25,2007,05,03,              5.85
42.25,-72.25,2007,05,04,              7.98
42.25,-71.75,2007,05,04,              8.28
42.25,-71.25,2007,05,04,              8.28
42.25,-70.75,2007,05,04,              8.43
42.25,-70.25,2007,05,04,              8.43
42.25,-69.75,2007,05,04,              8.42
42.25,-69.25,2007,05,04,              8.42
42.25,-68.75,2007,05,04,              8.39
42.25,-68.25,2007,05,04,              8.39
42.75,-72.25,2007,05,04,              7.98
42.75,-71.75,2007,05,04,              8.28
42.75,-71.25,2007,05,04,              8.28
42.75,-70.75,2007,05,04,              8.43
42.75,-70.25,2007,05,04,              8.43
42.75,-69.75,2007,05,04,              8.42
42.75,-69.25,2007,05,04,              8.42
42.75,-68.75,2007,05,04,              8.39
42.75,-68.25,2007,05,04,              8.39
43.25,-72.25,2007,05,04,              8.15
43.25,-71.75,2007,05,04,              8.21
43.25,-71.25,2007,05,04,              8.21
43.25,-70.75,2007,05,04,              8.27
43.25,-70.25,2007,05,04,              8.27
43.25,-69.75,2007,05,04,              8.31
43.25,-69.25,2007,05,04,              8.31
43.25,-68.75,2007,05,04,              8.02
43.25,-68.25,2007,05,04,              8.02
43.75,-72.25,2007,05,04,              8.15
43.75,-71.75,2007,05,04,              8.21
43.75,-71.25,2007,05,04,              8.21
43.75,-70.75,2007,05,04,              8.27
43.75,-70.25,2007,05,04,              8.27
43.75,-69.75,2007,05,04,              8.31
43.75,-69.25,2007,05,04,              8.31
43.75,-68.75,2007,05,04,              8.02
43.75,-68.25,2007,05,04,              8.02
44.25,-72.25,2007,05,04,              8.12
44.25,-71.75,2007,05,04,              8.18
44.25,-71.25,2007,05,04,              8.18
44.25,-70.75,2007,05,04,              7.53
