-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-80.25,2007,05,01,              6.60
26.25,-79.75,2007,05,01,              7.82
26.25,-79.25,2007,05,01,              7.82
26.25,-78.75,2007,05,01,              7.92
26.25,-78.25,2007,05,01,              7.92
26.25,-77.75,2007,05,01,              7.27
26.25,-77.25,2007,05,01,              7.27
26.25,-76.75,2007,05,01,              6.79
26.25,-76.25,2007,05,01,              6.79
26.75,-80.25,2007,05,01,              6.60
26.75,-79.75,2007,05,01,              7.82
26.75,-79.25,2007,05,01,              7.82
26.75,-78.75,2007,05,01,              7.92
26.75,-78.25,2007,05,01,              7.92
26.75,-77.75,2007,05,01,              7.27
26.75,-77.25,2007,05,01,              7.27
26.75,-76.75,2007,05,01,              6.79
26.75,-76.25,2007,05,01,              6.79
27.25,-80.25,2007,05,01,              6.74
27.25,-79.75,2007,05,01,              7.45
27.25,-79.25,2007,05,01,              7.45
27.25,-78.75,2007,05,01,              7.76
27.25,-78.25,2007,05,01,              7.76
27.25,-77.75,2007,05,01,              7.66
27.25,-77.25,2007,05,01,              7.66
27.25,-76.75,2007,05,01,              5.88
27.25,-76.25,2007,05,01,              5.88
27.75,-80.25,2007,05,01,              6.74
27.75,-79.75,2007,05,01,              7.45
27.75,-79.25,2007,05,01,              7.45
27.75,-78.75,2007,05,01,              7.76
27.75,-78.25,2007,05,01,              7.76
27.75,-77.75,2007,05,01,              7.66
27.75,-77.25,2007,05,01,              7.66
27.75,-76.75,2007,05,01,              5.88
27.75,-76.25,2007,05,01,              5.88
28.25,-80.25,2007,05,01,              7.09
28.25,-79.75,2007,05,01,              7.99
28.25,-79.25,2007,05,01,              7.99
28.25,-78.75,2007,05,01,              7.88
28.25,-78.25,2007,05,01,              7.88
28.25,-77.75,2007,05,01,              8.02
