-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-120.25,2007,05,01,              8.24
30.25,-119.75,2007,05,01,              7.23
30.25,-119.25,2007,05,01,              7.23
30.25,-118.75,2007,05,01,              5.41
30.25,-118.25,2007,05,01,              5.41
30.25,-117.75,2007,05,01,              6.61
30.25,-117.25,2007,05,01,              6.61
30.25,-116.75,2007,05,01,              5.83
30.25,-116.25,2007,05,01,              5.83
30.75,-120.25,2007,05,01,              8.24
30.75,-119.75,2007,05,01,              7.23
30.75,-119.25,2007,05,01,              7.23
30.75,-118.75,2007,05,01,              5.41
30.75,-118.25,2007,05,01,              5.41
30.75,-117.75,2007,05,01,              6.61
30.75,-117.25,2007,05,01,              6.61
30.75,-116.75,2007,05,01,              5.83
30.75,-116.25,2007,05,01,              5.83
31.25,-120.25,2007,05,01,              8.09
31.25,-119.75,2007,05,01,              5.57
31.25,-119.25,2007,05,01,              5.57
31.25,-118.75,2007,05,01,              5.72
31.25,-118.25,2007,05,01,              5.72
31.25,-117.75,2007,05,01,              5.81
31.25,-117.25,2007,05,01,              5.81
31.25,-116.75,2007,05,01,              4.42
31.25,-116.25,2007,05,01,              4.42
31.75,-120.25,2007,05,01,              8.09
31.75,-119.75,2007,05,01,              5.57
31.75,-119.25,2007,05,01,              5.57
31.75,-118.75,2007,05,01,              5.72
31.75,-118.25,2007,05,01,              5.72
31.75,-117.75,2007,05,01,              5.81
31.75,-117.25,2007,05,01,              5.81
31.75,-116.75,2007,05,01,              4.42
31.75,-116.25,2007,05,01,              4.42
32.25,-120.25,2007,05,01,              8.00
32.25,-119.75,2007,05,01,              5.65
32.25,-119.25,2007,05,01,              5.65
32.25,-118.75,2007,05,01,              5.57
32.25,-118.25,2007,05,01,              5.57
32.25,-117.75,2007,05,01,              4.83
32.25,-117.25,2007,05,01,              4.83
32.25,-116.75,2007,05,01,              3.46
32.25,-116.25,2007,05,01,              3.46
32.75,-120.25,2007,05,01,              8.00
32.75,-119.75,2007,05,01,              5.65
32.75,-119.25,2007,05,01,              5.65
32.75,-118.75,2007,05,01,              5.57
32.75,-118.25,2007,05,01,              5.57
32.75,-117.75,2007,05,01,              4.83
32.75,-117.25,2007,05,01,              4.83
32.75,-116.75,2007,05,01,              3.46
32.75,-116.25,2007,05,01,              3.46
33.25,-120.25,2007,05,01,              8.12
33.25,-119.75,2007,05,01,              6.24
33.25,-119.25,2007,05,01,              6.24
33.25,-118.75,2007,05,01,              6.07
33.25,-118.25,2007,05,01,              6.07
33.25,-117.75,2007,05,01,              5.21
33.25,-117.25,2007,05,01,              5.21
33.25,-116.75,2007,05,01,              5.10
33.25,-116.25,2007,05,01,              5.10
33.75,-120.25,2007,05,01,              8.12
33.75,-119.75,2007,05,01,              6.24
33.75,-119.25,2007,05,01,              6.24
33.75,-118.75,2007,05,01,              6.07
33.75,-118.25,2007,05,01,              6.07
33.75,-117.75,2007,05,01,              5.21
33.75,-117.25,2007,05,01,              5.21
33.75,-116.75,2007,05,01,              5.10
33.75,-116.25,2007,05,01,              5.10
34.25,-120.25,2007,05,01,              8.18
34.25,-119.75,2007,05,01,              7.94
34.25,-119.25,2007,05,01,              7.94
34.25,-118.75,2007,05,01,              7.62
34.25,-118.25,2007,05,01,              7.62
34.25,-117.75,2007,05,01,              7.17
34.25,-117.25,2007,05,01,              7.17
34.25,-116.75,2007,05,01,              6.80
34.25,-116.25,2007,05,01,              6.80
30.25,-120.25,2007,05,02,              7.63
30.25,-119.75,2007,05,02,              7.17
30.25,-119.25,2007,05,02,              7.17
30.25,-118.75,2007,05,02,              6.28
30.25,-118.25,2007,05,02,              6.28
30.25,-117.75,2007,05,02,              6.56
30.25,-117.25,2007,05,02,              6.56
30.25,-116.75,2007,05,02,              7.17
30.25,-116.25,2007,05,02,              7.17
30.75,-120.25,2007,05,02,              7.63
30.75,-119.75,2007,05,02,              7.17
30.75,-119.25,2007,05,02,              7.17
30.75,-118.75,2007,05,02,              6.28
30.75,-118.25,2007,05,02,              6.28
30.75,-117.75,2007,05,02,              6.56
30.75,-117.25,2007,05,02,              6.56
30.75,-116.75,2007,05,02,              7.17
30.75,-116.25,2007,05,02,              7.17
31.25,-120.25,2007,05,02,              7.33
31.25,-119.75,2007,05,02,              7.04
31.25,-119.25,2007,05,02,              7.04
31.25,-118.75,2007,05,02,              6.80
31.25,-118.25,2007,05,02,              6.80
31.25,-117.75,2007,05,02,              6.86
31.25,-117.25,2007,05,02,              6.86
31.25,-116.75,2007,05,02,              7.35
31.25,-116.25,2007,05,02,              7.35
