-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-120.25,2007,05,01,              8.18
34.25,-119.75,2007,05,01,              7.94
34.25,-119.25,2007,05,01,              7.94
34.25,-118.75,2007,05,01,              7.62
34.25,-118.25,2007,05,01,              7.62
34.25,-117.75,2007,05,01,              7.17
34.25,-117.25,2007,05,01,              7.17
34.25,-116.75,2007,05,01,              6.80
34.25,-116.25,2007,05,01,              6.80
34.75,-120.25,2007,05,01,              8.18
34.75,-119.75,2007,05,01,              7.94
34.75,-119.25,2007,05,01,              7.94
34.75,-118.75,2007,05,01,              7.62
34.75,-118.25,2007,05,01,              7.62
34.75,-117.75,2007,05,01,              7.17
34.75,-117.25,2007,05,01,              7.17
34.75,-116.75,2007,05,01,              6.80
34.75,-116.25,2007,05,01,              6.80
35.25,-120.25,2007,05,01,              7.36
35.25,-119.75,2007,05,01,              7.96
35.25,-119.25,2007,05,01,              7.96
35.25,-118.75,2007,05,01,              8.16
35.25,-118.25,2007,05,01,              8.16
35.25,-117.75,2007,05,01,              7.15
35.25,-117.25,2007,05,01,              7.15
35.25,-116.75,2007,05,01,              6.58
35.25,-116.25,2007,05,01,              6.58
35.75,-120.25,2007,05,01,              7.36
35.75,-119.75,2007,05,01,              7.96
35.75,-119.25,2007,05,01,              7.96
35.75,-118.75,2007,05,01,              8.16
35.75,-118.25,2007,05,01,              8.16
35.75,-117.75,2007,05,01,              7.15
35.75,-117.25,2007,05,01,              7.15
35.75,-116.75,2007,05,01,              6.58
35.75,-116.25,2007,05,01,              6.58
36.25,-120.25,2007,05,01,              6.87
36.25,-119.75,2007,05,01,              8.29
36.25,-119.25,2007,05,01,              8.29
36.25,-118.75,2007,05,01,              6.52
36.25,-118.25,2007,05,01,              6.52
36.25,-117.75,2007,05,01,              7.65
36.25,-117.25,2007,05,01,              7.65
36.25,-116.75,2007,05,01,              7.39
36.25,-116.25,2007,05,01,              7.39
36.75,-120.25,2007,05,01,              6.87
36.75,-119.75,2007,05,01,              8.29
36.75,-119.25,2007,05,01,              8.29
36.75,-118.75,2007,05,01,              6.52
36.75,-118.25,2007,05,01,              6.52
36.75,-117.75,2007,05,01,              7.65
36.75,-117.25,2007,05,01,              7.65
36.75,-116.75,2007,05,01,              7.39
36.75,-116.25,2007,05,01,              7.39
37.25,-120.25,2007,05,01,              6.80
37.25,-119.75,2007,05,01,              7.45
37.25,-119.25,2007,05,01,              7.45
37.25,-118.75,2007,05,01,              6.45
37.25,-118.25,2007,05,01,              6.45
37.25,-117.75,2007,05,01,              6.45
37.25,-117.25,2007,05,01,              6.45
37.25,-116.75,2007,05,01,              7.40
37.25,-116.25,2007,05,01,              7.40
37.75,-120.25,2007,05,01,              6.80
37.75,-119.75,2007,05,01,              7.45
37.75,-119.25,2007,05,01,              7.45
37.75,-118.75,2007,05,01,              6.45
37.75,-118.25,2007,05,01,              6.45
37.75,-117.75,2007,05,01,              6.45
37.75,-117.25,2007,05,01,              6.45
37.75,-116.75,2007,05,01,              7.40
37.75,-116.25,2007,05,01,              7.40
38.25,-120.25,2007,05,01,              6.56
38.25,-119.75,2007,05,01,              6.86
38.25,-119.25,2007,05,01,              6.86
38.25,-118.75,2007,05,01,              6.75
38.25,-118.25,2007,05,01,              6.75
38.25,-117.75,2007,05,01,              6.76
38.25,-117.25,2007,05,01,              6.76
38.25,-116.75,2007,05,01,              6.88
38.25,-116.25,2007,05,01,              6.88
34.25,-120.25,2007,05,02,              6.11
34.25,-119.75,2007,05,02,              6.67
34.25,-119.25,2007,05,02,              6.67
34.25,-118.75,2007,05,02,              6.49
34.25,-118.25,2007,05,02,              6.49
34.25,-117.75,2007,05,02,              7.25
34.25,-117.25,2007,05,02,              7.25
34.25,-116.75,2007,05,02,              7.78
34.25,-116.25,2007,05,02,              7.78
34.75,-120.25,2007,05,02,              6.11
34.75,-119.75,2007,05,02,              6.67
34.75,-119.25,2007,05,02,              6.67
34.75,-118.75,2007,05,02,              6.49
34.75,-118.25,2007,05,02,              6.49
34.75,-117.75,2007,05,02,              7.25
34.75,-117.25,2007,05,02,              7.25
34.75,-116.75,2007,05,02,              7.78
34.75,-116.25,2007,05,02,              7.78
35.25,-120.25,2007,05,02,              5.40
35.25,-119.75,2007,05,02,              5.32
35.25,-119.25,2007,05,02,              5.32
35.25,-118.75,2007,05,02,              6.30
35.25,-118.25,2007,05,02,              6.30
35.25,-117.75,2007,05,02,              6.10
35.25,-117.25,2007,05,02,              6.10
35.25,-116.75,2007,05,02,              7.54
35.25,-116.25,2007,05,02,              7.54
35.75,-120.25,2007,05,02,              5.40
35.75,-119.75,2007,05,02,              5.32
35.75,-119.25,2007,05,02,              5.32
35.75,-118.75,2007,05,02,              6.30
35.75,-118.25,2007,05,02,              6.30
35.75,-117.75,2007,05,02,              6.10
35.75,-117.25,2007,05,02,              6.10
35.75,-116.75,2007,05,02,              7.54
35.75,-116.25,2007,05,02,              7.54
36.25,-120.25,2007,05,02,              5.04
36.25,-119.75,2007,05,02,              4.03
36.25,-119.25,2007,05,02,              4.03
36.25,-118.75,2007,05,02,              3.82
36.25,-118.25,2007,05,02,              3.82
36.25,-117.75,2007,05,02,              7.31
36.25,-117.25,2007,05,02,              7.31
36.25,-116.75,2007,05,02,              7.53
36.25,-116.25,2007,05,02,              7.53
36.75,-120.25,2007,05,02,              5.04
36.75,-119.75,2007,05,02,              4.03
36.75,-119.25,2007,05,02,              4.03
36.75,-118.75,2007,05,02,              3.82
36.75,-118.25,2007,05,02,              3.82
36.75,-117.75,2007,05,02,              7.31
36.75,-117.25,2007,05,02,              7.31
36.75,-116.75,2007,05,02,              7.53
36.75,-116.25,2007,05,02,              7.53
37.25,-120.25,2007,05,02,              3.89
37.25,-119.75,2007,05,02,              2.44
37.25,-119.25,2007,05,02,              2.44
37.25,-118.75,2007,05,02,              5.50
37.25,-118.25,2007,05,02,              5.50
37.25,-117.75,2007,05,02,              5.95
37.25,-117.25,2007,05,02,              5.95
37.25,-116.75,2007,05,02,              5.82
37.25,-116.25,2007,05,02,              5.82
37.75,-120.25,2007,05,02,              3.89
37.75,-119.75,2007,05,02,              2.44
37.75,-119.25,2007,05,02,              2.44
37.75,-118.75,2007,05,02,              5.50
37.75,-118.25,2007,05,02,              5.50
37.75,-117.75,2007,05,02,              5.95
37.75,-117.25,2007,05,02,              5.95
37.75,-116.75,2007,05,02,              5.82
37.75,-116.25,2007,05,02,              5.82
38.25,-120.25,2007,05,02,              3.46
38.25,-119.75,2007,05,02,              3.68
38.25,-119.25,2007,05,02,              3.68
38.25,-118.75,2007,05,02,              4.90
38.25,-118.25,2007,05,02,              4.90
38.25,-117.75,2007,05,02,              5.08
38.25,-117.25,2007,05,02,              5.08
38.25,-116.75,2007,05,02,              4.69
38.25,-116.25,2007,05,02,              4.69
34.25,-120.25,2007,05,03,              7.57
34.25,-119.75,2007,05,03,              7.92
34.25,-119.25,2007,05,03,              7.92
34.25,-118.75,2007,05,03,              6.87
34.25,-118.25,2007,05,03,              6.87
34.25,-117.75,2007,05,03,              7.43
34.25,-117.25,2007,05,03,              7.43
34.25,-116.75,2007,05,03,              7.64
34.25,-116.25,2007,05,03,              7.64
34.75,-120.25,2007,05,03,              7.57
34.75,-119.75,2007,05,03,              7.92
34.75,-119.25,2007,05,03,              7.92
34.75,-118.75,2007,05,03,              6.87
34.75,-118.25,2007,05,03,              6.87
34.75,-117.75,2007,05,03,              7.43
34.75,-117.25,2007,05,03,              7.43
34.75,-116.75,2007,05,03,              7.64
34.75,-116.25,2007,05,03,              7.64
35.25,-120.25,2007,05,03,              5.91
35.25,-119.75,2007,05,03,              7.56
35.25,-119.25,2007,05,03,              7.56
35.25,-118.75,2007,05,03,              6.50
35.25,-118.25,2007,05,03,              6.50
35.25,-117.75,2007,05,03,              6.22
35.25,-117.25,2007,05,03,              6.22
35.25,-116.75,2007,05,03,              6.92
35.25,-116.25,2007,05,03,              6.92
35.75,-120.25,2007,05,03,              5.91
35.75,-119.75,2007,05,03,              7.56
35.75,-119.25,2007,05,03,              7.56
35.75,-118.75,2007,05,03,              6.50
35.75,-118.25,2007,05,03,              6.50
35.75,-117.75,2007,05,03,              6.22
35.75,-117.25,2007,05,03,              6.22
35.75,-116.75,2007,05,03,              6.92
35.75,-116.25,2007,05,03,              6.92
36.25,-120.25,2007,05,03,              5.62
36.25,-119.75,2007,05,03,              6.34
36.25,-119.25,2007,05,03,              6.34
36.25,-118.75,2007,05,03,              5.21
36.25,-118.25,2007,05,03,              5.21
36.25,-117.75,2007,05,03,              7.29
36.25,-117.25,2007,05,03,              7.29
36.25,-116.75,2007,05,03,              7.71
36.25,-116.25,2007,05,03,              7.71
36.75,-120.25,2007,05,03,              5.62
36.75,-119.75,2007,05,03,              6.34
36.75,-119.25,2007,05,03,              6.34
36.75,-118.75,2007,05,03,              5.21
36.75,-118.25,2007,05,03,              5.21
36.75,-117.75,2007,05,03,              7.29
36.75,-117.25,2007,05,03,              7.29
36.75,-116.75,2007,05,03,              7.71
36.75,-116.25,2007,05,03,              7.71
37.25,-120.25,2007,05,03,              6.04
37.25,-119.75,2007,05,03,              5.68
37.25,-119.25,2007,05,03,              5.68
37.25,-118.75,2007,05,03,              6.44
37.25,-118.25,2007,05,03,              6.44
37.25,-117.75,2007,05,03,              7.07
37.25,-117.25,2007,05,03,              7.07
