-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-108.25,2007,05,01,              7.45
26.25,-107.75,2007,05,01,              6.39
26.25,-107.25,2007,05,01,              6.39
26.25,-106.75,2007,05,01,              6.90
26.25,-106.25,2007,05,01,              6.90
26.25,-105.75,2007,05,01,              8.09
26.25,-105.25,2007,05,01,              8.09
26.25,-104.75,2007,05,01,              7.41
26.25,-104.25,2007,05,01,              7.41
26.75,-108.25,2007,05,01,              7.45
26.75,-107.75,2007,05,01,              6.39
26.75,-107.25,2007,05,01,              6.39
26.75,-106.75,2007,05,01,              6.90
26.75,-106.25,2007,05,01,              6.90
26.75,-105.75,2007,05,01,              8.09
26.75,-105.25,2007,05,01,              8.09
26.75,-104.75,2007,05,01,              7.41
26.75,-104.25,2007,05,01,              7.41
27.25,-108.25,2007,05,01,              7.40
27.25,-107.75,2007,05,01,              7.58
27.25,-107.25,2007,05,01,              7.58
27.25,-106.75,2007,05,01,              6.21
27.25,-106.25,2007,05,01,              6.21
27.25,-105.75,2007,05,01,              7.04
27.25,-105.25,2007,05,01,              7.04
27.25,-104.75,2007,05,01,              6.67
27.25,-104.25,2007,05,01,              6.67
27.75,-108.25,2007,05,01,              7.40
27.75,-107.75,2007,05,01,              7.58
27.75,-107.25,2007,05,01,              7.58
27.75,-106.75,2007,05,01,              6.21
27.75,-106.25,2007,05,01,              6.21
27.75,-105.75,2007,05,01,              7.04
27.75,-105.25,2007,05,01,              7.04
27.75,-104.75,2007,05,01,              6.67
27.75,-104.25,2007,05,01,              6.67
28.25,-108.25,2007,05,01,              7.46
28.25,-107.75,2007,05,01,              6.42
28.25,-107.25,2007,05,01,              6.42
28.25,-106.75,2007,05,01,              6.25
28.25,-106.25,2007,05,01,              6.25
28.25,-105.75,2007,05,01,              6.49
28.25,-105.25,2007,05,01,              6.49
28.25,-104.75,2007,05,01,              6.15
28.25,-104.25,2007,05,01,              6.15
28.75,-108.25,2007,05,01,              7.46
28.75,-107.75,2007,05,01,              6.42
28.75,-107.25,2007,05,01,              6.42
28.75,-106.75,2007,05,01,              6.25
28.75,-106.25,2007,05,01,              6.25
28.75,-105.75,2007,05,01,              6.49
28.75,-105.25,2007,05,01,              6.49
28.75,-104.75,2007,05,01,              6.15
28.75,-104.25,2007,05,01,              6.15
29.25,-108.25,2007,05,01,              7.71
29.25,-107.75,2007,05,01,              6.87
29.25,-107.25,2007,05,01,              6.87
29.25,-106.75,2007,05,01,              6.27
29.25,-106.25,2007,05,01,              6.27
29.25,-105.75,2007,05,01,              5.34
29.25,-105.25,2007,05,01,              5.34
29.25,-104.75,2007,05,01,              5.80
29.25,-104.25,2007,05,01,              5.80
29.75,-108.25,2007,05,01,              7.71
29.75,-107.75,2007,05,01,              6.87
29.75,-107.25,2007,05,01,              6.87
29.75,-106.75,2007,05,01,              6.27
29.75,-106.25,2007,05,01,              6.27
29.75,-105.75,2007,05,01,              5.34
29.75,-105.25,2007,05,01,              5.34
29.75,-104.75,2007,05,01,              5.80
29.75,-104.25,2007,05,01,              5.80
30.25,-108.25,2007,05,01,              7.45
30.25,-107.75,2007,05,01,              6.75
30.25,-107.25,2007,05,01,              6.75
30.25,-106.75,2007,05,01,              6.96
30.25,-106.25,2007,05,01,              6.96
30.25,-105.75,2007,05,01,              6.54
30.25,-105.25,2007,05,01,              6.54
30.25,-104.75,2007,05,01,              5.47
30.25,-104.25,2007,05,01,              5.47
26.25,-108.25,2007,05,02,              8.50
26.25,-107.75,2007,05,02,              8.76
26.25,-107.25,2007,05,02,              8.76
26.25,-106.75,2007,05,02,              8.62
26.25,-106.25,2007,05,02,              8.62
26.25,-105.75,2007,05,02,              8.70
26.25,-105.25,2007,05,02,              8.70
26.25,-104.75,2007,05,02,              8.23
26.25,-104.25,2007,05,02,              8.23
26.75,-108.25,2007,05,02,              8.50
26.75,-107.75,2007,05,02,              8.76
26.75,-107.25,2007,05,02,              8.76
26.75,-106.75,2007,05,02,              8.62
26.75,-106.25,2007,05,02,              8.62
26.75,-105.75,2007,05,02,              8.70
26.75,-105.25,2007,05,02,              8.70
26.75,-104.75,2007,05,02,              8.23
26.75,-104.25,2007,05,02,              8.23
27.25,-108.25,2007,05,02,              8.71
27.25,-107.75,2007,05,02,              8.89
27.25,-107.25,2007,05,02,              8.89
27.25,-106.75,2007,05,02,              8.33
27.25,-106.25,2007,05,02,              8.33
27.25,-105.75,2007,05,02,              8.38
27.25,-105.25,2007,05,02,              8.38
27.25,-104.75,2007,05,02,              8.03
27.25,-104.25,2007,05,02,              8.03
27.75,-108.25,2007,05,02,              8.71
27.75,-107.75,2007,05,02,              8.89
27.75,-107.25,2007,05,02,              8.89
27.75,-106.75,2007,05,02,              8.33
27.75,-106.25,2007,05,02,              8.33
27.75,-105.75,2007,05,02,              8.38
27.75,-105.25,2007,05,02,              8.38
27.75,-104.75,2007,05,02,              8.03
27.75,-104.25,2007,05,02,              8.03
28.25,-108.25,2007,05,02,              8.58
28.25,-107.75,2007,05,02,              8.79
28.25,-107.25,2007,05,02,              8.79
28.25,-106.75,2007,05,02,              8.40
28.25,-106.25,2007,05,02,              8.40
28.25,-105.75,2007,05,02,              8.30
28.25,-105.25,2007,05,02,              8.30
28.25,-104.75,2007,05,02,              7.79
28.25,-104.25,2007,05,02,              7.79
28.75,-108.25,2007,05,02,              8.58
28.75,-107.75,2007,05,02,              8.79
28.75,-107.25,2007,05,02,              8.79
28.75,-106.75,2007,05,02,              8.40
28.75,-106.25,2007,05,02,              8.40
28.75,-105.75,2007,05,02,              8.30
28.75,-105.25,2007,05,02,              8.30
28.75,-104.75,2007,05,02,              7.79
28.75,-104.25,2007,05,02,              7.79
29.25,-108.25,2007,05,02,              8.57
29.25,-107.75,2007,05,02,              8.51
29.25,-107.25,2007,05,02,              8.51
29.25,-106.75,2007,05,02,              8.29
29.25,-106.25,2007,05,02,              8.29
29.25,-105.75,2007,05,02,              7.58
29.25,-105.25,2007,05,02,              7.58
29.25,-104.75,2007,05,02,              7.24
29.25,-104.25,2007,05,02,              7.24
29.75,-108.25,2007,05,02,              8.57
29.75,-107.75,2007,05,02,              8.51
