-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-96.25,2007,05,01,              2.29
38.25,-95.75,2007,05,01,              2.35
38.25,-95.25,2007,05,01,              2.35
38.25,-94.75,2007,05,01,              2.06
38.25,-94.25,2007,05,01,              2.06
38.25,-93.75,2007,05,01,              2.60
38.25,-93.25,2007,05,01,              2.60
38.25,-92.75,2007,05,01,              3.04
38.25,-92.25,2007,05,01,              3.04
38.75,-96.25,2007,05,01,              2.29
38.75,-95.75,2007,05,01,              2.35
38.75,-95.25,2007,05,01,              2.35
38.75,-94.75,2007,05,01,              2.06
38.75,-94.25,2007,05,01,              2.06
38.75,-93.75,2007,05,01,              2.60
38.75,-93.25,2007,05,01,              2.60
38.75,-92.75,2007,05,01,              3.04
38.75,-92.25,2007,05,01,              3.04
39.25,-96.25,2007,05,01,              2.44
39.25,-95.75,2007,05,01,              2.41
39.25,-95.25,2007,05,01,              2.41
39.25,-94.75,2007,05,01,              2.77
39.25,-94.25,2007,05,01,              2.77
39.25,-93.75,2007,05,01,              2.74
39.25,-93.25,2007,05,01,              2.74
39.25,-92.75,2007,05,01,              2.39
39.25,-92.25,2007,05,01,              2.39
39.75,-96.25,2007,05,01,              2.44
39.75,-95.75,2007,05,01,              2.41
39.75,-95.25,2007,05,01,              2.41
39.75,-94.75,2007,05,01,              2.77
39.75,-94.25,2007,05,01,              2.77
39.75,-93.75,2007,05,01,              2.74
39.75,-93.25,2007,05,01,              2.74
39.75,-92.75,2007,05,01,              2.39
39.75,-92.25,2007,05,01,              2.39
40.25,-96.25,2007,05,01,              5.12
40.25,-95.75,2007,05,01,              4.40
40.25,-95.25,2007,05,01,              4.40
40.25,-94.75,2007,05,01,              4.02
40.25,-94.25,2007,05,01,              4.02
40.25,-93.75,2007,05,01,              3.50
40.25,-93.25,2007,05,01,              3.50
40.25,-92.75,2007,05,01,              4.04
40.25,-92.25,2007,05,01,              4.04
40.75,-96.25,2007,05,01,              5.12
40.75,-95.75,2007,05,01,              4.40
40.75,-95.25,2007,05,01,              4.40
40.75,-94.75,2007,05,01,              4.02
40.75,-94.25,2007,05,01,              4.02
40.75,-93.75,2007,05,01,              3.50
40.75,-93.25,2007,05,01,              3.50
40.75,-92.75,2007,05,01,              4.04
40.75,-92.25,2007,05,01,              4.04
41.25,-96.25,2007,05,01,              6.37
41.25,-95.75,2007,05,01,              6.33
41.25,-95.25,2007,05,01,              6.33
41.25,-94.75,2007,05,01,              6.19
41.25,-94.25,2007,05,01,              6.19
41.25,-93.75,2007,05,01,              5.58
41.25,-93.25,2007,05,01,              5.58
41.25,-92.75,2007,05,01,              5.83
41.25,-92.25,2007,05,01,              5.83
41.75,-96.25,2007,05,01,              6.37
41.75,-95.75,2007,05,01,              6.33
41.75,-95.25,2007,05,01,              6.33
41.75,-94.75,2007,05,01,              6.19
41.75,-94.25,2007,05,01,              6.19
41.75,-93.75,2007,05,01,              5.58
41.75,-93.25,2007,05,01,              5.58
41.75,-92.75,2007,05,01,              5.83
41.75,-92.25,2007,05,01,              5.83
42.25,-96.25,2007,05,01,              6.82
42.25,-95.75,2007,05,01,              6.61
42.25,-95.25,2007,05,01,              6.61
42.25,-94.75,2007,05,01,              6.43
42.25,-94.25,2007,05,01,              6.43
42.25,-93.75,2007,05,01,              6.61
42.25,-93.25,2007,05,01,              6.61
42.25,-92.75,2007,05,01,              6.62
42.25,-92.25,2007,05,01,              6.62
38.25,-96.25,2007,05,02,              1.76
38.25,-95.75,2007,05,02,              1.07
38.25,-95.25,2007,05,02,              1.07
38.25,-94.75,2007,05,02,              0.90
38.25,-94.25,2007,05,02,              0.90
38.25,-93.75,2007,05,02,              1.05
38.25,-93.25,2007,05,02,              1.05
