-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-124.25,2007,05,01,              2.11
42.25,-123.75,2007,05,01,              2.47
42.25,-123.25,2007,05,01,              2.47
42.25,-122.75,2007,05,01,              2.58
42.25,-122.25,2007,05,01,              2.58
42.25,-121.75,2007,05,01,              2.15
42.25,-121.25,2007,05,01,              2.15
42.25,-120.75,2007,05,01,              2.73
42.25,-120.25,2007,05,01,              2.73
42.75,-124.25,2007,05,01,              2.11
42.75,-123.75,2007,05,01,              2.47
42.75,-123.25,2007,05,01,              2.47
42.75,-122.75,2007,05,01,              2.58
42.75,-122.25,2007,05,01,              2.58
42.75,-121.75,2007,05,01,              2.15
42.75,-121.25,2007,05,01,              2.15
42.75,-120.75,2007,05,01,              2.73
42.75,-120.25,2007,05,01,              2.73
43.25,-124.25,2007,05,01,              2.37
43.25,-123.75,2007,05,01,              2.62
43.25,-123.25,2007,05,01,              2.62
43.25,-122.75,2007,05,01,              3.23
43.25,-122.25,2007,05,01,              3.23
43.25,-121.75,2007,05,01,              2.40
43.25,-121.25,2007,05,01,              2.40
43.25,-120.75,2007,05,01,              2.19
43.25,-120.25,2007,05,01,              2.19
43.75,-124.25,2007,05,01,              2.37
43.75,-123.75,2007,05,01,              2.62
43.75,-123.25,2007,05,01,              2.62
43.75,-122.75,2007,05,01,              3.23
43.75,-122.25,2007,05,01,              3.23
43.75,-121.75,2007,05,01,              2.40
43.75,-121.25,2007,05,01,              2.40
43.75,-120.75,2007,05,01,              2.19
43.75,-120.25,2007,05,01,              2.19
44.25,-124.25,2007,05,01,              2.44
44.25,-123.75,2007,05,01,              2.88
44.25,-123.25,2007,05,01,              2.88
44.25,-122.75,2007,05,01,              3.28
44.25,-122.25,2007,05,01,              3.28
44.25,-121.75,2007,05,01,              3.30
44.25,-121.25,2007,05,01,              3.30
44.25,-120.75,2007,05,01,              2.58
44.25,-120.25,2007,05,01,              2.58
44.75,-124.25,2007,05,01,              2.44
44.75,-123.75,2007,05,01,              2.88
44.75,-123.25,2007,05,01,              2.88
44.75,-122.75,2007,05,01,              3.28
44.75,-122.25,2007,05,01,              3.28
44.75,-121.75,2007,05,01,              3.30
44.75,-121.25,2007,05,01,              3.30
44.75,-120.75,2007,05,01,              2.58
44.75,-120.25,2007,05,01,              2.58
45.25,-124.25,2007,05,01,              2.40
45.25,-123.75,2007,05,01,              3.26
45.25,-123.25,2007,05,01,              3.26
45.25,-122.75,2007,05,01,              3.26
45.25,-122.25,2007,05,01,              3.26
45.25,-121.75,2007,05,01,              2.81
45.25,-121.25,2007,05,01,              2.81
45.25,-120.75,2007,05,01,              2.81
45.25,-120.25,2007,05,01,              2.81
45.75,-124.25,2007,05,01,              2.40
45.75,-123.75,2007,05,01,              3.26
