-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-68.25,2012,05,01,              1.62
42.25,-67.75,2012,05,01,              1.90
42.25,-67.25,2012,05,01,              1.90
42.25,-66.75,2012,05,01,              2.56
42.25,-66.25,2012,05,01,              2.56
42.25,-65.75,2012,05,01,              3.32
42.25,-65.25,2012,05,01,              3.32
42.25,-64.75,2012,05,01,              3.99
42.25,-64.25,2012,05,01,              3.99
42.75,-68.25,2012,05,01,              1.62
42.75,-67.75,2012,05,01,              1.90
42.75,-67.25,2012,05,01,              1.90
42.75,-66.75,2012,05,01,              2.56
42.75,-66.25,2012,05,01,              2.56
42.75,-65.75,2012,05,01,              3.32
42.75,-65.25,2012,05,01,              3.32
42.75,-64.75,2012,05,01,              3.99
42.75,-64.25,2012,05,01,              3.99
43.25,-68.25,2012,05,01,              1.66
43.25,-67.75,2012,05,01,              1.92
43.25,-67.25,2012,05,01,              1.92
43.25,-66.75,2012,05,01,              2.79
43.25,-66.25,2012,05,01,              2.79
43.25,-65.75,2012,05,01,              3.78
43.25,-65.25,2012,05,01,              3.78
43.25,-64.75,2012,05,01,              4.34
43.25,-64.25,2012,05,01,              4.34
43.75,-68.25,2012,05,01,              1.66
43.75,-67.75,2012,05,01,              1.92
43.75,-67.25,2012,05,01,              1.92
43.75,-66.75,2012,05,01,              2.79
43.75,-66.25,2012,05,01,              2.79
43.75,-65.75,2012,05,01,              3.78
43.75,-65.25,2012,05,01,              3.78
