-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-88.25,2012,05,01,              5.55
38.25,-87.75,2012,05,01,              5.09
38.25,-87.25,2012,05,01,              5.09
38.25,-86.75,2012,05,01,              5.04
38.25,-86.25,2012,05,01,              5.04
38.25,-85.75,2012,05,01,              4.85
38.25,-85.25,2012,05,01,              4.85
38.25,-84.75,2012,05,01,              5.14
38.25,-84.25,2012,05,01,              5.14
38.75,-88.25,2012,05,01,              5.55
38.75,-87.75,2012,05,01,              5.09
38.75,-87.25,2012,05,01,              5.09
38.75,-86.75,2012,05,01,              5.04
38.75,-86.25,2012,05,01,              5.04
38.75,-85.75,2012,05,01,              4.85
38.75,-85.25,2012,05,01,              4.85
38.75,-84.75,2012,05,01,              5.14
38.75,-84.25,2012,05,01,              5.14
39.25,-88.25,2012,05,01,              4.55
39.25,-87.75,2012,05,01,              3.64
39.25,-87.25,2012,05,01,              3.64
39.25,-86.75,2012,05,01,              2.84
39.25,-86.25,2012,05,01,              2.84
39.25,-85.75,2012,05,01,              3.39
39.25,-85.25,2012,05,01,              3.39
39.25,-84.75,2012,05,01,              4.32
39.25,-84.25,2012,05,01,              4.32
39.75,-88.25,2012,05,01,              4.55
39.75,-87.75,2012,05,01,              3.64
39.75,-87.25,2012,05,01,              3.64
39.75,-86.75,2012,05,01,              2.84
39.75,-86.25,2012,05,01,              2.84
39.75,-85.75,2012,05,01,              3.39
39.75,-85.25,2012,05,01,              3.39
39.75,-84.75,2012,05,01,              4.32
39.75,-84.25,2012,05,01,              4.32
40.25,-88.25,2012,05,01,              2.31
40.25,-87.75,2012,05,01,              2.07
40.25,-87.25,2012,05,01,              2.07
40.25,-86.75,2012,05,01,              2.56
40.25,-86.25,2012,05,01,              2.56
40.25,-85.75,2012,05,01,              2.71
40.25,-85.25,2012,05,01,              2.71
40.25,-84.75,2012,05,01,              3.85
40.25,-84.25,2012,05,01,              3.85
40.75,-88.25,2012,05,01,              2.31
40.75,-87.75,2012,05,01,              2.07
40.75,-87.25,2012,05,01,              2.07
40.75,-86.75,2012,05,01,              2.56
40.75,-86.25,2012,05,01,              2.56
40.75,-85.75,2012,05,01,              2.71
40.75,-85.25,2012,05,01,              2.71
40.75,-84.75,2012,05,01,              3.85
40.75,-84.25,2012,05,01,              3.85
41.25,-88.25,2012,05,01,              2.10
41.25,-87.75,2012,05,01,              2.54
41.25,-87.25,2012,05,01,              2.54
41.25,-86.75,2012,05,01,              3.24
41.25,-86.25,2012,05,01,              3.24
41.25,-85.75,2012,05,01,              3.90
41.25,-85.25,2012,05,01,              3.90
41.25,-84.75,2012,05,01,              4.28
41.25,-84.25,2012,05,01,              4.28
41.75,-88.25,2012,05,01,              2.10
41.75,-87.75,2012,05,01,              2.54
41.75,-87.25,2012,05,01,              2.54
41.75,-86.75,2012,05,01,              3.24
41.75,-86.25,2012,05,01,              3.24
41.75,-85.75,2012,05,01,              3.90
41.75,-85.25,2012,05,01,              3.90
41.75,-84.75,2012,05,01,              4.28
41.75,-84.25,2012,05,01,              4.28
42.25,-88.25,2012,05,01,              3.13
42.25,-87.75,2012,05,01,              3.29
42.25,-87.25,2012,05,01,              3.29
42.25,-86.75,2012,05,01,              4.08
42.25,-86.25,2012,05,01,              4.08
42.25,-85.75,2012,05,01,              4.36
42.25,-85.25,2012,05,01,              4.36
42.25,-84.75,2012,05,01,              3.68
42.25,-84.25,2012,05,01,              3.68
38.25,-88.25,2012,05,02,              7.12
38.25,-87.75,2012,05,02,              6.89
38.25,-87.25,2012,05,02,              6.89
38.25,-86.75,2012,05,02,              6.62
38.25,-86.25,2012,05,02,              6.62
38.25,-85.75,2012,05,02,              6.63
38.25,-85.25,2012,05,02,              6.63
38.25,-84.75,2012,05,02,              6.80
38.25,-84.25,2012,05,02,              6.80
38.75,-88.25,2012,05,02,              7.12
38.75,-87.75,2012,05,02,              6.89
38.75,-87.25,2012,05,02,              6.89
38.75,-86.75,2012,05,02,              6.62
38.75,-86.25,2012,05,02,              6.62
38.75,-85.75,2012,05,02,              6.63
38.75,-85.25,2012,05,02,              6.63
38.75,-84.75,2012,05,02,              6.80
38.75,-84.25,2012,05,02,              6.80
39.25,-88.25,2012,05,02,              6.12
39.25,-87.75,2012,05,02,              6.41
39.25,-87.25,2012,05,02,              6.41
39.25,-86.75,2012,05,02,              6.46
39.25,-86.25,2012,05,02,              6.46
39.25,-85.75,2012,05,02,              6.59
39.25,-85.25,2012,05,02,              6.59
39.25,-84.75,2012,05,02,              6.40
39.25,-84.25,2012,05,02,              6.40
39.75,-88.25,2012,05,02,              6.12
39.75,-87.75,2012,05,02,              6.41
39.75,-87.25,2012,05,02,              6.41
39.75,-86.75,2012,05,02,              6.46
39.75,-86.25,2012,05,02,              6.46
39.75,-85.75,2012,05,02,              6.59
39.75,-85.25,2012,05,02,              6.59
39.75,-84.75,2012,05,02,              6.40
39.75,-84.25,2012,05,02,              6.40
40.25,-88.25,2012,05,02,              4.01
40.25,-87.75,2012,05,02,              5.62
40.25,-87.25,2012,05,02,              5.62
40.25,-86.75,2012,05,02,              5.86
40.25,-86.25,2012,05,02,              5.86
40.25,-85.75,2012,05,02,              6.23
40.25,-85.25,2012,05,02,              6.23
40.25,-84.75,2012,05,02,              6.54
40.25,-84.25,2012,05,02,              6.54
40.75,-88.25,2012,05,02,              4.01
40.75,-87.75,2012,05,02,              5.62
40.75,-87.25,2012,05,02,              5.62
40.75,-86.75,2012,05,02,              5.86
40.75,-86.25,2012,05,02,              5.86
40.75,-85.75,2012,05,02,              6.23
40.75,-85.25,2012,05,02,              6.23
40.75,-84.75,2012,05,02,              6.54
40.75,-84.25,2012,05,02,              6.54
41.25,-88.25,2012,05,02,              2.67
41.25,-87.75,2012,05,02,              3.69
41.25,-87.25,2012,05,02,              3.69
41.25,-86.75,2012,05,02,              4.83
41.25,-86.25,2012,05,02,              4.83
41.25,-85.75,2012,05,02,              5.24
41.25,-85.25,2012,05,02,              5.24
41.25,-84.75,2012,05,02,              5.41
41.25,-84.25,2012,05,02,              5.41
41.75,-88.25,2012,05,02,              2.67
41.75,-87.75,2012,05,02,              3.69
41.75,-87.25,2012,05,02,              3.69
41.75,-86.75,2012,05,02,              4.83
41.75,-86.25,2012,05,02,              4.83
41.75,-85.75,2012,05,02,              5.24
41.75,-85.25,2012,05,02,              5.24
41.75,-84.75,2012,05,02,              5.41
41.75,-84.25,2012,05,02,              5.41
42.25,-88.25,2012,05,02,              5.74
42.25,-87.75,2012,05,02,              5.59
42.25,-87.25,2012,05,02,              5.59
42.25,-86.75,2012,05,02,              6.26
42.25,-86.25,2012,05,02,              6.26
42.25,-85.75,2012,05,02,              6.05
42.25,-85.25,2012,05,02,              6.05
42.25,-84.75,2012,05,02,              5.09
42.25,-84.25,2012,05,02,              5.09
38.25,-88.25,2012,05,03,              7.07
38.25,-87.75,2012,05,03,              7.00
38.25,-87.25,2012,05,03,              7.00
38.25,-86.75,2012,05,03,              6.71
38.25,-86.25,2012,05,03,              6.71
38.25,-85.75,2012,05,03,              6.05
38.25,-85.25,2012,05,03,              6.05
38.25,-84.75,2012,05,03,              5.74
38.25,-84.25,2012,05,03,              5.74
38.75,-88.25,2012,05,03,              7.07
38.75,-87.75,2012,05,03,              7.00
38.75,-87.25,2012,05,03,              7.00
38.75,-86.75,2012,05,03,              6.71
38.75,-86.25,2012,05,03,              6.71
38.75,-85.75,2012,05,03,              6.05
38.75,-85.25,2012,05,03,              6.05
38.75,-84.75,2012,05,03,              5.74
38.75,-84.25,2012,05,03,              5.74
39.25,-88.25,2012,05,03,              6.94
39.25,-87.75,2012,05,03,              7.18
39.25,-87.25,2012,05,03,              7.18
39.25,-86.75,2012,05,03,              7.17
39.25,-86.25,2012,05,03,              7.17
39.25,-85.75,2012,05,03,              7.06
39.25,-85.25,2012,05,03,              7.06
39.25,-84.75,2012,05,03,              6.86
39.25,-84.25,2012,05,03,              6.86
39.75,-88.25,2012,05,03,              6.94
39.75,-87.75,2012,05,03,              7.18
39.75,-87.25,2012,05,03,              7.18
39.75,-86.75,2012,05,03,              7.17
39.75,-86.25,2012,05,03,              7.17
39.75,-85.75,2012,05,03,              7.06
39.75,-85.25,2012,05,03,              7.06
39.75,-84.75,2012,05,03,              6.86
39.75,-84.25,2012,05,03,              6.86
40.25,-88.25,2012,05,03,              5.78
40.25,-87.75,2012,05,03,              6.68
40.25,-87.25,2012,05,03,              6.68
40.25,-86.75,2012,05,03,              7.08
40.25,-86.25,2012,05,03,              7.08
40.25,-85.75,2012,05,03,              7.11
40.25,-85.25,2012,05,03,              7.11
40.25,-84.75,2012,05,03,              7.12
40.25,-84.25,2012,05,03,              7.12
40.75,-88.25,2012,05,03,              5.78
40.75,-87.75,2012,05,03,              6.68
40.75,-87.25,2012,05,03,              6.68
40.75,-86.75,2012,05,03,              7.08
40.75,-86.25,2012,05,03,              7.08
40.75,-85.75,2012,05,03,              7.11
40.75,-85.25,2012,05,03,              7.11
40.75,-84.75,2012,05,03,              7.12
40.75,-84.25,2012,05,03,              7.12
41.25,-88.25,2012,05,03,              6.26
41.25,-87.75,2012,05,03,              5.99
41.25,-87.25,2012,05,03,              5.99
41.25,-86.75,2012,05,03,              6.47
41.25,-86.25,2012,05,03,              6.47
41.25,-85.75,2012,05,03,              6.79
41.25,-85.25,2012,05,03,              6.79
41.25,-84.75,2012,05,03,              7.01
41.25,-84.25,2012,05,03,              7.01
41.75,-88.25,2012,05,03,              6.26
41.75,-87.75,2012,05,03,              5.99
41.75,-87.25,2012,05,03,              5.99
41.75,-86.75,2012,05,03,              6.47
41.75,-86.25,2012,05,03,              6.47
41.75,-85.75,2012,05,03,              6.79
41.75,-85.25,2012,05,03,              6.79
41.75,-84.75,2012,05,03,              7.01
41.75,-84.25,2012,05,03,              7.01
42.25,-88.25,2012,05,03,              5.33
42.25,-87.75,2012,05,03,              5.94
42.25,-87.25,2012,05,03,              5.94
42.25,-86.75,2012,05,03,              6.49
42.25,-86.25,2012,05,03,              6.49
42.25,-85.75,2012,05,03,              5.99
42.25,-85.25,2012,05,03,              5.99
42.25,-84.75,2012,05,03,              6.41
42.25,-84.25,2012,05,03,              6.41
38.25,-88.25,2012,05,04,              3.84
38.25,-87.75,2012,05,04,              4.55
38.25,-87.25,2012,05,04,              4.55
38.25,-86.75,2012,05,04,              4.51
38.25,-86.25,2012,05,04,              4.51
38.25,-85.75,2012,05,04,              4.75
38.25,-85.25,2012,05,04,              4.75
38.25,-84.75,2012,05,04,              5.23
38.25,-84.25,2012,05,04,              5.23
38.75,-88.25,2012,05,04,              3.84
38.75,-87.75,2012,05,04,              4.55
38.75,-87.25,2012,05,04,              4.55
38.75,-86.75,2012,05,04,              4.51
38.75,-86.25,2012,05,04,              4.51
38.75,-85.75,2012,05,04,              4.75
38.75,-85.25,2012,05,04,              4.75
38.75,-84.75,2012,05,04,              5.23
38.75,-84.25,2012,05,04,              5.23
39.25,-88.25,2012,05,04,              4.58
39.25,-87.75,2012,05,04,              5.28
39.25,-87.25,2012,05,04,              5.28
39.25,-86.75,2012,05,04,              4.36
39.25,-86.25,2012,05,04,              4.36
39.25,-85.75,2012,05,04,              4.72
39.25,-85.25,2012,05,04,              4.72
39.25,-84.75,2012,05,04,              4.55
39.25,-84.25,2012,05,04,              4.55
39.75,-88.25,2012,05,04,              4.58
39.75,-87.75,2012,05,04,              5.28
39.75,-87.25,2012,05,04,              5.28
39.75,-86.75,2012,05,04,              4.36
39.75,-86.25,2012,05,04,              4.36
39.75,-85.75,2012,05,04,              4.72
39.75,-85.25,2012,05,04,              4.72
39.75,-84.75,2012,05,04,              4.55
39.75,-84.25,2012,05,04,              4.55
40.25,-88.25,2012,05,04,              4.67
40.25,-87.75,2012,05,04,              4.76
40.25,-87.25,2012,05,04,              4.76
40.25,-86.75,2012,05,04,              4.28
40.25,-86.25,2012,05,04,              4.28
40.25,-85.75,2012,05,04,              4.59
40.25,-85.25,2012,05,04,              4.59
40.25,-84.75,2012,05,04,              5.14
40.25,-84.25,2012,05,04,              5.14
40.75,-88.25,2012,05,04,              4.67
40.75,-87.75,2012,05,04,              4.76
40.75,-87.25,2012,05,04,              4.76
40.75,-86.75,2012,05,04,              4.28
40.75,-86.25,2012,05,04,              4.28
40.75,-85.75,2012,05,04,              4.59
40.75,-85.25,2012,05,04,              4.59
40.75,-84.75,2012,05,04,              5.14
40.75,-84.25,2012,05,04,              5.14
41.25,-88.25,2012,05,04,              6.38
41.25,-87.75,2012,05,04,              5.86
41.25,-87.25,2012,05,04,              5.86
41.25,-86.75,2012,05,04,              6.26
41.25,-86.25,2012,05,04,              6.26
41.25,-85.75,2012,05,04,              5.76
41.25,-85.25,2012,05,04,              5.76
41.25,-84.75,2012,05,04,              4.83
41.25,-84.25,2012,05,04,              4.83
41.75,-88.25,2012,05,04,              6.38
41.75,-87.75,2012,05,04,              5.86
41.75,-87.25,2012,05,04,              5.86
41.75,-86.75,2012,05,04,              6.26
41.75,-86.25,2012,05,04,              6.26
41.75,-85.75,2012,05,04,              5.76
41.75,-85.25,2012,05,04,              5.76
41.75,-84.75,2012,05,04,              4.83
41.75,-84.25,2012,05,04,              4.83
42.25,-88.25,2012,05,04,              5.25
42.25,-87.75,2012,05,04,              4.44
42.25,-87.25,2012,05,04,              4.44
42.25,-86.75,2012,05,04,              5.82
42.25,-86.25,2012,05,04,              5.82
42.25,-85.75,2012,05,04,              5.89
42.25,-85.25,2012,05,04,              5.89
42.25,-84.75,2012,05,04,              4.07
42.25,-84.25,2012,05,04,              4.07
38.25,-88.25,2012,05,05,              7.02
38.25,-87.75,2012,05,05,              7.19
38.25,-87.25,2012,05,05,              7.19
38.25,-86.75,2012,05,05,              7.10
38.25,-86.25,2012,05,05,              7.10
38.25,-85.75,2012,05,05,              5.91
38.25,-85.25,2012,05,05,              5.91
38.25,-84.75,2012,05,05,              4.88
38.25,-84.25,2012,05,05,              4.88
38.75,-88.25,2012,05,05,              7.02
38.75,-87.75,2012,05,05,              7.19
38.75,-87.25,2012,05,05,              7.19
38.75,-86.75,2012,05,05,              7.10
38.75,-86.25,2012,05,05,              7.10
38.75,-85.75,2012,05,05,              5.91
38.75,-85.25,2012,05,05,              5.91
38.75,-84.75,2012,05,05,              4.88
38.75,-84.25,2012,05,05,              4.88
39.25,-88.25,2012,05,05,              7.18
39.25,-87.75,2012,05,05,              7.07
39.25,-87.25,2012,05,05,              7.07
39.25,-86.75,2012,05,05,              6.52
39.25,-86.25,2012,05,05,              6.52
39.25,-85.75,2012,05,05,              5.63
39.25,-85.25,2012,05,05,              5.63
39.25,-84.75,2012,05,05,              4.33
39.25,-84.25,2012,05,05,              4.33
39.75,-88.25,2012,05,05,              7.18
39.75,-87.75,2012,05,05,              7.07
39.75,-87.25,2012,05,05,              7.07
39.75,-86.75,2012,05,05,              6.52
39.75,-86.25,2012,05,05,              6.52
39.75,-85.75,2012,05,05,              5.63
39.75,-85.25,2012,05,05,              5.63
39.75,-84.75,2012,05,05,              4.33
39.75,-84.25,2012,05,05,              4.33
40.25,-88.25,2012,05,05,              6.75
40.25,-87.75,2012,05,05,              6.59
40.25,-87.25,2012,05,05,              6.59
40.25,-86.75,2012,05,05,              5.61
40.25,-86.25,2012,05,05,              5.61
40.25,-85.75,2012,05,05,              4.75
40.25,-85.25,2012,05,05,              4.75
40.25,-84.75,2012,05,05,              4.95
40.25,-84.25,2012,05,05,              4.95
40.75,-88.25,2012,05,05,              6.75
40.75,-87.75,2012,05,05,              6.59
40.75,-87.25,2012,05,05,              6.59
40.75,-86.75,2012,05,05,              5.61
40.75,-86.25,2012,05,05,              5.61
40.75,-85.75,2012,05,05,              4.75
40.75,-85.25,2012,05,05,              4.75
40.75,-84.75,2012,05,05,              4.95
40.75,-84.25,2012,05,05,              4.95
41.25,-88.25,2012,05,05,              4.14
41.25,-87.75,2012,05,05,              4.26
41.25,-87.25,2012,05,05,              4.26
41.25,-86.75,2012,05,05,              4.68
41.25,-86.25,2012,05,05,              4.68
41.25,-85.75,2012,05,05,              4.47
41.25,-85.25,2012,05,05,              4.47
41.25,-84.75,2012,05,05,              5.16
41.25,-84.25,2012,05,05,              5.16
41.75,-88.25,2012,05,05,              4.14
41.75,-87.75,2012,05,05,              4.26
41.75,-87.25,2012,05,05,              4.26
41.75,-86.75,2012,05,05,              4.68
41.75,-86.25,2012,05,05,              4.68
41.75,-85.75,2012,05,05,              4.47
41.75,-85.25,2012,05,05,              4.47
41.75,-84.75,2012,05,05,              5.16
41.75,-84.25,2012,05,05,              5.16
42.25,-88.25,2012,05,05,              3.73
42.25,-87.75,2012,05,05,              3.43
42.25,-87.25,2012,05,05,              3.43
42.25,-86.75,2012,05,05,              3.07
42.25,-86.25,2012,05,05,              3.07
42.25,-85.75,2012,05,05,              3.06
42.25,-85.25,2012,05,05,              3.06
42.25,-84.75,2012,05,05,              3.93
42.25,-84.25,2012,05,05,              3.93
38.25,-88.25,2012,05,06,              7.23
38.25,-87.75,2012,05,06,              7.22
38.25,-87.25,2012,05,06,              7.22
38.25,-86.75,2012,05,06,              7.11
38.25,-86.25,2012,05,06,              7.11
38.25,-85.75,2012,05,06,              6.82
38.25,-85.25,2012,05,06,              6.82
38.25,-84.75,2012,05,06,              6.83
38.25,-84.25,2012,05,06,              6.83
38.75,-88.25,2012,05,06,              7.23
38.75,-87.75,2012,05,06,              7.22
38.75,-87.25,2012,05,06,              7.22
38.75,-86.75,2012,05,06,              7.11
38.75,-86.25,2012,05,06,              7.11
38.75,-85.75,2012,05,06,              6.82
38.75,-85.25,2012,05,06,              6.82
38.75,-84.75,2012,05,06,              6.83
38.75,-84.25,2012,05,06,              6.83
39.25,-88.25,2012,05,06,              6.99
39.25,-87.75,2012,05,06,              6.81
39.25,-87.25,2012,05,06,              6.81
39.25,-86.75,2012,05,06,              6.90
39.25,-86.25,2012,05,06,              6.90
39.25,-85.75,2012,05,06,              6.95
39.25,-85.25,2012,05,06,              6.95
39.25,-84.75,2012,05,06,              7.17
