-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-112.25,2012,05,01,              6.91
38.25,-111.75,2012,05,01,              6.43
38.25,-111.25,2012,05,01,              6.43
38.25,-110.75,2012,05,01,              5.86
38.25,-110.25,2012,05,01,              5.86
38.25,-109.75,2012,05,01,              6.17
38.25,-109.25,2012,05,01,              6.17
38.25,-108.75,2012,05,01,              4.95
38.25,-108.25,2012,05,01,              4.95
38.75,-112.25,2012,05,01,              6.91
38.75,-111.75,2012,05,01,              6.43
38.75,-111.25,2012,05,01,              6.43
38.75,-110.75,2012,05,01,              5.86
38.75,-110.25,2012,05,01,              5.86
38.75,-109.75,2012,05,01,              6.17
38.75,-109.25,2012,05,01,              6.17
38.75,-108.75,2012,05,01,              4.95
38.75,-108.25,2012,05,01,              4.95
39.25,-112.25,2012,05,01,              6.53
39.25,-111.75,2012,05,01,              5.96
39.25,-111.25,2012,05,01,              5.96
39.25,-110.75,2012,05,01,              4.93
39.25,-110.25,2012,05,01,              4.93
39.25,-109.75,2012,05,01,              4.84
39.25,-109.25,2012,05,01,              4.84
39.25,-108.75,2012,05,01,              4.86
39.25,-108.25,2012,05,01,              4.86
39.75,-112.25,2012,05,01,              6.53
39.75,-111.75,2012,05,01,              5.96
39.75,-111.25,2012,05,01,              5.96
39.75,-110.75,2012,05,01,              4.93
39.75,-110.25,2012,05,01,              4.93
39.75,-109.75,2012,05,01,              4.84
39.75,-109.25,2012,05,01,              4.84
39.75,-108.75,2012,05,01,              4.86
39.75,-108.25,2012,05,01,              4.86
40.25,-112.25,2012,05,01,              6.83
40.25,-111.75,2012,05,01,              6.38
40.25,-111.25,2012,05,01,              6.38
40.25,-110.75,2012,05,01,              6.29
40.25,-110.25,2012,05,01,              6.29
40.25,-109.75,2012,05,01,              4.61
40.25,-109.25,2012,05,01,              4.61
40.25,-108.75,2012,05,01,              3.73
40.25,-108.25,2012,05,01,              3.73
40.75,-112.25,2012,05,01,              6.83
40.75,-111.75,2012,05,01,              6.38
40.75,-111.25,2012,05,01,              6.38
40.75,-110.75,2012,05,01,              6.29
40.75,-110.25,2012,05,01,              6.29
40.75,-109.75,2012,05,01,              4.61
40.75,-109.25,2012,05,01,              4.61
40.75,-108.75,2012,05,01,              3.73
40.75,-108.25,2012,05,01,              3.73
41.25,-112.25,2012,05,01,              7.39
41.25,-111.75,2012,05,01,              6.65
41.25,-111.25,2012,05,01,              6.65
41.25,-110.75,2012,05,01,              6.37
41.25,-110.25,2012,05,01,              6.37
41.25,-109.75,2012,05,01,              5.44
41.25,-109.25,2012,05,01,              5.44
41.25,-108.75,2012,05,01,              4.66
41.25,-108.25,2012,05,01,              4.66
41.75,-112.25,2012,05,01,              7.39
41.75,-111.75,2012,05,01,              6.65
41.75,-111.25,2012,05,01,              6.65
41.75,-110.75,2012,05,01,              6.37
41.75,-110.25,2012,05,01,              6.37
41.75,-109.75,2012,05,01,              5.44
41.75,-109.25,2012,05,01,              5.44
41.75,-108.75,2012,05,01,              4.66
41.75,-108.25,2012,05,01,              4.66
42.25,-112.25,2012,05,01,              6.99
42.25,-111.75,2012,05,01,              6.26
42.25,-111.25,2012,05,01,              6.26
42.25,-110.75,2012,05,01,              6.56
42.25,-110.25,2012,05,01,              6.56
42.25,-109.75,2012,05,01,              6.39
42.25,-109.25,2012,05,01,              6.39
42.25,-108.75,2012,05,01,              7.28
42.25,-108.25,2012,05,01,              7.28
38.25,-112.25,2012,05,02,              6.94
38.25,-111.75,2012,05,02,              5.87
38.25,-111.25,2012,05,02,              5.87
38.25,-110.75,2012,05,02,              5.81
38.25,-110.25,2012,05,02,              5.81
38.25,-109.75,2012,05,02,              5.74
38.25,-109.25,2012,05,02,              5.74
38.25,-108.75,2012,05,02,              4.88
38.25,-108.25,2012,05,02,              4.88
38.75,-112.25,2012,05,02,              6.94
38.75,-111.75,2012,05,02,              5.87
38.75,-111.25,2012,05,02,              5.87
38.75,-110.75,2012,05,02,              5.81
38.75,-110.25,2012,05,02,              5.81
38.75,-109.75,2012,05,02,              5.74
38.75,-109.25,2012,05,02,              5.74
38.75,-108.75,2012,05,02,              4.88
38.75,-108.25,2012,05,02,              4.88
39.25,-112.25,2012,05,02,              7.46
39.25,-111.75,2012,05,02,              6.63
39.25,-111.25,2012,05,02,              6.63
39.25,-110.75,2012,05,02,              5.73
39.25,-110.25,2012,05,02,              5.73
39.25,-109.75,2012,05,02,              5.11
39.25,-109.25,2012,05,02,              5.11
39.25,-108.75,2012,05,02,              4.09
39.25,-108.25,2012,05,02,              4.09
39.75,-112.25,2012,05,02,              7.46
39.75,-111.75,2012,05,02,              6.63
39.75,-111.25,2012,05,02,              6.63
39.75,-110.75,2012,05,02,              5.73
39.75,-110.25,2012,05,02,              5.73
39.75,-109.75,2012,05,02,              5.11
39.75,-109.25,2012,05,02,              5.11
39.75,-108.75,2012,05,02,              4.09
39.75,-108.25,2012,05,02,              4.09
40.25,-112.25,2012,05,02,              7.57
40.25,-111.75,2012,05,02,              7.26
40.25,-111.25,2012,05,02,              7.26
40.25,-110.75,2012,05,02,              6.70
40.25,-110.25,2012,05,02,              6.70
40.25,-109.75,2012,05,02,              6.01
40.25,-109.25,2012,05,02,              6.01
40.25,-108.75,2012,05,02,              5.13
40.25,-108.25,2012,05,02,              5.13
40.75,-112.25,2012,05,02,              7.57
40.75,-111.75,2012,05,02,              7.26
40.75,-111.25,2012,05,02,              7.26
40.75,-110.75,2012,05,02,              6.70
40.75,-110.25,2012,05,02,              6.70
40.75,-109.75,2012,05,02,              6.01
40.75,-109.25,2012,05,02,              6.01
40.75,-108.75,2012,05,02,              5.13
40.75,-108.25,2012,05,02,              5.13
41.25,-112.25,2012,05,02,              7.37
41.25,-111.75,2012,05,02,              7.49
41.25,-111.25,2012,05,02,              7.49
41.25,-110.75,2012,05,02,              7.65
41.25,-110.25,2012,05,02,              7.65
41.25,-109.75,2012,05,02,              7.04
41.25,-109.25,2012,05,02,              7.04
41.25,-108.75,2012,05,02,              6.03
41.25,-108.25,2012,05,02,              6.03
41.75,-112.25,2012,05,02,              7.37
41.75,-111.75,2012,05,02,              7.49
41.75,-111.25,2012,05,02,              7.49
41.75,-110.75,2012,05,02,              7.65
41.75,-110.25,2012,05,02,              7.65
41.75,-109.75,2012,05,02,              7.04
41.75,-109.25,2012,05,02,              7.04
41.75,-108.75,2012,05,02,              6.03
41.75,-108.25,2012,05,02,              6.03
42.25,-112.25,2012,05,02,              7.34
42.25,-111.75,2012,05,02,              6.76
42.25,-111.25,2012,05,02,              6.76
42.25,-110.75,2012,05,02,              7.34
42.25,-110.25,2012,05,02,              7.34
42.25,-109.75,2012,05,02,              7.22
42.25,-109.25,2012,05,02,              7.22
42.25,-108.75,2012,05,02,              7.49
42.25,-108.25,2012,05,02,              7.49
38.25,-112.25,2012,05,03,              5.52
38.25,-111.75,2012,05,03,              5.59
38.25,-111.25,2012,05,03,              5.59
38.25,-110.75,2012,05,03,              6.42
38.25,-110.25,2012,05,03,              6.42
38.25,-109.75,2012,05,03,              6.85
38.25,-109.25,2012,05,03,              6.85
38.25,-108.75,2012,05,03,              7.52
38.25,-108.25,2012,05,03,              7.52
38.75,-112.25,2012,05,03,              5.52
38.75,-111.75,2012,05,03,              5.59
38.75,-111.25,2012,05,03,              5.59
38.75,-110.75,2012,05,03,              6.42
38.75,-110.25,2012,05,03,              6.42
38.75,-109.75,2012,05,03,              6.85
38.75,-109.25,2012,05,03,              6.85
38.75,-108.75,2012,05,03,              7.52
38.75,-108.25,2012,05,03,              7.52
39.25,-112.25,2012,05,03,              4.73
39.25,-111.75,2012,05,03,              5.65
39.25,-111.25,2012,05,03,              5.65
39.25,-110.75,2012,05,03,              5.86
39.25,-110.25,2012,05,03,              5.86
39.25,-109.75,2012,05,03,              7.11
39.25,-109.25,2012,05,03,              7.11
39.25,-108.75,2012,05,03,              7.11
39.25,-108.25,2012,05,03,              7.11
39.75,-112.25,2012,05,03,              4.73
39.75,-111.75,2012,05,03,              5.65
39.75,-111.25,2012,05,03,              5.65
39.75,-110.75,2012,05,03,              5.86
39.75,-110.25,2012,05,03,              5.86
39.75,-109.75,2012,05,03,              7.11
39.75,-109.25,2012,05,03,              7.11
39.75,-108.75,2012,05,03,              7.11
39.75,-108.25,2012,05,03,              7.11
40.25,-112.25,2012,05,03,              4.01
40.25,-111.75,2012,05,03,              4.84
40.25,-111.25,2012,05,03,              4.84
40.25,-110.75,2012,05,03,              5.08
40.25,-110.25,2012,05,03,              5.08
40.25,-109.75,2012,05,03,              6.35
40.25,-109.25,2012,05,03,              6.35
40.25,-108.75,2012,05,03,              6.92
40.25,-108.25,2012,05,03,              6.92
40.75,-112.25,2012,05,03,              4.01
40.75,-111.75,2012,05,03,              4.84
40.75,-111.25,2012,05,03,              4.84
40.75,-110.75,2012,05,03,              5.08
40.75,-110.25,2012,05,03,              5.08
40.75,-109.75,2012,05,03,              6.35
40.75,-109.25,2012,05,03,              6.35
40.75,-108.75,2012,05,03,              6.92
40.75,-108.25,2012,05,03,              6.92
41.25,-112.25,2012,05,03,              3.10
41.25,-111.75,2012,05,03,              3.82
41.25,-111.25,2012,05,03,              3.82
41.25,-110.75,2012,05,03,              4.76
41.25,-110.25,2012,05,03,              4.76
41.25,-109.75,2012,05,03,              5.29
41.25,-109.25,2012,05,03,              5.29
41.25,-108.75,2012,05,03,              6.12
41.25,-108.25,2012,05,03,              6.12
41.75,-112.25,2012,05,03,              3.10
41.75,-111.75,2012,05,03,              3.82
41.75,-111.25,2012,05,03,              3.82
41.75,-110.75,2012,05,03,              4.76
41.75,-110.25,2012,05,03,              4.76
41.75,-109.75,2012,05,03,              5.29
41.75,-109.25,2012,05,03,              5.29
41.75,-108.75,2012,05,03,              6.12
41.75,-108.25,2012,05,03,              6.12
42.25,-112.25,2012,05,03,              3.31
42.25,-111.75,2012,05,03,              3.38
42.25,-111.25,2012,05,03,              3.38
42.25,-110.75,2012,05,03,              3.64
42.25,-110.25,2012,05,03,              3.64
42.25,-109.75,2012,05,03,              4.84
42.25,-109.25,2012,05,03,              4.84
42.25,-108.75,2012,05,03,              5.47
42.25,-108.25,2012,05,03,              5.47
38.25,-112.25,2012,05,04,              7.96
38.25,-111.75,2012,05,04,              8.11
38.25,-111.25,2012,05,04,              8.11
38.25,-110.75,2012,05,04,              7.91
38.25,-110.25,2012,05,04,              7.91
38.25,-109.75,2012,05,04,              8.02
38.25,-109.25,2012,05,04,              8.02
38.25,-108.75,2012,05,04,              7.96
38.25,-108.25,2012,05,04,              7.96
38.75,-112.25,2012,05,04,              7.96
38.75,-111.75,2012,05,04,              8.11
38.75,-111.25,2012,05,04,              8.11
38.75,-110.75,2012,05,04,              7.91
38.75,-110.25,2012,05,04,              7.91
38.75,-109.75,2012,05,04,              8.02
38.75,-109.25,2012,05,04,              8.02
38.75,-108.75,2012,05,04,              7.96
38.75,-108.25,2012,05,04,              7.96
39.25,-112.25,2012,05,04,              7.66
39.25,-111.75,2012,05,04,              7.81
39.25,-111.25,2012,05,04,              7.81
39.25,-110.75,2012,05,04,              7.84
39.25,-110.25,2012,05,04,              7.84
39.25,-109.75,2012,05,04,              7.91
39.25,-109.25,2012,05,04,              7.91
39.25,-108.75,2012,05,04,              7.91
39.25,-108.25,2012,05,04,              7.91
39.75,-112.25,2012,05,04,              7.66
39.75,-111.75,2012,05,04,              7.81
39.75,-111.25,2012,05,04,              7.81
39.75,-110.75,2012,05,04,              7.84
