-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-112.25,2012,05,01,              5.80
34.25,-111.75,2012,05,01,              6.22
34.25,-111.25,2012,05,01,              6.22
34.25,-110.75,2012,05,01,              7.11
34.25,-110.25,2012,05,01,              7.11
34.25,-109.75,2012,05,01,              7.74
34.25,-109.25,2012,05,01,              7.74
34.25,-108.75,2012,05,01,              7.92
34.25,-108.25,2012,05,01,              7.92
34.75,-112.25,2012,05,01,              5.80
34.75,-111.75,2012,05,01,              6.22
34.75,-111.25,2012,05,01,              6.22
34.75,-110.75,2012,05,01,              7.11
34.75,-110.25,2012,05,01,              7.11
34.75,-109.75,2012,05,01,              7.74
34.75,-109.25,2012,05,01,              7.74
34.75,-108.75,2012,05,01,              7.92
34.75,-108.25,2012,05,01,              7.92
35.25,-112.25,2012,05,01,              6.24
35.25,-111.75,2012,05,01,              5.36
35.25,-111.25,2012,05,01,              5.36
35.25,-110.75,2012,05,01,              5.87
35.25,-110.25,2012,05,01,              5.87
35.25,-109.75,2012,05,01,              6.78
35.25,-109.25,2012,05,01,              6.78
35.25,-108.75,2012,05,01,              7.16
35.25,-108.25,2012,05,01,              7.16
35.75,-112.25,2012,05,01,              6.24
35.75,-111.75,2012,05,01,              5.36
35.75,-111.25,2012,05,01,              5.36
35.75,-110.75,2012,05,01,              5.87
35.75,-110.25,2012,05,01,              5.87
35.75,-109.75,2012,05,01,              6.78
35.75,-109.25,2012,05,01,              6.78
35.75,-108.75,2012,05,01,              7.16
35.75,-108.25,2012,05,01,              7.16
36.25,-112.25,2012,05,01,              7.52
36.25,-111.75,2012,05,01,              7.19
36.25,-111.25,2012,05,01,              7.19
36.25,-110.75,2012,05,01,              6.07
36.25,-110.25,2012,05,01,              6.07
36.25,-109.75,2012,05,01,              5.90
36.25,-109.25,2012,05,01,              5.90
36.25,-108.75,2012,05,01,              5.61
36.25,-108.25,2012,05,01,              5.61
36.75,-112.25,2012,05,01,              7.52
36.75,-111.75,2012,05,01,              7.19
36.75,-111.25,2012,05,01,              7.19
36.75,-110.75,2012,05,01,              6.07
36.75,-110.25,2012,05,01,              6.07
36.75,-109.75,2012,05,01,              5.90
36.75,-109.25,2012,05,01,              5.90
36.75,-108.75,2012,05,01,              5.61
36.75,-108.25,2012,05,01,              5.61
37.25,-112.25,2012,05,01,              7.59
37.25,-111.75,2012,05,01,              7.36
37.25,-111.25,2012,05,01,              7.36
37.25,-110.75,2012,05,01,              7.20
37.25,-110.25,2012,05,01,              7.20
37.25,-109.75,2012,05,01,              6.95
37.25,-109.25,2012,05,01,              6.95
37.25,-108.75,2012,05,01,              5.89
37.25,-108.25,2012,05,01,              5.89
37.75,-112.25,2012,05,01,              7.59
37.75,-111.75,2012,05,01,              7.36
37.75,-111.25,2012,05,01,              7.36
37.75,-110.75,2012,05,01,              7.20
37.75,-110.25,2012,05,01,              7.20
37.75,-109.75,2012,05,01,              6.95
37.75,-109.25,2012,05,01,              6.95
37.75,-108.75,2012,05,01,              5.89
37.75,-108.25,2012,05,01,              5.89
38.25,-112.25,2012,05,01,              6.91
38.25,-111.75,2012,05,01,              6.43
38.25,-111.25,2012,05,01,              6.43
38.25,-110.75,2012,05,01,              5.86
38.25,-110.25,2012,05,01,              5.86
38.25,-109.75,2012,05,01,              6.17
38.25,-109.25,2012,05,01,              6.17
38.25,-108.75,2012,05,01,              4.95
38.25,-108.25,2012,05,01,              4.95
34.25,-112.25,2012,05,02,              6.07
