-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-76.25,2012,05,01,              2.39
46.25,-75.75,2012,05,01,              1.91
46.25,-75.25,2012,05,01,              1.91
46.25,-74.75,2012,05,01,              1.91
46.25,-74.25,2012,05,01,              1.91
46.25,-73.75,2012,05,01,              1.69
46.25,-73.25,2012,05,01,              1.69
46.25,-72.75,2012,05,01,              1.69
46.25,-72.25,2012,05,01,              1.69
46.75,-76.25,2012,05,01,              2.39
46.75,-75.75,2012,05,01,              1.91
46.75,-75.25,2012,05,01,              1.91
46.75,-74.75,2012,05,01,              1.91
46.75,-74.25,2012,05,01,              1.91
46.75,-73.75,2012,05,01,              1.69
46.75,-73.25,2012,05,01,              1.69
46.75,-72.75,2012,05,01,              1.69
46.75,-72.25,2012,05,01,              1.69
47.25,-76.25,2012,05,01,              2.64
47.25,-75.75,2012,05,01,              2.27
47.25,-75.25,2012,05,01,              2.27
47.25,-74.75,2012,05,01,              2.27
47.25,-74.25,2012,05,01,              2.27
47.25,-73.75,2012,05,01,              2.24
47.25,-73.25,2012,05,01,              2.24
47.25,-72.75,2012,05,01,              2.24
47.25,-72.25,2012,05,01,              2.24
47.75,-76.25,2012,05,01,              2.64
47.75,-75.75,2012,05,01,              2.27
47.75,-75.25,2012,05,01,              2.27
47.75,-74.75,2012,05,01,              2.27
