-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-84.25,2012,05,01,              7.15
30.25,-83.75,2012,05,01,              7.06
30.25,-83.25,2012,05,01,              7.06
30.25,-82.75,2012,05,01,              6.84
30.25,-82.25,2012,05,01,              6.84
30.25,-81.75,2012,05,01,              7.09
30.25,-81.25,2012,05,01,              7.09
30.25,-80.75,2012,05,01,              7.71
30.25,-80.25,2012,05,01,              7.71
30.75,-84.25,2012,05,01,              7.15
30.75,-83.75,2012,05,01,              7.06
30.75,-83.25,2012,05,01,              7.06
30.75,-82.75,2012,05,01,              6.84
30.75,-82.25,2012,05,01,              6.84
30.75,-81.75,2012,05,01,              7.09
30.75,-81.25,2012,05,01,              7.09
30.75,-80.75,2012,05,01,              7.71
30.75,-80.25,2012,05,01,              7.71
31.25,-84.25,2012,05,01,              7.26
31.25,-83.75,2012,05,01,              7.20
31.25,-83.25,2012,05,01,              7.20
31.25,-82.75,2012,05,01,              6.89
31.25,-82.25,2012,05,01,              6.89
31.25,-81.75,2012,05,01,              7.14
31.25,-81.25,2012,05,01,              7.14
31.25,-80.75,2012,05,01,              7.72
31.25,-80.25,2012,05,01,              7.72
31.75,-84.25,2012,05,01,              7.26
31.75,-83.75,2012,05,01,              7.20
31.75,-83.25,2012,05,01,              7.20
31.75,-82.75,2012,05,01,              6.89
31.75,-82.25,2012,05,01,              6.89
31.75,-81.75,2012,05,01,              7.14
31.75,-81.25,2012,05,01,              7.14
31.75,-80.75,2012,05,01,              7.72
31.75,-80.25,2012,05,01,              7.72
32.25,-84.25,2012,05,01,              6.91
32.25,-83.75,2012,05,01,              7.15
32.25,-83.25,2012,05,01,              7.15
32.25,-82.75,2012,05,01,              7.20
32.25,-82.25,2012,05,01,              7.20
32.25,-81.75,2012,05,01,              7.13
32.25,-81.25,2012,05,01,              7.13
32.25,-80.75,2012,05,01,              7.50
32.25,-80.25,2012,05,01,              7.50
32.75,-84.25,2012,05,01,              6.91
32.75,-83.75,2012,05,01,              7.15
32.75,-83.25,2012,05,01,              7.15
32.75,-82.75,2012,05,01,              7.20
32.75,-82.25,2012,05,01,              7.20
32.75,-81.75,2012,05,01,              7.13
32.75,-81.25,2012,05,01,              7.13
32.75,-80.75,2012,05,01,              7.50
32.75,-80.25,2012,05,01,              7.50
33.25,-84.25,2012,05,01,              6.68
33.25,-83.75,2012,05,01,              6.83
33.25,-83.25,2012,05,01,              6.83
33.25,-82.75,2012,05,01,              7.27
33.25,-82.25,2012,05,01,              7.27
33.25,-81.75,2012,05,01,              7.30
33.25,-81.25,2012,05,01,              7.30
33.25,-80.75,2012,05,01,              7.23
33.25,-80.25,2012,05,01,              7.23
33.75,-84.25,2012,05,01,              6.68
33.75,-83.75,2012,05,01,              6.83
33.75,-83.25,2012,05,01,              6.83
33.75,-82.75,2012,05,01,              7.27
33.75,-82.25,2012,05,01,              7.27
33.75,-81.75,2012,05,01,              7.30
33.75,-81.25,2012,05,01,              7.30
33.75,-80.75,2012,05,01,              7.23
33.75,-80.25,2012,05,01,              7.23
34.25,-84.25,2012,05,01,              6.61
34.25,-83.75,2012,05,01,              6.51
34.25,-83.25,2012,05,01,              6.51
34.25,-82.75,2012,05,01,              7.01
34.25,-82.25,2012,05,01,              7.01
34.25,-81.75,2012,05,01,              7.16
34.25,-81.25,2012,05,01,              7.16
34.25,-80.75,2012,05,01,              7.20
34.25,-80.25,2012,05,01,              7.20
30.25,-84.25,2012,05,02,              6.54
30.25,-83.75,2012,05,02,              6.66
30.25,-83.25,2012,05,02,              6.66
30.25,-82.75,2012,05,02,              6.85
30.25,-82.25,2012,05,02,              6.85
30.25,-81.75,2012,05,02,              7.36
30.25,-81.25,2012,05,02,              7.36
30.25,-80.75,2012,05,02,              7.79
30.25,-80.25,2012,05,02,              7.79
30.75,-84.25,2012,05,02,              6.54
30.75,-83.75,2012,05,02,              6.66
30.75,-83.25,2012,05,02,              6.66
30.75,-82.75,2012,05,02,              6.85
30.75,-82.25,2012,05,02,              6.85
30.75,-81.75,2012,05,02,              7.36
30.75,-81.25,2012,05,02,              7.36
30.75,-80.75,2012,05,02,              7.79
30.75,-80.25,2012,05,02,              7.79
31.25,-84.25,2012,05,02,              7.07
31.25,-83.75,2012,05,02,              7.26
31.25,-83.25,2012,05,02,              7.26
31.25,-82.75,2012,05,02,              7.03
31.25,-82.25,2012,05,02,              7.03
31.25,-81.75,2012,05,02,              7.12
31.25,-81.25,2012,05,02,              7.12
31.25,-80.75,2012,05,02,              7.77
31.25,-80.25,2012,05,02,              7.77
31.75,-84.25,2012,05,02,              7.07
31.75,-83.75,2012,05,02,              7.26
31.75,-83.25,2012,05,02,              7.26
31.75,-82.75,2012,05,02,              7.03
31.75,-82.25,2012,05,02,              7.03
31.75,-81.75,2012,05,02,              7.12
31.75,-81.25,2012,05,02,              7.12
31.75,-80.75,2012,05,02,              7.77
31.75,-80.25,2012,05,02,              7.77
32.25,-84.25,2012,05,02,              6.88
32.25,-83.75,2012,05,02,              7.34
32.25,-83.25,2012,05,02,              7.34
32.25,-82.75,2012,05,02,              7.18
32.25,-82.25,2012,05,02,              7.18
32.25,-81.75,2012,05,02,              7.27
32.25,-81.25,2012,05,02,              7.27
32.25,-80.75,2012,05,02,              7.53
32.25,-80.25,2012,05,02,              7.53
32.75,-84.25,2012,05,02,              6.88
32.75,-83.75,2012,05,02,              7.34
32.75,-83.25,2012,05,02,              7.34
32.75,-82.75,2012,05,02,              7.18
32.75,-82.25,2012,05,02,              7.18
