-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-108.25,2012,05,01,              7.77
26.25,-107.75,2012,05,01,              7.94
26.25,-107.25,2012,05,01,              7.94
26.25,-106.75,2012,05,01,              8.11
26.25,-106.25,2012,05,01,              8.11
26.25,-105.75,2012,05,01,              8.01
26.25,-105.25,2012,05,01,              8.01
26.25,-104.75,2012,05,01,              7.65
26.25,-104.25,2012,05,01,              7.65
26.75,-108.25,2012,05,01,              7.77
26.75,-107.75,2012,05,01,              7.94
26.75,-107.25,2012,05,01,              7.94
26.75,-106.75,2012,05,01,              8.11
26.75,-106.25,2012,05,01,              8.11
26.75,-105.75,2012,05,01,              8.01
26.75,-105.25,2012,05,01,              8.01
26.75,-104.75,2012,05,01,              7.65
26.75,-104.25,2012,05,01,              7.65
27.25,-108.25,2012,05,01,              7.88
27.25,-107.75,2012,05,01,              8.09
27.25,-107.25,2012,05,01,              8.09
27.25,-106.75,2012,05,01,              8.21
27.25,-106.25,2012,05,01,              8.21
27.25,-105.75,2012,05,01,              7.97
27.25,-105.25,2012,05,01,              7.97
27.25,-104.75,2012,05,01,              7.74
27.25,-104.25,2012,05,01,              7.74
27.75,-108.25,2012,05,01,              7.88
27.75,-107.75,2012,05,01,              8.09
27.75,-107.25,2012,05,01,              8.09
27.75,-106.75,2012,05,01,              8.21
27.75,-106.25,2012,05,01,              8.21
27.75,-105.75,2012,05,01,              7.97
27.75,-105.25,2012,05,01,              7.97
27.75,-104.75,2012,05,01,              7.74
27.75,-104.25,2012,05,01,              7.74
28.25,-108.25,2012,05,01,              7.97
28.25,-107.75,2012,05,01,              8.20
28.25,-107.25,2012,05,01,              8.20
28.25,-106.75,2012,05,01,              8.24
28.25,-106.25,2012,05,01,              8.24
28.25,-105.75,2012,05,01,              7.93
28.25,-105.25,2012,05,01,              7.93
28.25,-104.75,2012,05,01,              7.85
28.25,-104.25,2012,05,01,              7.85
28.75,-108.25,2012,05,01,              7.97
28.75,-107.75,2012,05,01,              8.20
28.75,-107.25,2012,05,01,              8.20
28.75,-106.75,2012,05,01,              8.24
28.75,-106.25,2012,05,01,              8.24
28.75,-105.75,2012,05,01,              7.93
28.75,-105.25,2012,05,01,              7.93
28.75,-104.75,2012,05,01,              7.85
28.75,-104.25,2012,05,01,              7.85
29.25,-108.25,2012,05,01,              7.98
29.25,-107.75,2012,05,01,              8.16
29.25,-107.25,2012,05,01,              8.16
29.25,-106.75,2012,05,01,              8.18
29.25,-106.25,2012,05,01,              8.18
29.25,-105.75,2012,05,01,              7.92
29.25,-105.25,2012,05,01,              7.92
29.25,-104.75,2012,05,01,              7.78
29.25,-104.25,2012,05,01,              7.78
29.75,-108.25,2012,05,01,              7.98
29.75,-107.75,2012,05,01,              8.16
29.75,-107.25,2012,05,01,              8.16
29.75,-106.75,2012,05,01,              8.18
29.75,-106.25,2012,05,01,              8.18
29.75,-105.75,2012,05,01,              7.92
29.75,-105.25,2012,05,01,              7.92
29.75,-104.75,2012,05,01,              7.78
29.75,-104.25,2012,05,01,              7.78
30.25,-108.25,2012,05,01,              8.11
30.25,-107.75,2012,05,01,              8.10
30.25,-107.25,2012,05,01,              8.10
30.25,-106.75,2012,05,01,              7.90
30.25,-106.25,2012,05,01,              7.90
30.25,-105.75,2012,05,01,              7.91
30.25,-105.25,2012,05,01,              7.91
30.25,-104.75,2012,05,01,              7.86
30.25,-104.25,2012,05,01,              7.86
26.25,-108.25,2012,05,02,              6.09
26.25,-107.75,2012,05,02,              5.52
26.25,-107.25,2012,05,02,              5.52
26.25,-106.75,2012,05,02,              4.97
26.25,-106.25,2012,05,02,              4.97
26.25,-105.75,2012,05,02,              7.03
