-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-96.25,2012,05,01,              6.78
34.25,-95.75,2012,05,01,              6.66
34.25,-95.25,2012,05,01,              6.66
34.25,-94.75,2012,05,01,              6.42
34.25,-94.25,2012,05,01,              6.42
34.25,-93.75,2012,05,01,              6.63
34.25,-93.25,2012,05,01,              6.63
34.25,-92.75,2012,05,01,              7.05
34.25,-92.25,2012,05,01,              7.05
34.75,-96.25,2012,05,01,              6.78
34.75,-95.75,2012,05,01,              6.66
34.75,-95.25,2012,05,01,              6.66
34.75,-94.75,2012,05,01,              6.42
34.75,-94.25,2012,05,01,              6.42
34.75,-93.75,2012,05,01,              6.63
34.75,-93.25,2012,05,01,              6.63
34.75,-92.75,2012,05,01,              7.05
34.75,-92.25,2012,05,01,              7.05
35.25,-96.25,2012,05,01,              6.76
35.25,-95.75,2012,05,01,              6.58
35.25,-95.25,2012,05,01,              6.58
35.25,-94.75,2012,05,01,              6.97
35.25,-94.25,2012,05,01,              6.97
35.25,-93.75,2012,05,01,              6.96
35.25,-93.25,2012,05,01,              6.96
35.25,-92.75,2012,05,01,              7.08
35.25,-92.25,2012,05,01,              7.08
35.75,-96.25,2012,05,01,              6.76
35.75,-95.75,2012,05,01,              6.58
35.75,-95.25,2012,05,01,              6.58
35.75,-94.75,2012,05,01,              6.97
35.75,-94.25,2012,05,01,              6.97
35.75,-93.75,2012,05,01,              6.96
35.75,-93.25,2012,05,01,              6.96
35.75,-92.75,2012,05,01,              7.08
35.75,-92.25,2012,05,01,              7.08
36.25,-96.25,2012,05,01,              6.65
36.25,-95.75,2012,05,01,              6.24
36.25,-95.25,2012,05,01,              6.24
36.25,-94.75,2012,05,01,              6.77
36.25,-94.25,2012,05,01,              6.77
36.25,-93.75,2012,05,01,              7.22
36.25,-93.25,2012,05,01,              7.22
36.25,-92.75,2012,05,01,              7.18
36.25,-92.25,2012,05,01,              7.18
36.75,-96.25,2012,05,01,              6.65
36.75,-95.75,2012,05,01,              6.24
36.75,-95.25,2012,05,01,              6.24
36.75,-94.75,2012,05,01,              6.77
36.75,-94.25,2012,05,01,              6.77
36.75,-93.75,2012,05,01,              7.22
36.75,-93.25,2012,05,01,              7.22
36.75,-92.75,2012,05,01,              7.18
36.75,-92.25,2012,05,01,              7.18
37.25,-96.25,2012,05,01,              6.14
37.25,-95.75,2012,05,01,              5.94
37.25,-95.25,2012,05,01,              5.94
37.25,-94.75,2012,05,01,              6.28
37.25,-94.25,2012,05,01,              6.28
37.25,-93.75,2012,05,01,              6.89
37.25,-93.25,2012,05,01,              6.89
37.25,-92.75,2012,05,01,              6.74
37.25,-92.25,2012,05,01,              6.74
37.75,-96.25,2012,05,01,              6.14
37.75,-95.75,2012,05,01,              5.94
37.75,-95.25,2012,05,01,              5.94
37.75,-94.75,2012,05,01,              6.28
37.75,-94.25,2012,05,01,              6.28
37.75,-93.75,2012,05,01,              6.89
37.75,-93.25,2012,05,01,              6.89
37.75,-92.75,2012,05,01,              6.74
37.75,-92.25,2012,05,01,              6.74
38.25,-96.25,2012,05,01,              5.81
38.25,-95.75,2012,05,01,              5.19
38.25,-95.25,2012,05,01,              5.19
38.25,-94.75,2012,05,01,              5.76
38.25,-94.25,2012,05,01,              5.76
38.25,-93.75,2012,05,01,              7.08
38.25,-93.25,2012,05,01,              7.08
38.25,-92.75,2012,05,01,              6.94
38.25,-92.25,2012,05,01,              6.94
34.25,-96.25,2012,05,02,              5.98
34.25,-95.75,2012,05,02,              5.84
34.25,-95.25,2012,05,02,              5.84
34.25,-94.75,2012,05,02,              5.95
34.25,-94.25,2012,05,02,              5.95
34.25,-93.75,2012,05,02,              5.56
34.25,-93.25,2012,05,02,              5.56
34.25,-92.75,2012,05,02,              6.11
