-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-116.25,2012,05,01,              7.48
38.25,-115.75,2012,05,01,              6.98
38.25,-115.25,2012,05,01,              6.98
38.25,-114.75,2012,05,01,              6.54
38.25,-114.25,2012,05,01,              6.54
38.25,-113.75,2012,05,01,              6.36
38.25,-113.25,2012,05,01,              6.36
38.25,-112.75,2012,05,01,              6.91
38.25,-112.25,2012,05,01,              6.91
38.75,-116.25,2012,05,01,              7.48
38.75,-115.75,2012,05,01,              6.98
38.75,-115.25,2012,05,01,              6.98
38.75,-114.75,2012,05,01,              6.54
38.75,-114.25,2012,05,01,              6.54
38.75,-113.75,2012,05,01,              6.36
38.75,-113.25,2012,05,01,              6.36
38.75,-112.75,2012,05,01,              6.91
38.75,-112.25,2012,05,01,              6.91
39.25,-116.25,2012,05,01,              7.33
39.25,-115.75,2012,05,01,              6.99
39.25,-115.25,2012,05,01,              6.99
39.25,-114.75,2012,05,01,              6.71
39.25,-114.25,2012,05,01,              6.71
39.25,-113.75,2012,05,01,              6.44
39.25,-113.25,2012,05,01,              6.44
39.25,-112.75,2012,05,01,              6.53
39.25,-112.25,2012,05,01,              6.53
39.75,-116.25,2012,05,01,              7.33
39.75,-115.75,2012,05,01,              6.99
39.75,-115.25,2012,05,01,              6.99
39.75,-114.75,2012,05,01,              6.71
39.75,-114.25,2012,05,01,              6.71
