-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-84.25,2012,05,01,              7.22
46.25,-83.75,2012,05,01,              6.88
46.25,-83.25,2012,05,01,              6.88
46.25,-82.75,2012,05,01,              6.88
46.25,-82.25,2012,05,01,              6.88
46.25,-81.75,2012,05,01,              6.69
46.25,-81.25,2012,05,01,              6.69
46.25,-80.75,2012,05,01,              6.69
46.25,-80.25,2012,05,01,              6.69
46.75,-84.25,2012,05,01,              7.22
46.75,-83.75,2012,05,01,              6.88
46.75,-83.25,2012,05,01,              6.88
46.75,-82.75,2012,05,01,              6.88
46.75,-82.25,2012,05,01,              6.88
46.75,-81.75,2012,05,01,              6.69
46.75,-81.25,2012,05,01,              6.69
46.75,-80.75,2012,05,01,              6.69
46.75,-80.25,2012,05,01,              6.69
47.25,-84.25,2012,05,01,              6.50
47.25,-83.75,2012,05,01,              6.28
47.25,-83.25,2012,05,01,              6.28
47.25,-82.75,2012,05,01,              6.28
47.25,-82.25,2012,05,01,              6.28
47.25,-81.75,2012,05,01,              6.53
47.25,-81.25,2012,05,01,              6.53
47.25,-80.75,2012,05,01,              6.53
47.25,-80.25,2012,05,01,              6.53
47.75,-84.25,2012,05,01,              6.50
47.75,-83.75,2012,05,01,              6.28
47.75,-83.25,2012,05,01,              6.28
47.75,-82.75,2012,05,01,              6.28
47.75,-82.25,2012,05,01,              6.28
47.75,-81.75,2012,05,01,              6.53
47.75,-81.25,2012,05,01,              6.53
47.75,-80.75,2012,05,01,              6.53
47.75,-80.25,2012,05,01,              6.53
48.25,-84.25,2012,05,01,              5.84
48.25,-83.75,2012,05,01,              6.52
48.25,-83.25,2012,05,01,              6.52
48.25,-82.75,2012,05,01,              6.52
48.25,-82.25,2012,05,01,              6.52
48.25,-81.75,2012,05,01,              6.58
48.25,-81.25,2012,05,01,              6.58
48.25,-80.75,2012,05,01,              6.58
48.25,-80.25,2012,05,01,              6.58
48.75,-84.25,2012,05,01,              5.84
48.75,-83.75,2012,05,01,              6.52
48.75,-83.25,2012,05,01,              6.52
48.75,-82.75,2012,05,01,              6.52
48.75,-82.25,2012,05,01,              6.52
48.75,-81.75,2012,05,01,              6.58
48.75,-81.25,2012,05,01,              6.58
48.75,-80.75,2012,05,01,              6.58
48.75,-80.25,2012,05,01,              6.58
49.25,-84.25,2012,05,01,              6.11
49.25,-83.75,2012,05,01,              6.28
49.25,-83.25,2012,05,01,              6.28
49.25,-82.75,2012,05,01,              6.28
49.25,-82.25,2012,05,01,              6.28
49.25,-81.75,2012,05,01,              6.42
49.25,-81.25,2012,05,01,              6.42
49.25,-80.75,2012,05,01,              6.42
49.25,-80.25,2012,05,01,              6.42
49.75,-84.25,2012,05,01,              6.11
49.75,-83.75,2012,05,01,              6.28
49.75,-83.25,2012,05,01,              6.28
49.75,-82.75,2012,05,01,              6.28
49.75,-82.25,2012,05,01,              6.28
49.75,-81.75,2012,05,01,              6.42
49.75,-81.25,2012,05,01,              6.42
49.75,-80.75,2012,05,01,              6.42
49.75,-80.25,2012,05,01,              6.42
50.25,-84.25,2012,05,01,              5.55
50.25,-83.75,2012,05,01,              5.78
50.25,-83.25,2012,05,01,              5.78
50.25,-82.75,2012,05,01,              5.78
50.25,-82.25,2012,05,01,              5.78
