-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-112.25,2012,05,01,              7.63
30.25,-111.75,2012,05,01,              7.93
30.25,-111.25,2012,05,01,              7.93
30.25,-110.75,2012,05,01,              7.97
30.25,-110.25,2012,05,01,              7.97
30.25,-109.75,2012,05,01,              8.02
30.25,-109.25,2012,05,01,              8.02
30.25,-108.75,2012,05,01,              8.11
30.25,-108.25,2012,05,01,              8.11
30.75,-112.25,2012,05,01,              7.63
30.75,-111.75,2012,05,01,              7.93
30.75,-111.25,2012,05,01,              7.93
30.75,-110.75,2012,05,01,              7.97
30.75,-110.25,2012,05,01,              7.97
30.75,-109.75,2012,05,01,              8.02
30.75,-109.25,2012,05,01,              8.02
30.75,-108.75,2012,05,01,              8.11
30.75,-108.25,2012,05,01,              8.11
31.25,-112.25,2012,05,01,              7.78
31.25,-111.75,2012,05,01,              7.97
31.25,-111.25,2012,05,01,              7.97
31.25,-110.75,2012,05,01,              8.06
31.25,-110.25,2012,05,01,              8.06
31.25,-109.75,2012,05,01,              8.12
31.25,-109.25,2012,05,01,              8.12
31.25,-108.75,2012,05,01,              8.08
31.25,-108.25,2012,05,01,              8.08
31.75,-112.25,2012,05,01,              7.78
31.75,-111.75,2012,05,01,              7.97
31.75,-111.25,2012,05,01,              7.97
31.75,-110.75,2012,05,01,              8.06
31.75,-110.25,2012,05,01,              8.06
31.75,-109.75,2012,05,01,              8.12
31.75,-109.25,2012,05,01,              8.12
31.75,-108.75,2012,05,01,              8.08
31.75,-108.25,2012,05,01,              8.08
32.25,-112.25,2012,05,01,              7.76
32.25,-111.75,2012,05,01,              7.83
32.25,-111.25,2012,05,01,              7.83
32.25,-110.75,2012,05,01,              8.01
32.25,-110.25,2012,05,01,              8.01
32.25,-109.75,2012,05,01,              7.98
32.25,-109.25,2012,05,01,              7.98
32.25,-108.75,2012,05,01,              7.98
32.25,-108.25,2012,05,01,              7.98
32.75,-112.25,2012,05,01,              7.76
32.75,-111.75,2012,05,01,              7.83
32.75,-111.25,2012,05,01,              7.83
32.75,-110.75,2012,05,01,              8.01
32.75,-110.25,2012,05,01,              8.01
32.75,-109.75,2012,05,01,              7.98
32.75,-109.25,2012,05,01,              7.98
32.75,-108.75,2012,05,01,              7.98
32.75,-108.25,2012,05,01,              7.98
33.25,-112.25,2012,05,01,              7.27
33.25,-111.75,2012,05,01,              7.80
33.25,-111.25,2012,05,01,              7.80
33.25,-110.75,2012,05,01,              7.85
33.25,-110.25,2012,05,01,              7.85
33.25,-109.75,2012,05,01,              7.94
33.25,-109.25,2012,05,01,              7.94
33.25,-108.75,2012,05,01,              7.95
33.25,-108.25,2012,05,01,              7.95
33.75,-112.25,2012,05,01,              7.27
33.75,-111.75,2012,05,01,              7.80
33.75,-111.25,2012,05,01,              7.80
33.75,-110.75,2012,05,01,              7.85
33.75,-110.25,2012,05,01,              7.85
33.75,-109.75,2012,05,01,              7.94
33.75,-109.25,2012,05,01,              7.94
33.75,-108.75,2012,05,01,              7.95
33.75,-108.25,2012,05,01,              7.95
34.25,-112.25,2012,05,01,              5.80
34.25,-111.75,2012,05,01,              6.22
34.25,-111.25,2012,05,01,              6.22
34.25,-110.75,2012,05,01,              7.11
34.25,-110.25,2012,05,01,              7.11
34.25,-109.75,2012,05,01,              7.74
34.25,-109.25,2012,05,01,              7.74
34.25,-108.75,2012,05,01,              7.92
34.25,-108.25,2012,05,01,              7.92
30.25,-112.25,2012,05,02,              7.59
30.25,-111.75,2012,05,02,              7.98
30.25,-111.25,2012,05,02,              7.98
30.25,-110.75,2012,05,02,              7.97
30.25,-110.25,2012,05,02,              7.97
30.25,-109.75,2012,05,02,              8.01
30.25,-109.25,2012,05,02,              8.01
30.25,-108.75,2012,05,02,              8.09
30.25,-108.25,2012,05,02,              8.09
30.75,-112.25,2012,05,02,              7.59
30.75,-111.75,2012,05,02,              7.98
30.75,-111.25,2012,05,02,              7.98
30.75,-110.75,2012,05,02,              7.97
30.75,-110.25,2012,05,02,              7.97
30.75,-109.75,2012,05,02,              8.01
30.75,-109.25,2012,05,02,              8.01
30.75,-108.75,2012,05,02,              8.09
30.75,-108.25,2012,05,02,              8.09
31.25,-112.25,2012,05,02,              7.64
31.25,-111.75,2012,05,02,              8.00
31.25,-111.25,2012,05,02,              8.00
31.25,-110.75,2012,05,02,              8.11
31.25,-110.25,2012,05,02,              8.11
31.25,-109.75,2012,05,02,              8.10
31.25,-109.25,2012,05,02,              8.10
31.25,-108.75,2012,05,02,              8.08
31.25,-108.25,2012,05,02,              8.08
31.75,-112.25,2012,05,02,              7.64
31.75,-111.75,2012,05,02,              8.00
31.75,-111.25,2012,05,02,              8.00
31.75,-110.75,2012,05,02,              8.11
31.75,-110.25,2012,05,02,              8.11
31.75,-109.75,2012,05,02,              8.10
31.75,-109.25,2012,05,02,              8.10
31.75,-108.75,2012,05,02,              8.08
31.75,-108.25,2012,05,02,              8.08
32.25,-112.25,2012,05,02,              7.79
32.25,-111.75,2012,05,02,              7.89
32.25,-111.25,2012,05,02,              7.89
32.25,-110.75,2012,05,02,              8.06
32.25,-110.25,2012,05,02,              8.06
32.25,-109.75,2012,05,02,              8.02
32.25,-109.25,2012,05,02,              8.02
32.25,-108.75,2012,05,02,              8.06
32.25,-108.25,2012,05,02,              8.06
32.75,-112.25,2012,05,02,              7.79
32.75,-111.75,2012,05,02,              7.89
32.75,-111.25,2012,05,02,              7.89
32.75,-110.75,2012,05,02,              8.06
32.75,-110.25,2012,05,02,              8.06
32.75,-109.75,2012,05,02,              8.02
32.75,-109.25,2012,05,02,              8.02
32.75,-108.75,2012,05,02,              8.06
32.75,-108.25,2012,05,02,              8.06
33.25,-112.25,2012,05,02,              7.44
33.25,-111.75,2012,05,02,              7.76
33.25,-111.25,2012,05,02,              7.76
33.25,-110.75,2012,05,02,              7.88
33.25,-110.25,2012,05,02,              7.88
33.25,-109.75,2012,05,02,              8.03
33.25,-109.25,2012,05,02,              8.03
33.25,-108.75,2012,05,02,              8.07
33.25,-108.25,2012,05,02,              8.07
33.75,-112.25,2012,05,02,              7.44
33.75,-111.75,2012,05,02,              7.76
33.75,-111.25,2012,05,02,              7.76
33.75,-110.75,2012,05,02,              7.88
33.75,-110.25,2012,05,02,              7.88
33.75,-109.75,2012,05,02,              8.03
33.75,-109.25,2012,05,02,              8.03
33.75,-108.75,2012,05,02,              8.07
33.75,-108.25,2012,05,02,              8.07
34.25,-112.25,2012,05,02,              6.07
34.25,-111.75,2012,05,02,              6.98
34.25,-111.25,2012,05,02,              6.98
34.25,-110.75,2012,05,02,              7.86
34.25,-110.25,2012,05,02,              7.86
34.25,-109.75,2012,05,02,              7.92
