-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-112.25,2012,05,01,              5.82
46.25,-111.75,2012,05,01,              6.01
46.25,-111.25,2012,05,01,              6.01
46.25,-110.75,2012,05,01,              6.01
46.25,-110.25,2012,05,01,              6.01
46.25,-109.75,2012,05,01,              6.06
46.25,-109.25,2012,05,01,              6.06
46.25,-108.75,2012,05,01,              6.06
46.25,-108.25,2012,05,01,              6.06
46.75,-112.25,2012,05,01,              5.82
46.75,-111.75,2012,05,01,              6.01
46.75,-111.25,2012,05,01,              6.01
46.75,-110.75,2012,05,01,              6.01
46.75,-110.25,2012,05,01,              6.01
46.75,-109.75,2012,05,01,              6.06
46.75,-109.25,2012,05,01,              6.06
46.75,-108.75,2012,05,01,              6.06
46.75,-108.25,2012,05,01,              6.06
47.25,-112.25,2012,05,01,              4.95
47.25,-111.75,2012,05,01,              6.24
47.25,-111.25,2012,05,01,              6.24
47.25,-110.75,2012,05,01,              6.24
47.25,-110.25,2012,05,01,              6.24
47.25,-109.75,2012,05,01,              5.76
47.25,-109.25,2012,05,01,              5.76
47.25,-108.75,2012,05,01,              5.76
47.25,-108.25,2012,05,01,              5.76
47.75,-112.25,2012,05,01,              4.95
47.75,-111.75,2012,05,01,              6.24
47.75,-111.25,2012,05,01,              6.24
47.75,-110.75,2012,05,01,              6.24
47.75,-110.25,2012,05,01,              6.24
47.75,-109.75,2012,05,01,              5.76
47.75,-109.25,2012,05,01,              5.76
47.75,-108.75,2012,05,01,              5.76
47.75,-108.25,2012,05,01,              5.76
48.25,-112.25,2012,05,01,              5.22
48.25,-111.75,2012,05,01,              5.58
48.25,-111.25,2012,05,01,              5.58
48.25,-110.75,2012,05,01,              5.58
48.25,-110.25,2012,05,01,              5.58
48.25,-109.75,2012,05,01,              5.56
48.25,-109.25,2012,05,01,              5.56
48.25,-108.75,2012,05,01,              5.56
48.25,-108.25,2012,05,01,              5.56
48.75,-112.25,2012,05,01,              5.22
48.75,-111.75,2012,05,01,              5.58
48.75,-111.25,2012,05,01,              5.58
48.75,-110.75,2012,05,01,              5.58
48.75,-110.25,2012,05,01,              5.58
48.75,-109.75,2012,05,01,              5.56
48.75,-109.25,2012,05,01,              5.56
48.75,-108.75,2012,05,01,              5.56
48.75,-108.25,2012,05,01,              5.56
49.25,-112.25,2012,05,01,              4.39
49.25,-111.75,2012,05,01,              5.07
49.25,-111.25,2012,05,01,              5.07
49.25,-110.75,2012,05,01,              5.07
49.25,-110.25,2012,05,01,              5.07
49.25,-109.75,2012,05,01,              5.76
49.25,-109.25,2012,05,01,              5.76
