-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-96.25,2012,05,01,              6.57
42.25,-95.75,2012,05,01,              6.59
42.25,-95.25,2012,05,01,              6.59
42.25,-94.75,2012,05,01,              6.49
42.25,-94.25,2012,05,01,              6.49
42.25,-93.75,2012,05,01,              6.12
42.25,-93.25,2012,05,01,              6.12
42.25,-92.75,2012,05,01,              4.62
42.25,-92.25,2012,05,01,              4.62
42.75,-96.25,2012,05,01,              6.57
42.75,-95.75,2012,05,01,              6.59
42.75,-95.25,2012,05,01,              6.59
42.75,-94.75,2012,05,01,              6.49
42.75,-94.25,2012,05,01,              6.49
42.75,-93.75,2012,05,01,              6.12
42.75,-93.25,2012,05,01,              6.12
42.75,-92.75,2012,05,01,              4.62
42.75,-92.25,2012,05,01,              4.62
43.25,-96.25,2012,05,01,              6.66
43.25,-95.75,2012,05,01,              6.93
43.25,-95.25,2012,05,01,              6.93
43.25,-94.75,2012,05,01,              6.08
43.25,-94.25,2012,05,01,              6.08
43.25,-93.75,2012,05,01,              5.40
43.25,-93.25,2012,05,01,              5.40
43.25,-92.75,2012,05,01,              4.81
43.25,-92.25,2012,05,01,              4.81
43.75,-96.25,2012,05,01,              6.66
43.75,-95.75,2012,05,01,              6.93
43.75,-95.25,2012,05,01,              6.93
43.75,-94.75,2012,05,01,              6.08
43.75,-94.25,2012,05,01,              6.08
43.75,-93.75,2012,05,01,              5.40
43.75,-93.25,2012,05,01,              5.40
43.75,-92.75,2012,05,01,              4.81
43.75,-92.25,2012,05,01,              4.81
44.25,-96.25,2012,05,01,              6.02
44.25,-95.75,2012,05,01,              5.91
44.25,-95.25,2012,05,01,              5.91
44.25,-94.75,2012,05,01,              5.46
44.25,-94.25,2012,05,01,              5.46
44.25,-93.75,2012,05,01,              4.95
44.25,-93.25,2012,05,01,              4.95
44.25,-92.75,2012,05,01,              5.13
44.25,-92.25,2012,05,01,              5.13
44.75,-96.25,2012,05,01,              6.02
44.75,-95.75,2012,05,01,              5.91
44.75,-95.25,2012,05,01,              5.91
44.75,-94.75,2012,05,01,              5.46
44.75,-94.25,2012,05,01,              5.46
44.75,-93.75,2012,05,01,              4.95
44.75,-93.25,2012,05,01,              4.95
44.75,-92.75,2012,05,01,              5.13
44.75,-92.25,2012,05,01,              5.13
45.25,-96.25,2012,05,01,              4.42
45.25,-95.75,2012,05,01,              3.87
45.25,-95.25,2012,05,01,              3.87
45.25,-94.75,2012,05,01,              3.87
45.25,-94.25,2012,05,01,              3.87
45.25,-93.75,2012,05,01,              3.49
45.25,-93.25,2012,05,01,              3.49
45.25,-92.75,2012,05,01,              3.49
45.25,-92.25,2012,05,01,              3.49
45.75,-96.25,2012,05,01,              4.42
45.75,-95.75,2012,05,01,              3.87
45.75,-95.25,2012,05,01,              3.87
45.75,-94.75,2012,05,01,              3.87
45.75,-94.25,2012,05,01,              3.87
45.75,-93.75,2012,05,01,              3.49
45.75,-93.25,2012,05,01,              3.49
45.75,-92.75,2012,05,01,              3.49
45.75,-92.25,2012,05,01,              3.49
46.25,-96.25,2012,05,01,              4.40
46.25,-95.75,2012,05,01,              2.31
46.25,-95.25,2012,05,01,              2.31
46.25,-94.75,2012,05,01,              2.31
46.25,-94.25,2012,05,01,              2.31
46.25,-93.75,2012,05,01,              2.75
46.25,-93.25,2012,05,01,              2.75
46.25,-92.75,2012,05,01,              2.75
46.25,-92.25,2012,05,01,              2.75
42.25,-96.25,2012,05,02,              5.39
42.25,-95.75,2012,05,02,              4.37
42.25,-95.25,2012,05,02,              4.37
42.25,-94.75,2012,05,02,              3.76
42.25,-94.25,2012,05,02,              3.76
42.25,-93.75,2012,05,02,              4.79
42.25,-93.25,2012,05,02,              4.79
42.25,-92.75,2012,05,02,              5.71
42.25,-92.25,2012,05,02,              5.71
42.75,-96.25,2012,05,02,              5.39
42.75,-95.75,2012,05,02,              4.37
42.75,-95.25,2012,05,02,              4.37
42.75,-94.75,2012,05,02,              3.76
42.75,-94.25,2012,05,02,              3.76
42.75,-93.75,2012,05,02,              4.79
42.75,-93.25,2012,05,02,              4.79
42.75,-92.75,2012,05,02,              5.71
42.75,-92.25,2012,05,02,              5.71
43.25,-96.25,2012,05,02,              6.65
43.25,-95.75,2012,05,02,              6.11
43.25,-95.25,2012,05,02,              6.11
43.25,-94.75,2012,05,02,              5.77
43.25,-94.25,2012,05,02,              5.77
43.25,-93.75,2012,05,02,              6.17
43.25,-93.25,2012,05,02,              6.17
43.25,-92.75,2012,05,02,              6.45
43.25,-92.25,2012,05,02,              6.45
43.75,-96.25,2012,05,02,              6.65
43.75,-95.75,2012,05,02,              6.11
43.75,-95.25,2012,05,02,              6.11
43.75,-94.75,2012,05,02,              5.77
43.75,-94.25,2012,05,02,              5.77
43.75,-93.75,2012,05,02,              6.17
43.75,-93.25,2012,05,02,              6.17
43.75,-92.75,2012,05,02,              6.45
43.75,-92.25,2012,05,02,              6.45
44.25,-96.25,2012,05,02,              5.83
44.25,-95.75,2012,05,02,              6.33
44.25,-95.25,2012,05,02,              6.33
44.25,-94.75,2012,05,02,              7.02
44.25,-94.25,2012,05,02,              7.02
44.25,-93.75,2012,05,02,              7.05
44.25,-93.25,2012,05,02,              7.05
44.25,-92.75,2012,05,02,              7.08
44.25,-92.25,2012,05,02,              7.08
44.75,-96.25,2012,05,02,              5.83
44.75,-95.75,2012,05,02,              6.33
44.75,-95.25,2012,05,02,              6.33
44.75,-94.75,2012,05,02,              7.02
44.75,-94.25,2012,05,02,              7.02
44.75,-93.75,2012,05,02,              7.05
44.75,-93.25,2012,05,02,              7.05
44.75,-92.75,2012,05,02,              7.08
44.75,-92.25,2012,05,02,              7.08
45.25,-96.25,2012,05,02,              5.18
45.25,-95.75,2012,05,02,              5.68
45.25,-95.25,2012,05,02,              5.68
45.25,-94.75,2012,05,02,              5.68
45.25,-94.25,2012,05,02,              5.68
45.25,-93.75,2012,05,02,              6.90
45.25,-93.25,2012,05,02,              6.90
45.25,-92.75,2012,05,02,              6.90
45.25,-92.25,2012,05,02,              6.90
45.75,-96.25,2012,05,02,              5.18
45.75,-95.75,2012,05,02,              5.68
45.75,-95.25,2012,05,02,              5.68
45.75,-94.75,2012,05,02,              5.68
45.75,-94.25,2012,05,02,              5.68
45.75,-93.75,2012,05,02,              6.90
45.75,-93.25,2012,05,02,              6.90
45.75,-92.75,2012,05,02,              6.90
45.75,-92.25,2012,05,02,              6.90
46.25,-96.25,2012,05,02,              5.49
46.25,-95.75,2012,05,02,              5.63
46.25,-95.25,2012,05,02,              5.63
46.25,-94.75,2012,05,02,              5.63
46.25,-94.25,2012,05,02,              5.63
46.25,-93.75,2012,05,02,              6.89
46.25,-93.25,2012,05,02,              6.89
46.25,-92.75,2012,05,02,              6.89
46.25,-92.25,2012,05,02,              6.89
42.25,-96.25,2012,05,03,              7.01
42.25,-95.75,2012,05,03,              7.02
42.25,-95.25,2012,05,03,              7.02
42.25,-94.75,2012,05,03,              7.01
42.25,-94.25,2012,05,03,              7.01
42.25,-93.75,2012,05,03,              7.08
42.25,-93.25,2012,05,03,              7.08
42.25,-92.75,2012,05,03,              6.06
42.25,-92.25,2012,05,03,              6.06
42.75,-96.25,2012,05,03,              7.01
42.75,-95.75,2012,05,03,              7.02
42.75,-95.25,2012,05,03,              7.02
42.75,-94.75,2012,05,03,              7.01
42.75,-94.25,2012,05,03,              7.01
42.75,-93.75,2012,05,03,              7.08
42.75,-93.25,2012,05,03,              7.08
42.75,-92.75,2012,05,03,              6.06
42.75,-92.25,2012,05,03,              6.06
43.25,-96.25,2012,05,03,              7.12
43.25,-95.75,2012,05,03,              6.61
43.25,-95.25,2012,05,03,              6.61
43.25,-94.75,2012,05,03,              5.70
43.25,-94.25,2012,05,03,              5.70
43.25,-93.75,2012,05,03,              5.76
43.25,-93.25,2012,05,03,              5.76
43.25,-92.75,2012,05,03,              6.74
43.25,-92.25,2012,05,03,              6.74
43.75,-96.25,2012,05,03,              7.12
43.75,-95.75,2012,05,03,              6.61
43.75,-95.25,2012,05,03,              6.61
43.75,-94.75,2012,05,03,              5.70
43.75,-94.25,2012,05,03,              5.70
43.75,-93.75,2012,05,03,              5.76
43.75,-93.25,2012,05,03,              5.76
43.75,-92.75,2012,05,03,              6.74
43.75,-92.25,2012,05,03,              6.74
44.25,-96.25,2012,05,03,              7.17
44.25,-95.75,2012,05,03,              6.42
44.25,-95.25,2012,05,03,              6.42
44.25,-94.75,2012,05,03,              6.71
44.25,-94.25,2012,05,03,              6.71
44.25,-93.75,2012,05,03,              7.01
44.25,-93.25,2012,05,03,              7.01
44.25,-92.75,2012,05,03,              6.86
44.25,-92.25,2012,05,03,              6.86
44.75,-96.25,2012,05,03,              7.17
44.75,-95.75,2012,05,03,              6.42
44.75,-95.25,2012,05,03,              6.42
44.75,-94.75,2012,05,03,              6.71
44.75,-94.25,2012,05,03,              6.71
44.75,-93.75,2012,05,03,              7.01
44.75,-93.25,2012,05,03,              7.01
44.75,-92.75,2012,05,03,              6.86
44.75,-92.25,2012,05,03,              6.86
45.25,-96.25,2012,05,03,              7.08
45.25,-95.75,2012,05,03,              6.94
45.25,-95.25,2012,05,03,              6.94
45.25,-94.75,2012,05,03,              6.94
45.25,-94.25,2012,05,03,              6.94
45.25,-93.75,2012,05,03,              6.76
45.25,-93.25,2012,05,03,              6.76
45.25,-92.75,2012,05,03,              6.76
45.25,-92.25,2012,05,03,              6.76
45.75,-96.25,2012,05,03,              7.08
45.75,-95.75,2012,05,03,              6.94
45.75,-95.25,2012,05,03,              6.94
45.75,-94.75,2012,05,03,              6.94
45.75,-94.25,2012,05,03,              6.94
45.75,-93.75,2012,05,03,              6.76
45.75,-93.25,2012,05,03,              6.76
45.75,-92.75,2012,05,03,              6.76
45.75,-92.25,2012,05,03,              6.76
46.25,-96.25,2012,05,03,              6.98
46.25,-95.75,2012,05,03,              6.00
46.25,-95.25,2012,05,03,              6.00
46.25,-94.75,2012,05,03,              6.00
46.25,-94.25,2012,05,03,              6.00
46.25,-93.75,2012,05,03,              6.15
46.25,-93.25,2012,05,03,              6.15
46.25,-92.75,2012,05,03,              6.15
46.25,-92.25,2012,05,03,              6.15
42.25,-96.25,2012,05,04,              5.33
42.25,-95.75,2012,05,04,              5.80
42.25,-95.25,2012,05,04,              5.80
42.25,-94.75,2012,05,04,              6.14
42.25,-94.25,2012,05,04,              6.14
42.25,-93.75,2012,05,04,              6.60
42.25,-93.25,2012,05,04,              6.60
42.25,-92.75,2012,05,04,              6.42
42.25,-92.25,2012,05,04,              6.42
42.75,-96.25,2012,05,04,              5.33
42.75,-95.75,2012,05,04,              5.80
42.75,-95.25,2012,05,04,              5.80
42.75,-94.75,2012,05,04,              6.14
42.75,-94.25,2012,05,04,              6.14
42.75,-93.75,2012,05,04,              6.60
42.75,-93.25,2012,05,04,              6.60
42.75,-92.75,2012,05,04,              6.42
42.75,-92.25,2012,05,04,              6.42
43.25,-96.25,2012,05,04,              2.98
43.25,-95.75,2012,05,04,              3.74
43.25,-95.25,2012,05,04,              3.74
43.25,-94.75,2012,05,04,              4.41
43.25,-94.25,2012,05,04,              4.41
43.25,-93.75,2012,05,04,              5.54
43.25,-93.25,2012,05,04,              5.54
43.25,-92.75,2012,05,04,              5.55
43.25,-92.25,2012,05,04,              5.55
43.75,-96.25,2012,05,04,              2.98
43.75,-95.75,2012,05,04,              3.74
43.75,-95.25,2012,05,04,              3.74
43.75,-94.75,2012,05,04,              4.41
43.75,-94.25,2012,05,04,              4.41
43.75,-93.75,2012,05,04,              5.54
43.75,-93.25,2012,05,04,              5.54
43.75,-92.75,2012,05,04,              5.55
43.75,-92.25,2012,05,04,              5.55
44.25,-96.25,2012,05,04,              1.43
44.25,-95.75,2012,05,04,              2.74
44.25,-95.25,2012,05,04,              2.74
44.25,-94.75,2012,05,04,              4.25
44.25,-94.25,2012,05,04,              4.25
44.25,-93.75,2012,05,04,              5.13
44.25,-93.25,2012,05,04,              5.13
44.25,-92.75,2012,05,04,              5.34
44.25,-92.25,2012,05,04,              5.34
44.75,-96.25,2012,05,04,              1.43
44.75,-95.75,2012,05,04,              2.74
44.75,-95.25,2012,05,04,              2.74
44.75,-94.75,2012,05,04,              4.25
44.75,-94.25,2012,05,04,              4.25
44.75,-93.75,2012,05,04,              5.13
44.75,-93.25,2012,05,04,              5.13
44.75,-92.75,2012,05,04,              5.34
44.75,-92.25,2012,05,04,              5.34
45.25,-96.25,2012,05,04,              3.06
45.25,-95.75,2012,05,04,              3.53
45.25,-95.25,2012,05,04,              3.53
45.25,-94.75,2012,05,04,              3.53
45.25,-94.25,2012,05,04,              3.53
45.25,-93.75,2012,05,04,              5.70
45.25,-93.25,2012,05,04,              5.70
45.25,-92.75,2012,05,04,              5.70
45.25,-92.25,2012,05,04,              5.70
45.75,-96.25,2012,05,04,              3.06
45.75,-95.75,2012,05,04,              3.53
45.75,-95.25,2012,05,04,              3.53
45.75,-94.75,2012,05,04,              3.53
45.75,-94.25,2012,05,04,              3.53
45.75,-93.75,2012,05,04,              5.70
45.75,-93.25,2012,05,04,              5.70
45.75,-92.75,2012,05,04,              5.70
45.75,-92.25,2012,05,04,              5.70
46.25,-96.25,2012,05,04,              3.87
46.25,-95.75,2012,05,04,              2.74
46.25,-95.25,2012,05,04,              2.74
46.25,-94.75,2012,05,04,              2.74
46.25,-94.25,2012,05,04,              2.74
46.25,-93.75,2012,05,04,              3.29
46.25,-93.25,2012,05,04,              3.29
46.25,-92.75,2012,05,04,              3.29
46.25,-92.25,2012,05,04,              3.29
42.25,-96.25,2012,05,05,              5.64
42.25,-95.75,2012,05,05,              5.58
42.25,-95.25,2012,05,05,              5.58
42.25,-94.75,2012,05,05,              5.14
42.25,-94.25,2012,05,05,              5.14
42.25,-93.75,2012,05,05,              5.56
42.25,-93.25,2012,05,05,              5.56
42.25,-92.75,2012,05,05,              6.01
42.25,-92.25,2012,05,05,              6.01
42.75,-96.25,2012,05,05,              5.64
42.75,-95.75,2012,05,05,              5.58
42.75,-95.25,2012,05,05,              5.58
42.75,-94.75,2012,05,05,              5.14
42.75,-94.25,2012,05,05,              5.14
42.75,-93.75,2012,05,05,              5.56
42.75,-93.25,2012,05,05,              5.56
42.75,-92.75,2012,05,05,              6.01
42.75,-92.25,2012,05,05,              6.01
43.25,-96.25,2012,05,05,              3.36
43.25,-95.75,2012,05,05,              1.98
43.25,-95.25,2012,05,05,              1.98
43.25,-94.75,2012,05,05,              0.96
43.25,-94.25,2012,05,05,              0.96
43.25,-93.75,2012,05,05,              1.65
43.25,-93.25,2012,05,05,              1.65
43.25,-92.75,2012,05,05,              3.48
43.25,-92.25,2012,05,05,              3.48
43.75,-96.25,2012,05,05,              3.36
43.75,-95.75,2012,05,05,              1.98
43.75,-95.25,2012,05,05,              1.98
43.75,-94.75,2012,05,05,              0.96
43.75,-94.25,2012,05,05,              0.96
43.75,-93.75,2012,05,05,              1.65
43.75,-93.25,2012,05,05,              1.65
43.75,-92.75,2012,05,05,              3.48
43.75,-92.25,2012,05,05,              3.48
44.25,-96.25,2012,05,05,              2.90
44.25,-95.75,2012,05,05,              1.41
44.25,-95.25,2012,05,05,              1.41
44.25,-94.75,2012,05,05,              0.64
44.25,-94.25,2012,05,05,              0.64
44.25,-93.75,2012,05,05,              0.86
44.25,-93.25,2012,05,05,              0.86
44.25,-92.75,2012,05,05,              1.70
44.25,-92.25,2012,05,05,              1.70
44.75,-96.25,2012,05,05,              2.90
44.75,-95.75,2012,05,05,              1.41
44.75,-95.25,2012,05,05,              1.41
44.75,-94.75,2012,05,05,              0.64
44.75,-94.25,2012,05,05,              0.64
44.75,-93.75,2012,05,05,              0.86
44.75,-93.25,2012,05,05,              0.86
44.75,-92.75,2012,05,05,              1.70
44.75,-92.25,2012,05,05,              1.70
45.25,-96.25,2012,05,05,              2.94
45.25,-95.75,2012,05,05,              1.37
45.25,-95.25,2012,05,05,              1.37
45.25,-94.75,2012,05,05,              1.37
45.25,-94.25,2012,05,05,              1.37
45.25,-93.75,2012,05,05,              1.42
45.25,-93.25,2012,05,05,              1.42
45.25,-92.75,2012,05,05,              1.42
45.25,-92.25,2012,05,05,              1.42
45.75,-96.25,2012,05,05,              2.94
45.75,-95.75,2012,05,05,              1.37
45.75,-95.25,2012,05,05,              1.37
45.75,-94.75,2012,05,05,              1.37
45.75,-94.25,2012,05,05,              1.37
45.75,-93.75,2012,05,05,              1.42
45.75,-93.25,2012,05,05,              1.42
45.75,-92.75,2012,05,05,              1.42
45.75,-92.25,2012,05,05,              1.42
46.25,-96.25,2012,05,05,              3.49
46.25,-95.75,2012,05,05,              2.17
46.25,-95.25,2012,05,05,              2.17
46.25,-94.75,2012,05,05,              2.17
46.25,-94.25,2012,05,05,              2.17
46.25,-93.75,2012,05,05,              2.19
46.25,-93.25,2012,05,05,              2.19
46.25,-92.75,2012,05,05,              2.19
46.25,-92.25,2012,05,05,              2.19
42.25,-96.25,2012,05,06,              4.22
42.25,-95.75,2012,05,06,              5.56
42.25,-95.25,2012,05,06,              5.56
42.25,-94.75,2012,05,06,              6.08
42.25,-94.25,2012,05,06,              6.08
42.25,-93.75,2012,05,06,              5.86
42.25,-93.25,2012,05,06,              5.86
42.25,-92.75,2012,05,06,              4.87
42.25,-92.25,2012,05,06,              4.87
42.75,-96.25,2012,05,06,              4.22
42.75,-95.75,2012,05,06,              5.56
42.75,-95.25,2012,05,06,              5.56
42.75,-94.75,2012,05,06,              6.08
42.75,-94.25,2012,05,06,              6.08
42.75,-93.75,2012,05,06,              5.86
42.75,-93.25,2012,05,06,              5.86
42.75,-92.75,2012,05,06,              4.87
42.75,-92.25,2012,05,06,              4.87
43.25,-96.25,2012,05,06,              4.14
43.25,-95.75,2012,05,06,              4.62
43.25,-95.25,2012,05,06,              4.62
43.25,-94.75,2012,05,06,              5.02
43.25,-94.25,2012,05,06,              5.02
43.25,-93.75,2012,05,06,              4.12
43.25,-93.25,2012,05,06,              4.12
