-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-72.25,2012,05,01,              2.07
42.25,-71.75,2012,05,01,              1.54
42.25,-71.25,2012,05,01,              1.54
42.25,-70.75,2012,05,01,              1.38
42.25,-70.25,2012,05,01,              1.38
42.25,-69.75,2012,05,01,              1.48
42.25,-69.25,2012,05,01,              1.48
42.25,-68.75,2012,05,01,              1.62
42.25,-68.25,2012,05,01,              1.62
42.75,-72.25,2012,05,01,              2.07
42.75,-71.75,2012,05,01,              1.54
42.75,-71.25,2012,05,01,              1.54
42.75,-70.75,2012,05,01,              1.38
42.75,-70.25,2012,05,01,              1.38
42.75,-69.75,2012,05,01,              1.48
42.75,-69.25,2012,05,01,              1.48
42.75,-68.75,2012,05,01,              1.62
42.75,-68.25,2012,05,01,              1.62
43.25,-72.25,2012,05,01,              1.96
43.25,-71.75,2012,05,01,              1.77
43.25,-71.25,2012,05,01,              1.77
43.25,-70.75,2012,05,01,              1.45
43.25,-70.25,2012,05,01,              1.45
43.25,-69.75,2012,05,01,              1.62
43.25,-69.25,2012,05,01,              1.62
43.25,-68.75,2012,05,01,              1.66
43.25,-68.25,2012,05,01,              1.66
43.75,-72.25,2012,05,01,              1.96
43.75,-71.75,2012,05,01,              1.77
43.75,-71.25,2012,05,01,              1.77
43.75,-70.75,2012,05,01,              1.45
43.75,-70.25,2012,05,01,              1.45
43.75,-69.75,2012,05,01,              1.62
43.75,-69.25,2012,05,01,              1.62
43.75,-68.75,2012,05,01,              1.66
43.75,-68.25,2012,05,01,              1.66
44.25,-72.25,2012,05,01,              1.88
44.25,-71.75,2012,05,01,              1.61
44.25,-71.25,2012,05,01,              1.61
44.25,-70.75,2012,05,01,              1.48
44.25,-70.25,2012,05,01,              1.48
44.25,-69.75,2012,05,01,              1.54
44.25,-69.25,2012,05,01,              1.54
44.25,-68.75,2012,05,01,              1.93
44.25,-68.25,2012,05,01,              1.93
44.75,-72.25,2012,05,01,              1.88
44.75,-71.75,2012,05,01,              1.61
44.75,-71.25,2012,05,01,              1.61
44.75,-70.75,2012,05,01,              1.48
44.75,-70.25,2012,05,01,              1.48
44.75,-69.75,2012,05,01,              1.54
44.75,-69.25,2012,05,01,              1.54
44.75,-68.75,2012,05,01,              1.93
44.75,-68.25,2012,05,01,              1.93
45.25,-72.25,2012,05,01,              1.74
45.25,-71.75,2012,05,01,              1.81
45.25,-71.25,2012,05,01,              1.81
45.25,-70.75,2012,05,01,              1.81
45.25,-70.25,2012,05,01,              1.81
45.25,-69.75,2012,05,01,              1.94
45.25,-69.25,2012,05,01,              1.94
45.25,-68.75,2012,05,01,              1.94
45.25,-68.25,2012,05,01,              1.94
45.75,-72.25,2012,05,01,              1.74
45.75,-71.75,2012,05,01,              1.81
45.75,-71.25,2012,05,01,              1.81
45.75,-70.75,2012,05,01,              1.81
45.75,-70.25,2012,05,01,              1.81
45.75,-69.75,2012,05,01,              1.94
45.75,-69.25,2012,05,01,              1.94
45.75,-68.75,2012,05,01,              1.94
45.75,-68.25,2012,05,01,              1.94
46.25,-72.25,2012,05,01,              1.69
46.25,-71.75,2012,05,01,              2.39
46.25,-71.25,2012,05,01,              2.39
46.25,-70.75,2012,05,01,              2.39
46.25,-70.25,2012,05,01,              2.39
46.25,-69.75,2012,05,01,              2.86
46.25,-69.25,2012,05,01,              2.86
46.25,-68.75,2012,05,01,              2.86
46.25,-68.25,2012,05,01,              2.86
42.25,-72.25,2012,05,02,              2.59
42.25,-71.75,2012,05,02,              2.77
42.25,-71.25,2012,05,02,              2.77
42.25,-70.75,2012,05,02,              4.04
42.25,-70.25,2012,05,02,              4.04
42.25,-69.75,2012,05,02,              4.44
42.25,-69.25,2012,05,02,              4.44
42.25,-68.75,2012,05,02,              4.72
42.25,-68.25,2012,05,02,              4.72
42.75,-72.25,2012,05,02,              2.59
42.75,-71.75,2012,05,02,              2.77
42.75,-71.25,2012,05,02,              2.77
42.75,-70.75,2012,05,02,              4.04
42.75,-70.25,2012,05,02,              4.04
42.75,-69.75,2012,05,02,              4.44
42.75,-69.25,2012,05,02,              4.44
42.75,-68.75,2012,05,02,              4.72
42.75,-68.25,2012,05,02,              4.72
43.25,-72.25,2012,05,02,              2.91
43.25,-71.75,2012,05,02,              2.59
43.25,-71.25,2012,05,02,              2.59
43.25,-70.75,2012,05,02,              2.86
43.25,-70.25,2012,05,02,              2.86
43.25,-69.75,2012,05,02,              3.13
43.25,-69.25,2012,05,02,              3.13
43.25,-68.75,2012,05,02,              2.98
43.25,-68.25,2012,05,02,              2.98
43.75,-72.25,2012,05,02,              2.91
43.75,-71.75,2012,05,02,              2.59
43.75,-71.25,2012,05,02,              2.59
43.75,-70.75,2012,05,02,              2.86
43.75,-70.25,2012,05,02,              2.86
43.75,-69.75,2012,05,02,              3.13
43.75,-69.25,2012,05,02,              3.13
43.75,-68.75,2012,05,02,              2.98
43.75,-68.25,2012,05,02,              2.98
44.25,-72.25,2012,05,02,              4.10
44.25,-71.75,2012,05,02,              3.74
44.25,-71.25,2012,05,02,              3.74
44.25,-70.75,2012,05,02,              2.72
44.25,-70.25,2012,05,02,              2.72
44.25,-69.75,2012,05,02,              2.34
44.25,-69.25,2012,05,02,              2.34
44.25,-68.75,2012,05,02,              2.52
44.25,-68.25,2012,05,02,              2.52
44.75,-72.25,2012,05,02,              4.10
44.75,-71.75,2012,05,02,              3.74
44.75,-71.25,2012,05,02,              3.74
44.75,-70.75,2012,05,02,              2.72
44.75,-70.25,2012,05,02,              2.72
44.75,-69.75,2012,05,02,              2.34
44.75,-69.25,2012,05,02,              2.34
44.75,-68.75,2012,05,02,              2.52
44.75,-68.25,2012,05,02,              2.52
45.25,-72.25,2012,05,02,              3.92
45.25,-71.75,2012,05,02,              3.61
45.25,-71.25,2012,05,02,              3.61
