-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-76.25,2012,05,01,              7.16
34.25,-75.75,2012,05,01,              7.24
34.25,-75.25,2012,05,01,              7.24
34.25,-74.75,2012,05,01,              7.08
34.25,-74.25,2012,05,01,              7.08
34.25,-73.75,2012,05,01,              7.56
34.25,-73.25,2012,05,01,              7.56
34.25,-72.75,2012,05,01,              7.60
34.25,-72.25,2012,05,01,              7.60
34.75,-76.25,2012,05,01,              7.16
34.75,-75.75,2012,05,01,              7.24
34.75,-75.25,2012,05,01,              7.24
34.75,-74.75,2012,05,01,              7.08
34.75,-74.25,2012,05,01,              7.08
34.75,-73.75,2012,05,01,              7.56
34.75,-73.25,2012,05,01,              7.56
34.75,-72.75,2012,05,01,              7.60
34.75,-72.25,2012,05,01,              7.60
35.25,-76.25,2012,05,01,              6.39
35.25,-75.75,2012,05,01,              6.41
35.25,-75.25,2012,05,01,              6.41
35.25,-74.75,2012,05,01,              5.86
35.25,-74.25,2012,05,01,              5.86
35.25,-73.75,2012,05,01,              6.07
35.25,-73.25,2012,05,01,              6.07
35.25,-72.75,2012,05,01,              7.09
35.25,-72.25,2012,05,01,              7.09
35.75,-76.25,2012,05,01,              6.39
35.75,-75.75,2012,05,01,              6.41
35.75,-75.25,2012,05,01,              6.41
35.75,-74.75,2012,05,01,              5.86
35.75,-74.25,2012,05,01,              5.86
35.75,-73.75,2012,05,01,              6.07
35.75,-73.25,2012,05,01,              6.07
35.75,-72.75,2012,05,01,              7.09
35.75,-72.25,2012,05,01,              7.09
36.25,-76.25,2012,05,01,              6.34
36.25,-75.75,2012,05,01,              6.53
36.25,-75.25,2012,05,01,              6.53
36.25,-74.75,2012,05,01,              6.28
36.25,-74.25,2012,05,01,              6.28
36.25,-73.75,2012,05,01,              4.43
36.25,-73.25,2012,05,01,              4.43
36.25,-72.75,2012,05,01,              4.12
36.25,-72.25,2012,05,01,              4.12
36.75,-76.25,2012,05,01,              6.34
36.75,-75.75,2012,05,01,              6.53
36.75,-75.25,2012,05,01,              6.53
36.75,-74.75,2012,05,01,              6.28
36.75,-74.25,2012,05,01,              6.28
36.75,-73.75,2012,05,01,              4.43
36.75,-73.25,2012,05,01,              4.43
36.75,-72.75,2012,05,01,              4.12
36.75,-72.25,2012,05,01,              4.12
37.25,-76.25,2012,05,01,              5.99
37.25,-75.75,2012,05,01,              5.66
37.25,-75.25,2012,05,01,              5.66
37.25,-74.75,2012,05,01,              5.78
37.25,-74.25,2012,05,01,              5.78
37.25,-73.75,2012,05,01,              4.57
37.25,-73.25,2012,05,01,              4.57
37.25,-72.75,2012,05,01,              3.29
37.25,-72.25,2012,05,01,              3.29
37.75,-76.25,2012,05,01,              5.99
37.75,-75.75,2012,05,01,              5.66
37.75,-75.25,2012,05,01,              5.66
37.75,-74.75,2012,05,01,              5.78
37.75,-74.25,2012,05,01,              5.78
37.75,-73.75,2012,05,01,              4.57
37.75,-73.25,2012,05,01,              4.57
37.75,-72.75,2012,05,01,              3.29
37.75,-72.25,2012,05,01,              3.29
38.25,-76.25,2012,05,01,              6.35
38.25,-75.75,2012,05,01,              5.46
38.25,-75.25,2012,05,01,              5.46
38.25,-74.75,2012,05,01,              4.75
38.25,-74.25,2012,05,01,              4.75
38.25,-73.75,2012,05,01,              4.35
38.25,-73.25,2012,05,01,              4.35
38.25,-72.75,2012,05,01,              2.95
38.25,-72.25,2012,05,01,              2.95
34.25,-76.25,2012,05,02,              7.68
34.25,-75.75,2012,05,02,              7.64
34.25,-75.25,2012,05,02,              7.64
34.25,-74.75,2012,05,02,              7.56
34.25,-74.25,2012,05,02,              7.56
34.25,-73.75,2012,05,02,              7.31
34.25,-73.25,2012,05,02,              7.31
34.25,-72.75,2012,05,02,              6.26
34.25,-72.25,2012,05,02,              6.26
34.75,-76.25,2012,05,02,              7.68
34.75,-75.75,2012,05,02,              7.64
34.75,-75.25,2012,05,02,              7.64
34.75,-74.75,2012,05,02,              7.56
34.75,-74.25,2012,05,02,              7.56
34.75,-73.75,2012,05,02,              7.31
34.75,-73.25,2012,05,02,              7.31
34.75,-72.75,2012,05,02,              6.26
34.75,-72.25,2012,05,02,              6.26
35.25,-76.25,2012,05,02,              7.41
35.25,-75.75,2012,05,02,              7.47
35.25,-75.25,2012,05,02,              7.47
35.25,-74.75,2012,05,02,              6.92
35.25,-74.25,2012,05,02,              6.92
35.25,-73.75,2012,05,02,              5.67
35.25,-73.25,2012,05,02,              5.67
35.25,-72.75,2012,05,02,              4.01
35.25,-72.25,2012,05,02,              4.01
35.75,-76.25,2012,05,02,              7.41
35.75,-75.75,2012,05,02,              7.47
35.75,-75.25,2012,05,02,              7.47
35.75,-74.75,2012,05,02,              6.92
35.75,-74.25,2012,05,02,              6.92
35.75,-73.75,2012,05,02,              5.67
35.75,-73.25,2012,05,02,              5.67
35.75,-72.75,2012,05,02,              4.01
35.75,-72.25,2012,05,02,              4.01
36.25,-76.25,2012,05,02,              6.85
36.25,-75.75,2012,05,02,              6.93
36.25,-75.25,2012,05,02,              6.93
36.25,-74.75,2012,05,02,              6.22
36.25,-74.25,2012,05,02,              6.22
36.25,-73.75,2012,05,02,              4.35
36.25,-73.25,2012,05,02,              4.35
36.25,-72.75,2012,05,02,              2.63
36.25,-72.25,2012,05,02,              2.63
36.75,-76.25,2012,05,02,              6.85
36.75,-75.75,2012,05,02,              6.93
36.75,-75.25,2012,05,02,              6.93
36.75,-74.75,2012,05,02,              6.22
36.75,-74.25,2012,05,02,              6.22
36.75,-73.75,2012,05,02,              4.35
36.75,-73.25,2012,05,02,              4.35
36.75,-72.75,2012,05,02,              2.63
36.75,-72.25,2012,05,02,              2.63
37.25,-76.25,2012,05,02,              6.99
37.25,-75.75,2012,05,02,              6.86
37.25,-75.25,2012,05,02,              6.86
37.25,-74.75,2012,05,02,              4.95
37.25,-74.25,2012,05,02,              4.95
37.25,-73.75,2012,05,02,              4.03
37.25,-73.25,2012,05,02,              4.03
37.25,-72.75,2012,05,02,              2.70
37.25,-72.25,2012,05,02,              2.70
37.75,-76.25,2012,05,02,              6.99
37.75,-75.75,2012,05,02,              6.86
37.75,-75.25,2012,05,02,              6.86
37.75,-74.75,2012,05,02,              4.95
37.75,-74.25,2012,05,02,              4.95
37.75,-73.75,2012,05,02,              4.03
37.75,-73.25,2012,05,02,              4.03
37.75,-72.75,2012,05,02,              2.70
37.75,-72.25,2012,05,02,              2.70
38.25,-76.25,2012,05,02,              4.61
38.25,-75.75,2012,05,02,              3.76
38.25,-75.25,2012,05,02,              3.76
38.25,-74.75,2012,05,02,              3.11
38.25,-74.25,2012,05,02,              3.11
38.25,-73.75,2012,05,02,              2.81
38.25,-73.25,2012,05,02,              2.81
38.25,-72.75,2012,05,02,              2.57
38.25,-72.25,2012,05,02,              2.57
34.25,-76.25,2012,05,03,              7.65
34.25,-75.75,2012,05,03,              7.18
34.25,-75.25,2012,05,03,              7.18
34.25,-74.75,2012,05,03,              6.59
34.25,-74.25,2012,05,03,              6.59
34.25,-73.75,2012,05,03,              4.94
34.25,-73.25,2012,05,03,              4.94
34.25,-72.75,2012,05,03,              5.04
34.25,-72.25,2012,05,03,              5.04
34.75,-76.25,2012,05,03,              7.65
34.75,-75.75,2012,05,03,              7.18
34.75,-75.25,2012,05,03,              7.18
34.75,-74.75,2012,05,03,              6.59
34.75,-74.25,2012,05,03,              6.59
34.75,-73.75,2012,05,03,              4.94
34.75,-73.25,2012,05,03,              4.94
34.75,-72.75,2012,05,03,              5.04
34.75,-72.25,2012,05,03,              5.04
35.25,-76.25,2012,05,03,              7.10
35.25,-75.75,2012,05,03,              7.04
35.25,-75.25,2012,05,03,              7.04
35.25,-74.75,2012,05,03,              6.18
35.25,-74.25,2012,05,03,              6.18
35.25,-73.75,2012,05,03,              6.16
35.25,-73.25,2012,05,03,              6.16
35.25,-72.75,2012,05,03,              6.15
35.25,-72.25,2012,05,03,              6.15
35.75,-76.25,2012,05,03,              7.10
35.75,-75.75,2012,05,03,              7.04
35.75,-75.25,2012,05,03,              7.04
35.75,-74.75,2012,05,03,              6.18
35.75,-74.25,2012,05,03,              6.18
35.75,-73.75,2012,05,03,              6.16
35.75,-73.25,2012,05,03,              6.16
35.75,-72.75,2012,05,03,              6.15
35.75,-72.25,2012,05,03,              6.15
36.25,-76.25,2012,05,03,              6.89
36.25,-75.75,2012,05,03,              6.09
36.25,-75.25,2012,05,03,              6.09
36.25,-74.75,2012,05,03,              6.35
36.25,-74.25,2012,05,03,              6.35
36.25,-73.75,2012,05,03,              6.43
36.25,-73.25,2012,05,03,              6.43
36.25,-72.75,2012,05,03,              5.19
36.25,-72.25,2012,05,03,              5.19
36.75,-76.25,2012,05,03,              6.89
36.75,-75.75,2012,05,03,              6.09
36.75,-75.25,2012,05,03,              6.09
36.75,-74.75,2012,05,03,              6.35
36.75,-74.25,2012,05,03,              6.35
36.75,-73.75,2012,05,03,              6.43
36.75,-73.25,2012,05,03,              6.43
36.75,-72.75,2012,05,03,              5.19
36.75,-72.25,2012,05,03,              5.19
37.25,-76.25,2012,05,03,              6.94
37.25,-75.75,2012,05,03,              6.14
37.25,-75.25,2012,05,03,              6.14
37.25,-74.75,2012,05,03,              6.11
37.25,-74.25,2012,05,03,              6.11
37.25,-73.75,2012,05,03,              7.01
37.25,-73.25,2012,05,03,              7.01
37.25,-72.75,2012,05,03,              4.55
37.25,-72.25,2012,05,03,              4.55
37.75,-76.25,2012,05,03,              6.94
37.75,-75.75,2012,05,03,              6.14
37.75,-75.25,2012,05,03,              6.14
37.75,-74.75,2012,05,03,              6.11
37.75,-74.25,2012,05,03,              6.11
37.75,-73.75,2012,05,03,              7.01
37.75,-73.25,2012,05,03,              7.01
37.75,-72.75,2012,05,03,              4.55
37.75,-72.25,2012,05,03,              4.55
38.25,-76.25,2012,05,03,              6.16
38.25,-75.75,2012,05,03,              5.59
38.25,-75.25,2012,05,03,              5.59
38.25,-74.75,2012,05,03,              6.47
38.25,-74.25,2012,05,03,              6.47
38.25,-73.75,2012,05,03,              6.53
38.25,-73.25,2012,05,03,              6.53
38.25,-72.75,2012,05,03,              5.67
38.25,-72.25,2012,05,03,              5.67
34.25,-76.25,2012,05,04,              6.73
34.25,-75.75,2012,05,04,              6.85
34.25,-75.25,2012,05,04,              6.85
34.25,-74.75,2012,05,04,              7.30
34.25,-74.25,2012,05,04,              7.30
34.25,-73.75,2012,05,04,              7.39
34.25,-73.25,2012,05,04,              7.39
34.25,-72.75,2012,05,04,              7.39
34.25,-72.25,2012,05,04,              7.39
34.75,-76.25,2012,05,04,              6.73
34.75,-75.75,2012,05,04,              6.85
34.75,-75.25,2012,05,04,              6.85
34.75,-74.75,2012,05,04,              7.30
34.75,-74.25,2012,05,04,              7.30
34.75,-73.75,2012,05,04,              7.39
34.75,-73.25,2012,05,04,              7.39
34.75,-72.75,2012,05,04,              7.39
34.75,-72.25,2012,05,04,              7.39
35.25,-76.25,2012,05,04,              7.22
35.25,-75.75,2012,05,04,              7.23
35.25,-75.25,2012,05,04,              7.23
35.25,-74.75,2012,05,04,              7.46
35.25,-74.25,2012,05,04,              7.46
35.25,-73.75,2012,05,04,              7.44
35.25,-73.25,2012,05,04,              7.44
35.25,-72.75,2012,05,04,              7.14
35.25,-72.25,2012,05,04,              7.14
35.75,-76.25,2012,05,04,              7.22
35.75,-75.75,2012,05,04,              7.23
35.75,-75.25,2012,05,04,              7.23
35.75,-74.75,2012,05,04,              7.46
35.75,-74.25,2012,05,04,              7.46
35.75,-73.75,2012,05,04,              7.44
35.75,-73.25,2012,05,04,              7.44
