-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-100.25,2012,05,01,              5.08
46.25,-99.75,2012,05,01,              4.77
46.25,-99.25,2012,05,01,              4.77
46.25,-98.75,2012,05,01,              4.77
46.25,-98.25,2012,05,01,              4.77
46.25,-97.75,2012,05,01,              4.40
46.25,-97.25,2012,05,01,              4.40
46.25,-96.75,2012,05,01,              4.40
46.25,-96.25,2012,05,01,              4.40
46.75,-100.25,2012,05,01,              5.08
46.75,-99.75,2012,05,01,              4.77
46.75,-99.25,2012,05,01,              4.77
46.75,-98.75,2012,05,01,              4.77
46.75,-98.25,2012,05,01,              4.77
46.75,-97.75,2012,05,01,              4.40
46.75,-97.25,2012,05,01,              4.40
46.75,-96.75,2012,05,01,              4.40
46.75,-96.25,2012,05,01,              4.40
47.25,-100.25,2012,05,01,              5.54
47.25,-99.75,2012,05,01,              5.21
47.25,-99.25,2012,05,01,              5.21
47.25,-98.75,2012,05,01,              5.21
47.25,-98.25,2012,05,01,              5.21
47.25,-97.75,2012,05,01,              2.97
47.25,-97.25,2012,05,01,              2.97
47.25,-96.75,2012,05,01,              2.97
47.25,-96.25,2012,05,01,              2.97
47.75,-100.25,2012,05,01,              5.54
47.75,-99.75,2012,05,01,              5.21
47.75,-99.25,2012,05,01,              5.21
47.75,-98.75,2012,05,01,              5.21
47.75,-98.25,2012,05,01,              5.21
47.75,-97.75,2012,05,01,              2.97
47.75,-97.25,2012,05,01,              2.97
47.75,-96.75,2012,05,01,              2.97
47.75,-96.25,2012,05,01,              2.97
48.25,-100.25,2012,05,01,              4.62
48.25,-99.75,2012,05,01,              5.35
48.25,-99.25,2012,05,01,              5.35
48.25,-98.75,2012,05,01,              5.35
48.25,-98.25,2012,05,01,              5.35
48.25,-97.75,2012,05,01,              3.42
48.25,-97.25,2012,05,01,              3.42
48.25,-96.75,2012,05,01,              3.42
48.25,-96.25,2012,05,01,              3.42
48.75,-100.25,2012,05,01,              4.62
48.75,-99.75,2012,05,01,              5.35
48.75,-99.25,2012,05,01,              5.35
48.75,-98.75,2012,05,01,              5.35
48.75,-98.25,2012,05,01,              5.35
