-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-112.25,2012,05,01,              7.61
26.25,-111.75,2012,05,01,              7.96
26.25,-111.25,2012,05,01,              7.96
26.25,-110.75,2012,05,01,              8.04
26.25,-110.25,2012,05,01,              8.04
26.25,-109.75,2012,05,01,              7.86
26.25,-109.25,2012,05,01,              7.86
26.25,-108.75,2012,05,01,              7.77
26.25,-108.25,2012,05,01,              7.77
26.75,-112.25,2012,05,01,              7.61
26.75,-111.75,2012,05,01,              7.96
26.75,-111.25,2012,05,01,              7.96
26.75,-110.75,2012,05,01,              8.04
26.75,-110.25,2012,05,01,              8.04
26.75,-109.75,2012,05,01,              7.86
26.75,-109.25,2012,05,01,              7.86
26.75,-108.75,2012,05,01,              7.77
26.75,-108.25,2012,05,01,              7.77
27.25,-112.25,2012,05,01,              7.66
27.25,-111.75,2012,05,01,              8.14
27.25,-111.25,2012,05,01,              8.14
27.25,-110.75,2012,05,01,              7.92
27.25,-110.25,2012,05,01,              7.92
27.25,-109.75,2012,05,01,              7.76
27.25,-109.25,2012,05,01,              7.76
27.25,-108.75,2012,05,01,              7.88
27.25,-108.25,2012,05,01,              7.88
27.75,-112.25,2012,05,01,              7.66
27.75,-111.75,2012,05,01,              8.14
27.75,-111.25,2012,05,01,              8.14
27.75,-110.75,2012,05,01,              7.92
27.75,-110.25,2012,05,01,              7.92
27.75,-109.75,2012,05,01,              7.76
27.75,-109.25,2012,05,01,              7.76
27.75,-108.75,2012,05,01,              7.88
27.75,-108.25,2012,05,01,              7.88
28.25,-112.25,2012,05,01,              8.07
28.25,-111.75,2012,05,01,              8.07
28.25,-111.25,2012,05,01,              8.07
28.25,-110.75,2012,05,01,              7.76
28.25,-110.25,2012,05,01,              7.76
28.25,-109.75,2012,05,01,              7.83
28.25,-109.25,2012,05,01,              7.83
28.25,-108.75,2012,05,01,              7.97
28.25,-108.25,2012,05,01,              7.97
28.75,-112.25,2012,05,01,              8.07
28.75,-111.75,2012,05,01,              8.07
28.75,-111.25,2012,05,01,              8.07
28.75,-110.75,2012,05,01,              7.76
28.75,-110.25,2012,05,01,              7.76
28.75,-109.75,2012,05,01,              7.83
28.75,-109.25,2012,05,01,              7.83
28.75,-108.75,2012,05,01,              7.97
28.75,-108.25,2012,05,01,              7.97
29.25,-112.25,2012,05,01,              7.99
29.25,-111.75,2012,05,01,              7.73
29.25,-111.25,2012,05,01,              7.73
29.25,-110.75,2012,05,01,              7.89
29.25,-110.25,2012,05,01,              7.89
29.25,-109.75,2012,05,01,              7.91
29.25,-109.25,2012,05,01,              7.91
29.25,-108.75,2012,05,01,              7.98
29.25,-108.25,2012,05,01,              7.98
29.75,-112.25,2012,05,01,              7.99
29.75,-111.75,2012,05,01,              7.73
29.75,-111.25,2012,05,01,              7.73
29.75,-110.75,2012,05,01,              7.89
29.75,-110.25,2012,05,01,              7.89
29.75,-109.75,2012,05,01,              7.91
29.75,-109.25,2012,05,01,              7.91
29.75,-108.75,2012,05,01,              7.98
29.75,-108.25,2012,05,01,              7.98
30.25,-112.25,2012,05,01,              7.63
30.25,-111.75,2012,05,01,              7.93
30.25,-111.25,2012,05,01,              7.93
30.25,-110.75,2012,05,01,              7.97
30.25,-110.25,2012,05,01,              7.97
30.25,-109.75,2012,05,01,              8.02
30.25,-109.25,2012,05,01,              8.02
30.25,-108.75,2012,05,01,              8.11
30.25,-108.25,2012,05,01,              8.11
26.25,-112.25,2012,05,02,              7.47
26.25,-111.75,2012,05,02,              7.86
26.25,-111.25,2012,05,02,              7.86
26.25,-110.75,2012,05,02,              7.23
26.25,-110.25,2012,05,02,              7.23
26.25,-109.75,2012,05,02,              6.46
26.25,-109.25,2012,05,02,              6.46
26.25,-108.75,2012,05,02,              6.09
26.25,-108.25,2012,05,02,              6.09
26.75,-112.25,2012,05,02,              7.47
26.75,-111.75,2012,05,02,              7.86
26.75,-111.25,2012,05,02,              7.86
26.75,-110.75,2012,05,02,              7.23
26.75,-110.25,2012,05,02,              7.23
26.75,-109.75,2012,05,02,              6.46
26.75,-109.25,2012,05,02,              6.46
26.75,-108.75,2012,05,02,              6.09
26.75,-108.25,2012,05,02,              6.09
27.25,-112.25,2012,05,02,              7.61
27.25,-111.75,2012,05,02,              8.11
27.25,-111.25,2012,05,02,              8.11
27.25,-110.75,2012,05,02,              7.92
27.25,-110.25,2012,05,02,              7.92
27.25,-109.75,2012,05,02,              7.64
27.25,-109.25,2012,05,02,              7.64
27.25,-108.75,2012,05,02,              7.46
27.25,-108.25,2012,05,02,              7.46
27.75,-112.25,2012,05,02,              7.61
27.75,-111.75,2012,05,02,              8.11
27.75,-111.25,2012,05,02,              8.11
27.75,-110.75,2012,05,02,              7.92
27.75,-110.25,2012,05,02,              7.92
