-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-72.25,2012,05,01,              2.95
38.25,-71.75,2012,05,01,              1.71
38.25,-71.25,2012,05,01,              1.71
38.25,-70.75,2012,05,01,              2.16
38.25,-70.25,2012,05,01,              2.16
38.25,-69.75,2012,05,01,              3.48
38.25,-69.25,2012,05,01,              3.48
38.25,-68.75,2012,05,01,              4.17
38.25,-68.25,2012,05,01,              4.17
38.75,-72.25,2012,05,01,              2.95
38.75,-71.75,2012,05,01,              1.71
38.75,-71.25,2012,05,01,              1.71
38.75,-70.75,2012,05,01,              2.16
38.75,-70.25,2012,05,01,              2.16
38.75,-69.75,2012,05,01,              3.48
38.75,-69.25,2012,05,01,              3.48
38.75,-68.75,2012,05,01,              4.17
38.75,-68.25,2012,05,01,              4.17
39.25,-72.25,2012,05,01,              2.21
39.25,-71.75,2012,05,01,              1.62
39.25,-71.25,2012,05,01,              1.62
39.25,-70.75,2012,05,01,              1.37
39.25,-70.25,2012,05,01,              1.37
39.25,-69.75,2012,05,01,              1.99
39.25,-69.25,2012,05,01,              1.99
39.25,-68.75,2012,05,01,              2.51
39.25,-68.25,2012,05,01,              2.51
39.75,-72.25,2012,05,01,              2.21
39.75,-71.75,2012,05,01,              1.62
39.75,-71.25,2012,05,01,              1.62
39.75,-70.75,2012,05,01,              1.37
39.75,-70.25,2012,05,01,              1.37
39.75,-69.75,2012,05,01,              1.99
39.75,-69.25,2012,05,01,              1.99
39.75,-68.75,2012,05,01,              2.51
39.75,-68.25,2012,05,01,              2.51
40.25,-72.25,2012,05,01,              2.28
40.25,-71.75,2012,05,01,              1.56
40.25,-71.25,2012,05,01,              1.56
40.25,-70.75,2012,05,01,              1.23
40.25,-70.25,2012,05,01,              1.23
40.25,-69.75,2012,05,01,              1.39
40.25,-69.25,2012,05,01,              1.39
40.25,-68.75,2012,05,01,              1.76
40.25,-68.25,2012,05,01,              1.76
40.75,-72.25,2012,05,01,              2.28
40.75,-71.75,2012,05,01,              1.56
40.75,-71.25,2012,05,01,              1.56
40.75,-70.75,2012,05,01,              1.23
40.75,-70.25,2012,05,01,              1.23
40.75,-69.75,2012,05,01,              1.39
40.75,-69.25,2012,05,01,              1.39
40.75,-68.75,2012,05,01,              1.76
40.75,-68.25,2012,05,01,              1.76
41.25,-72.25,2012,05,01,              2.01
41.25,-71.75,2012,05,01,              1.64
41.25,-71.25,2012,05,01,              1.64
41.25,-70.75,2012,05,01,              1.36
41.25,-70.25,2012,05,01,              1.36
41.25,-69.75,2012,05,01,              1.55
41.25,-69.25,2012,05,01,              1.55
41.25,-68.75,2012,05,01,              1.69
41.25,-68.25,2012,05,01,              1.69
41.75,-72.25,2012,05,01,              2.01
41.75,-71.75,2012,05,01,              1.64
41.75,-71.25,2012,05,01,              1.64
41.75,-70.75,2012,05,01,              1.36
41.75,-70.25,2012,05,01,              1.36
41.75,-69.75,2012,05,01,              1.55
41.75,-69.25,2012,05,01,              1.55
41.75,-68.75,2012,05,01,              1.69
41.75,-68.25,2012,05,01,              1.69
42.25,-72.25,2012,05,01,              2.07
42.25,-71.75,2012,05,01,              1.54
42.25,-71.25,2012,05,01,              1.54
42.25,-70.75,2012,05,01,              1.38
42.25,-70.25,2012,05,01,              1.38
42.25,-69.75,2012,05,01,              1.48
42.25,-69.25,2012,05,01,              1.48
42.25,-68.75,2012,05,01,              1.62
42.25,-68.25,2012,05,01,              1.62
38.25,-72.25,2012,05,02,              2.57
38.25,-71.75,2012,05,02,              3.41
38.25,-71.25,2012,05,02,              3.41
38.25,-70.75,2012,05,02,              4.46
38.25,-70.25,2012,05,02,              4.46
38.25,-69.75,2012,05,02,              5.95
38.25,-69.25,2012,05,02,              5.95
38.25,-68.75,2012,05,02,              4.98
38.25,-68.25,2012,05,02,              4.98
38.75,-72.25,2012,05,02,              2.57
38.75,-71.75,2012,05,02,              3.41
38.75,-71.25,2012,05,02,              3.41
38.75,-70.75,2012,05,02,              4.46
38.75,-70.25,2012,05,02,              4.46
38.75,-69.75,2012,05,02,              5.95
38.75,-69.25,2012,05,02,              5.95
38.75,-68.75,2012,05,02,              4.98
38.75,-68.25,2012,05,02,              4.98
39.25,-72.25,2012,05,02,              2.04
39.25,-71.75,2012,05,02,              3.09
39.25,-71.25,2012,05,02,              3.09
39.25,-70.75,2012,05,02,              3.54
39.25,-70.25,2012,05,02,              3.54
39.25,-69.75,2012,05,02,              4.61
39.25,-69.25,2012,05,02,              4.61
39.25,-68.75,2012,05,02,              4.41
39.25,-68.25,2012,05,02,              4.41
39.75,-72.25,2012,05,02,              2.04
39.75,-71.75,2012,05,02,              3.09
39.75,-71.25,2012,05,02,              3.09
39.75,-70.75,2012,05,02,              3.54
39.75,-70.25,2012,05,02,              3.54
39.75,-69.75,2012,05,02,              4.61
39.75,-69.25,2012,05,02,              4.61
39.75,-68.75,2012,05,02,              4.41
39.75,-68.25,2012,05,02,              4.41
40.25,-72.25,2012,05,02,              2.36
40.25,-71.75,2012,05,02,              2.96
40.25,-71.25,2012,05,02,              2.96
40.25,-70.75,2012,05,02,              3.69
40.25,-70.25,2012,05,02,              3.69
40.25,-69.75,2012,05,02,              4.51
40.25,-69.25,2012,05,02,              4.51
40.25,-68.75,2012,05,02,              4.61
40.25,-68.25,2012,05,02,              4.61
40.75,-72.25,2012,05,02,              2.36
40.75,-71.75,2012,05,02,              2.96
40.75,-71.25,2012,05,02,              2.96
40.75,-70.75,2012,05,02,              3.69
40.75,-70.25,2012,05,02,              3.69
40.75,-69.75,2012,05,02,              4.51
40.75,-69.25,2012,05,02,              4.51
40.75,-68.75,2012,05,02,              4.61
40.75,-68.25,2012,05,02,              4.61
41.25,-72.25,2012,05,02,              2.68
41.25,-71.75,2012,05,02,              3.45
41.25,-71.25,2012,05,02,              3.45
41.25,-70.75,2012,05,02,              4.26
41.25,-70.25,2012,05,02,              4.26
41.25,-69.75,2012,05,02,              5.03
41.25,-69.25,2012,05,02,              5.03
41.25,-68.75,2012,05,02,              5.44
41.25,-68.25,2012,05,02,              5.44
41.75,-72.25,2012,05,02,              2.68
41.75,-71.75,2012,05,02,              3.45
41.75,-71.25,2012,05,02,              3.45
41.75,-70.75,2012,05,02,              4.26
41.75,-70.25,2012,05,02,              4.26
41.75,-69.75,2012,05,02,              5.03
41.75,-69.25,2012,05,02,              5.03
41.75,-68.75,2012,05,02,              5.44
41.75,-68.25,2012,05,02,              5.44
42.25,-72.25,2012,05,02,              2.59
42.25,-71.75,2012,05,02,              2.77
42.25,-71.25,2012,05,02,              2.77
42.25,-70.75,2012,05,02,              4.04
42.25,-70.25,2012,05,02,              4.04
42.25,-69.75,2012,05,02,              4.44
42.25,-69.25,2012,05,02,              4.44
42.25,-68.75,2012,05,02,              4.72
42.25,-68.25,2012,05,02,              4.72
38.25,-72.25,2012,05,03,              5.67
38.25,-71.75,2012,05,03,              3.98
38.25,-71.25,2012,05,03,              3.98
38.25,-70.75,2012,05,03,              2.89
38.25,-70.25,2012,05,03,              2.89
38.25,-69.75,2012,05,03,              2.90
38.25,-69.25,2012,05,03,              2.90
38.25,-68.75,2012,05,03,              4.62
38.25,-68.25,2012,05,03,              4.62
38.75,-72.25,2012,05,03,              5.67
38.75,-71.75,2012,05,03,              3.98
38.75,-71.25,2012,05,03,              3.98
38.75,-70.75,2012,05,03,              2.89
38.75,-70.25,2012,05,03,              2.89
38.75,-69.75,2012,05,03,              2.90
38.75,-69.25,2012,05,03,              2.90
38.75,-68.75,2012,05,03,              4.62
38.75,-68.25,2012,05,03,              4.62
39.25,-72.25,2012,05,03,              3.86
39.25,-71.75,2012,05,03,              3.74
39.25,-71.25,2012,05,03,              3.74
39.25,-70.75,2012,05,03,              3.27
39.25,-70.25,2012,05,03,              3.27
39.25,-69.75,2012,05,03,              3.08
39.25,-69.25,2012,05,03,              3.08
39.25,-68.75,2012,05,03,              4.14
39.25,-68.25,2012,05,03,              4.14
39.75,-72.25,2012,05,03,              3.86
39.75,-71.75,2012,05,03,              3.74
39.75,-71.25,2012,05,03,              3.74
39.75,-70.75,2012,05,03,              3.27
39.75,-70.25,2012,05,03,              3.27
39.75,-69.75,2012,05,03,              3.08
39.75,-69.25,2012,05,03,              3.08
39.75,-68.75,2012,05,03,              4.14
39.75,-68.25,2012,05,03,              4.14
40.25,-72.25,2012,05,03,              2.40
40.25,-71.75,2012,05,03,              3.26
40.25,-71.25,2012,05,03,              3.26
40.25,-70.75,2012,05,03,              2.99
40.25,-70.25,2012,05,03,              2.99
40.25,-69.75,2012,05,03,              3.05
40.25,-69.25,2012,05,03,              3.05
40.25,-68.75,2012,05,03,              3.53
40.25,-68.25,2012,05,03,              3.53
40.75,-72.25,2012,05,03,              2.40
40.75,-71.75,2012,05,03,              3.26
40.75,-71.25,2012,05,03,              3.26
40.75,-70.75,2012,05,03,              2.99
40.75,-70.25,2012,05,03,              2.99
40.75,-69.75,2012,05,03,              3.05
40.75,-69.25,2012,05,03,              3.05
40.75,-68.75,2012,05,03,              3.53
40.75,-68.25,2012,05,03,              3.53
41.25,-72.25,2012,05,03,              1.88
41.25,-71.75,2012,05,03,              1.97
41.25,-71.25,2012,05,03,              1.97
41.25,-70.75,2012,05,03,              2.69
41.25,-70.25,2012,05,03,              2.69
41.25,-69.75,2012,05,03,              3.26
41.25,-69.25,2012,05,03,              3.26
41.25,-68.75,2012,05,03,              3.98
41.25,-68.25,2012,05,03,              3.98
41.75,-72.25,2012,05,03,              1.88
41.75,-71.75,2012,05,03,              1.97
41.75,-71.25,2012,05,03,              1.97
41.75,-70.75,2012,05,03,              2.69
41.75,-70.25,2012,05,03,              2.69
41.75,-69.75,2012,05,03,              3.26
41.75,-69.25,2012,05,03,              3.26
41.75,-68.75,2012,05,03,              3.98
41.75,-68.25,2012,05,03,              3.98
42.25,-72.25,2012,05,03,              2.14
42.25,-71.75,2012,05,03,              2.31
42.25,-71.25,2012,05,03,              2.31
42.25,-70.75,2012,05,03,              3.80
42.25,-70.25,2012,05,03,              3.80
42.25,-69.75,2012,05,03,              4.24
42.25,-69.25,2012,05,03,              4.24
42.25,-68.75,2012,05,03,              4.14
42.25,-68.25,2012,05,03,              4.14
38.25,-72.25,2012,05,04,              7.10
38.25,-71.75,2012,05,04,              6.78
38.25,-71.25,2012,05,04,              6.78
38.25,-70.75,2012,05,04,              6.51
38.25,-70.25,2012,05,04,              6.51
38.25,-69.75,2012,05,04,              5.74
38.25,-69.25,2012,05,04,              5.74
38.25,-68.75,2012,05,04,              4.88
38.25,-68.25,2012,05,04,              4.88
38.75,-72.25,2012,05,04,              7.10
38.75,-71.75,2012,05,04,              6.78
38.75,-71.25,2012,05,04,              6.78
38.75,-70.75,2012,05,04,              6.51
38.75,-70.25,2012,05,04,              6.51
38.75,-69.75,2012,05,04,              5.74
38.75,-69.25,2012,05,04,              5.74
38.75,-68.75,2012,05,04,              4.88
38.75,-68.25,2012,05,04,              4.88
39.25,-72.25,2012,05,04,              6.12
39.25,-71.75,2012,05,04,              5.43
39.25,-71.25,2012,05,04,              5.43
39.25,-70.75,2012,05,04,              5.08
39.25,-70.25,2012,05,04,              5.08
39.25,-69.75,2012,05,04,              4.90
39.25,-69.25,2012,05,04,              4.90
39.25,-68.75,2012,05,04,              4.55
39.25,-68.25,2012,05,04,              4.55
39.75,-72.25,2012,05,04,              6.12
39.75,-71.75,2012,05,04,              5.43
39.75,-71.25,2012,05,04,              5.43
39.75,-70.75,2012,05,04,              5.08
39.75,-70.25,2012,05,04,              5.08
39.75,-69.75,2012,05,04,              4.90
39.75,-69.25,2012,05,04,              4.90
39.75,-68.75,2012,05,04,              4.55
39.75,-68.25,2012,05,04,              4.55
