-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-104.25,2012,05,01,              4.77
42.25,-103.75,2012,05,01,              4.62
42.25,-103.25,2012,05,01,              4.62
42.25,-102.75,2012,05,01,              4.47
42.25,-102.25,2012,05,01,              4.47
42.25,-101.75,2012,05,01,              5.41
42.25,-101.25,2012,05,01,              5.41
42.25,-100.75,2012,05,01,              5.45
42.25,-100.25,2012,05,01,              5.45
42.75,-104.25,2012,05,01,              4.77
42.75,-103.75,2012,05,01,              4.62
42.75,-103.25,2012,05,01,              4.62
42.75,-102.75,2012,05,01,              4.47
42.75,-102.25,2012,05,01,              4.47
42.75,-101.75,2012,05,01,              5.41
42.75,-101.25,2012,05,01,              5.41
42.75,-100.75,2012,05,01,              5.45
42.75,-100.25,2012,05,01,              5.45
43.25,-104.25,2012,05,01,              5.98
43.25,-103.75,2012,05,01,              5.11
43.25,-103.25,2012,05,01,              5.11
43.25,-102.75,2012,05,01,              5.16
43.25,-102.25,2012,05,01,              5.16
43.25,-101.75,2012,05,01,              5.46
43.25,-101.25,2012,05,01,              5.46
43.25,-100.75,2012,05,01,              4.37
43.25,-100.25,2012,05,01,              4.37
43.75,-104.25,2012,05,01,              5.98
43.75,-103.75,2012,05,01,              5.11
43.75,-103.25,2012,05,01,              5.11
43.75,-102.75,2012,05,01,              5.16
43.75,-102.25,2012,05,01,              5.16
43.75,-101.75,2012,05,01,              5.46
43.75,-101.25,2012,05,01,              5.46
43.75,-100.75,2012,05,01,              4.37
43.75,-100.25,2012,05,01,              4.37
44.25,-104.25,2012,05,01,              6.53
44.25,-103.75,2012,05,01,              6.53
44.25,-103.25,2012,05,01,              6.53
44.25,-102.75,2012,05,01,              5.87
44.25,-102.25,2012,05,01,              5.87
44.25,-101.75,2012,05,01,              5.56
44.25,-101.25,2012,05,01,              5.56
44.25,-100.75,2012,05,01,              5.18
44.25,-100.25,2012,05,01,              5.18
44.75,-104.25,2012,05,01,              6.53
44.75,-103.75,2012,05,01,              6.53
44.75,-103.25,2012,05,01,              6.53
44.75,-102.75,2012,05,01,              5.87
44.75,-102.25,2012,05,01,              5.87
44.75,-101.75,2012,05,01,              5.56
44.75,-101.25,2012,05,01,              5.56
44.75,-100.75,2012,05,01,              5.18
44.75,-100.25,2012,05,01,              5.18
45.25,-104.25,2012,05,01,              6.74
45.25,-103.75,2012,05,01,              5.91
45.25,-103.25,2012,05,01,              5.91
45.25,-102.75,2012,05,01,              5.91
45.25,-102.25,2012,05,01,              5.91
45.25,-101.75,2012,05,01,              4.88
45.25,-101.25,2012,05,01,              4.88
45.25,-100.75,2012,05,01,              4.88
45.25,-100.25,2012,05,01,              4.88
45.75,-104.25,2012,05,01,              6.74
45.75,-103.75,2012,05,01,              5.91
45.75,-103.25,2012,05,01,              5.91
45.75,-102.75,2012,05,01,              5.91
45.75,-102.25,2012,05,01,              5.91
45.75,-101.75,2012,05,01,              4.88
45.75,-101.25,2012,05,01,              4.88
45.75,-100.75,2012,05,01,              4.88
45.75,-100.25,2012,05,01,              4.88
46.25,-104.25,2012,05,01,              6.59
46.25,-103.75,2012,05,01,              5.09
46.25,-103.25,2012,05,01,              5.09
46.25,-102.75,2012,05,01,              5.09
46.25,-102.25,2012,05,01,              5.09
46.25,-101.75,2012,05,01,              5.08
46.25,-101.25,2012,05,01,              5.08
46.25,-100.75,2012,05,01,              5.08
46.25,-100.25,2012,05,01,              5.08
42.25,-104.25,2012,05,02,              5.13
42.25,-103.75,2012,05,02,              4.90
42.25,-103.25,2012,05,02,              4.90
42.25,-102.75,2012,05,02,              4.75
42.25,-102.25,2012,05,02,              4.75
42.25,-101.75,2012,05,02,              5.19
42.25,-101.25,2012,05,02,              5.19
42.25,-100.75,2012,05,02,              6.04
42.25,-100.25,2012,05,02,              6.04
42.75,-104.25,2012,05,02,              5.13
42.75,-103.75,2012,05,02,              4.90
42.75,-103.25,2012,05,02,              4.90
42.75,-102.75,2012,05,02,              4.75
42.75,-102.25,2012,05,02,              4.75
42.75,-101.75,2012,05,02,              5.19
42.75,-101.25,2012,05,02,              5.19
42.75,-100.75,2012,05,02,              6.04
42.75,-100.25,2012,05,02,              6.04
43.25,-104.25,2012,05,02,              5.62
43.25,-103.75,2012,05,02,              5.35
43.25,-103.25,2012,05,02,              5.35
43.25,-102.75,2012,05,02,              6.11
43.25,-102.25,2012,05,02,              6.11
43.25,-101.75,2012,05,02,              5.94
43.25,-101.25,2012,05,02,              5.94
43.25,-100.75,2012,05,02,              5.21
43.25,-100.25,2012,05,02,              5.21
43.75,-104.25,2012,05,02,              5.62
43.75,-103.75,2012,05,02,              5.35
43.75,-103.25,2012,05,02,              5.35
43.75,-102.75,2012,05,02,              6.11
43.75,-102.25,2012,05,02,              6.11
43.75,-101.75,2012,05,02,              5.94
43.75,-101.25,2012,05,02,              5.94
43.75,-100.75,2012,05,02,              5.21
43.75,-100.25,2012,05,02,              5.21
44.25,-104.25,2012,05,02,              6.15
44.25,-103.75,2012,05,02,              6.25
44.25,-103.25,2012,05,02,              6.25
44.25,-102.75,2012,05,02,              6.84
44.25,-102.25,2012,05,02,              6.84
44.25,-101.75,2012,05,02,              6.26
44.25,-101.25,2012,05,02,              6.26
44.25,-100.75,2012,05,02,              5.60
44.25,-100.25,2012,05,02,              5.60
44.75,-104.25,2012,05,02,              6.15
44.75,-103.75,2012,05,02,              6.25
44.75,-103.25,2012,05,02,              6.25
44.75,-102.75,2012,05,02,              6.84
44.75,-102.25,2012,05,02,              6.84
44.75,-101.75,2012,05,02,              6.26
44.75,-101.25,2012,05,02,              6.26
44.75,-100.75,2012,05,02,              5.60
44.75,-100.25,2012,05,02,              5.60
45.25,-104.25,2012,05,02,              6.53
45.25,-103.75,2012,05,02,              6.70
45.25,-103.25,2012,05,02,              6.70
45.25,-102.75,2012,05,02,              6.70
45.25,-102.25,2012,05,02,              6.70
45.25,-101.75,2012,05,02,              6.59
45.25,-101.25,2012,05,02,              6.59
45.25,-100.75,2012,05,02,              6.59
45.25,-100.25,2012,05,02,              6.59
45.75,-104.25,2012,05,02,              6.53
45.75,-103.75,2012,05,02,              6.70
45.75,-103.25,2012,05,02,              6.70
45.75,-102.75,2012,05,02,              6.70
45.75,-102.25,2012,05,02,              6.70
45.75,-101.75,2012,05,02,              6.59
45.75,-101.25,2012,05,02,              6.59
45.75,-100.75,2012,05,02,              6.59
45.75,-100.25,2012,05,02,              6.59
46.25,-104.25,2012,05,02,              5.99
46.25,-103.75,2012,05,02,              5.46
46.25,-103.25,2012,05,02,              5.46
46.25,-102.75,2012,05,02,              5.46
46.25,-102.25,2012,05,02,              5.46
46.25,-101.75,2012,05,02,              5.73
46.25,-101.25,2012,05,02,              5.73
46.25,-100.75,2012,05,02,              5.73
46.25,-100.25,2012,05,02,              5.73
42.25,-104.25,2012,05,03,              5.71
42.25,-103.75,2012,05,03,              6.88
42.25,-103.25,2012,05,03,              6.88
42.25,-102.75,2012,05,03,              7.24
42.25,-102.25,2012,05,03,              7.24
42.25,-101.75,2012,05,03,              7.49
42.25,-101.25,2012,05,03,              7.49
42.25,-100.75,2012,05,03,              7.49
42.25,-100.25,2012,05,03,              7.49
42.75,-104.25,2012,05,03,              5.71
42.75,-103.75,2012,05,03,              6.88
42.75,-103.25,2012,05,03,              6.88
42.75,-102.75,2012,05,03,              7.24
42.75,-102.25,2012,05,03,              7.24
42.75,-101.75,2012,05,03,              7.49
42.75,-101.25,2012,05,03,              7.49
42.75,-100.75,2012,05,03,              7.49
42.75,-100.25,2012,05,03,              7.49
43.25,-104.25,2012,05,03,              4.50
43.25,-103.75,2012,05,03,              4.68
43.25,-103.25,2012,05,03,              4.68
43.25,-102.75,2012,05,03,              6.27
43.25,-102.25,2012,05,03,              6.27
43.25,-101.75,2012,05,03,              7.16
43.25,-101.25,2012,05,03,              7.16
43.25,-100.75,2012,05,03,              7.31
43.25,-100.25,2012,05,03,              7.31
43.75,-104.25,2012,05,03,              4.50
43.75,-103.75,2012,05,03,              4.68
43.75,-103.25,2012,05,03,              4.68
43.75,-102.75,2012,05,03,              6.27
43.75,-102.25,2012,05,03,              6.27
43.75,-101.75,2012,05,03,              7.16
43.75,-101.25,2012,05,03,              7.16
43.75,-100.75,2012,05,03,              7.31
43.75,-100.25,2012,05,03,              7.31
44.25,-104.25,2012,05,03,              4.20
44.25,-103.75,2012,05,03,              3.64
44.25,-103.25,2012,05,03,              3.64
44.25,-102.75,2012,05,03,              4.00
44.25,-102.25,2012,05,03,              4.00
44.25,-101.75,2012,05,03,              6.21
44.25,-101.25,2012,05,03,              6.21
44.25,-100.75,2012,05,03,              7.05
44.25,-100.25,2012,05,03,              7.05
44.75,-104.25,2012,05,03,              4.20
44.75,-103.75,2012,05,03,              3.64
44.75,-103.25,2012,05,03,              3.64
44.75,-102.75,2012,05,03,              4.00
44.75,-102.25,2012,05,03,              4.00
44.75,-101.75,2012,05,03,              6.21
44.75,-101.25,2012,05,03,              6.21
44.75,-100.75,2012,05,03,              7.05
44.75,-100.25,2012,05,03,              7.05
45.25,-104.25,2012,05,03,              6.07
45.25,-103.75,2012,05,03,              5.70
45.25,-103.25,2012,05,03,              5.70
45.25,-102.75,2012,05,03,              5.70
45.25,-102.25,2012,05,03,              5.70
45.25,-101.75,2012,05,03,              6.55
45.25,-101.25,2012,05,03,              6.55
45.25,-100.75,2012,05,03,              6.55
45.25,-100.25,2012,05,03,              6.55
45.75,-104.25,2012,05,03,              6.07
45.75,-103.75,2012,05,03,              5.70
45.75,-103.25,2012,05,03,              5.70
45.75,-102.75,2012,05,03,              5.70
45.75,-102.25,2012,05,03,              5.70
45.75,-101.75,2012,05,03,              6.55
45.75,-101.25,2012,05,03,              6.55
45.75,-100.75,2012,05,03,              6.55
45.75,-100.25,2012,05,03,              6.55
46.25,-104.25,2012,05,03,              5.58
46.25,-103.75,2012,05,03,              5.16
46.25,-103.25,2012,05,03,              5.16
46.25,-102.75,2012,05,03,              5.16
46.25,-102.25,2012,05,03,              5.16
46.25,-101.75,2012,05,03,              5.13
46.25,-101.25,2012,05,03,              5.13
46.25,-100.75,2012,05,03,              5.13
46.25,-100.25,2012,05,03,              5.13
42.25,-104.25,2012,05,04,              6.94
42.25,-103.75,2012,05,04,              7.41
42.25,-103.25,2012,05,04,              7.41
42.25,-102.75,2012,05,04,              7.31
42.25,-102.25,2012,05,04,              7.31
42.25,-101.75,2012,05,04,              6.57
42.25,-101.25,2012,05,04,              6.57
42.25,-100.75,2012,05,04,              5.06
42.25,-100.25,2012,05,04,              5.06
42.75,-104.25,2012,05,04,              6.94
42.75,-103.75,2012,05,04,              7.41
42.75,-103.25,2012,05,04,              7.41
42.75,-102.75,2012,05,04,              7.31
42.75,-102.25,2012,05,04,              7.31
42.75,-101.75,2012,05,04,              6.57
42.75,-101.25,2012,05,04,              6.57
42.75,-100.75,2012,05,04,              5.06
42.75,-100.25,2012,05,04,              5.06
43.25,-104.25,2012,05,04,              6.57
43.25,-103.75,2012,05,04,              6.36
43.25,-103.25,2012,05,04,              6.36
43.25,-102.75,2012,05,04,              6.66
43.25,-102.25,2012,05,04,              6.66
43.25,-101.75,2012,05,04,              5.49
43.25,-101.25,2012,05,04,              5.49
43.25,-100.75,2012,05,04,              3.40
43.25,-100.25,2012,05,04,              3.40
43.75,-104.25,2012,05,04,              6.57
43.75,-103.75,2012,05,04,              6.36
43.75,-103.25,2012,05,04,              6.36
43.75,-102.75,2012,05,04,              6.66
43.75,-102.25,2012,05,04,              6.66
43.75,-101.75,2012,05,04,              5.49
43.75,-101.25,2012,05,04,              5.49
43.75,-100.75,2012,05,04,              3.40
43.75,-100.25,2012,05,04,              3.40
44.25,-104.25,2012,05,04,              5.39
44.25,-103.75,2012,05,04,              5.04
44.25,-103.25,2012,05,04,              5.04
44.25,-102.75,2012,05,04,              6.36
44.25,-102.25,2012,05,04,              6.36
