-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-120.25,2012,05,01,              7.50
42.25,-119.75,2012,05,01,              7.40
42.25,-119.25,2012,05,01,              7.40
42.25,-118.75,2012,05,01,              7.23
42.25,-118.25,2012,05,01,              7.23
42.25,-117.75,2012,05,01,              7.36
42.25,-117.25,2012,05,01,              7.36
42.25,-116.75,2012,05,01,              7.40
42.25,-116.25,2012,05,01,              7.40
42.75,-120.25,2012,05,01,              7.50
42.75,-119.75,2012,05,01,              7.40
42.75,-119.25,2012,05,01,              7.40
42.75,-118.75,2012,05,01,              7.23
42.75,-118.25,2012,05,01,              7.23
42.75,-117.75,2012,05,01,              7.36
42.75,-117.25,2012,05,01,              7.36
42.75,-116.75,2012,05,01,              7.40
42.75,-116.25,2012,05,01,              7.40
43.25,-120.25,2012,05,01,              7.56
43.25,-119.75,2012,05,01,              7.37
43.25,-119.25,2012,05,01,              7.37
43.25,-118.75,2012,05,01,              7.37
43.25,-118.25,2012,05,01,              7.37
43.25,-117.75,2012,05,01,              7.20
43.25,-117.25,2012,05,01,              7.20
43.25,-116.75,2012,05,01,              7.22
43.25,-116.25,2012,05,01,              7.22
43.75,-120.25,2012,05,01,              7.56
43.75,-119.75,2012,05,01,              7.37
43.75,-119.25,2012,05,01,              7.37
43.75,-118.75,2012,05,01,              7.37
43.75,-118.25,2012,05,01,              7.37
43.75,-117.75,2012,05,01,              7.20
43.75,-117.25,2012,05,01,              7.20
43.75,-116.75,2012,05,01,              7.22
43.75,-116.25,2012,05,01,              7.22
44.25,-120.25,2012,05,01,              7.12
44.25,-119.75,2012,05,01,              7.00
44.25,-119.25,2012,05,01,              7.00
44.25,-118.75,2012,05,01,              6.90
44.25,-118.25,2012,05,01,              6.90
44.25,-117.75,2012,05,01,              6.96
44.25,-117.25,2012,05,01,              6.96
44.25,-116.75,2012,05,01,              6.92
44.25,-116.25,2012,05,01,              6.92
44.75,-120.25,2012,05,01,              7.12
44.75,-119.75,2012,05,01,              7.00
44.75,-119.25,2012,05,01,              7.00
44.75,-118.75,2012,05,01,              6.90
44.75,-118.25,2012,05,01,              6.90
44.75,-117.75,2012,05,01,              6.96
44.75,-117.25,2012,05,01,              6.96
44.75,-116.75,2012,05,01,              6.92
44.75,-116.25,2012,05,01,              6.92
45.25,-120.25,2012,05,01,              5.25
45.25,-119.75,2012,05,01,              5.42
45.25,-119.25,2012,05,01,              5.42
45.25,-118.75,2012,05,01,              5.42
45.25,-118.25,2012,05,01,              5.42
45.25,-117.75,2012,05,01,              4.91
45.25,-117.25,2012,05,01,              4.91
45.25,-116.75,2012,05,01,              4.91
45.25,-116.25,2012,05,01,              4.91
45.75,-120.25,2012,05,01,              5.25
45.75,-119.75,2012,05,01,              5.42
45.75,-119.25,2012,05,01,              5.42
45.75,-118.75,2012,05,01,              5.42
45.75,-118.25,2012,05,01,              5.42
45.75,-117.75,2012,05,01,              4.91
45.75,-117.25,2012,05,01,              4.91
45.75,-116.75,2012,05,01,              4.91
45.75,-116.25,2012,05,01,              4.91
46.25,-120.25,2012,05,01,              4.87
46.25,-119.75,2012,05,01,              4.94
46.25,-119.25,2012,05,01,              4.94
46.25,-118.75,2012,05,01,              4.94
46.25,-118.25,2012,05,01,              4.94
46.25,-117.75,2012,05,01,              4.30
46.25,-117.25,2012,05,01,              4.30
46.25,-116.75,2012,05,01,              4.30
46.25,-116.25,2012,05,01,              4.30
42.25,-120.25,2012,05,02,              5.56
42.25,-119.75,2012,05,02,              5.37
42.25,-119.25,2012,05,02,              5.37
42.25,-118.75,2012,05,02,              6.14
42.25,-118.25,2012,05,02,              6.14
42.25,-117.75,2012,05,02,              6.40
42.25,-117.25,2012,05,02,              6.40
42.25,-116.75,2012,05,02,              7.28
42.25,-116.25,2012,05,02,              7.28
42.75,-120.25,2012,05,02,              5.56
42.75,-119.75,2012,05,02,              5.37
42.75,-119.25,2012,05,02,              5.37
42.75,-118.75,2012,05,02,              6.14
42.75,-118.25,2012,05,02,              6.14
42.75,-117.75,2012,05,02,              6.40
42.75,-117.25,2012,05,02,              6.40
42.75,-116.75,2012,05,02,              7.28
42.75,-116.25,2012,05,02,              7.28
43.25,-120.25,2012,05,02,              6.32
43.25,-119.75,2012,05,02,              6.46
43.25,-119.25,2012,05,02,              6.46
43.25,-118.75,2012,05,02,              6.69
43.25,-118.25,2012,05,02,              6.69
43.25,-117.75,2012,05,02,              6.49
43.25,-117.25,2012,05,02,              6.49
43.25,-116.75,2012,05,02,              6.67
43.25,-116.25,2012,05,02,              6.67
43.75,-120.25,2012,05,02,              6.32
43.75,-119.75,2012,05,02,              6.46
43.75,-119.25,2012,05,02,              6.46
43.75,-118.75,2012,05,02,              6.69
43.75,-118.25,2012,05,02,              6.69
43.75,-117.75,2012,05,02,              6.49
43.75,-117.25,2012,05,02,              6.49
43.75,-116.75,2012,05,02,              6.67
43.75,-116.25,2012,05,02,              6.67
44.25,-120.25,2012,05,02,              6.41
44.25,-119.75,2012,05,02,              6.04
44.25,-119.25,2012,05,02,              6.04
44.25,-118.75,2012,05,02,              6.04
44.25,-118.25,2012,05,02,              6.04
44.25,-117.75,2012,05,02,              5.96
44.25,-117.25,2012,05,02,              5.96
44.25,-116.75,2012,05,02,              5.76
44.25,-116.25,2012,05,02,              5.76
44.75,-120.25,2012,05,02,              6.41
44.75,-119.75,2012,05,02,              6.04
44.75,-119.25,2012,05,02,              6.04
44.75,-118.75,2012,05,02,              6.04
44.75,-118.25,2012,05,02,              6.04
44.75,-117.75,2012,05,02,              5.96
44.75,-117.25,2012,05,02,              5.96
44.75,-116.75,2012,05,02,              5.76
44.75,-116.25,2012,05,02,              5.76
45.25,-120.25,2012,05,02,              5.59
45.25,-119.75,2012,05,02,              5.89
45.25,-119.25,2012,05,02,              5.89
45.25,-118.75,2012,05,02,              5.89
45.25,-118.25,2012,05,02,              5.89
45.25,-117.75,2012,05,02,              5.54
45.25,-117.25,2012,05,02,              5.54
45.25,-116.75,2012,05,02,              5.54
45.25,-116.25,2012,05,02,              5.54
45.75,-120.25,2012,05,02,              5.59
45.75,-119.75,2012,05,02,              5.89
45.75,-119.25,2012,05,02,              5.89
45.75,-118.75,2012,05,02,              5.89
45.75,-118.25,2012,05,02,              5.89
45.75,-117.75,2012,05,02,              5.54
45.75,-117.25,2012,05,02,              5.54
45.75,-116.75,2012,05,02,              5.54
45.75,-116.25,2012,05,02,              5.54
46.25,-120.25,2012,05,02,              5.39
46.25,-119.75,2012,05,02,              6.60
46.25,-119.25,2012,05,02,              6.60
46.25,-118.75,2012,05,02,              6.60
46.25,-118.25,2012,05,02,              6.60
46.25,-117.75,2012,05,02,              5.53
46.25,-117.25,2012,05,02,              5.53
46.25,-116.75,2012,05,02,              5.53
46.25,-116.25,2012,05,02,              5.53
42.25,-120.25,2012,05,03,              5.27
42.25,-119.75,2012,05,03,              5.46
42.25,-119.25,2012,05,03,              5.46
42.25,-118.75,2012,05,03,              4.96
42.25,-118.25,2012,05,03,              4.96
42.25,-117.75,2012,05,03,              4.97
42.25,-117.25,2012,05,03,              4.97
42.25,-116.75,2012,05,03,              3.58
42.25,-116.25,2012,05,03,              3.58
42.75,-120.25,2012,05,03,              5.27
42.75,-119.75,2012,05,03,              5.46
42.75,-119.25,2012,05,03,              5.46
42.75,-118.75,2012,05,03,              4.96
42.75,-118.25,2012,05,03,              4.96
42.75,-117.75,2012,05,03,              4.97
42.75,-117.25,2012,05,03,              4.97
42.75,-116.75,2012,05,03,              3.58
42.75,-116.25,2012,05,03,              3.58
43.25,-120.25,2012,05,03,              5.02
43.25,-119.75,2012,05,03,              4.80
43.25,-119.25,2012,05,03,              4.80
43.25,-118.75,2012,05,03,              5.23
43.25,-118.25,2012,05,03,              5.23
43.25,-117.75,2012,05,03,              4.55
43.25,-117.25,2012,05,03,              4.55
43.25,-116.75,2012,05,03,              3.33
43.25,-116.25,2012,05,03,              3.33
43.75,-120.25,2012,05,03,              5.02
43.75,-119.75,2012,05,03,              4.80
43.75,-119.25,2012,05,03,              4.80
43.75,-118.75,2012,05,03,              5.23
43.75,-118.25,2012,05,03,              5.23
43.75,-117.75,2012,05,03,              4.55
43.75,-117.25,2012,05,03,              4.55
43.75,-116.75,2012,05,03,              3.33
43.75,-116.25,2012,05,03,              3.33
44.25,-120.25,2012,05,03,              4.81
44.25,-119.75,2012,05,03,              4.60
44.25,-119.25,2012,05,03,              4.60
44.25,-118.75,2012,05,03,              3.94
44.25,-118.25,2012,05,03,              3.94
44.25,-117.75,2012,05,03,              4.00
44.25,-117.25,2012,05,03,              4.00
44.25,-116.75,2012,05,03,              2.36
44.25,-116.25,2012,05,03,              2.36
44.75,-120.25,2012,05,03,              4.81
44.75,-119.75,2012,05,03,              4.60
44.75,-119.25,2012,05,03,              4.60
44.75,-118.75,2012,05,03,              3.94
44.75,-118.25,2012,05,03,              3.94
44.75,-117.75,2012,05,03,              4.00
44.75,-117.25,2012,05,03,              4.00
