-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-120.25,2012,05,01,              4.87
46.25,-119.75,2012,05,01,              4.94
46.25,-119.25,2012,05,01,              4.94
46.25,-118.75,2012,05,01,              4.94
46.25,-118.25,2012,05,01,              4.94
46.25,-117.75,2012,05,01,              4.30
46.25,-117.25,2012,05,01,              4.30
46.25,-116.75,2012,05,01,              4.30
46.25,-116.25,2012,05,01,              4.30
46.75,-120.25,2012,05,01,              4.87
46.75,-119.75,2012,05,01,              4.94
46.75,-119.25,2012,05,01,              4.94
46.75,-118.75,2012,05,01,              4.94
46.75,-118.25,2012,05,01,              4.94
46.75,-117.75,2012,05,01,              4.30
46.75,-117.25,2012,05,01,              4.30
46.75,-116.75,2012,05,01,              4.30
46.75,-116.25,2012,05,01,              4.30
47.25,-120.25,2012,05,01,              5.18
47.25,-119.75,2012,05,01,              5.11
47.25,-119.25,2012,05,01,              5.11
47.25,-118.75,2012,05,01,              5.11
47.25,-118.25,2012,05,01,              5.11
47.25,-117.75,2012,05,01,              4.12
47.25,-117.25,2012,05,01,              4.12
47.25,-116.75,2012,05,01,              4.12
47.25,-116.25,2012,05,01,              4.12
47.75,-120.25,2012,05,01,              5.18
47.75,-119.75,2012,05,01,              5.11
47.75,-119.25,2012,05,01,              5.11
47.75,-118.75,2012,05,01,              5.11
47.75,-118.25,2012,05,01,              5.11
47.75,-117.75,2012,05,01,              4.12
47.75,-117.25,2012,05,01,              4.12
47.75,-116.75,2012,05,01,              4.12
47.75,-116.25,2012,05,01,              4.12
48.25,-120.25,2012,05,01,              3.93
48.25,-119.75,2012,05,01,              4.72
48.25,-119.25,2012,05,01,              4.72
48.25,-118.75,2012,05,01,              4.72
48.25,-118.25,2012,05,01,              4.72
48.25,-117.75,2012,05,01,              4.15
48.25,-117.25,2012,05,01,              4.15
48.25,-116.75,2012,05,01,              4.15
48.25,-116.25,2012,05,01,              4.15
48.75,-120.25,2012,05,01,              3.93
48.75,-119.75,2012,05,01,              4.72
48.75,-119.25,2012,05,01,              4.72
48.75,-118.75,2012,05,01,              4.72
48.75,-118.25,2012,05,01,              4.72
48.75,-117.75,2012,05,01,              4.15
48.75,-117.25,2012,05,01,              4.15
48.75,-116.75,2012,05,01,              4.15
48.75,-116.25,2012,05,01,              4.15
49.25,-120.25,2012,05,01,              4.51
49.25,-119.75,2012,05,01,              4.21
49.25,-119.25,2012,05,01,              4.21
49.25,-118.75,2012,05,01,              4.21
49.25,-118.25,2012,05,01,              4.21
49.25,-117.75,2012,05,01,              4.23
49.25,-117.25,2012,05,01,              4.23
49.25,-116.75,2012,05,01,              4.23
49.25,-116.25,2012,05,01,              4.23
49.75,-120.25,2012,05,01,              4.51
49.75,-119.75,2012,05,01,              4.21
49.75,-119.25,2012,05,01,              4.21
49.75,-118.75,2012,05,01,              4.21
49.75,-118.25,2012,05,01,              4.21
49.75,-117.75,2012,05,01,              4.23
