-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-100.25,2012,05,01,              7.19
38.25,-99.75,2012,05,01,              7.47
38.25,-99.25,2012,05,01,              7.47
38.25,-98.75,2012,05,01,              7.18
38.25,-98.25,2012,05,01,              7.18
38.25,-97.75,2012,05,01,              6.19
38.25,-97.25,2012,05,01,              6.19
38.25,-96.75,2012,05,01,              5.81
38.25,-96.25,2012,05,01,              5.81
38.75,-100.25,2012,05,01,              7.19
38.75,-99.75,2012,05,01,              7.47
38.75,-99.25,2012,05,01,              7.47
38.75,-98.75,2012,05,01,              7.18
38.75,-98.25,2012,05,01,              7.18
38.75,-97.75,2012,05,01,              6.19
38.75,-97.25,2012,05,01,              6.19
38.75,-96.75,2012,05,01,              5.81
38.75,-96.25,2012,05,01,              5.81
39.25,-100.25,2012,05,01,              6.34
39.25,-99.75,2012,05,01,              7.09
39.25,-99.25,2012,05,01,              7.09
39.25,-98.75,2012,05,01,              6.92
39.25,-98.25,2012,05,01,              6.92
39.25,-97.75,2012,05,01,              6.12
39.25,-97.25,2012,05,01,              6.12
39.25,-96.75,2012,05,01,              6.14
39.25,-96.25,2012,05,01,              6.14
39.75,-100.25,2012,05,01,              6.34
39.75,-99.75,2012,05,01,              7.09
39.75,-99.25,2012,05,01,              7.09
39.75,-98.75,2012,05,01,              6.92
39.75,-98.25,2012,05,01,              6.92
39.75,-97.75,2012,05,01,              6.12
39.75,-97.25,2012,05,01,              6.12
39.75,-96.75,2012,05,01,              6.14
39.75,-96.25,2012,05,01,              6.14
40.25,-100.25,2012,05,01,              4.83
40.25,-99.75,2012,05,01,              5.40
40.25,-99.25,2012,05,01,              5.40
40.25,-98.75,2012,05,01,              6.47
40.25,-98.25,2012,05,01,              6.47
40.25,-97.75,2012,05,01,              6.09
40.25,-97.25,2012,05,01,              6.09
40.25,-96.75,2012,05,01,              7.02
40.25,-96.25,2012,05,01,              7.02
40.75,-100.25,2012,05,01,              4.83
40.75,-99.75,2012,05,01,              5.40
40.75,-99.25,2012,05,01,              5.40
40.75,-98.75,2012,05,01,              6.47
40.75,-98.25,2012,05,01,              6.47
40.75,-97.75,2012,05,01,              6.09
40.75,-97.25,2012,05,01,              6.09
40.75,-96.75,2012,05,01,              7.02
40.75,-96.25,2012,05,01,              7.02
41.25,-100.25,2012,05,01,              5.49
41.25,-99.75,2012,05,01,              5.46
41.25,-99.25,2012,05,01,              5.46
41.25,-98.75,2012,05,01,              5.51
41.25,-98.25,2012,05,01,              5.51
41.25,-97.75,2012,05,01,              6.02
41.25,-97.25,2012,05,01,              6.02
41.25,-96.75,2012,05,01,              6.62
41.25,-96.25,2012,05,01,              6.62
41.75,-100.25,2012,05,01,              5.49
41.75,-99.75,2012,05,01,              5.46
41.75,-99.25,2012,05,01,              5.46
41.75,-98.75,2012,05,01,              5.51
41.75,-98.25,2012,05,01,              5.51
41.75,-97.75,2012,05,01,              6.02
41.75,-97.25,2012,05,01,              6.02
41.75,-96.75,2012,05,01,              6.62
41.75,-96.25,2012,05,01,              6.62
42.25,-100.25,2012,05,01,              5.45
42.25,-99.75,2012,05,01,              5.58
42.25,-99.25,2012,05,01,              5.58
42.25,-98.75,2012,05,01,              6.51
42.25,-98.25,2012,05,01,              6.51
42.25,-97.75,2012,05,01,              6.39
42.25,-97.25,2012,05,01,              6.39
42.25,-96.75,2012,05,01,              6.57
42.25,-96.25,2012,05,01,              6.57
38.25,-100.25,2012,05,02,              7.41
38.25,-99.75,2012,05,02,              7.39
38.25,-99.25,2012,05,02,              7.39
38.25,-98.75,2012,05,02,              7.32
38.25,-98.25,2012,05,02,              7.32
38.25,-97.75,2012,05,02,              6.44
38.25,-97.25,2012,05,02,              6.44
38.25,-96.75,2012,05,02,              5.28
38.25,-96.25,2012,05,02,              5.28
38.75,-100.25,2012,05,02,              7.41
38.75,-99.75,2012,05,02,              7.39
38.75,-99.25,2012,05,02,              7.39
38.75,-98.75,2012,05,02,              7.32
38.75,-98.25,2012,05,02,              7.32
38.75,-97.75,2012,05,02,              6.44
38.75,-97.25,2012,05,02,              6.44
38.75,-96.75,2012,05,02,              5.28
38.75,-96.25,2012,05,02,              5.28
39.25,-100.25,2012,05,02,              7.40
39.25,-99.75,2012,05,02,              7.22
39.25,-99.25,2012,05,02,              7.22
39.25,-98.75,2012,05,02,              6.80
39.25,-98.25,2012,05,02,              6.80
39.25,-97.75,2012,05,02,              5.71
39.25,-97.25,2012,05,02,              5.71
39.25,-96.75,2012,05,02,              4.92
39.25,-96.25,2012,05,02,              4.92
39.75,-100.25,2012,05,02,              7.40
39.75,-99.75,2012,05,02,              7.22
39.75,-99.25,2012,05,02,              7.22
39.75,-98.75,2012,05,02,              6.80
39.75,-98.25,2012,05,02,              6.80
39.75,-97.75,2012,05,02,              5.71
39.75,-97.25,2012,05,02,              5.71
39.75,-96.75,2012,05,02,              4.92
39.75,-96.25,2012,05,02,              4.92
40.25,-100.25,2012,05,02,              7.14
40.25,-99.75,2012,05,02,              7.28
40.25,-99.25,2012,05,02,              7.28
40.25,-98.75,2012,05,02,              7.03
40.25,-98.25,2012,05,02,              7.03
40.25,-97.75,2012,05,02,              6.04
40.25,-97.25,2012,05,02,              6.04
40.25,-96.75,2012,05,02,              4.99
40.25,-96.25,2012,05,02,              4.99
40.75,-100.25,2012,05,02,              7.14
40.75,-99.75,2012,05,02,              7.28
40.75,-99.25,2012,05,02,              7.28
40.75,-98.75,2012,05,02,              7.03
40.75,-98.25,2012,05,02,              7.03
40.75,-97.75,2012,05,02,              6.04
40.75,-97.25,2012,05,02,              6.04
40.75,-96.75,2012,05,02,              4.99
40.75,-96.25,2012,05,02,              4.99
41.25,-100.25,2012,05,02,              7.04
41.25,-99.75,2012,05,02,              7.21
41.25,-99.25,2012,05,02,              7.21
41.25,-98.75,2012,05,02,              7.28
41.25,-98.25,2012,05,02,              7.28
41.25,-97.75,2012,05,02,              6.74
41.25,-97.25,2012,05,02,              6.74
41.25,-96.75,2012,05,02,              5.69
41.25,-96.25,2012,05,02,              5.69
41.75,-100.25,2012,05,02,              7.04
41.75,-99.75,2012,05,02,              7.21
41.75,-99.25,2012,05,02,              7.21
41.75,-98.75,2012,05,02,              7.28
41.75,-98.25,2012,05,02,              7.28
41.75,-97.75,2012,05,02,              6.74
41.75,-97.25,2012,05,02,              6.74
41.75,-96.75,2012,05,02,              5.69
41.75,-96.25,2012,05,02,              5.69
42.25,-100.25,2012,05,02,              6.04
42.25,-99.75,2012,05,02,              6.78
42.25,-99.25,2012,05,02,              6.78
42.25,-98.75,2012,05,02,              7.01
42.25,-98.25,2012,05,02,              7.01
42.25,-97.75,2012,05,02,              6.74
42.25,-97.25,2012,05,02,              6.74
42.25,-96.75,2012,05,02,              5.39
42.25,-96.25,2012,05,02,              5.39
38.25,-100.25,2012,05,03,              7.29
38.25,-99.75,2012,05,03,              6.69
38.25,-99.25,2012,05,03,              6.69
38.25,-98.75,2012,05,03,              6.21
38.25,-98.25,2012,05,03,              6.21
38.25,-97.75,2012,05,03,              5.79
38.25,-97.25,2012,05,03,              5.79
38.25,-96.75,2012,05,03,              5.73
38.25,-96.25,2012,05,03,              5.73
38.75,-100.25,2012,05,03,              7.29
38.75,-99.75,2012,05,03,              6.69
38.75,-99.25,2012,05,03,              6.69
38.75,-98.75,2012,05,03,              6.21
38.75,-98.25,2012,05,03,              6.21
38.75,-97.75,2012,05,03,              5.79
38.75,-97.25,2012,05,03,              5.79
38.75,-96.75,2012,05,03,              5.73
38.75,-96.25,2012,05,03,              5.73
39.25,-100.25,2012,05,03,              7.39
39.25,-99.75,2012,05,03,              6.38
39.25,-99.25,2012,05,03,              6.38
39.25,-98.75,2012,05,03,              4.74
39.25,-98.25,2012,05,03,              4.74
39.25,-97.75,2012,05,03,              4.45
39.25,-97.25,2012,05,03,              4.45
39.25,-96.75,2012,05,03,              4.63
39.25,-96.25,2012,05,03,              4.63
39.75,-100.25,2012,05,03,              7.39
39.75,-99.75,2012,05,03,              6.38
39.75,-99.25,2012,05,03,              6.38
39.75,-98.75,2012,05,03,              4.74
39.75,-98.25,2012,05,03,              4.74
39.75,-97.75,2012,05,03,              4.45
39.75,-97.25,2012,05,03,              4.45
39.75,-96.75,2012,05,03,              4.63
39.75,-96.25,2012,05,03,              4.63
40.25,-100.25,2012,05,03,              7.09
40.25,-99.75,2012,05,03,              7.01
40.25,-99.25,2012,05,03,              7.01
40.25,-98.75,2012,05,03,              5.47
40.25,-98.25,2012,05,03,              5.47
40.25,-97.75,2012,05,03,              3.61
40.25,-97.25,2012,05,03,              3.61
40.25,-96.75,2012,05,03,              4.79
40.25,-96.25,2012,05,03,              4.79
40.75,-100.25,2012,05,03,              7.09
40.75,-99.75,2012,05,03,              7.01
40.75,-99.25,2012,05,03,              7.01
40.75,-98.75,2012,05,03,              5.47
40.75,-98.25,2012,05,03,              5.47
40.75,-97.75,2012,05,03,              3.61
40.75,-97.25,2012,05,03,              3.61
40.75,-96.75,2012,05,03,              4.79
40.75,-96.25,2012,05,03,              4.79
41.25,-100.25,2012,05,03,              7.39
41.25,-99.75,2012,05,03,              7.21
41.25,-99.25,2012,05,03,              7.21
41.25,-98.75,2012,05,03,              6.97
41.25,-98.25,2012,05,03,              6.97
41.25,-97.75,2012,05,03,              6.63
41.25,-97.25,2012,05,03,              6.63
41.25,-96.75,2012,05,03,              6.80
41.25,-96.25,2012,05,03,              6.80
41.75,-100.25,2012,05,03,              7.39
41.75,-99.75,2012,05,03,              7.21
41.75,-99.25,2012,05,03,              7.21
41.75,-98.75,2012,05,03,              6.97
41.75,-98.25,2012,05,03,              6.97
41.75,-97.75,2012,05,03,              6.63
41.75,-97.25,2012,05,03,              6.63
41.75,-96.75,2012,05,03,              6.80
