-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-84.25,2012,05,01,              5.80
26.25,-83.75,2012,05,01,              6.62
26.25,-83.25,2012,05,01,              6.62
26.25,-82.75,2012,05,01,              6.99
26.25,-82.25,2012,05,01,              6.99
26.25,-81.75,2012,05,01,              5.43
26.25,-81.25,2012,05,01,              5.43
26.25,-80.75,2012,05,01,              4.95
26.25,-80.25,2012,05,01,              4.95
26.75,-84.25,2012,05,01,              5.80
26.75,-83.75,2012,05,01,              6.62
26.75,-83.25,2012,05,01,              6.62
26.75,-82.75,2012,05,01,              6.99
26.75,-82.25,2012,05,01,              6.99
26.75,-81.75,2012,05,01,              5.43
26.75,-81.25,2012,05,01,              5.43
26.75,-80.75,2012,05,01,              4.95
26.75,-80.25,2012,05,01,              4.95
27.25,-84.25,2012,05,01,              7.49
27.25,-83.75,2012,05,01,              7.60
27.25,-83.25,2012,05,01,              7.60
27.25,-82.75,2012,05,01,              6.46
27.25,-82.25,2012,05,01,              6.46
27.25,-81.75,2012,05,01,              5.58
27.25,-81.25,2012,05,01,              5.58
27.25,-80.75,2012,05,01,              6.45
27.25,-80.25,2012,05,01,              6.45
27.75,-84.25,2012,05,01,              7.49
27.75,-83.75,2012,05,01,              7.60
27.75,-83.25,2012,05,01,              7.60
27.75,-82.75,2012,05,01,              6.46
27.75,-82.25,2012,05,01,              6.46
27.75,-81.75,2012,05,01,              5.58
27.75,-81.25,2012,05,01,              5.58
27.75,-80.75,2012,05,01,              6.45
27.75,-80.25,2012,05,01,              6.45
28.25,-84.25,2012,05,01,              7.65
28.25,-83.75,2012,05,01,              7.64
28.25,-83.25,2012,05,01,              7.64
28.25,-82.75,2012,05,01,              6.52
28.25,-82.25,2012,05,01,              6.52
28.25,-81.75,2012,05,01,              5.82
28.25,-81.25,2012,05,01,              5.82
28.25,-80.75,2012,05,01,              6.95
28.25,-80.25,2012,05,01,              6.95
28.75,-84.25,2012,05,01,              7.65
28.75,-83.75,2012,05,01,              7.64
28.75,-83.25,2012,05,01,              7.64
28.75,-82.75,2012,05,01,              6.52
28.75,-82.25,2012,05,01,              6.52
28.75,-81.75,2012,05,01,              5.82
28.75,-81.25,2012,05,01,              5.82
28.75,-80.75,2012,05,01,              6.95
28.75,-80.25,2012,05,01,              6.95
29.25,-84.25,2012,05,01,              7.68
29.25,-83.75,2012,05,01,              7.17
29.25,-83.25,2012,05,01,              7.17
29.25,-82.75,2012,05,01,              6.48
29.25,-82.25,2012,05,01,              6.48
29.25,-81.75,2012,05,01,              6.36
29.25,-81.25,2012,05,01,              6.36
29.25,-80.75,2012,05,01,              7.67
29.25,-80.25,2012,05,01,              7.67
29.75,-84.25,2012,05,01,              7.68
29.75,-83.75,2012,05,01,              7.17
29.75,-83.25,2012,05,01,              7.17
29.75,-82.75,2012,05,01,              6.48
29.75,-82.25,2012,05,01,              6.48
29.75,-81.75,2012,05,01,              6.36
29.75,-81.25,2012,05,01,              6.36
29.75,-80.75,2012,05,01,              7.67
29.75,-80.25,2012,05,01,              7.67
30.25,-84.25,2012,05,01,              7.15
30.25,-83.75,2012,05,01,              7.06
30.25,-83.25,2012,05,01,              7.06
30.25,-82.75,2012,05,01,              6.84
30.25,-82.25,2012,05,01,              6.84
30.25,-81.75,2012,05,01,              7.09
30.25,-81.25,2012,05,01,              7.09
30.25,-80.75,2012,05,01,              7.71
30.25,-80.25,2012,05,01,              7.71
26.25,-84.25,2012,05,02,              6.50
26.25,-83.75,2012,05,02,              7.46
26.25,-83.25,2012,05,02,              7.46
26.25,-82.75,2012,05,02,              7.16
26.25,-82.25,2012,05,02,              7.16
26.25,-81.75,2012,05,02,              5.91
26.25,-81.25,2012,05,02,              5.91
26.25,-80.75,2012,05,02,              6.51
26.25,-80.25,2012,05,02,              6.51
26.75,-84.25,2012,05,02,              6.50
26.75,-83.75,2012,05,02,              7.46
26.75,-83.25,2012,05,02,              7.46
