-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-92.25,2012,05,01,              6.55
30.25,-91.75,2012,05,01,              6.38
30.25,-91.25,2012,05,01,              6.38
30.25,-90.75,2012,05,01,              6.71
30.25,-90.25,2012,05,01,              6.71
30.25,-89.75,2012,05,01,              6.97
30.25,-89.25,2012,05,01,              6.97
30.25,-88.75,2012,05,01,              7.43
30.25,-88.25,2012,05,01,              7.43
30.75,-92.25,2012,05,01,              6.55
30.75,-91.75,2012,05,01,              6.38
30.75,-91.25,2012,05,01,              6.38
30.75,-90.75,2012,05,01,              6.71
30.75,-90.25,2012,05,01,              6.71
30.75,-89.75,2012,05,01,              6.97
30.75,-89.25,2012,05,01,              6.97
30.75,-88.75,2012,05,01,              7.43
30.75,-88.25,2012,05,01,              7.43
31.25,-92.25,2012,05,01,              6.81
31.25,-91.75,2012,05,01,              6.49
31.25,-91.25,2012,05,01,              6.49
31.25,-90.75,2012,05,01,              6.54
31.25,-90.25,2012,05,01,              6.54
31.25,-89.75,2012,05,01,              6.57
31.25,-89.25,2012,05,01,              6.57
31.25,-88.75,2012,05,01,              6.58
31.25,-88.25,2012,05,01,              6.58
31.75,-92.25,2012,05,01,              6.81
31.75,-91.75,2012,05,01,              6.49
31.75,-91.25,2012,05,01,              6.49
31.75,-90.75,2012,05,01,              6.54
31.75,-90.25,2012,05,01,              6.54
31.75,-89.75,2012,05,01,              6.57
31.75,-89.25,2012,05,01,              6.57
31.75,-88.75,2012,05,01,              6.58
31.75,-88.25,2012,05,01,              6.58
32.25,-92.25,2012,05,01,              7.06
32.25,-91.75,2012,05,01,              6.82
32.25,-91.25,2012,05,01,              6.82
32.25,-90.75,2012,05,01,              6.64
32.25,-90.25,2012,05,01,              6.64
32.25,-89.75,2012,05,01,              6.47
32.25,-89.25,2012,05,01,              6.47
32.25,-88.75,2012,05,01,              6.68
32.25,-88.25,2012,05,01,              6.68
32.75,-92.25,2012,05,01,              7.06
32.75,-91.75,2012,05,01,              6.82
32.75,-91.25,2012,05,01,              6.82
32.75,-90.75,2012,05,01,              6.64
32.75,-90.25,2012,05,01,              6.64
32.75,-89.75,2012,05,01,              6.47
32.75,-89.25,2012,05,01,              6.47
32.75,-88.75,2012,05,01,              6.68
32.75,-88.25,2012,05,01,              6.68
33.25,-92.25,2012,05,01,              7.07
33.25,-91.75,2012,05,01,              6.97
33.25,-91.25,2012,05,01,              6.97
33.25,-90.75,2012,05,01,              6.76
33.25,-90.25,2012,05,01,              6.76
33.25,-89.75,2012,05,01,              6.56
33.25,-89.25,2012,05,01,              6.56
33.25,-88.75,2012,05,01,              6.78
33.25,-88.25,2012,05,01,              6.78
33.75,-92.25,2012,05,01,              7.07
33.75,-91.75,2012,05,01,              6.97
33.75,-91.25,2012,05,01,              6.97
33.75,-90.75,2012,05,01,              6.76
33.75,-90.25,2012,05,01,              6.76
33.75,-89.75,2012,05,01,              6.56
33.75,-89.25,2012,05,01,              6.56
33.75,-88.75,2012,05,01,              6.78
33.75,-88.25,2012,05,01,              6.78
34.25,-92.25,2012,05,01,              7.05
34.25,-91.75,2012,05,01,              6.92
34.25,-91.25,2012,05,01,              6.92
34.25,-90.75,2012,05,01,              6.68
34.25,-90.25,2012,05,01,              6.68
34.25,-89.75,2012,05,01,              6.02
34.25,-89.25,2012,05,01,              6.02
34.25,-88.75,2012,05,01,              6.19
34.25,-88.25,2012,05,01,              6.19
30.25,-92.25,2012,05,02,              5.82
30.25,-91.75,2012,05,02,              4.72
30.25,-91.25,2012,05,02,              4.72
30.25,-90.75,2012,05,02,              2.54
30.25,-90.25,2012,05,02,              2.54
30.25,-89.75,2012,05,02,              1.28
30.25,-89.25,2012,05,02,              1.28
30.25,-88.75,2012,05,02,              0.85
30.25,-88.25,2012,05,02,              0.85
30.75,-92.25,2012,05,02,              5.82
30.75,-91.75,2012,05,02,              4.72
30.75,-91.25,2012,05,02,              4.72
30.75,-90.75,2012,05,02,              2.54
30.75,-90.25,2012,05,02,              2.54
30.75,-89.75,2012,05,02,              1.28
30.75,-89.25,2012,05,02,              1.28
30.75,-88.75,2012,05,02,              0.85
30.75,-88.25,2012,05,02,              0.85
31.25,-92.25,2012,05,02,              5.97
31.25,-91.75,2012,05,02,              5.74
31.25,-91.25,2012,05,02,              5.74
31.25,-90.75,2012,05,02,              3.96
31.25,-90.25,2012,05,02,              3.96
31.25,-89.75,2012,05,02,              1.81
31.25,-89.25,2012,05,02,              1.81
31.25,-88.75,2012,05,02,              0.91
31.25,-88.25,2012,05,02,              0.91
31.75,-92.25,2012,05,02,              5.97
31.75,-91.75,2012,05,02,              5.74
31.75,-91.25,2012,05,02,              5.74
31.75,-90.75,2012,05,02,              3.96
31.75,-90.25,2012,05,02,              3.96
31.75,-89.75,2012,05,02,              1.81
31.75,-89.25,2012,05,02,              1.81
31.75,-88.75,2012,05,02,              0.91
31.75,-88.25,2012,05,02,              0.91
32.25,-92.25,2012,05,02,              5.98
32.25,-91.75,2012,05,02,              5.85
32.25,-91.25,2012,05,02,              5.85
32.25,-90.75,2012,05,02,              4.31
32.25,-90.25,2012,05,02,              4.31
32.25,-89.75,2012,05,02,              3.63
32.25,-89.25,2012,05,02,              3.63
