-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-88.25,2012,05,01,              3.13
42.25,-87.75,2012,05,01,              3.29
42.25,-87.25,2012,05,01,              3.29
42.25,-86.75,2012,05,01,              4.08
42.25,-86.25,2012,05,01,              4.08
42.25,-85.75,2012,05,01,              4.36
42.25,-85.25,2012,05,01,              4.36
42.25,-84.75,2012,05,01,              3.68
42.25,-84.25,2012,05,01,              3.68
42.75,-88.25,2012,05,01,              3.13
42.75,-87.75,2012,05,01,              3.29
42.75,-87.25,2012,05,01,              3.29
42.75,-86.75,2012,05,01,              4.08
42.75,-86.25,2012,05,01,              4.08
42.75,-85.75,2012,05,01,              4.36
42.75,-85.25,2012,05,01,              4.36
42.75,-84.75,2012,05,01,              3.68
42.75,-84.25,2012,05,01,              3.68
43.25,-88.25,2012,05,01,              5.01
43.25,-87.75,2012,05,01,              4.97
43.25,-87.25,2012,05,01,              4.97
43.25,-86.75,2012,05,01,              5.08
43.25,-86.25,2012,05,01,              5.08
43.25,-85.75,2012,05,01,              4.09
43.25,-85.25,2012,05,01,              4.09
43.25,-84.75,2012,05,01,              3.57
43.25,-84.25,2012,05,01,              3.57
43.75,-88.25,2012,05,01,              5.01
43.75,-87.75,2012,05,01,              4.97
43.75,-87.25,2012,05,01,              4.97
43.75,-86.75,2012,05,01,              5.08
43.75,-86.25,2012,05,01,              5.08
43.75,-85.75,2012,05,01,              4.09
43.75,-85.25,2012,05,01,              4.09
43.75,-84.75,2012,05,01,              3.57
43.75,-84.25,2012,05,01,              3.57
44.25,-88.25,2012,05,01,              6.35
44.25,-87.75,2012,05,01,              6.47
44.25,-87.25,2012,05,01,              6.47
44.25,-86.75,2012,05,01,              6.41
44.25,-86.25,2012,05,01,              6.41
44.25,-85.75,2012,05,01,              6.59
44.25,-85.25,2012,05,01,              6.59
44.25,-84.75,2012,05,01,              6.66
44.25,-84.25,2012,05,01,              6.66
44.75,-88.25,2012,05,01,              6.35
44.75,-87.75,2012,05,01,              6.47
44.75,-87.25,2012,05,01,              6.47
44.75,-86.75,2012,05,01,              6.41
44.75,-86.25,2012,05,01,              6.41
44.75,-85.75,2012,05,01,              6.59
44.75,-85.25,2012,05,01,              6.59
44.75,-84.75,2012,05,01,              6.66
44.75,-84.25,2012,05,01,              6.66
45.25,-88.25,2012,05,01,              6.26
45.25,-87.75,2012,05,01,              7.13
45.25,-87.25,2012,05,01,              7.13
45.25,-86.75,2012,05,01,              7.13
45.25,-86.25,2012,05,01,              7.13
45.25,-85.75,2012,05,01,              7.21
