-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-116.25,2012,05,01,              4.30
46.25,-115.75,2012,05,01,              4.39
46.25,-115.25,2012,05,01,              4.39
46.25,-114.75,2012,05,01,              4.39
46.25,-114.25,2012,05,01,              4.39
46.25,-113.75,2012,05,01,              5.82
46.25,-113.25,2012,05,01,              5.82
46.25,-112.75,2012,05,01,              5.82
46.25,-112.25,2012,05,01,              5.82
46.75,-116.25,2012,05,01,              4.30
46.75,-115.75,2012,05,01,              4.39
46.75,-115.25,2012,05,01,              4.39
46.75,-114.75,2012,05,01,              4.39
46.75,-114.25,2012,05,01,              4.39
46.75,-113.75,2012,05,01,              5.82
46.75,-113.25,2012,05,01,              5.82
46.75,-112.75,2012,05,01,              5.82
46.75,-112.25,2012,05,01,              5.82
47.25,-116.25,2012,05,01,              4.12
47.25,-115.75,2012,05,01,              4.27
47.25,-115.25,2012,05,01,              4.27
47.25,-114.75,2012,05,01,              4.27
47.25,-114.25,2012,05,01,              4.27
47.25,-113.75,2012,05,01,              4.95
47.25,-113.25,2012,05,01,              4.95
47.25,-112.75,2012,05,01,              4.95
47.25,-112.25,2012,05,01,              4.95
47.75,-116.25,2012,05,01,              4.12
47.75,-115.75,2012,05,01,              4.27
47.75,-115.25,2012,05,01,              4.27
47.75,-114.75,2012,05,01,              4.27
47.75,-114.25,2012,05,01,              4.27
47.75,-113.75,2012,05,01,              4.95
47.75,-113.25,2012,05,01,              4.95
47.75,-112.75,2012,05,01,              4.95
47.75,-112.25,2012,05,01,              4.95
48.25,-116.25,2012,05,01,              4.15
48.25,-115.75,2012,05,01,              4.09
48.25,-115.25,2012,05,01,              4.09
48.25,-114.75,2012,05,01,              4.09
48.25,-114.25,2012,05,01,              4.09
48.25,-113.75,2012,05,01,              5.22
48.25,-113.25,2012,05,01,              5.22
48.25,-112.75,2012,05,01,              5.22
48.25,-112.25,2012,05,01,              5.22
48.75,-116.25,2012,05,01,              4.15
48.75,-115.75,2012,05,01,              4.09
48.75,-115.25,2012,05,01,              4.09
48.75,-114.75,2012,05,01,              4.09
48.75,-114.25,2012,05,01,              4.09
48.75,-113.75,2012,05,01,              5.22
48.75,-113.25,2012,05,01,              5.22
48.75,-112.75,2012,05,01,              5.22
48.75,-112.25,2012,05,01,              5.22
49.25,-116.25,2012,05,01,              4.23
49.25,-115.75,2012,05,01,              4.55
49.25,-115.25,2012,05,01,              4.55
49.25,-114.75,2012,05,01,              4.55
49.25,-114.25,2012,05,01,              4.55
49.25,-113.75,2012,05,01,              4.39
49.25,-113.25,2012,05,01,              4.39
49.25,-112.75,2012,05,01,              4.39
49.25,-112.25,2012,05,01,              4.39
