-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-80.25,2012,05,01,              7.71
30.25,-79.75,2012,05,01,              7.57
30.25,-79.25,2012,05,01,              7.57
30.25,-78.75,2012,05,01,              7.72
30.25,-78.25,2012,05,01,              7.72
30.25,-77.75,2012,05,01,              7.69
30.25,-77.25,2012,05,01,              7.69
30.25,-76.75,2012,05,01,              7.49
30.25,-76.25,2012,05,01,              7.49
30.75,-80.25,2012,05,01,              7.71
30.75,-79.75,2012,05,01,              7.57
30.75,-79.25,2012,05,01,              7.57
30.75,-78.75,2012,05,01,              7.72
30.75,-78.25,2012,05,01,              7.72
30.75,-77.75,2012,05,01,              7.69
30.75,-77.25,2012,05,01,              7.69
30.75,-76.75,2012,05,01,              7.49
30.75,-76.25,2012,05,01,              7.49
31.25,-80.25,2012,05,01,              7.72
31.25,-79.75,2012,05,01,              7.71
31.25,-79.25,2012,05,01,              7.71
31.25,-78.75,2012,05,01,              7.70
31.25,-78.25,2012,05,01,              7.70
31.25,-77.75,2012,05,01,              7.56
31.25,-77.25,2012,05,01,              7.56
31.25,-76.75,2012,05,01,              7.69
31.25,-76.25,2012,05,01,              7.69
31.75,-80.25,2012,05,01,              7.72
31.75,-79.75,2012,05,01,              7.71
31.75,-79.25,2012,05,01,              7.71
31.75,-78.75,2012,05,01,              7.70
31.75,-78.25,2012,05,01,              7.70
31.75,-77.75,2012,05,01,              7.56
31.75,-77.25,2012,05,01,              7.56
31.75,-76.75,2012,05,01,              7.69
31.75,-76.25,2012,05,01,              7.69
32.25,-80.25,2012,05,01,              7.50
32.25,-79.75,2012,05,01,              7.81
32.25,-79.25,2012,05,01,              7.81
32.25,-78.75,2012,05,01,              7.71
32.25,-78.25,2012,05,01,              7.71
32.25,-77.75,2012,05,01,              7.55
32.25,-77.25,2012,05,01,              7.55
32.25,-76.75,2012,05,01,              7.53
32.25,-76.25,2012,05,01,              7.53
32.75,-80.25,2012,05,01,              7.50
32.75,-79.75,2012,05,01,              7.81
32.75,-79.25,2012,05,01,              7.81
32.75,-78.75,2012,05,01,              7.71
32.75,-78.25,2012,05,01,              7.71
32.75,-77.75,2012,05,01,              7.55
32.75,-77.25,2012,05,01,              7.55
32.75,-76.75,2012,05,01,              7.53
32.75,-76.25,2012,05,01,              7.53
33.25,-80.25,2012,05,01,              7.23
33.25,-79.75,2012,05,01,              7.26
33.25,-79.25,2012,05,01,              7.26
33.25,-78.75,2012,05,01,              7.65
33.25,-78.25,2012,05,01,              7.65
33.25,-77.75,2012,05,01,              7.64
33.25,-77.25,2012,05,01,              7.64
33.25,-76.75,2012,05,01,              7.50
33.25,-76.25,2012,05,01,              7.50
33.75,-80.25,2012,05,01,              7.23
33.75,-79.75,2012,05,01,              7.26
33.75,-79.25,2012,05,01,              7.26
33.75,-78.75,2012,05,01,              7.65
33.75,-78.25,2012,05,01,              7.65
33.75,-77.75,2012,05,01,              7.64
33.75,-77.25,2012,05,01,              7.64
33.75,-76.75,2012,05,01,              7.50
33.75,-76.25,2012,05,01,              7.50
34.25,-80.25,2012,05,01,              7.20
34.25,-79.75,2012,05,01,              7.23
34.25,-79.25,2012,05,01,              7.23
34.25,-78.75,2012,05,01,              6.61
34.25,-78.25,2012,05,01,              6.61
34.25,-77.75,2012,05,01,              7.03
34.25,-77.25,2012,05,01,              7.03
34.25,-76.75,2012,05,01,              7.16
34.25,-76.25,2012,05,01,              7.16
30.25,-80.25,2012,05,02,              7.79
30.25,-79.75,2012,05,02,              7.70
30.25,-79.25,2012,05,02,              7.70
30.25,-78.75,2012,05,02,              7.71
30.25,-78.25,2012,05,02,              7.71
30.25,-77.75,2012,05,02,              7.75
30.25,-77.25,2012,05,02,              7.75
30.25,-76.75,2012,05,02,              7.75
30.25,-76.25,2012,05,02,              7.75
30.75,-80.25,2012,05,02,              7.79
30.75,-79.75,2012,05,02,              7.70
30.75,-79.25,2012,05,02,              7.70
30.75,-78.75,2012,05,02,              7.71
30.75,-78.25,2012,05,02,              7.71
30.75,-77.75,2012,05,02,              7.75
30.75,-77.25,2012,05,02,              7.75
30.75,-76.75,2012,05,02,              7.75
30.75,-76.25,2012,05,02,              7.75
31.25,-80.25,2012,05,02,              7.77
31.25,-79.75,2012,05,02,              7.74
31.25,-79.25,2012,05,02,              7.74
31.25,-78.75,2012,05,02,              7.70
31.25,-78.25,2012,05,02,              7.70
31.25,-77.75,2012,05,02,              7.72
31.25,-77.25,2012,05,02,              7.72
31.25,-76.75,2012,05,02,              7.86
31.25,-76.25,2012,05,02,              7.86
31.75,-80.25,2012,05,02,              7.77
31.75,-79.75,2012,05,02,              7.74
31.75,-79.25,2012,05,02,              7.74
31.75,-78.75,2012,05,02,              7.70
31.75,-78.25,2012,05,02,              7.70
