-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-76.25,2012,05,01,              6.35
38.25,-75.75,2012,05,01,              5.46
38.25,-75.25,2012,05,01,              5.46
38.25,-74.75,2012,05,01,              4.75
38.25,-74.25,2012,05,01,              4.75
38.25,-73.75,2012,05,01,              4.35
38.25,-73.25,2012,05,01,              4.35
38.25,-72.75,2012,05,01,              2.95
38.25,-72.25,2012,05,01,              2.95
38.75,-76.25,2012,05,01,              6.35
38.75,-75.75,2012,05,01,              5.46
38.75,-75.25,2012,05,01,              5.46
38.75,-74.75,2012,05,01,              4.75
38.75,-74.25,2012,05,01,              4.75
38.75,-73.75,2012,05,01,              4.35
38.75,-73.25,2012,05,01,              4.35
38.75,-72.75,2012,05,01,              2.95
38.75,-72.25,2012,05,01,              2.95
39.25,-76.25,2012,05,01,              5.56
39.25,-75.75,2012,05,01,              5.55
39.25,-75.25,2012,05,01,              5.55
39.25,-74.75,2012,05,01,              4.58
39.25,-74.25,2012,05,01,              4.58
39.25,-73.75,2012,05,01,              3.31
39.25,-73.25,2012,05,01,              3.31
39.25,-72.75,2012,05,01,              2.21
39.25,-72.25,2012,05,01,              2.21
39.75,-76.25,2012,05,01,              5.56
39.75,-75.75,2012,05,01,              5.55
39.75,-75.25,2012,05,01,              5.55
39.75,-74.75,2012,05,01,              4.58
39.75,-74.25,2012,05,01,              4.58
39.75,-73.75,2012,05,01,              3.31
39.75,-73.25,2012,05,01,              3.31
39.75,-72.75,2012,05,01,              2.21
39.75,-72.25,2012,05,01,              2.21
40.25,-76.25,2012,05,01,              5.63
40.25,-75.75,2012,05,01,              5.44
40.25,-75.25,2012,05,01,              5.44
40.25,-74.75,2012,05,01,              4.29
40.25,-74.25,2012,05,01,              4.29
40.25,-73.75,2012,05,01,              3.12
40.25,-73.25,2012,05,01,              3.12
40.25,-72.75,2012,05,01,              2.28
40.25,-72.25,2012,05,01,              2.28
40.75,-76.25,2012,05,01,              5.63
40.75,-75.75,2012,05,01,              5.44
40.75,-75.25,2012,05,01,              5.44
40.75,-74.75,2012,05,01,              4.29
40.75,-74.25,2012,05,01,              4.29
40.75,-73.75,2012,05,01,              3.12
40.75,-73.25,2012,05,01,              3.12
40.75,-72.75,2012,05,01,              2.28
40.75,-72.25,2012,05,01,              2.28
41.25,-76.25,2012,05,01,              4.56
41.25,-75.75,2012,05,01,              3.64
41.25,-75.25,2012,05,01,              3.64
41.25,-74.75,2012,05,01,              3.53
41.25,-74.25,2012,05,01,              3.53
41.25,-73.75,2012,05,01,              2.86
41.25,-73.25,2012,05,01,              2.86
41.25,-72.75,2012,05,01,              2.01
41.25,-72.25,2012,05,01,              2.01
41.75,-76.25,2012,05,01,              4.56
41.75,-75.75,2012,05,01,              3.64
41.75,-75.25,2012,05,01,              3.64
41.75,-74.75,2012,05,01,              3.53
41.75,-74.25,2012,05,01,              3.53
41.75,-73.75,2012,05,01,              2.86
41.75,-73.25,2012,05,01,              2.86
41.75,-72.75,2012,05,01,              2.01
41.75,-72.25,2012,05,01,              2.01
42.25,-76.25,2012,05,01,              3.13
42.25,-75.75,2012,05,01,              2.30
42.25,-75.25,2012,05,01,              2.30
42.25,-74.75,2012,05,01,              2.43
42.25,-74.25,2012,05,01,              2.43
42.25,-73.75,2012,05,01,              2.28
42.25,-73.25,2012,05,01,              2.28
42.25,-72.75,2012,05,01,              2.07
42.25,-72.25,2012,05,01,              2.07
38.25,-76.25,2012,05,02,              4.61
38.25,-75.75,2012,05,02,              3.76
38.25,-75.25,2012,05,02,              3.76
38.25,-74.75,2012,05,02,              3.11
38.25,-74.25,2012,05,02,              3.11
38.25,-73.75,2012,05,02,              2.81
38.25,-73.25,2012,05,02,              2.81
38.25,-72.75,2012,05,02,              2.57
38.25,-72.25,2012,05,02,              2.57
38.75,-76.25,2012,05,02,              4.61
38.75,-75.75,2012,05,02,              3.76
38.75,-75.25,2012,05,02,              3.76
38.75,-74.75,2012,05,02,              3.11
38.75,-74.25,2012,05,02,              3.11
38.75,-73.75,2012,05,02,              2.81
38.75,-73.25,2012,05,02,              2.81
38.75,-72.75,2012,05,02,              2.57
38.75,-72.25,2012,05,02,              2.57
39.25,-76.25,2012,05,02,              3.40
39.25,-75.75,2012,05,02,              2.79
39.25,-75.25,2012,05,02,              2.79
39.25,-74.75,2012,05,02,              2.19
39.25,-74.25,2012,05,02,              2.19
39.25,-73.75,2012,05,02,              2.02
39.25,-73.25,2012,05,02,              2.02
39.25,-72.75,2012,05,02,              2.04
39.25,-72.25,2012,05,02,              2.04
39.75,-76.25,2012,05,02,              3.40
39.75,-75.75,2012,05,02,              2.79
39.75,-75.25,2012,05,02,              2.79
39.75,-74.75,2012,05,02,              2.19
39.75,-74.25,2012,05,02,              2.19
39.75,-73.75,2012,05,02,              2.02
39.75,-73.25,2012,05,02,              2.02
39.75,-72.75,2012,05,02,              2.04
39.75,-72.25,2012,05,02,              2.04
40.25,-76.25,2012,05,02,              2.56
40.25,-75.75,2012,05,02,              2.06
40.25,-75.25,2012,05,02,              2.06
40.25,-74.75,2012,05,02,              2.08
40.25,-74.25,2012,05,02,              2.08
40.25,-73.75,2012,05,02,              2.14
40.25,-73.25,2012,05,02,              2.14
40.25,-72.75,2012,05,02,              2.36
40.25,-72.25,2012,05,02,              2.36
40.75,-76.25,2012,05,02,              2.56
40.75,-75.75,2012,05,02,              2.06
40.75,-75.25,2012,05,02,              2.06
40.75,-74.75,2012,05,02,              2.08
40.75,-74.25,2012,05,02,              2.08
40.75,-73.75,2012,05,02,              2.14
40.75,-73.25,2012,05,02,              2.14
40.75,-72.75,2012,05,02,              2.36
40.75,-72.25,2012,05,02,              2.36
41.25,-76.25,2012,05,02,              2.83
41.25,-75.75,2012,05,02,              2.10
41.25,-75.25,2012,05,02,              2.10
41.25,-74.75,2012,05,02,              2.30
41.25,-74.25,2012,05,02,              2.30
41.25,-73.75,2012,05,02,              2.40
41.25,-73.25,2012,05,02,              2.40
41.25,-72.75,2012,05,02,              2.68
41.25,-72.25,2012,05,02,              2.68
41.75,-76.25,2012,05,02,              2.83
41.75,-75.75,2012,05,02,              2.10
41.75,-75.25,2012,05,02,              2.10
41.75,-74.75,2012,05,02,              2.30
41.75,-74.25,2012,05,02,              2.30
41.75,-73.75,2012,05,02,              2.40
41.75,-73.25,2012,05,02,              2.40
41.75,-72.75,2012,05,02,              2.68
41.75,-72.25,2012,05,02,              2.68
42.25,-76.25,2012,05,02,              4.16
42.25,-75.75,2012,05,02,              2.93
42.25,-75.25,2012,05,02,              2.93
42.25,-74.75,2012,05,02,              2.56
42.25,-74.25,2012,05,02,              2.56
42.25,-73.75,2012,05,02,              2.69
42.25,-73.25,2012,05,02,              2.69
42.25,-72.75,2012,05,02,              2.59
42.25,-72.25,2012,05,02,              2.59
38.25,-76.25,2012,05,03,              6.16
38.25,-75.75,2012,05,03,              5.59
38.25,-75.25,2012,05,03,              5.59
38.25,-74.75,2012,05,03,              6.47
38.25,-74.25,2012,05,03,              6.47
38.25,-73.75,2012,05,03,              6.53
38.25,-73.25,2012,05,03,              6.53
38.25,-72.75,2012,05,03,              5.67
38.25,-72.25,2012,05,03,              5.67
38.75,-76.25,2012,05,03,              6.16
38.75,-75.75,2012,05,03,              5.59
38.75,-75.25,2012,05,03,              5.59
38.75,-74.75,2012,05,03,              6.47
38.75,-74.25,2012,05,03,              6.47
38.75,-73.75,2012,05,03,              6.53
38.75,-73.25,2012,05,03,              6.53
38.75,-72.75,2012,05,03,              5.67
38.75,-72.25,2012,05,03,              5.67
39.25,-76.25,2012,05,03,              6.13
39.25,-75.75,2012,05,03,              3.62
39.25,-75.25,2012,05,03,              3.62
39.25,-74.75,2012,05,03,              3.39
39.25,-74.25,2012,05,03,              3.39
39.25,-73.75,2012,05,03,              3.85
39.25,-73.25,2012,05,03,              3.85
39.25,-72.75,2012,05,03,              3.86
39.25,-72.25,2012,05,03,              3.86
39.75,-76.25,2012,05,03,              6.13
39.75,-75.75,2012,05,03,              3.62
39.75,-75.25,2012,05,03,              3.62
39.75,-74.75,2012,05,03,              3.39
39.75,-74.25,2012,05,03,              3.39
39.75,-73.75,2012,05,03,              3.85
39.75,-73.25,2012,05,03,              3.85
39.75,-72.75,2012,05,03,              3.86
39.75,-72.25,2012,05,03,              3.86
40.25,-76.25,2012,05,03,              5.07
40.25,-75.75,2012,05,03,              3.58
40.25,-75.25,2012,05,03,              3.58
40.25,-74.75,2012,05,03,              2.80
40.25,-74.25,2012,05,03,              2.80
40.25,-73.75,2012,05,03,              2.48
40.25,-73.25,2012,05,03,              2.48
40.25,-72.75,2012,05,03,              2.40
40.25,-72.25,2012,05,03,              2.40
40.75,-76.25,2012,05,03,              5.07
40.75,-75.75,2012,05,03,              3.58
40.75,-75.25,2012,05,03,              3.58
40.75,-74.75,2012,05,03,              2.80
40.75,-74.25,2012,05,03,              2.80
40.75,-73.75,2012,05,03,              2.48
40.75,-73.25,2012,05,03,              2.48
40.75,-72.75,2012,05,03,              2.40
40.75,-72.25,2012,05,03,              2.40
41.25,-76.25,2012,05,03,              6.32
41.25,-75.75,2012,05,03,              6.31
41.25,-75.25,2012,05,03,              6.31
41.25,-74.75,2012,05,03,              4.93
41.25,-74.25,2012,05,03,              4.93
41.25,-73.75,2012,05,03,              2.19
41.25,-73.25,2012,05,03,              2.19
41.25,-72.75,2012,05,03,              1.88
41.25,-72.25,2012,05,03,              1.88
41.75,-76.25,2012,05,03,              6.32
41.75,-75.75,2012,05,03,              6.31
41.75,-75.25,2012,05,03,              6.31
41.75,-74.75,2012,05,03,              4.93
41.75,-74.25,2012,05,03,              4.93
41.75,-73.75,2012,05,03,              2.19
41.75,-73.25,2012,05,03,              2.19
41.75,-72.75,2012,05,03,              1.88
41.75,-72.25,2012,05,03,              1.88
42.25,-76.25,2012,05,03,              6.92
42.25,-75.75,2012,05,03,              6.31
42.25,-75.25,2012,05,03,              6.31
42.25,-74.75,2012,05,03,              5.53
42.25,-74.25,2012,05,03,              5.53
42.25,-73.75,2012,05,03,              2.68
42.25,-73.25,2012,05,03,              2.68
42.25,-72.75,2012,05,03,              2.14
42.25,-72.25,2012,05,03,              2.14
38.25,-76.25,2012,05,04,              5.54
38.25,-75.75,2012,05,04,              5.61
38.25,-75.25,2012,05,04,              5.61
38.25,-74.75,2012,05,04,              6.79
38.25,-74.25,2012,05,04,              6.79
