-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-84.25,2012,05,01,              6.61
34.25,-83.75,2012,05,01,              6.51
34.25,-83.25,2012,05,01,              6.51
34.25,-82.75,2012,05,01,              7.01
34.25,-82.25,2012,05,01,              7.01
34.25,-81.75,2012,05,01,              7.16
34.25,-81.25,2012,05,01,              7.16
34.25,-80.75,2012,05,01,              7.20
34.25,-80.25,2012,05,01,              7.20
34.75,-84.25,2012,05,01,              6.61
34.75,-83.75,2012,05,01,              6.51
34.75,-83.25,2012,05,01,              6.51
34.75,-82.75,2012,05,01,              7.01
34.75,-82.25,2012,05,01,              7.01
34.75,-81.75,2012,05,01,              7.16
34.75,-81.25,2012,05,01,              7.16
34.75,-80.75,2012,05,01,              7.20
34.75,-80.25,2012,05,01,              7.20
35.25,-84.25,2012,05,01,              6.69
35.25,-83.75,2012,05,01,              6.23
35.25,-83.25,2012,05,01,              6.23
35.25,-82.75,2012,05,01,              6.13
35.25,-82.25,2012,05,01,              6.13
35.25,-81.75,2012,05,01,              7.04
35.25,-81.25,2012,05,01,              7.04
35.25,-80.75,2012,05,01,              7.12
35.25,-80.25,2012,05,01,              7.12
35.75,-84.25,2012,05,01,              6.69
35.75,-83.75,2012,05,01,              6.23
35.75,-83.25,2012,05,01,              6.23
35.75,-82.75,2012,05,01,              6.13
35.75,-82.25,2012,05,01,              6.13
35.75,-81.75,2012,05,01,              7.04
35.75,-81.25,2012,05,01,              7.04
35.75,-80.75,2012,05,01,              7.12
35.75,-80.25,2012,05,01,              7.12
36.25,-84.25,2012,05,01,              6.33
36.25,-83.75,2012,05,01,              6.69
36.25,-83.25,2012,05,01,              6.69
36.25,-82.75,2012,05,01,              6.53
36.25,-82.25,2012,05,01,              6.53
36.25,-81.75,2012,05,01,              6.36
36.25,-81.25,2012,05,01,              6.36
36.25,-80.75,2012,05,01,              6.67
36.25,-80.25,2012,05,01,              6.67
36.75,-84.25,2012,05,01,              6.33
36.75,-83.75,2012,05,01,              6.69
36.75,-83.25,2012,05,01,              6.69
