-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-84.25,2012,05,01,              3.68
42.25,-83.75,2012,05,01,              2.86
42.25,-83.25,2012,05,01,              2.86
42.25,-82.75,2012,05,01,              3.04
42.25,-82.25,2012,05,01,              3.04
42.25,-81.75,2012,05,01,              3.30
42.25,-81.25,2012,05,01,              3.30
42.25,-80.75,2012,05,01,              3.22
42.25,-80.25,2012,05,01,              3.22
42.75,-84.25,2012,05,01,              3.68
42.75,-83.75,2012,05,01,              2.86
42.75,-83.25,2012,05,01,              2.86
42.75,-82.75,2012,05,01,              3.04
42.75,-82.25,2012,05,01,              3.04
42.75,-81.75,2012,05,01,              3.30
42.75,-81.25,2012,05,01,              3.30
42.75,-80.75,2012,05,01,              3.22
42.75,-80.25,2012,05,01,              3.22
43.25,-84.25,2012,05,01,              3.57
43.25,-83.75,2012,05,01,              2.70
43.25,-83.25,2012,05,01,              2.70
43.25,-82.75,2012,05,01,              2.98
43.25,-82.25,2012,05,01,              2.98
43.25,-81.75,2012,05,01,              3.05
43.25,-81.25,2012,05,01,              3.05
43.25,-80.75,2012,05,01,              2.78
43.25,-80.25,2012,05,01,              2.78
43.75,-84.25,2012,05,01,              3.57
43.75,-83.75,2012,05,01,              2.70
43.75,-83.25,2012,05,01,              2.70
43.75,-82.75,2012,05,01,              2.98
43.75,-82.25,2012,05,01,              2.98
43.75,-81.75,2012,05,01,              3.05
43.75,-81.25,2012,05,01,              3.05
43.75,-80.75,2012,05,01,              2.78
43.75,-80.25,2012,05,01,              2.78
44.25,-84.25,2012,05,01,              6.66
44.25,-83.75,2012,05,01,              7.08
44.25,-83.25,2012,05,01,              7.08
44.25,-82.75,2012,05,01,              6.27
44.25,-82.25,2012,05,01,              6.27
44.25,-81.75,2012,05,01,              5.37
44.25,-81.25,2012,05,01,              5.37
44.25,-80.75,2012,05,01,              3.96
44.25,-80.25,2012,05,01,              3.96
44.75,-84.25,2012,05,01,              6.66
44.75,-83.75,2012,05,01,              7.08
44.75,-83.25,2012,05,01,              7.08
44.75,-82.75,2012,05,01,              6.27
44.75,-82.25,2012,05,01,              6.27
44.75,-81.75,2012,05,01,              5.37
44.75,-81.25,2012,05,01,              5.37
44.75,-80.75,2012,05,01,              3.96
44.75,-80.25,2012,05,01,              3.96
45.25,-84.25,2012,05,01,              7.21
45.25,-83.75,2012,05,01,              7.57
45.25,-83.25,2012,05,01,              7.57
45.25,-82.75,2012,05,01,              7.57
45.25,-82.25,2012,05,01,              7.57
45.25,-81.75,2012,05,01,              7.56
45.25,-81.25,2012,05,01,              7.56
45.25,-80.75,2012,05,01,              7.56
45.25,-80.25,2012,05,01,              7.56
45.75,-84.25,2012,05,01,              7.21
45.75,-83.75,2012,05,01,              7.57
45.75,-83.25,2012,05,01,              7.57
45.75,-82.75,2012,05,01,              7.57
45.75,-82.25,2012,05,01,              7.57
45.75,-81.75,2012,05,01,              7.56
45.75,-81.25,2012,05,01,              7.56
45.75,-80.75,2012,05,01,              7.56
45.75,-80.25,2012,05,01,              7.56
46.25,-84.25,2012,05,01,              7.22
46.25,-83.75,2012,05,01,              6.88
46.25,-83.25,2012,05,01,              6.88
46.25,-82.75,2012,05,01,              6.88
46.25,-82.25,2012,05,01,              6.88
46.25,-81.75,2012,05,01,              6.69
46.25,-81.25,2012,05,01,              6.69
46.25,-80.75,2012,05,01,              6.69
46.25,-80.25,2012,05,01,              6.69
42.25,-84.25,2012,05,02,              5.09
42.25,-83.75,2012,05,02,              4.93
42.25,-83.25,2012,05,02,              4.93
42.25,-82.75,2012,05,02,              4.75
42.25,-82.25,2012,05,02,              4.75
42.25,-81.75,2012,05,02,              4.54
42.25,-81.25,2012,05,02,              4.54
42.25,-80.75,2012,05,02,              4.92
42.25,-80.25,2012,05,02,              4.92
42.75,-84.25,2012,05,02,              5.09
42.75,-83.75,2012,05,02,              4.93
42.75,-83.25,2012,05,02,              4.93
42.75,-82.75,2012,05,02,              4.75
42.75,-82.25,2012,05,02,              4.75
42.75,-81.75,2012,05,02,              4.54
42.75,-81.25,2012,05,02,              4.54
42.75,-80.75,2012,05,02,              4.92
42.75,-80.25,2012,05,02,              4.92
43.25,-84.25,2012,05,02,              4.93
43.25,-83.75,2012,05,02,              4.77
43.25,-83.25,2012,05,02,              4.77
43.25,-82.75,2012,05,02,              4.38
43.25,-82.25,2012,05,02,              4.38
43.25,-81.75,2012,05,02,              4.50
43.25,-81.25,2012,05,02,              4.50
43.25,-80.75,2012,05,02,              4.73
43.25,-80.25,2012,05,02,              4.73
43.75,-84.25,2012,05,02,              4.93
43.75,-83.75,2012,05,02,              4.77
43.75,-83.25,2012,05,02,              4.77
43.75,-82.75,2012,05,02,              4.38
43.75,-82.25,2012,05,02,              4.38
43.75,-81.75,2012,05,02,              4.50
43.75,-81.25,2012,05,02,              4.50
43.75,-80.75,2012,05,02,              4.73
43.75,-80.25,2012,05,02,              4.73
44.25,-84.25,2012,05,02,              2.14
44.25,-83.75,2012,05,02,              2.46
44.25,-83.25,2012,05,02,              2.46
44.25,-82.75,2012,05,02,              2.05
44.25,-82.25,2012,05,02,              2.05
44.25,-81.75,2012,05,02,              2.38
44.25,-81.25,2012,05,02,              2.38
44.25,-80.75,2012,05,02,              5.57
44.25,-80.25,2012,05,02,              5.57
44.75,-84.25,2012,05,02,              2.14
44.75,-83.75,2012,05,02,              2.46
44.75,-83.25,2012,05,02,              2.46
44.75,-82.75,2012,05,02,              2.05
44.75,-82.25,2012,05,02,              2.05
44.75,-81.75,2012,05,02,              2.38
44.75,-81.25,2012,05,02,              2.38
44.75,-80.75,2012,05,02,              5.57
44.75,-80.25,2012,05,02,              5.57
45.25,-84.25,2012,05,02,              1.79
45.25,-83.75,2012,05,02,              1.79
45.25,-83.25,2012,05,02,              1.79
45.25,-82.75,2012,05,02,              1.79
45.25,-82.25,2012,05,02,              1.79
45.25,-81.75,2012,05,02,              3.27
45.25,-81.25,2012,05,02,              3.27
45.25,-80.75,2012,05,02,              3.27
45.25,-80.25,2012,05,02,              3.27
45.75,-84.25,2012,05,02,              1.79
45.75,-83.75,2012,05,02,              1.79
45.75,-83.25,2012,05,02,              1.79
45.75,-82.75,2012,05,02,              1.79
45.75,-82.25,2012,05,02,              1.79
45.75,-81.75,2012,05,02,              3.27
45.75,-81.25,2012,05,02,              3.27
45.75,-80.75,2012,05,02,              3.27
45.75,-80.25,2012,05,02,              3.27
46.25,-84.25,2012,05,02,              1.74
46.25,-83.75,2012,05,02,              1.95
46.25,-83.25,2012,05,02,              1.95
46.25,-82.75,2012,05,02,              1.95
46.25,-82.25,2012,05,02,              1.95
46.25,-81.75,2012,05,02,              3.88
46.25,-81.25,2012,05,02,              3.88
46.25,-80.75,2012,05,02,              3.88
46.25,-80.25,2012,05,02,              3.88
42.25,-84.25,2012,05,03,              6.41
42.25,-83.75,2012,05,03,              6.71
42.25,-83.25,2012,05,03,              6.71
42.25,-82.75,2012,05,03,              6.92
42.25,-82.25,2012,05,03,              6.92
42.25,-81.75,2012,05,03,              7.16
42.25,-81.25,2012,05,03,              7.16
42.25,-80.75,2012,05,03,              7.15
42.25,-80.25,2012,05,03,              7.15
42.75,-84.25,2012,05,03,              6.41
42.75,-83.75,2012,05,03,              6.71
42.75,-83.25,2012,05,03,              6.71
42.75,-82.75,2012,05,03,              6.92
42.75,-82.25,2012,05,03,              6.92
42.75,-81.75,2012,05,03,              7.16
42.75,-81.25,2012,05,03,              7.16
42.75,-80.75,2012,05,03,              7.15
42.75,-80.25,2012,05,03,              7.15
43.25,-84.25,2012,05,03,              5.09
43.25,-83.75,2012,05,03,              5.98
43.25,-83.25,2012,05,03,              5.98
43.25,-82.75,2012,05,03,              6.06
43.25,-82.25,2012,05,03,              6.06
43.25,-81.75,2012,05,03,              6.09
43.25,-81.25,2012,05,03,              6.09
43.25,-80.75,2012,05,03,              5.43
43.25,-80.25,2012,05,03,              5.43
43.75,-84.25,2012,05,03,              5.09
43.75,-83.75,2012,05,03,              5.98
43.75,-83.25,2012,05,03,              5.98
43.75,-82.75,2012,05,03,              6.06
43.75,-82.25,2012,05,03,              6.06
43.75,-81.75,2012,05,03,              6.09
43.75,-81.25,2012,05,03,              6.09
43.75,-80.75,2012,05,03,              5.43
43.75,-80.25,2012,05,03,              5.43
44.25,-84.25,2012,05,03,              2.34
44.25,-83.75,2012,05,03,              3.56
44.25,-83.25,2012,05,03,              3.56
44.25,-82.75,2012,05,03,              4.37
44.25,-82.25,2012,05,03,              4.37
44.25,-81.75,2012,05,03,              4.83
44.25,-81.25,2012,05,03,              4.83
44.25,-80.75,2012,05,03,              5.07
44.25,-80.25,2012,05,03,              5.07
44.75,-84.25,2012,05,03,              2.34
44.75,-83.75,2012,05,03,              3.56
44.75,-83.25,2012,05,03,              3.56
44.75,-82.75,2012,05,03,              4.37
44.75,-82.25,2012,05,03,              4.37
44.75,-81.75,2012,05,03,              4.83
44.75,-81.25,2012,05,03,              4.83
44.75,-80.75,2012,05,03,              5.07
44.75,-80.25,2012,05,03,              5.07
45.25,-84.25,2012,05,03,              2.12
45.25,-83.75,2012,05,03,              2.73
45.25,-83.25,2012,05,03,              2.73
45.25,-82.75,2012,05,03,              2.73
45.25,-82.25,2012,05,03,              2.73
45.25,-81.75,2012,05,03,              3.21
45.25,-81.25,2012,05,03,              3.21
45.25,-80.75,2012,05,03,              3.21
45.25,-80.25,2012,05,03,              3.21
45.75,-84.25,2012,05,03,              2.12
45.75,-83.75,2012,05,03,              2.73
45.75,-83.25,2012,05,03,              2.73
45.75,-82.75,2012,05,03,              2.73
45.75,-82.25,2012,05,03,              2.73
45.75,-81.75,2012,05,03,              3.21
45.75,-81.25,2012,05,03,              3.21
45.75,-80.75,2012,05,03,              3.21
45.75,-80.25,2012,05,03,              3.21
46.25,-84.25,2012,05,03,              2.21
46.25,-83.75,2012,05,03,              2.44
46.25,-83.25,2012,05,03,              2.44
46.25,-82.75,2012,05,03,              2.44
46.25,-82.25,2012,05,03,              2.44
46.25,-81.75,2012,05,03,              2.33
46.25,-81.25,2012,05,03,              2.33
46.25,-80.75,2012,05,03,              2.33
46.25,-80.25,2012,05,03,              2.33
42.25,-84.25,2012,05,04,              4.07
42.25,-83.75,2012,05,04,              3.06
42.25,-83.25,2012,05,04,              3.06
42.25,-82.75,2012,05,04,              2.90
42.25,-82.25,2012,05,04,              2.90
42.25,-81.75,2012,05,04,              3.48
42.25,-81.25,2012,05,04,              3.48
42.25,-80.75,2012,05,04,              3.67
42.25,-80.25,2012,05,04,              3.67
42.75,-84.25,2012,05,04,              4.07
42.75,-83.75,2012,05,04,              3.06
42.75,-83.25,2012,05,04,              3.06
42.75,-82.75,2012,05,04,              2.90
42.75,-82.25,2012,05,04,              2.90
42.75,-81.75,2012,05,04,              3.48
42.75,-81.25,2012,05,04,              3.48
42.75,-80.75,2012,05,04,              3.67
42.75,-80.25,2012,05,04,              3.67
43.25,-84.25,2012,05,04,              2.49
43.25,-83.75,2012,05,04,              2.39
43.25,-83.25,2012,05,04,              2.39
43.25,-82.75,2012,05,04,              2.49
43.25,-82.25,2012,05,04,              2.49
43.25,-81.75,2012,05,04,              3.61
43.25,-81.25,2012,05,04,              3.61
43.25,-80.75,2012,05,04,              4.05
43.25,-80.25,2012,05,04,              4.05
43.75,-84.25,2012,05,04,              2.49
43.75,-83.75,2012,05,04,              2.39
43.75,-83.25,2012,05,04,              2.39
43.75,-82.75,2012,05,04,              2.49
43.75,-82.25,2012,05,04,              2.49
43.75,-81.75,2012,05,04,              3.61
43.75,-81.25,2012,05,04,              3.61
43.75,-80.75,2012,05,04,              4.05
43.75,-80.25,2012,05,04,              4.05
44.25,-84.25,2012,05,04,              3.06
44.25,-83.75,2012,05,04,              2.77
44.25,-83.25,2012,05,04,              2.77
44.25,-82.75,2012,05,04,              3.01
44.25,-82.25,2012,05,04,              3.01
44.25,-81.75,2012,05,04,              4.31
44.25,-81.25,2012,05,04,              4.31
44.25,-80.75,2012,05,04,              4.48
44.25,-80.25,2012,05,04,              4.48
44.75,-84.25,2012,05,04,              3.06
44.75,-83.75,2012,05,04,              2.77
44.75,-83.25,2012,05,04,              2.77
44.75,-82.75,2012,05,04,              3.01
44.75,-82.25,2012,05,04,              3.01
44.75,-81.75,2012,05,04,              4.31
44.75,-81.25,2012,05,04,              4.31
44.75,-80.75,2012,05,04,              4.48
44.75,-80.25,2012,05,04,              4.48
45.25,-84.25,2012,05,04,              7.26
45.25,-83.75,2012,05,04,              7.32
45.25,-83.25,2012,05,04,              7.32
