-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-88.25,2012,05,01,              7.43
30.25,-87.75,2012,05,01,              7.34
30.25,-87.25,2012,05,01,              7.34
30.25,-86.75,2012,05,01,              7.44
30.25,-86.25,2012,05,01,              7.44
30.25,-85.75,2012,05,01,              7.10
30.25,-85.25,2012,05,01,              7.10
30.25,-84.75,2012,05,01,              7.15
30.25,-84.25,2012,05,01,              7.15
30.75,-88.25,2012,05,01,              7.43
30.75,-87.75,2012,05,01,              7.34
30.75,-87.25,2012,05,01,              7.34
30.75,-86.75,2012,05,01,              7.44
30.75,-86.25,2012,05,01,              7.44
30.75,-85.75,2012,05,01,              7.10
30.75,-85.25,2012,05,01,              7.10
30.75,-84.75,2012,05,01,              7.15
30.75,-84.25,2012,05,01,              7.15
31.25,-88.25,2012,05,01,              6.58
31.25,-87.75,2012,05,01,              6.61
31.25,-87.25,2012,05,01,              6.61
31.25,-86.75,2012,05,01,              6.65
31.25,-86.25,2012,05,01,              6.65
31.25,-85.75,2012,05,01,              6.87
31.25,-85.25,2012,05,01,              6.87
31.25,-84.75,2012,05,01,              7.26
31.25,-84.25,2012,05,01,              7.26
31.75,-88.25,2012,05,01,              6.58
31.75,-87.75,2012,05,01,              6.61
31.75,-87.25,2012,05,01,              6.61
31.75,-86.75,2012,05,01,              6.65
31.75,-86.25,2012,05,01,              6.65
31.75,-85.75,2012,05,01,              6.87
31.75,-85.25,2012,05,01,              6.87
31.75,-84.75,2012,05,01,              7.26
31.75,-84.25,2012,05,01,              7.26
32.25,-88.25,2012,05,01,              6.68
32.25,-87.75,2012,05,01,              6.86
32.25,-87.25,2012,05,01,              6.86
32.25,-86.75,2012,05,01,              6.89
32.25,-86.25,2012,05,01,              6.89
32.25,-85.75,2012,05,01,              6.72
32.25,-85.25,2012,05,01,              6.72
32.25,-84.75,2012,05,01,              6.91
32.25,-84.25,2012,05,01,              6.91
32.75,-88.25,2012,05,01,              6.68
32.75,-87.75,2012,05,01,              6.86
32.75,-87.25,2012,05,01,              6.86
32.75,-86.75,2012,05,01,              6.89
32.75,-86.25,2012,05,01,              6.89
32.75,-85.75,2012,05,01,              6.72
32.75,-85.25,2012,05,01,              6.72
32.75,-84.75,2012,05,01,              6.91
32.75,-84.25,2012,05,01,              6.91
33.25,-88.25,2012,05,01,              6.78
33.25,-87.75,2012,05,01,              6.91
33.25,-87.25,2012,05,01,              6.91
33.25,-86.75,2012,05,01,              6.86
33.25,-86.25,2012,05,01,              6.86
33.25,-85.75,2012,05,01,              6.73
33.25,-85.25,2012,05,01,              6.73
33.25,-84.75,2012,05,01,              6.68
33.25,-84.25,2012,05,01,              6.68
33.75,-88.25,2012,05,01,              6.78
33.75,-87.75,2012,05,01,              6.91
33.75,-87.25,2012,05,01,              6.91
33.75,-86.75,2012,05,01,              6.86
33.75,-86.25,2012,05,01,              6.86
33.75,-85.75,2012,05,01,              6.73
33.75,-85.25,2012,05,01,              6.73
33.75,-84.75,2012,05,01,              6.68
33.75,-84.25,2012,05,01,              6.68
34.25,-88.25,2012,05,01,              6.19
34.25,-87.75,2012,05,01,              6.32
34.25,-87.25,2012,05,01,              6.32
34.25,-86.75,2012,05,01,              6.71
34.25,-86.25,2012,05,01,              6.71
34.25,-85.75,2012,05,01,              6.68
34.25,-85.25,2012,05,01,              6.68
34.25,-84.75,2012,05,01,              6.61
34.25,-84.25,2012,05,01,              6.61
30.25,-88.25,2012,05,02,              0.85
30.25,-87.75,2012,05,02,              1.79
30.25,-87.25,2012,05,02,              1.79
30.25,-86.75,2012,05,02,              4.56
30.25,-86.25,2012,05,02,              4.56
30.25,-85.75,2012,05,02,              5.29
30.25,-85.25,2012,05,02,              5.29
30.25,-84.75,2012,05,02,              6.54
30.25,-84.25,2012,05,02,              6.54
30.75,-88.25,2012,05,02,              0.85
30.75,-87.75,2012,05,02,              1.79
30.75,-87.25,2012,05,02,              1.79
30.75,-86.75,2012,05,02,              4.56
30.75,-86.25,2012,05,02,              4.56
30.75,-85.75,2012,05,02,              5.29
30.75,-85.25,2012,05,02,              5.29
30.75,-84.75,2012,05,02,              6.54
30.75,-84.25,2012,05,02,              6.54
31.25,-88.25,2012,05,02,              0.91
31.25,-87.75,2012,05,02,              2.62
31.25,-87.25,2012,05,02,              2.62
31.25,-86.75,2012,05,02,              4.83
31.25,-86.25,2012,05,02,              4.83
31.25,-85.75,2012,05,02,              6.37
31.25,-85.25,2012,05,02,              6.37
