-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-92.25,2012,05,01,              7.48
26.25,-91.75,2012,05,01,              7.61
26.25,-91.25,2012,05,01,              7.61
26.25,-90.75,2012,05,01,              7.33
26.25,-90.25,2012,05,01,              7.33
26.25,-89.75,2012,05,01,              6.68
26.25,-89.25,2012,05,01,              6.68
26.25,-88.75,2012,05,01,              5.59
26.25,-88.25,2012,05,01,              5.59
26.75,-92.25,2012,05,01,              7.48
26.75,-91.75,2012,05,01,              7.61
26.75,-91.25,2012,05,01,              7.61
26.75,-90.75,2012,05,01,              7.33
26.75,-90.25,2012,05,01,              7.33
26.75,-89.75,2012,05,01,              6.68
26.75,-89.25,2012,05,01,              6.68
26.75,-88.75,2012,05,01,              5.59
26.75,-88.25,2012,05,01,              5.59
27.25,-92.25,2012,05,01,              7.58
27.25,-91.75,2012,05,01,              7.15
27.25,-91.25,2012,05,01,              7.15
27.25,-90.75,2012,05,01,              7.18
27.25,-90.25,2012,05,01,              7.18
27.25,-89.75,2012,05,01,              6.89
27.25,-89.25,2012,05,01,              6.89
27.25,-88.75,2012,05,01,              5.51
27.25,-88.25,2012,05,01,              5.51
27.75,-92.25,2012,05,01,              7.58
27.75,-91.75,2012,05,01,              7.15
27.75,-91.25,2012,05,01,              7.15
27.75,-90.75,2012,05,01,              7.18
27.75,-90.25,2012,05,01,              7.18
27.75,-89.75,2012,05,01,              6.89
27.75,-89.25,2012,05,01,              6.89
27.75,-88.75,2012,05,01,              5.51
27.75,-88.25,2012,05,01,              5.51
28.25,-92.25,2012,05,01,              7.44
28.25,-91.75,2012,05,01,              7.53
28.25,-91.25,2012,05,01,              7.53
28.25,-90.75,2012,05,01,              7.58
28.25,-90.25,2012,05,01,              7.58
28.25,-89.75,2012,05,01,              7.09
28.25,-89.25,2012,05,01,              7.09
28.25,-88.75,2012,05,01,              6.83
28.25,-88.25,2012,05,01,              6.83
28.75,-92.25,2012,05,01,              7.44
28.75,-91.75,2012,05,01,              7.53
28.75,-91.25,2012,05,01,              7.53
28.75,-90.75,2012,05,01,              7.58
28.75,-90.25,2012,05,01,              7.58
28.75,-89.75,2012,05,01,              7.09
28.75,-89.25,2012,05,01,              7.09
28.75,-88.75,2012,05,01,              6.83
28.75,-88.25,2012,05,01,              6.83
29.25,-92.25,2012,05,01,              7.20
29.25,-91.75,2012,05,01,              7.40
29.25,-91.25,2012,05,01,              7.40
29.25,-90.75,2012,05,01,              6.94
29.25,-90.25,2012,05,01,              6.94
29.25,-89.75,2012,05,01,              7.31
29.25,-89.25,2012,05,01,              7.31
29.25,-88.75,2012,05,01,              7.18
29.25,-88.25,2012,05,01,              7.18
29.75,-92.25,2012,05,01,              7.20
29.75,-91.75,2012,05,01,              7.40
29.75,-91.25,2012,05,01,              7.40
29.75,-90.75,2012,05,01,              6.94
29.75,-90.25,2012,05,01,              6.94
29.75,-89.75,2012,05,01,              7.31
29.75,-89.25,2012,05,01,              7.31
29.75,-88.75,2012,05,01,              7.18
29.75,-88.25,2012,05,01,              7.18
30.25,-92.25,2012,05,01,              6.55
30.25,-91.75,2012,05,01,              6.38
30.25,-91.25,2012,05,01,              6.38
30.25,-90.75,2012,05,01,              6.71
30.25,-90.25,2012,05,01,              6.71
30.25,-89.75,2012,05,01,              6.97
30.25,-89.25,2012,05,01,              6.97
30.25,-88.75,2012,05,01,              7.43
30.25,-88.25,2012,05,01,              7.43
26.25,-92.25,2012,05,02,              7.72
26.25,-91.75,2012,05,02,              7.68
26.25,-91.25,2012,05,02,              7.68
26.25,-90.75,2012,05,02,              7.75
