-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-124.25,2012,05,01,              6.12
34.25,-123.75,2012,05,01,              6.75
34.25,-123.25,2012,05,01,              6.75
34.25,-122.75,2012,05,01,              6.75
34.25,-122.25,2012,05,01,              6.75
34.25,-121.75,2012,05,01,              5.90
34.25,-121.25,2012,05,01,              5.90
34.25,-120.75,2012,05,01,              5.50
34.25,-120.25,2012,05,01,              5.50
34.75,-124.25,2012,05,01,              6.12
34.75,-123.75,2012,05,01,              6.75
34.75,-123.25,2012,05,01,              6.75
34.75,-122.75,2012,05,01,              6.75
34.75,-122.25,2012,05,01,              6.75
34.75,-121.75,2012,05,01,              5.90
34.75,-121.25,2012,05,01,              5.90
34.75,-120.75,2012,05,01,              5.50
34.75,-120.25,2012,05,01,              5.50
35.25,-124.25,2012,05,01,              6.56
35.25,-123.75,2012,05,01,              7.14
35.25,-123.25,2012,05,01,              7.14
35.25,-122.75,2012,05,01,              7.32
35.25,-122.25,2012,05,01,              7.32
35.25,-121.75,2012,05,01,              7.44
35.25,-121.25,2012,05,01,              7.44
35.25,-120.75,2012,05,01,              7.08
35.25,-120.25,2012,05,01,              7.08
35.75,-124.25,2012,05,01,              6.56
35.75,-123.75,2012,05,01,              7.14
35.75,-123.25,2012,05,01,              7.14
35.75,-122.75,2012,05,01,              7.32
35.75,-122.25,2012,05,01,              7.32
35.75,-121.75,2012,05,01,              7.44
35.75,-121.25,2012,05,01,              7.44
35.75,-120.75,2012,05,01,              7.08
35.75,-120.25,2012,05,01,              7.08
36.25,-124.25,2012,05,01,              6.28
