-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-120.25,2012,05,01,              5.50
34.25,-119.75,2012,05,01,              5.31
34.25,-119.25,2012,05,01,              5.31
34.25,-118.75,2012,05,01,              4.65
34.25,-118.25,2012,05,01,              4.65
34.25,-117.75,2012,05,01,              5.93
34.25,-117.25,2012,05,01,              5.93
34.25,-116.75,2012,05,01,              6.96
34.25,-116.25,2012,05,01,              6.96
34.75,-120.25,2012,05,01,              5.50
34.75,-119.75,2012,05,01,              5.31
34.75,-119.25,2012,05,01,              5.31
34.75,-118.75,2012,05,01,              4.65
34.75,-118.25,2012,05,01,              4.65
34.75,-117.75,2012,05,01,              5.93
34.75,-117.25,2012,05,01,              5.93
34.75,-116.75,2012,05,01,              6.96
34.75,-116.25,2012,05,01,              6.96
35.25,-120.25,2012,05,01,              7.08
35.25,-119.75,2012,05,01,              7.58
35.25,-119.25,2012,05,01,              7.58
35.25,-118.75,2012,05,01,              7.52
35.25,-118.25,2012,05,01,              7.52
35.25,-117.75,2012,05,01,              7.55
35.25,-117.25,2012,05,01,              7.55
35.25,-116.75,2012,05,01,              7.46
35.25,-116.25,2012,05,01,              7.46
35.75,-120.25,2012,05,01,              7.08
35.75,-119.75,2012,05,01,              7.58
35.75,-119.25,2012,05,01,              7.58
35.75,-118.75,2012,05,01,              7.52
35.75,-118.25,2012,05,01,              7.52
35.75,-117.75,2012,05,01,              7.55
35.75,-117.25,2012,05,01,              7.55
35.75,-116.75,2012,05,01,              7.46
35.75,-116.25,2012,05,01,              7.46
36.25,-120.25,2012,05,01,              7.41
36.25,-119.75,2012,05,01,              7.51
36.25,-119.25,2012,05,01,              7.51
36.25,-118.75,2012,05,01,              7.12
36.25,-118.25,2012,05,01,              7.12
36.25,-117.75,2012,05,01,              7.62
36.25,-117.25,2012,05,01,              7.62
36.25,-116.75,2012,05,01,              7.48
36.25,-116.25,2012,05,01,              7.48
36.75,-120.25,2012,05,01,              7.41
36.75,-119.75,2012,05,01,              7.51
36.75,-119.25,2012,05,01,              7.51
36.75,-118.75,2012,05,01,              7.12
36.75,-118.25,2012,05,01,              7.12
36.75,-117.75,2012,05,01,              7.62
36.75,-117.25,2012,05,01,              7.62
36.75,-116.75,2012,05,01,              7.48
36.75,-116.25,2012,05,01,              7.48
37.25,-120.25,2012,05,01,              7.48
37.25,-119.75,2012,05,01,              7.28
37.25,-119.25,2012,05,01,              7.28
37.25,-118.75,2012,05,01,              8.32
37.25,-118.25,2012,05,01,              8.32
37.25,-117.75,2012,05,01,              7.51
37.25,-117.25,2012,05,01,              7.51
37.25,-116.75,2012,05,01,              7.36
37.25,-116.25,2012,05,01,              7.36
37.75,-120.25,2012,05,01,              7.48
37.75,-119.75,2012,05,01,              7.28
37.75,-119.25,2012,05,01,              7.28
37.75,-118.75,2012,05,01,              8.32
37.75,-118.25,2012,05,01,              8.32
37.75,-117.75,2012,05,01,              7.51
37.75,-117.25,2012,05,01,              7.51
37.75,-116.75,2012,05,01,              7.36
37.75,-116.25,2012,05,01,              7.36
38.25,-120.25,2012,05,01,              7.37
38.25,-119.75,2012,05,01,              8.24
38.25,-119.25,2012,05,01,              8.24
38.25,-118.75,2012,05,01,              7.58
38.25,-118.25,2012,05,01,              7.58
38.25,-117.75,2012,05,01,              7.50
38.25,-117.25,2012,05,01,              7.50
38.25,-116.75,2012,05,01,              7.48
38.25,-116.25,2012,05,01,              7.48
34.25,-120.25,2012,05,02,              7.71
34.25,-119.75,2012,05,02,              6.67
34.25,-119.25,2012,05,02,              6.67
34.25,-118.75,2012,05,02,              6.15
34.25,-118.25,2012,05,02,              6.15
34.25,-117.75,2012,05,02,              6.21
34.25,-117.25,2012,05,02,              6.21
34.25,-116.75,2012,05,02,              7.60
34.25,-116.25,2012,05,02,              7.60
34.75,-120.25,2012,05,02,              7.71
34.75,-119.75,2012,05,02,              6.67
34.75,-119.25,2012,05,02,              6.67
34.75,-118.75,2012,05,02,              6.15
34.75,-118.25,2012,05,02,              6.15
34.75,-117.75,2012,05,02,              6.21
34.75,-117.25,2012,05,02,              6.21
34.75,-116.75,2012,05,02,              7.60
34.75,-116.25,2012,05,02,              7.60
35.25,-120.25,2012,05,02,              7.61
