-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-108.25,2012,05,01,              7.28
42.25,-107.75,2012,05,01,              6.42
42.25,-107.25,2012,05,01,              6.42
42.25,-106.75,2012,05,01,              5.11
42.25,-106.25,2012,05,01,              5.11
42.25,-105.75,2012,05,01,              5.35
42.25,-105.25,2012,05,01,              5.35
42.25,-104.75,2012,05,01,              4.77
42.25,-104.25,2012,05,01,              4.77
42.75,-108.25,2012,05,01,              7.28
42.75,-107.75,2012,05,01,              6.42
42.75,-107.25,2012,05,01,              6.42
42.75,-106.75,2012,05,01,              5.11
42.75,-106.25,2012,05,01,              5.11
42.75,-105.75,2012,05,01,              5.35
42.75,-105.25,2012,05,01,              5.35
42.75,-104.75,2012,05,01,              4.77
42.75,-104.25,2012,05,01,              4.77
43.25,-108.25,2012,05,01,              7.60
43.25,-107.75,2012,05,01,              7.35
43.25,-107.25,2012,05,01,              7.35
43.25,-106.75,2012,05,01,              6.95
43.25,-106.25,2012,05,01,              6.95
43.25,-105.75,2012,05,01,              6.68
43.25,-105.25,2012,05,01,              6.68
43.25,-104.75,2012,05,01,              5.98
43.25,-104.25,2012,05,01,              5.98
43.75,-108.25,2012,05,01,              7.60
43.75,-107.75,2012,05,01,              7.35
43.75,-107.25,2012,05,01,              7.35
43.75,-106.75,2012,05,01,              6.95
43.75,-106.25,2012,05,01,              6.95
43.75,-105.75,2012,05,01,              6.68
43.75,-105.25,2012,05,01,              6.68
43.75,-104.75,2012,05,01,              5.98
43.75,-104.25,2012,05,01,              5.98
44.25,-108.25,2012,05,01,              6.26
44.25,-107.75,2012,05,01,              5.88
44.25,-107.25,2012,05,01,              5.88
44.25,-106.75,2012,05,01,              6.37
44.25,-106.25,2012,05,01,              6.37
44.25,-105.75,2012,05,01,              6.47
44.25,-105.25,2012,05,01,              6.47
44.25,-104.75,2012,05,01,              6.53
44.25,-104.25,2012,05,01,              6.53
44.75,-108.25,2012,05,01,              6.26
44.75,-107.75,2012,05,01,              5.88
44.75,-107.25,2012,05,01,              5.88
44.75,-106.75,2012,05,01,              6.37
44.75,-106.25,2012,05,01,              6.37
44.75,-105.75,2012,05,01,              6.47
44.75,-105.25,2012,05,01,              6.47
44.75,-104.75,2012,05,01,              6.53
44.75,-104.25,2012,05,01,              6.53
45.25,-108.25,2012,05,01,              4.98
45.25,-107.75,2012,05,01,              5.57
45.25,-107.25,2012,05,01,              5.57
45.25,-106.75,2012,05,01,              5.57
45.25,-106.25,2012,05,01,              5.57
45.25,-105.75,2012,05,01,              6.74
45.25,-105.25,2012,05,01,              6.74
45.25,-104.75,2012,05,01,              6.74
45.25,-104.25,2012,05,01,              6.74
45.75,-108.25,2012,05,01,              4.98
45.75,-107.75,2012,05,01,              5.57
45.75,-107.25,2012,05,01,              5.57
45.75,-106.75,2012,05,01,              5.57
45.75,-106.25,2012,05,01,              5.57
45.75,-105.75,2012,05,01,              6.74
45.75,-105.25,2012,05,01,              6.74
45.75,-104.75,2012,05,01,              6.74
45.75,-104.25,2012,05,01,              6.74
46.25,-108.25,2012,05,01,              6.06
46.25,-107.75,2012,05,01,              5.87
46.25,-107.25,2012,05,01,              5.87
46.25,-106.75,2012,05,01,              5.87
46.25,-106.25,2012,05,01,              5.87
46.25,-105.75,2012,05,01,              6.59
46.25,-105.25,2012,05,01,              6.59
46.25,-104.75,2012,05,01,              6.59
46.25,-104.25,2012,05,01,              6.59
42.25,-108.25,2012,05,02,              7.49
42.25,-107.75,2012,05,02,              7.24
42.25,-107.25,2012,05,02,              7.24
42.25,-106.75,2012,05,02,              6.16
42.25,-106.25,2012,05,02,              6.16
42.25,-105.75,2012,05,02,              5.19
42.25,-105.25,2012,05,02,              5.19
42.25,-104.75,2012,05,02,              5.13
42.25,-104.25,2012,05,02,              5.13
42.75,-108.25,2012,05,02,              7.49
42.75,-107.75,2012,05,02,              7.24
42.75,-107.25,2012,05,02,              7.24
42.75,-106.75,2012,05,02,              6.16
42.75,-106.25,2012,05,02,              6.16
42.75,-105.75,2012,05,02,              5.19
42.75,-105.25,2012,05,02,              5.19
42.75,-104.75,2012,05,02,              5.13
42.75,-104.25,2012,05,02,              5.13
43.25,-108.25,2012,05,02,              7.60
43.25,-107.75,2012,05,02,              7.26
43.25,-107.25,2012,05,02,              7.26
43.25,-106.75,2012,05,02,              7.12
43.25,-106.25,2012,05,02,              7.12
43.25,-105.75,2012,05,02,              6.58
43.25,-105.25,2012,05,02,              6.58
43.25,-104.75,2012,05,02,              5.62
43.25,-104.25,2012,05,02,              5.62
43.75,-108.25,2012,05,02,              7.60
43.75,-107.75,2012,05,02,              7.26
43.75,-107.25,2012,05,02,              7.26
43.75,-106.75,2012,05,02,              7.12
43.75,-106.25,2012,05,02,              7.12
43.75,-105.75,2012,05,02,              6.58
43.75,-105.25,2012,05,02,              6.58
43.75,-104.75,2012,05,02,              5.62
43.75,-104.25,2012,05,02,              5.62
44.25,-108.25,2012,05,02,              6.93
44.25,-107.75,2012,05,02,              6.37
44.25,-107.25,2012,05,02,              6.37
44.25,-106.75,2012,05,02,              6.94
44.25,-106.25,2012,05,02,              6.94
44.25,-105.75,2012,05,02,              6.66
44.25,-105.25,2012,05,02,              6.66
44.25,-104.75,2012,05,02,              6.15
44.25,-104.25,2012,05,02,              6.15
44.75,-108.25,2012,05,02,              6.93
44.75,-107.75,2012,05,02,              6.37
44.75,-107.25,2012,05,02,              6.37
44.75,-106.75,2012,05,02,              6.94
44.75,-106.25,2012,05,02,              6.94
44.75,-105.75,2012,05,02,              6.66
44.75,-105.25,2012,05,02,              6.66
44.75,-104.75,2012,05,02,              6.15
44.75,-104.25,2012,05,02,              6.15
45.25,-108.25,2012,05,02,              5.39
45.25,-107.75,2012,05,02,              6.42
45.25,-107.25,2012,05,02,              6.42
45.25,-106.75,2012,05,02,              6.42
45.25,-106.25,2012,05,02,              6.42
45.25,-105.75,2012,05,02,              6.53
45.25,-105.25,2012,05,02,              6.53
45.25,-104.75,2012,05,02,              6.53
45.25,-104.25,2012,05,02,              6.53
45.75,-108.25,2012,05,02,              5.39
45.75,-107.75,2012,05,02,              6.42
45.75,-107.25,2012,05,02,              6.42
45.75,-106.75,2012,05,02,              6.42
45.75,-106.25,2012,05,02,              6.42
45.75,-105.75,2012,05,02,              6.53
45.75,-105.25,2012,05,02,              6.53
45.75,-104.75,2012,05,02,              6.53
45.75,-104.25,2012,05,02,              6.53
46.25,-108.25,2012,05,02,              4.41
46.25,-107.75,2012,05,02,              6.23
46.25,-107.25,2012,05,02,              6.23
46.25,-106.75,2012,05,02,              6.23
46.25,-106.25,2012,05,02,              6.23
46.25,-105.75,2012,05,02,              5.99
46.25,-105.25,2012,05,02,              5.99
46.25,-104.75,2012,05,02,              5.99
46.25,-104.25,2012,05,02,              5.99
42.25,-108.25,2012,05,03,              5.47
42.25,-107.75,2012,05,03,              5.23
42.25,-107.25,2012,05,03,              5.23
42.25,-106.75,2012,05,03,              4.66
42.25,-106.25,2012,05,03,              4.66
42.25,-105.75,2012,05,03,              4.75
42.25,-105.25,2012,05,03,              4.75
42.25,-104.75,2012,05,03,              5.71
42.25,-104.25,2012,05,03,              5.71
42.75,-108.25,2012,05,03,              5.47
42.75,-107.75,2012,05,03,              5.23
42.75,-107.25,2012,05,03,              5.23
42.75,-106.75,2012,05,03,              4.66
42.75,-106.25,2012,05,03,              4.66
42.75,-105.75,2012,05,03,              4.75
42.75,-105.25,2012,05,03,              4.75
42.75,-104.75,2012,05,03,              5.71
42.75,-104.25,2012,05,03,              5.71
43.25,-108.25,2012,05,03,              6.05
43.25,-107.75,2012,05,03,              5.26
43.25,-107.25,2012,05,03,              5.26
43.25,-106.75,2012,05,03,              5.10
43.25,-106.25,2012,05,03,              5.10
43.25,-105.75,2012,05,03,              4.59
43.25,-105.25,2012,05,03,              4.59
43.25,-104.75,2012,05,03,              4.50
43.25,-104.25,2012,05,03,              4.50
43.75,-108.25,2012,05,03,              6.05
43.75,-107.75,2012,05,03,              5.26
43.75,-107.25,2012,05,03,              5.26
43.75,-106.75,2012,05,03,              5.10
43.75,-106.25,2012,05,03,              5.10
43.75,-105.75,2012,05,03,              4.59
43.75,-105.25,2012,05,03,              4.59
43.75,-104.75,2012,05,03,              4.50
43.75,-104.25,2012,05,03,              4.50
44.25,-108.25,2012,05,03,              4.58
44.25,-107.75,2012,05,03,              4.20
44.25,-107.25,2012,05,03,              4.20
44.25,-106.75,2012,05,03,              4.65
44.25,-106.25,2012,05,03,              4.65
44.25,-105.75,2012,05,03,              4.80
44.25,-105.25,2012,05,03,              4.80
44.25,-104.75,2012,05,03,              4.20
44.25,-104.25,2012,05,03,              4.20
44.75,-108.25,2012,05,03,              4.58
44.75,-107.75,2012,05,03,              4.20
44.75,-107.25,2012,05,03,              4.20
44.75,-106.75,2012,05,03,              4.65
44.75,-106.25,2012,05,03,              4.65
44.75,-105.75,2012,05,03,              4.80
44.75,-105.25,2012,05,03,              4.80
44.75,-104.75,2012,05,03,              4.20
44.75,-104.25,2012,05,03,              4.20
45.25,-108.25,2012,05,03,              4.56
45.25,-107.75,2012,05,03,              4.75
45.25,-107.25,2012,05,03,              4.75
45.25,-106.75,2012,05,03,              4.75
45.25,-106.25,2012,05,03,              4.75
45.25,-105.75,2012,05,03,              6.07
45.25,-105.25,2012,05,03,              6.07
45.25,-104.75,2012,05,03,              6.07
45.25,-104.25,2012,05,03,              6.07
45.75,-108.25,2012,05,03,              4.56
45.75,-107.75,2012,05,03,              4.75
45.75,-107.25,2012,05,03,              4.75
45.75,-106.75,2012,05,03,              4.75
45.75,-106.25,2012,05,03,              4.75
45.75,-105.75,2012,05,03,              6.07
45.75,-105.25,2012,05,03,              6.07
45.75,-104.75,2012,05,03,              6.07
45.75,-104.25,2012,05,03,              6.07
46.25,-108.25,2012,05,03,              4.78
46.25,-107.75,2012,05,03,              4.79
46.25,-107.25,2012,05,03,              4.79
46.25,-106.75,2012,05,03,              4.79
46.25,-106.25,2012,05,03,              4.79
46.25,-105.75,2012,05,03,              5.58
46.25,-105.25,2012,05,03,              5.58
46.25,-104.75,2012,05,03,              5.58
46.25,-104.25,2012,05,03,              5.58
42.25,-108.25,2012,05,04,              6.38
42.25,-107.75,2012,05,04,              5.74
42.25,-107.25,2012,05,04,              5.74
42.25,-106.75,2012,05,04,              6.15
42.25,-106.25,2012,05,04,              6.15
42.25,-105.75,2012,05,04,              6.32
42.25,-105.25,2012,05,04,              6.32
42.25,-104.75,2012,05,04,              6.94
42.25,-104.25,2012,05,04,              6.94
42.75,-108.25,2012,05,04,              6.38
42.75,-107.75,2012,05,04,              5.74
42.75,-107.25,2012,05,04,              5.74
42.75,-106.75,2012,05,04,              6.15
42.75,-106.25,2012,05,04,              6.15
42.75,-105.75,2012,05,04,              6.32
42.75,-105.25,2012,05,04,              6.32
42.75,-104.75,2012,05,04,              6.94
42.75,-104.25,2012,05,04,              6.94
43.25,-108.25,2012,05,04,              6.42
43.25,-107.75,2012,05,04,              6.12
43.25,-107.25,2012,05,04,              6.12
43.25,-106.75,2012,05,04,              4.76
43.25,-106.25,2012,05,04,              4.76
43.25,-105.75,2012,05,04,              5.74
43.25,-105.25,2012,05,04,              5.74
43.25,-104.75,2012,05,04,              6.57
43.25,-104.25,2012,05,04,              6.57
43.75,-108.25,2012,05,04,              6.42
43.75,-107.75,2012,05,04,              6.12
43.75,-107.25,2012,05,04,              6.12
43.75,-106.75,2012,05,04,              4.76
43.75,-106.25,2012,05,04,              4.76
43.75,-105.75,2012,05,04,              5.74
43.75,-105.25,2012,05,04,              5.74
43.75,-104.75,2012,05,04,              6.57
43.75,-104.25,2012,05,04,              6.57
44.25,-108.25,2012,05,04,              5.29
44.25,-107.75,2012,05,04,              3.84
44.25,-107.25,2012,05,04,              3.84
44.25,-106.75,2012,05,04,              3.87
