-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-108.25,2012,05,01,              7.92
34.25,-107.75,2012,05,01,              7.95
34.25,-107.25,2012,05,01,              7.95
34.25,-106.75,2012,05,01,              7.85
34.25,-106.25,2012,05,01,              7.85
34.25,-105.75,2012,05,01,              7.90
34.25,-105.25,2012,05,01,              7.90
34.25,-104.75,2012,05,01,              7.89
34.25,-104.25,2012,05,01,              7.89
34.75,-108.25,2012,05,01,              7.92
34.75,-107.75,2012,05,01,              7.95
34.75,-107.25,2012,05,01,              7.95
34.75,-106.75,2012,05,01,              7.85
34.75,-106.25,2012,05,01,              7.85
34.75,-105.75,2012,05,01,              7.90
34.75,-105.25,2012,05,01,              7.90
34.75,-104.75,2012,05,01,              7.89
34.75,-104.25,2012,05,01,              7.89
35.25,-108.25,2012,05,01,              7.16
35.25,-107.75,2012,05,01,              7.84
35.25,-107.25,2012,05,01,              7.84
35.25,-106.75,2012,05,01,              7.91
35.25,-106.25,2012,05,01,              7.91
35.25,-105.75,2012,05,01,              7.92
35.25,-105.25,2012,05,01,              7.92
35.25,-104.75,2012,05,01,              7.93
35.25,-104.25,2012,05,01,              7.93
35.75,-108.25,2012,05,01,              7.16
35.75,-107.75,2012,05,01,              7.84
35.75,-107.25,2012,05,01,              7.84
35.75,-106.75,2012,05,01,              7.91
35.75,-106.25,2012,05,01,              7.91
35.75,-105.75,2012,05,01,              7.92
35.75,-105.25,2012,05,01,              7.92
35.75,-104.75,2012,05,01,              7.93
35.75,-104.25,2012,05,01,              7.93
36.25,-108.25,2012,05,01,              5.61
