-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-104.25,2012,05,01,              7.65
26.25,-103.75,2012,05,01,              7.58
26.25,-103.25,2012,05,01,              7.58
26.25,-102.75,2012,05,01,              6.88
26.25,-102.25,2012,05,01,              6.88
26.25,-101.75,2012,05,01,              6.50
26.25,-101.25,2012,05,01,              6.50
26.25,-100.75,2012,05,01,              4.92
26.25,-100.25,2012,05,01,              4.92
26.75,-104.25,2012,05,01,              7.65
26.75,-103.75,2012,05,01,              7.58
26.75,-103.25,2012,05,01,              7.58
26.75,-102.75,2012,05,01,              6.88
26.75,-102.25,2012,05,01,              6.88
26.75,-101.75,2012,05,01,              6.50
26.75,-101.25,2012,05,01,              6.50
26.75,-100.75,2012,05,01,              4.92
26.75,-100.25,2012,05,01,              4.92
27.25,-104.25,2012,05,01,              7.74
27.25,-103.75,2012,05,01,              7.61
27.25,-103.25,2012,05,01,              7.61
27.25,-102.75,2012,05,01,              7.61
27.25,-102.25,2012,05,01,              7.61
27.25,-101.75,2012,05,01,              6.29
27.25,-101.25,2012,05,01,              6.29
27.25,-100.75,2012,05,01,              4.32
27.25,-100.25,2012,05,01,              4.32
27.75,-104.25,2012,05,01,              7.74
27.75,-103.75,2012,05,01,              7.61
27.75,-103.25,2012,05,01,              7.61
27.75,-102.75,2012,05,01,              7.61
27.75,-102.25,2012,05,01,              7.61
27.75,-101.75,2012,05,01,              6.29
27.75,-101.25,2012,05,01,              6.29
27.75,-100.75,2012,05,01,              4.32
27.75,-100.25,2012,05,01,              4.32
28.25,-104.25,2012,05,01,              7.85
28.25,-103.75,2012,05,01,              7.66
28.25,-103.25,2012,05,01,              7.66
28.25,-102.75,2012,05,01,              7.56
28.25,-102.25,2012,05,01,              7.56
28.25,-101.75,2012,05,01,              5.38
28.25,-101.25,2012,05,01,              5.38
28.25,-100.75,2012,05,01,              4.00
28.25,-100.25,2012,05,01,              4.00
28.75,-104.25,2012,05,01,              7.85
28.75,-103.75,2012,05,01,              7.66
28.75,-103.25,2012,05,01,              7.66
28.75,-102.75,2012,05,01,              7.56
28.75,-102.25,2012,05,01,              7.56
28.75,-101.75,2012,05,01,              5.38
28.75,-101.25,2012,05,01,              5.38
28.75,-100.75,2012,05,01,              4.00
28.75,-100.25,2012,05,01,              4.00
29.25,-104.25,2012,05,01,              7.78
29.25,-103.75,2012,05,01,              7.66
29.25,-103.25,2012,05,01,              7.66
29.25,-102.75,2012,05,01,              7.58
29.25,-102.25,2012,05,01,              7.58
29.25,-101.75,2012,05,01,              6.46
29.25,-101.25,2012,05,01,              6.46
29.25,-100.75,2012,05,01,              3.45
29.25,-100.25,2012,05,01,              3.45
29.75,-104.25,2012,05,01,              7.78
29.75,-103.75,2012,05,01,              7.66
29.75,-103.25,2012,05,01,              7.66
29.75,-102.75,2012,05,01,              7.58
29.75,-102.25,2012,05,01,              7.58
29.75,-101.75,2012,05,01,              6.46
29.75,-101.25,2012,05,01,              6.46
29.75,-100.75,2012,05,01,              3.45
29.75,-100.25,2012,05,01,              3.45
30.25,-104.25,2012,05,01,              7.86
30.25,-103.75,2012,05,01,              7.85
30.25,-103.25,2012,05,01,              7.85
30.25,-102.75,2012,05,01,              7.68
30.25,-102.25,2012,05,01,              7.68
30.25,-101.75,2012,05,01,              6.92
30.25,-101.25,2012,05,01,              6.92
30.25,-100.75,2012,05,01,              5.14
30.25,-100.25,2012,05,01,              5.14
26.25,-104.25,2012,05,02,              7.39
26.25,-103.75,2012,05,02,              7.47
26.25,-103.25,2012,05,02,              7.47
26.25,-102.75,2012,05,02,              7.03
26.25,-102.25,2012,05,02,              7.03
26.25,-101.75,2012,05,02,              6.04
26.25,-101.25,2012,05,02,              6.04
26.25,-100.75,2012,05,02,              5.58
26.25,-100.25,2012,05,02,              5.58
26.75,-104.25,2012,05,02,              7.39
26.75,-103.75,2012,05,02,              7.47
26.75,-103.25,2012,05,02,              7.47
26.75,-102.75,2012,05,02,              7.03
26.75,-102.25,2012,05,02,              7.03
26.75,-101.75,2012,05,02,              6.04
26.75,-101.25,2012,05,02,              6.04
26.75,-100.75,2012,05,02,              5.58
26.75,-100.25,2012,05,02,              5.58
27.25,-104.25,2012,05,02,              6.10
27.25,-103.75,2012,05,02,              7.37
27.25,-103.25,2012,05,02,              7.37
27.25,-102.75,2012,05,02,              7.07
27.25,-102.25,2012,05,02,              7.07
27.25,-101.75,2012,05,02,              6.89
27.25,-101.25,2012,05,02,              6.89
27.25,-100.75,2012,05,02,              6.03
27.25,-100.25,2012,05,02,              6.03
27.75,-104.25,2012,05,02,              6.10
27.75,-103.75,2012,05,02,              7.37
27.75,-103.25,2012,05,02,              7.37
27.75,-102.75,2012,05,02,              7.07
