-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-92.25,2012,05,01,              6.94
38.25,-91.75,2012,05,01,              5.74
38.25,-91.25,2012,05,01,              5.74
38.25,-90.75,2012,05,01,              6.76
38.25,-90.25,2012,05,01,              6.76
38.25,-89.75,2012,05,01,              6.33
38.25,-89.25,2012,05,01,              6.33
38.25,-88.75,2012,05,01,              5.55
38.25,-88.25,2012,05,01,              5.55
38.75,-92.25,2012,05,01,              6.94
38.75,-91.75,2012,05,01,              5.74
38.75,-91.25,2012,05,01,              5.74
38.75,-90.75,2012,05,01,              6.76
38.75,-90.25,2012,05,01,              6.76
38.75,-89.75,2012,05,01,              6.33
38.75,-89.25,2012,05,01,              6.33
38.75,-88.75,2012,05,01,              5.55
38.75,-88.25,2012,05,01,              5.55
39.25,-92.25,2012,05,01,              6.13
39.25,-91.75,2012,05,01,              5.76
39.25,-91.25,2012,05,01,              5.76
39.25,-90.75,2012,05,01,              5.07
39.25,-90.25,2012,05,01,              5.07
39.25,-89.75,2012,05,01,              4.86
39.25,-89.25,2012,05,01,              4.86
39.25,-88.75,2012,05,01,              4.55
39.25,-88.25,2012,05,01,              4.55
39.75,-92.25,2012,05,01,              6.13
39.75,-91.75,2012,05,01,              5.76
39.75,-91.25,2012,05,01,              5.76
39.75,-90.75,2012,05,01,              5.07
39.75,-90.25,2012,05,01,              5.07
39.75,-89.75,2012,05,01,              4.86
39.75,-89.25,2012,05,01,              4.86
39.75,-88.75,2012,05,01,              4.55
39.75,-88.25,2012,05,01,              4.55
40.25,-92.25,2012,05,01,              5.14
40.25,-91.75,2012,05,01,              4.19
40.25,-91.25,2012,05,01,              4.19
40.25,-90.75,2012,05,01,              3.04
40.25,-90.25,2012,05,01,              3.04
40.25,-89.75,2012,05,01,              2.48
40.25,-89.25,2012,05,01,              2.48
40.25,-88.75,2012,05,01,              2.31
40.25,-88.25,2012,05,01,              2.31
40.75,-92.25,2012,05,01,              5.14
40.75,-91.75,2012,05,01,              4.19
40.75,-91.25,2012,05,01,              4.19
40.75,-90.75,2012,05,01,              3.04
40.75,-90.25,2012,05,01,              3.04
40.75,-89.75,2012,05,01,              2.48
40.75,-89.25,2012,05,01,              2.48
40.75,-88.75,2012,05,01,              2.31
40.75,-88.25,2012,05,01,              2.31
41.25,-92.25,2012,05,01,              5.00
41.25,-91.75,2012,05,01,              3.68
41.25,-91.25,2012,05,01,              3.68
41.25,-90.75,2012,05,01,              2.46
41.25,-90.25,2012,05,01,              2.46
41.25,-89.75,2012,05,01,              1.88
41.25,-89.25,2012,05,01,              1.88
41.25,-88.75,2012,05,01,              2.10
41.25,-88.25,2012,05,01,              2.10
41.75,-92.25,2012,05,01,              5.00
41.75,-91.75,2012,05,01,              3.68
41.75,-91.25,2012,05,01,              3.68
41.75,-90.75,2012,05,01,              2.46
41.75,-90.25,2012,05,01,              2.46
41.75,-89.75,2012,05,01,              1.88
41.75,-89.25,2012,05,01,              1.88
41.75,-88.75,2012,05,01,              2.10
41.75,-88.25,2012,05,01,              2.10
42.25,-92.25,2012,05,01,              4.62
42.25,-91.75,2012,05,01,              3.72
42.25,-91.25,2012,05,01,              3.72
42.25,-90.75,2012,05,01,              3.08
42.25,-90.25,2012,05,01,              3.08
42.25,-89.75,2012,05,01,              3.18
