-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-104.25,2012,05,01,              7.89
34.25,-103.75,2012,05,01,              7.97
34.25,-103.25,2012,05,01,              7.97
34.25,-102.75,2012,05,01,              7.94
34.25,-102.25,2012,05,01,              7.94
34.25,-101.75,2012,05,01,              7.84
34.25,-101.25,2012,05,01,              7.84
34.25,-100.75,2012,05,01,              7.65
34.25,-100.25,2012,05,01,              7.65
34.75,-104.25,2012,05,01,              7.89
34.75,-103.75,2012,05,01,              7.97
34.75,-103.25,2012,05,01,              7.97
34.75,-102.75,2012,05,01,              7.94
34.75,-102.25,2012,05,01,              7.94
34.75,-101.75,2012,05,01,              7.84
34.75,-101.25,2012,05,01,              7.84
34.75,-100.75,2012,05,01,              7.65
34.75,-100.25,2012,05,01,              7.65
35.25,-104.25,2012,05,01,              7.93
35.25,-103.75,2012,05,01,              7.88
35.25,-103.25,2012,05,01,              7.88
35.25,-102.75,2012,05,01,              7.92
35.25,-102.25,2012,05,01,              7.92
35.25,-101.75,2012,05,01,              7.82
35.25,-101.25,2012,05,01,              7.82
35.25,-100.75,2012,05,01,              7.68
35.25,-100.25,2012,05,01,              7.68
35.75,-104.25,2012,05,01,              7.93
35.75,-103.75,2012,05,01,              7.88
35.75,-103.25,2012,05,01,              7.88
35.75,-102.75,2012,05,01,              7.92
35.75,-102.25,2012,05,01,              7.92
35.75,-101.75,2012,05,01,              7.82
35.75,-101.25,2012,05,01,              7.82
35.75,-100.75,2012,05,01,              7.68
35.75,-100.25,2012,05,01,              7.68
36.25,-104.25,2012,05,01,              7.58
36.25,-103.75,2012,05,01,              7.88
36.25,-103.25,2012,05,01,              7.88
36.25,-102.75,2012,05,01,              7.84
36.25,-102.25,2012,05,01,              7.84
36.25,-101.75,2012,05,01,              7.76
36.25,-101.25,2012,05,01,              7.76
