-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-76.25,2012,05,01,              3.13
42.25,-75.75,2012,05,01,              2.30
42.25,-75.25,2012,05,01,              2.30
42.25,-74.75,2012,05,01,              2.43
42.25,-74.25,2012,05,01,              2.43
42.25,-73.75,2012,05,01,              2.28
42.25,-73.25,2012,05,01,              2.28
42.25,-72.75,2012,05,01,              2.07
42.25,-72.25,2012,05,01,              2.07
42.75,-76.25,2012,05,01,              3.13
42.75,-75.75,2012,05,01,              2.30
42.75,-75.25,2012,05,01,              2.30
42.75,-74.75,2012,05,01,              2.43
42.75,-74.25,2012,05,01,              2.43
42.75,-73.75,2012,05,01,              2.28
42.75,-73.25,2012,05,01,              2.28
42.75,-72.75,2012,05,01,              2.07
42.75,-72.25,2012,05,01,              2.07
43.25,-76.25,2012,05,01,              2.65
43.25,-75.75,2012,05,01,              1.95
43.25,-75.25,2012,05,01,              1.95
43.25,-74.75,2012,05,01,              2.06
43.25,-74.25,2012,05,01,              2.06
43.25,-73.75,2012,05,01,              2.23
43.25,-73.25,2012,05,01,              2.23
43.25,-72.75,2012,05,01,              1.96
43.25,-72.25,2012,05,01,              1.96
43.75,-76.25,2012,05,01,              2.65
43.75,-75.75,2012,05,01,              1.95
43.75,-75.25,2012,05,01,              1.95
43.75,-74.75,2012,05,01,              2.06
43.75,-74.25,2012,05,01,              2.06
43.75,-73.75,2012,05,01,              2.23
43.75,-73.25,2012,05,01,              2.23
43.75,-72.75,2012,05,01,              1.96
43.75,-72.25,2012,05,01,              1.96
44.25,-76.25,2012,05,01,              2.48
44.25,-75.75,2012,05,01,              1.84
44.25,-75.25,2012,05,01,              1.84
44.25,-74.75,2012,05,01,              1.87
44.25,-74.25,2012,05,01,              1.87
44.25,-73.75,2012,05,01,              2.21
44.25,-73.25,2012,05,01,              2.21
44.25,-72.75,2012,05,01,              1.88
44.25,-72.25,2012,05,01,              1.88
44.75,-76.25,2012,05,01,              2.48
44.75,-75.75,2012,05,01,              1.84
44.75,-75.25,2012,05,01,              1.84
44.75,-74.75,2012,05,01,              1.87
44.75,-74.25,2012,05,01,              1.87
44.75,-73.75,2012,05,01,              2.21
44.75,-73.25,2012,05,01,              2.21
44.75,-72.75,2012,05,01,              1.88
44.75,-72.25,2012,05,01,              1.88
45.25,-76.25,2012,05,01,              2.74
45.25,-75.75,2012,05,01,              1.93
45.25,-75.25,2012,05,01,              1.93
45.25,-74.75,2012,05,01,              1.93
45.25,-74.25,2012,05,01,              1.93
45.25,-73.75,2012,05,01,              1.74
45.25,-73.25,2012,05,01,              1.74
45.25,-72.75,2012,05,01,              1.74
45.25,-72.25,2012,05,01,              1.74
45.75,-76.25,2012,05,01,              2.74
45.75,-75.75,2012,05,01,              1.93
45.75,-75.25,2012,05,01,              1.93
45.75,-74.75,2012,05,01,              1.93
45.75,-74.25,2012,05,01,              1.93
45.75,-73.75,2012,05,01,              1.74
45.75,-73.25,2012,05,01,              1.74
45.75,-72.75,2012,05,01,              1.74
45.75,-72.25,2012,05,01,              1.74
46.25,-76.25,2012,05,01,              2.39
46.25,-75.75,2012,05,01,              1.91
46.25,-75.25,2012,05,01,              1.91
46.25,-74.75,2012,05,01,              1.91
46.25,-74.25,2012,05,01,              1.91
46.25,-73.75,2012,05,01,              1.69
46.25,-73.25,2012,05,01,              1.69
46.25,-72.75,2012,05,01,              1.69
46.25,-72.25,2012,05,01,              1.69
42.25,-76.25,2012,05,02,              4.16
42.25,-75.75,2012,05,02,              2.93
42.25,-75.25,2012,05,02,              2.93
42.25,-74.75,2012,05,02,              2.56
42.25,-74.25,2012,05,02,              2.56
42.25,-73.75,2012,05,02,              2.69
42.25,-73.25,2012,05,02,              2.69
42.25,-72.75,2012,05,02,              2.59
42.25,-72.25,2012,05,02,              2.59
42.75,-76.25,2012,05,02,              4.16
42.75,-75.75,2012,05,02,              2.93
42.75,-75.25,2012,05,02,              2.93
42.75,-74.75,2012,05,02,              2.56
42.75,-74.25,2012,05,02,              2.56
42.75,-73.75,2012,05,02,              2.69
