-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-124.25,2012,05,01,              4.50
26.25,-123.75,2012,05,01,              4.62
26.25,-123.25,2012,05,01,              4.62
26.25,-122.75,2012,05,01,              4.57
26.25,-122.25,2012,05,01,              4.57
26.25,-121.75,2012,05,01,              4.72
26.25,-121.25,2012,05,01,              4.72
26.25,-120.75,2012,05,01,              4.95
26.25,-120.25,2012,05,01,              4.95
26.75,-124.25,2012,05,01,              4.50
26.75,-123.75,2012,05,01,              4.62
26.75,-123.25,2012,05,01,              4.62
26.75,-122.75,2012,05,01,              4.57
26.75,-122.25,2012,05,01,              4.57
26.75,-121.75,2012,05,01,              4.72
26.75,-121.25,2012,05,01,              4.72
26.75,-120.75,2012,05,01,              4.95
26.75,-120.25,2012,05,01,              4.95
27.25,-124.25,2012,05,01,              5.37
27.25,-123.75,2012,05,01,              4.68
27.25,-123.25,2012,05,01,              4.68
27.25,-122.75,2012,05,01,              4.80
27.25,-122.25,2012,05,01,              4.80
27.25,-121.75,2012,05,01,              4.29
27.25,-121.25,2012,05,01,              4.29
27.25,-120.75,2012,05,01,              4.44
27.25,-120.25,2012,05,01,              4.44
27.75,-124.25,2012,05,01,              5.37
27.75,-123.75,2012,05,01,              4.68
27.75,-123.25,2012,05,01,              4.68
27.75,-122.75,2012,05,01,              4.80
27.75,-122.25,2012,05,01,              4.80
27.75,-121.75,2012,05,01,              4.29
27.75,-121.25,2012,05,01,              4.29
27.75,-120.75,2012,05,01,              4.44
27.75,-120.25,2012,05,01,              4.44
28.25,-124.25,2012,05,01,              5.67
28.25,-123.75,2012,05,01,              5.77
28.25,-123.25,2012,05,01,              5.77
28.25,-122.75,2012,05,01,              4.76
28.25,-122.25,2012,05,01,              4.76
28.25,-121.75,2012,05,01,              4.03
28.25,-121.25,2012,05,01,              4.03
28.25,-120.75,2012,05,01,              4.61
28.25,-120.25,2012,05,01,              4.61
28.75,-124.25,2012,05,01,              5.67
28.75,-123.75,2012,05,01,              5.77
28.75,-123.25,2012,05,01,              5.77
28.75,-122.75,2012,05,01,              4.76
28.75,-122.25,2012,05,01,              4.76
28.75,-121.75,2012,05,01,              4.03
28.75,-121.25,2012,05,01,              4.03
28.75,-120.75,2012,05,01,              4.61
28.75,-120.25,2012,05,01,              4.61
29.25,-124.25,2012,05,01,              4.89
29.25,-123.75,2012,05,01,              4.22
29.25,-123.25,2012,05,01,              4.22
29.25,-122.75,2012,05,01,              4.31
29.25,-122.25,2012,05,01,              4.31
29.25,-121.75,2012,05,01,              3.94
29.25,-121.25,2012,05,01,              3.94
29.25,-120.75,2012,05,01,              3.59
29.25,-120.25,2012,05,01,              3.59
29.75,-124.25,2012,05,01,              4.89
29.75,-123.75,2012,05,01,              4.22
29.75,-123.25,2012,05,01,              4.22
29.75,-122.75,2012,05,01,              4.31
29.75,-122.25,2012,05,01,              4.31
29.75,-121.75,2012,05,01,              3.94
29.75,-121.25,2012,05,01,              3.94
