-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-100.25,2012,05,01,              7.65
34.25,-99.75,2012,05,01,              7.42
34.25,-99.25,2012,05,01,              7.42
34.25,-98.75,2012,05,01,              7.15
34.25,-98.25,2012,05,01,              7.15
34.25,-97.75,2012,05,01,              6.98
34.25,-97.25,2012,05,01,              6.98
34.25,-96.75,2012,05,01,              6.78
34.25,-96.25,2012,05,01,              6.78
34.75,-100.25,2012,05,01,              7.65
34.75,-99.75,2012,05,01,              7.42
34.75,-99.25,2012,05,01,              7.42
34.75,-98.75,2012,05,01,              7.15
34.75,-98.25,2012,05,01,              7.15
34.75,-97.75,2012,05,01,              6.98
34.75,-97.25,2012,05,01,              6.98
34.75,-96.75,2012,05,01,              6.78
34.75,-96.25,2012,05,01,              6.78
35.25,-100.25,2012,05,01,              7.68
35.25,-99.75,2012,05,01,              7.39
35.25,-99.25,2012,05,01,              7.39
35.25,-98.75,2012,05,01,              6.99
35.25,-98.25,2012,05,01,              6.99
35.25,-97.75,2012,05,01,              6.97
35.25,-97.25,2012,05,01,              6.97
35.25,-96.75,2012,05,01,              6.76
35.25,-96.25,2012,05,01,              6.76
35.75,-100.25,2012,05,01,              7.68
35.75,-99.75,2012,05,01,              7.39
35.75,-99.25,2012,05,01,              7.39
35.75,-98.75,2012,05,01,              6.99
35.75,-98.25,2012,05,01,              6.99
35.75,-97.75,2012,05,01,              6.97
35.75,-97.25,2012,05,01,              6.97
35.75,-96.75,2012,05,01,              6.76
35.75,-96.25,2012,05,01,              6.76
36.25,-100.25,2012,05,01,              7.65
36.25,-99.75,2012,05,01,              7.45
36.25,-99.25,2012,05,01,              7.45
36.25,-98.75,2012,05,01,              7.02
36.25,-98.25,2012,05,01,              7.02
36.25,-97.75,2012,05,01,              6.35
36.25,-97.25,2012,05,01,              6.35
36.25,-96.75,2012,05,01,              6.65
36.25,-96.25,2012,05,01,              6.65
36.75,-100.25,2012,05,01,              7.65
36.75,-99.75,2012,05,01,              7.45
36.75,-99.25,2012,05,01,              7.45
36.75,-98.75,2012,05,01,              7.02
36.75,-98.25,2012,05,01,              7.02
36.75,-97.75,2012,05,01,              6.35
36.75,-97.25,2012,05,01,              6.35
36.75,-96.75,2012,05,01,              6.65
36.75,-96.25,2012,05,01,              6.65
37.25,-100.25,2012,05,01,              7.66
37.25,-99.75,2012,05,01,              7.50
37.25,-99.25,2012,05,01,              7.50
37.25,-98.75,2012,05,01,              7.19
37.25,-98.25,2012,05,01,              7.19
37.25,-97.75,2012,05,01,              6.03
37.25,-97.25,2012,05,01,              6.03
37.25,-96.75,2012,05,01,              6.14
37.25,-96.25,2012,05,01,              6.14
37.75,-100.25,2012,05,01,              7.66
37.75,-99.75,2012,05,01,              7.50
37.75,-99.25,2012,05,01,              7.50
37.75,-98.75,2012,05,01,              7.19
37.75,-98.25,2012,05,01,              7.19
37.75,-97.75,2012,05,01,              6.03
37.75,-97.25,2012,05,01,              6.03
37.75,-96.75,2012,05,01,              6.14
37.75,-96.25,2012,05,01,              6.14
38.25,-100.25,2012,05,01,              7.19
