-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-116.25,2012,05,01,              7.40
42.25,-115.75,2012,05,01,              7.12
42.25,-115.25,2012,05,01,              7.12
42.25,-114.75,2012,05,01,              7.15
42.25,-114.25,2012,05,01,              7.15
42.25,-113.75,2012,05,01,              6.88
42.25,-113.25,2012,05,01,              6.88
42.25,-112.75,2012,05,01,              6.99
42.25,-112.25,2012,05,01,              6.99
42.75,-116.25,2012,05,01,              7.40
42.75,-115.75,2012,05,01,              7.12
42.75,-115.25,2012,05,01,              7.12
42.75,-114.75,2012,05,01,              7.15
42.75,-114.25,2012,05,01,              7.15
42.75,-113.75,2012,05,01,              6.88
42.75,-113.25,2012,05,01,              6.88
42.75,-112.75,2012,05,01,              6.99
42.75,-112.25,2012,05,01,              6.99
43.25,-116.25,2012,05,01,              7.22
43.25,-115.75,2012,05,01,              7.14
43.25,-115.25,2012,05,01,              7.14
43.25,-114.75,2012,05,01,              7.07
43.25,-114.25,2012,05,01,              7.07
43.25,-113.75,2012,05,01,              7.24
43.25,-113.25,2012,05,01,              7.24
43.25,-112.75,2012,05,01,              7.31
43.25,-112.25,2012,05,01,              7.31
43.75,-116.25,2012,05,01,              7.22
43.75,-115.75,2012,05,01,              7.14
43.75,-115.25,2012,05,01,              7.14
43.75,-114.75,2012,05,01,              7.07
43.75,-114.25,2012,05,01,              7.07
43.75,-113.75,2012,05,01,              7.24
43.75,-113.25,2012,05,01,              7.24
43.75,-112.75,2012,05,01,              7.31
43.75,-112.25,2012,05,01,              7.31
44.25,-116.25,2012,05,01,              6.92
44.25,-115.75,2012,05,01,              7.39
44.25,-115.25,2012,05,01,              7.39
44.25,-114.75,2012,05,01,              7.74
44.25,-114.25,2012,05,01,              7.74
44.25,-113.75,2012,05,01,              7.26
44.25,-113.25,2012,05,01,              7.26
44.25,-112.75,2012,05,01,              6.97
44.25,-112.25,2012,05,01,              6.97
44.75,-116.25,2012,05,01,              6.92
44.75,-115.75,2012,05,01,              7.39
44.75,-115.25,2012,05,01,              7.39
44.75,-114.75,2012,05,01,              7.74
44.75,-114.25,2012,05,01,              7.74
44.75,-113.75,2012,05,01,              7.26
44.75,-113.25,2012,05,01,              7.26
44.75,-112.75,2012,05,01,              6.97
44.75,-112.25,2012,05,01,              6.97
45.25,-116.25,2012,05,01,              4.91
45.25,-115.75,2012,05,01,              4.89
45.25,-115.25,2012,05,01,              4.89
45.25,-114.75,2012,05,01,              4.89
45.25,-114.25,2012,05,01,              4.89
45.25,-113.75,2012,05,01,              6.16
45.25,-113.25,2012,05,01,              6.16
45.25,-112.75,2012,05,01,              6.16
45.25,-112.25,2012,05,01,              6.16
45.75,-116.25,2012,05,01,              4.91
45.75,-115.75,2012,05,01,              4.89
45.75,-115.25,2012,05,01,              4.89
45.75,-114.75,2012,05,01,              4.89
45.75,-114.25,2012,05,01,              4.89
45.75,-113.75,2012,05,01,              6.16
45.75,-113.25,2012,05,01,              6.16
45.75,-112.75,2012,05,01,              6.16
45.75,-112.25,2012,05,01,              6.16
46.25,-116.25,2012,05,01,              4.30
46.25,-115.75,2012,05,01,              4.39
46.25,-115.25,2012,05,01,              4.39
46.25,-114.75,2012,05,01,              4.39
46.25,-114.25,2012,05,01,              4.39
46.25,-113.75,2012,05,01,              5.82
46.25,-113.25,2012,05,01,              5.82
46.25,-112.75,2012,05,01,              5.82
46.25,-112.25,2012,05,01,              5.82
42.25,-116.25,2012,05,02,              7.28
42.25,-115.75,2012,05,02,              7.48
42.25,-115.25,2012,05,02,              7.48
42.25,-114.75,2012,05,02,              7.44
42.25,-114.25,2012,05,02,              7.44
42.25,-113.75,2012,05,02,              7.46
42.25,-113.25,2012,05,02,              7.46
42.25,-112.75,2012,05,02,              7.34
42.25,-112.25,2012,05,02,              7.34
42.75,-116.25,2012,05,02,              7.28
42.75,-115.75,2012,05,02,              7.48
42.75,-115.25,2012,05,02,              7.48
42.75,-114.75,2012,05,02,              7.44
42.75,-114.25,2012,05,02,              7.44
42.75,-113.75,2012,05,02,              7.46
42.75,-113.25,2012,05,02,              7.46
42.75,-112.75,2012,05,02,              7.34
42.75,-112.25,2012,05,02,              7.34
43.25,-116.25,2012,05,02,              6.67
43.25,-115.75,2012,05,02,              6.88
43.25,-115.25,2012,05,02,              6.88
43.25,-114.75,2012,05,02,              7.01
43.25,-114.25,2012,05,02,              7.01
43.25,-113.75,2012,05,02,              7.34
43.25,-113.25,2012,05,02,              7.34
43.25,-112.75,2012,05,02,              7.53
43.25,-112.25,2012,05,02,              7.53
43.75,-116.25,2012,05,02,              6.67
43.75,-115.75,2012,05,02,              6.88
43.75,-115.25,2012,05,02,              6.88
43.75,-114.75,2012,05,02,              7.01
43.75,-114.25,2012,05,02,              7.01
43.75,-113.75,2012,05,02,              7.34
43.75,-113.25,2012,05,02,              7.34
43.75,-112.75,2012,05,02,              7.53
43.75,-112.25,2012,05,02,              7.53
44.25,-116.25,2012,05,02,              5.76
44.25,-115.75,2012,05,02,              6.34
44.25,-115.25,2012,05,02,              6.34
44.25,-114.75,2012,05,02,              7.57
44.25,-114.25,2012,05,02,              7.57
44.25,-113.75,2012,05,02,              7.22
44.25,-113.25,2012,05,02,              7.22
44.25,-112.75,2012,05,02,              6.92
44.25,-112.25,2012,05,02,              6.92
44.75,-116.25,2012,05,02,              5.76
44.75,-115.75,2012,05,02,              6.34
44.75,-115.25,2012,05,02,              6.34
44.75,-114.75,2012,05,02,              7.57
44.75,-114.25,2012,05,02,              7.57
44.75,-113.75,2012,05,02,              7.22
44.75,-113.25,2012,05,02,              7.22
44.75,-112.75,2012,05,02,              6.92
44.75,-112.25,2012,05,02,              6.92
45.25,-116.25,2012,05,02,              5.54
45.25,-115.75,2012,05,02,              4.61
45.25,-115.25,2012,05,02,              4.61
45.25,-114.75,2012,05,02,              4.61
45.25,-114.25,2012,05,02,              4.61
45.25,-113.75,2012,05,02,              5.15
45.25,-113.25,2012,05,02,              5.15
45.25,-112.75,2012,05,02,              5.15
45.25,-112.25,2012,05,02,              5.15
45.75,-116.25,2012,05,02,              5.54
45.75,-115.75,2012,05,02,              4.61
45.75,-115.25,2012,05,02,              4.61
45.75,-114.75,2012,05,02,              4.61
45.75,-114.25,2012,05,02,              4.61
45.75,-113.75,2012,05,02,              5.15
45.75,-113.25,2012,05,02,              5.15
45.75,-112.75,2012,05,02,              5.15
45.75,-112.25,2012,05,02,              5.15
46.25,-116.25,2012,05,02,              5.53
46.25,-115.75,2012,05,02,              4.50
46.25,-115.25,2012,05,02,              4.50
46.25,-114.75,2012,05,02,              4.50
46.25,-114.25,2012,05,02,              4.50
46.25,-113.75,2012,05,02,              4.07
46.25,-113.25,2012,05,02,              4.07
46.25,-112.75,2012,05,02,              4.07
46.25,-112.25,2012,05,02,              4.07
42.25,-116.25,2012,05,03,              3.58
42.25,-115.75,2012,05,03,              2.78
42.25,-115.25,2012,05,03,              2.78
42.25,-114.75,2012,05,03,              2.86
42.25,-114.25,2012,05,03,              2.86
42.25,-113.75,2012,05,03,              3.47
42.25,-113.25,2012,05,03,              3.47
42.25,-112.75,2012,05,03,              3.31
42.25,-112.25,2012,05,03,              3.31
42.75,-116.25,2012,05,03,              3.58
42.75,-115.75,2012,05,03,              2.78
42.75,-115.25,2012,05,03,              2.78
42.75,-114.75,2012,05,03,              2.86
42.75,-114.25,2012,05,03,              2.86
42.75,-113.75,2012,05,03,              3.47
42.75,-113.25,2012,05,03,              3.47
42.75,-112.75,2012,05,03,              3.31
42.75,-112.25,2012,05,03,              3.31
43.25,-116.25,2012,05,03,              3.33
43.25,-115.75,2012,05,03,              2.57
43.25,-115.25,2012,05,03,              2.57
43.25,-114.75,2012,05,03,              2.92
43.25,-114.25,2012,05,03,              2.92
43.25,-113.75,2012,05,03,              4.16
43.25,-113.25,2012,05,03,              4.16
43.25,-112.75,2012,05,03,              4.54
43.25,-112.25,2012,05,03,              4.54
43.75,-116.25,2012,05,03,              3.33
43.75,-115.75,2012,05,03,              2.57
43.75,-115.25,2012,05,03,              2.57
43.75,-114.75,2012,05,03,              2.92
43.75,-114.25,2012,05,03,              2.92
43.75,-113.75,2012,05,03,              4.16
43.75,-113.25,2012,05,03,              4.16
43.75,-112.75,2012,05,03,              4.54
43.75,-112.25,2012,05,03,              4.54
44.25,-116.25,2012,05,03,              2.36
44.25,-115.75,2012,05,03,              2.77
44.25,-115.25,2012,05,03,              2.77
44.25,-114.75,2012,05,03,              4.41
44.25,-114.25,2012,05,03,              4.41
44.25,-113.75,2012,05,03,              4.43
44.25,-113.25,2012,05,03,              4.43
44.25,-112.75,2012,05,03,              4.01
44.25,-112.25,2012,05,03,              4.01
44.75,-116.25,2012,05,03,              2.36
44.75,-115.75,2012,05,03,              2.77
44.75,-115.25,2012,05,03,              2.77
44.75,-114.75,2012,05,03,              4.41
44.75,-114.25,2012,05,03,              4.41
44.75,-113.75,2012,05,03,              4.43
44.75,-113.25,2012,05,03,              4.43
44.75,-112.75,2012,05,03,              4.01
44.75,-112.25,2012,05,03,              4.01
45.25,-116.25,2012,05,03,              4.09
45.25,-115.75,2012,05,03,              4.08
45.25,-115.25,2012,05,03,              4.08
45.25,-114.75,2012,05,03,              4.08
45.25,-114.25,2012,05,03,              4.08
45.25,-113.75,2012,05,03,              3.34
45.25,-113.25,2012,05,03,              3.34
45.25,-112.75,2012,05,03,              3.34
45.25,-112.25,2012,05,03,              3.34
45.75,-116.25,2012,05,03,              4.09
45.75,-115.75,2012,05,03,              4.08
45.75,-115.25,2012,05,03,              4.08
45.75,-114.75,2012,05,03,              4.08
45.75,-114.25,2012,05,03,              4.08
45.75,-113.75,2012,05,03,              3.34
45.75,-113.25,2012,05,03,              3.34
45.75,-112.75,2012,05,03,              3.34
45.75,-112.25,2012,05,03,              3.34
46.25,-116.25,2012,05,03,              3.85
46.25,-115.75,2012,05,03,              3.18
46.25,-115.25,2012,05,03,              3.18
46.25,-114.75,2012,05,03,              3.18
46.25,-114.25,2012,05,03,              3.18
46.25,-113.75,2012,05,03,              3.18
46.25,-113.25,2012,05,03,              3.18
46.25,-112.75,2012,05,03,              3.18
46.25,-112.25,2012,05,03,              3.18
42.25,-116.25,2012,05,04,              5.22
42.25,-115.75,2012,05,04,              6.69
42.25,-115.25,2012,05,04,              6.69
42.25,-114.75,2012,05,04,              7.20
42.25,-114.25,2012,05,04,              7.20
42.25,-113.75,2012,05,04,              6.42
42.25,-113.25,2012,05,04,              6.42
42.25,-112.75,2012,05,04,              5.69
42.25,-112.25,2012,05,04,              5.69
42.75,-116.25,2012,05,04,              5.22
42.75,-115.75,2012,05,04,              6.69
42.75,-115.25,2012,05,04,              6.69
42.75,-114.75,2012,05,04,              7.20
42.75,-114.25,2012,05,04,              7.20
42.75,-113.75,2012,05,04,              6.42
42.75,-113.25,2012,05,04,              6.42
42.75,-112.75,2012,05,04,              5.69
42.75,-112.25,2012,05,04,              5.69
43.25,-116.25,2012,05,04,              2.91
43.25,-115.75,2012,05,04,              5.24
43.25,-115.25,2012,05,04,              5.24
43.25,-114.75,2012,05,04,              5.90
43.25,-114.25,2012,05,04,              5.90
43.25,-113.75,2012,05,04,              5.92
43.25,-113.25,2012,05,04,              5.92
43.25,-112.75,2012,05,04,              5.77
43.25,-112.25,2012,05,04,              5.77
43.75,-116.25,2012,05,04,              2.91
43.75,-115.75,2012,05,04,              5.24
43.75,-115.25,2012,05,04,              5.24
43.75,-114.75,2012,05,04,              5.90
43.75,-114.25,2012,05,04,              5.90
43.75,-113.75,2012,05,04,              5.92
43.75,-113.25,2012,05,04,              5.92
43.75,-112.75,2012,05,04,              5.77
43.75,-112.25,2012,05,04,              5.77
44.25,-116.25,2012,05,04,              1.95
44.25,-115.75,2012,05,04,              4.66
44.25,-115.25,2012,05,04,              4.66
44.25,-114.75,2012,05,04,              6.46
44.25,-114.25,2012,05,04,              6.46
44.25,-113.75,2012,05,04,              5.99
44.25,-113.25,2012,05,04,              5.99
44.25,-112.75,2012,05,04,              5.87
44.25,-112.25,2012,05,04,              5.87
44.75,-116.25,2012,05,04,              1.95
44.75,-115.75,2012,05,04,              4.66
44.75,-115.25,2012,05,04,              4.66
44.75,-114.75,2012,05,04,              6.46
44.75,-114.25,2012,05,04,              6.46
44.75,-113.75,2012,05,04,              5.99
44.75,-113.25,2012,05,04,              5.99
44.75,-112.75,2012,05,04,              5.87
44.75,-112.25,2012,05,04,              5.87
45.25,-116.25,2012,05,04,              2.47
45.25,-115.75,2012,05,04,              3.26
45.25,-115.25,2012,05,04,              3.26
45.25,-114.75,2012,05,04,              3.26
45.25,-114.25,2012,05,04,              3.26
45.25,-113.75,2012,05,04,              5.57
45.25,-113.25,2012,05,04,              5.57
45.25,-112.75,2012,05,04,              5.57
45.25,-112.25,2012,05,04,              5.57
45.75,-116.25,2012,05,04,              2.47
45.75,-115.75,2012,05,04,              3.26
45.75,-115.25,2012,05,04,              3.26
45.75,-114.75,2012,05,04,              3.26
45.75,-114.25,2012,05,04,              3.26
45.75,-113.75,2012,05,04,              5.57
45.75,-113.25,2012,05,04,              5.57
45.75,-112.75,2012,05,04,              5.57
45.75,-112.25,2012,05,04,              5.57
46.25,-116.25,2012,05,04,              3.47
46.25,-115.75,2012,05,04,              3.78
46.25,-115.25,2012,05,04,              3.78
46.25,-114.75,2012,05,04,              3.78
