-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-96.25,2012,05,01,              5.81
38.25,-95.75,2012,05,01,              5.19
38.25,-95.25,2012,05,01,              5.19
38.25,-94.75,2012,05,01,              5.76
38.25,-94.25,2012,05,01,              5.76
38.25,-93.75,2012,05,01,              7.08
38.25,-93.25,2012,05,01,              7.08
38.25,-92.75,2012,05,01,              6.94
38.25,-92.25,2012,05,01,              6.94
38.75,-96.25,2012,05,01,              5.81
38.75,-95.75,2012,05,01,              5.19
38.75,-95.25,2012,05,01,              5.19
38.75,-94.75,2012,05,01,              5.76
38.75,-94.25,2012,05,01,              5.76
38.75,-93.75,2012,05,01,              7.08
38.75,-93.25,2012,05,01,              7.08
38.75,-92.75,2012,05,01,              6.94
38.75,-92.25,2012,05,01,              6.94
39.25,-96.25,2012,05,01,              6.14
39.25,-95.75,2012,05,01,              5.73
39.25,-95.25,2012,05,01,              5.73
39.25,-94.75,2012,05,01,              6.31
39.25,-94.25,2012,05,01,              6.31
39.25,-93.75,2012,05,01,              6.59
39.25,-93.25,2012,05,01,              6.59
39.25,-92.75,2012,05,01,              6.13
39.25,-92.25,2012,05,01,              6.13
39.75,-96.25,2012,05,01,              6.14
39.75,-95.75,2012,05,01,              5.73
39.75,-95.25,2012,05,01,              5.73
39.75,-94.75,2012,05,01,              6.31
39.75,-94.25,2012,05,01,              6.31
39.75,-93.75,2012,05,01,              6.59
39.75,-93.25,2012,05,01,              6.59
39.75,-92.75,2012,05,01,              6.13
39.75,-92.25,2012,05,01,              6.13
40.25,-96.25,2012,05,01,              7.02
40.25,-95.75,2012,05,01,              6.62
40.25,-95.25,2012,05,01,              6.62
40.25,-94.75,2012,05,01,              6.81
40.25,-94.25,2012,05,01,              6.81
40.25,-93.75,2012,05,01,              6.24
40.25,-93.25,2012,05,01,              6.24
40.25,-92.75,2012,05,01,              5.14
40.25,-92.25,2012,05,01,              5.14
40.75,-96.25,2012,05,01,              7.02
40.75,-95.75,2012,05,01,              6.62
40.75,-95.25,2012,05,01,              6.62
40.75,-94.75,2012,05,01,              6.81
40.75,-94.25,2012,05,01,              6.81
40.75,-93.75,2012,05,01,              6.24
40.75,-93.25,2012,05,01,              6.24
40.75,-92.75,2012,05,01,              5.14
40.75,-92.25,2012,05,01,              5.14
41.25,-96.25,2012,05,01,              6.62
41.25,-95.75,2012,05,01,              6.78
41.25,-95.25,2012,05,01,              6.78
41.25,-94.75,2012,05,01,              7.03
