-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-92.25,2012,05,01,              4.62
42.25,-91.75,2012,05,01,              3.72
42.25,-91.25,2012,05,01,              3.72
42.25,-90.75,2012,05,01,              3.08
42.25,-90.25,2012,05,01,              3.08
42.25,-89.75,2012,05,01,              3.18
42.25,-89.25,2012,05,01,              3.18
42.25,-88.75,2012,05,01,              3.13
42.25,-88.25,2012,05,01,              3.13
42.75,-92.25,2012,05,01,              4.62
42.75,-91.75,2012,05,01,              3.72
42.75,-91.25,2012,05,01,              3.72
42.75,-90.75,2012,05,01,              3.08
42.75,-90.25,2012,05,01,              3.08
42.75,-89.75,2012,05,01,              3.18
42.75,-89.25,2012,05,01,              3.18
42.75,-88.75,2012,05,01,              3.13
42.75,-88.25,2012,05,01,              3.13
43.25,-92.25,2012,05,01,              4.81
43.25,-91.75,2012,05,01,              4.70
43.25,-91.25,2012,05,01,              4.70
43.25,-90.75,2012,05,01,              4.74
43.25,-90.25,2012,05,01,              4.74
43.25,-89.75,2012,05,01,              4.76
43.25,-89.25,2012,05,01,              4.76
43.25,-88.75,2012,05,01,              5.01
43.25,-88.25,2012,05,01,              5.01
43.75,-92.25,2012,05,01,              4.81
43.75,-91.75,2012,05,01,              4.70
43.75,-91.25,2012,05,01,              4.70
43.75,-90.75,2012,05,01,              4.74
43.75,-90.25,2012,05,01,              4.74
43.75,-89.75,2012,05,01,              4.76
43.75,-89.25,2012,05,01,              4.76
43.75,-88.75,2012,05,01,              5.01
43.75,-88.25,2012,05,01,              5.01
