-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-100.25,2012,05,01,              5.14
30.25,-99.75,2012,05,01,              5.11
30.25,-99.25,2012,05,01,              5.11
30.25,-98.75,2012,05,01,              5.87
30.25,-98.25,2012,05,01,              5.87
30.25,-97.75,2012,05,01,              5.74
30.25,-97.25,2012,05,01,              5.74
30.25,-96.75,2012,05,01,              3.98
30.25,-96.25,2012,05,01,              3.98
30.75,-100.25,2012,05,01,              5.14
30.75,-99.75,2012,05,01,              5.11
30.75,-99.25,2012,05,01,              5.11
30.75,-98.75,2012,05,01,              5.87
30.75,-98.25,2012,05,01,              5.87
30.75,-97.75,2012,05,01,              5.74
30.75,-97.25,2012,05,01,              5.74
30.75,-96.75,2012,05,01,              3.98
30.75,-96.25,2012,05,01,              3.98
31.25,-100.25,2012,05,01,              7.40
31.25,-99.75,2012,05,01,              6.66
31.25,-99.25,2012,05,01,              6.66
31.25,-98.75,2012,05,01,              6.20
31.25,-98.25,2012,05,01,              6.20
31.25,-97.75,2012,05,01,              6.16
31.25,-97.25,2012,05,01,              6.16
31.25,-96.75,2012,05,01,              5.40
31.25,-96.25,2012,05,01,              5.40
31.75,-100.25,2012,05,01,              7.40
31.75,-99.75,2012,05,01,              6.66
31.75,-99.25,2012,05,01,              6.66
31.75,-98.75,2012,05,01,              6.20
31.75,-98.25,2012,05,01,              6.20
31.75,-97.75,2012,05,01,              6.16
31.75,-97.25,2012,05,01,              6.16
31.75,-96.75,2012,05,01,              5.40
31.75,-96.25,2012,05,01,              5.40
32.25,-100.25,2012,05,01,              7.56
32.25,-99.75,2012,05,01,              7.40
32.25,-99.25,2012,05,01,              7.40
