-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-92.25,2012,05,01,              7.05
34.25,-91.75,2012,05,01,              6.92
34.25,-91.25,2012,05,01,              6.92
34.25,-90.75,2012,05,01,              6.68
34.25,-90.25,2012,05,01,              6.68
34.25,-89.75,2012,05,01,              6.02
34.25,-89.25,2012,05,01,              6.02
34.25,-88.75,2012,05,01,              6.19
34.25,-88.25,2012,05,01,              6.19
34.75,-92.25,2012,05,01,              7.05
34.75,-91.75,2012,05,01,              6.92
34.75,-91.25,2012,05,01,              6.92
34.75,-90.75,2012,05,01,              6.68
34.75,-90.25,2012,05,01,              6.68
34.75,-89.75,2012,05,01,              6.02
34.75,-89.25,2012,05,01,              6.02
34.75,-88.75,2012,05,01,              6.19
34.75,-88.25,2012,05,01,              6.19
35.25,-92.25,2012,05,01,              7.08
35.25,-91.75,2012,05,01,              7.01
35.25,-91.25,2012,05,01,              7.01
35.25,-90.75,2012,05,01,              6.79
35.25,-90.25,2012,05,01,              6.79
35.25,-89.75,2012,05,01,              6.70
35.25,-89.25,2012,05,01,              6.70
35.25,-88.75,2012,05,01,              6.54
35.25,-88.25,2012,05,01,              6.54
35.75,-92.25,2012,05,01,              7.08
35.75,-91.75,2012,05,01,              7.01
35.75,-91.25,2012,05,01,              7.01
35.75,-90.75,2012,05,01,              6.79
35.75,-90.25,2012,05,01,              6.79
35.75,-89.75,2012,05,01,              6.70
35.75,-89.25,2012,05,01,              6.70
35.75,-88.75,2012,05,01,              6.54
35.75,-88.25,2012,05,01,              6.54
36.25,-92.25,2012,05,01,              7.18
36.25,-91.75,2012,05,01,              6.97
36.25,-91.25,2012,05,01,              6.97
36.25,-90.75,2012,05,01,              6.72
36.25,-90.25,2012,05,01,              6.72
36.25,-89.75,2012,05,01,              6.51
36.25,-89.25,2012,05,01,              6.51
36.25,-88.75,2012,05,01,              6.28
36.25,-88.25,2012,05,01,              6.28
36.75,-92.25,2012,05,01,              7.18
36.75,-91.75,2012,05,01,              6.97
36.75,-91.25,2012,05,01,              6.97
36.75,-90.75,2012,05,01,              6.72
36.75,-90.25,2012,05,01,              6.72
36.75,-89.75,2012,05,01,              6.51
36.75,-89.25,2012,05,01,              6.51
36.75,-88.75,2012,05,01,              6.28
36.75,-88.25,2012,05,01,              6.28
37.25,-92.25,2012,05,01,              6.74
37.25,-91.75,2012,05,01,              6.77
37.25,-91.25,2012,05,01,              6.77
37.25,-90.75,2012,05,01,              6.66
37.25,-90.25,2012,05,01,              6.66
37.25,-89.75,2012,05,01,              6.55
37.25,-89.25,2012,05,01,              6.55
37.25,-88.75,2012,05,01,              5.88
37.25,-88.25,2012,05,01,              5.88
37.75,-92.25,2012,05,01,              6.74
37.75,-91.75,2012,05,01,              6.77
37.75,-91.25,2012,05,01,              6.77
37.75,-90.75,2012,05,01,              6.66
37.75,-90.25,2012,05,01,              6.66
37.75,-89.75,2012,05,01,              6.55
37.75,-89.25,2012,05,01,              6.55
37.75,-88.75,2012,05,01,              5.88
37.75,-88.25,2012,05,01,              5.88
