-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-124.25,2012,05,01,              6.18
42.25,-123.75,2012,05,01,              6.30
42.25,-123.25,2012,05,01,              6.30
42.25,-122.75,2012,05,01,              7.36
42.25,-122.25,2012,05,01,              7.36
42.25,-121.75,2012,05,01,              7.69
42.25,-121.25,2012,05,01,              7.69
42.25,-120.75,2012,05,01,              7.50
42.25,-120.25,2012,05,01,              7.50
42.75,-124.25,2012,05,01,              6.18
42.75,-123.75,2012,05,01,              6.30
42.75,-123.25,2012,05,01,              6.30
42.75,-122.75,2012,05,01,              7.36
42.75,-122.25,2012,05,01,              7.36
42.75,-121.75,2012,05,01,              7.69
42.75,-121.25,2012,05,01,              7.69
42.75,-120.75,2012,05,01,              7.50
42.75,-120.25,2012,05,01,              7.50
43.25,-124.25,2012,05,01,              5.84
43.25,-123.75,2012,05,01,              4.84
43.25,-123.25,2012,05,01,              4.84
43.25,-122.75,2012,05,01,              5.61
43.25,-122.25,2012,05,01,              5.61
43.25,-121.75,2012,05,01,              7.18
43.25,-121.25,2012,05,01,              7.18
43.25,-120.75,2012,05,01,              7.56
43.25,-120.25,2012,05,01,              7.56
43.75,-124.25,2012,05,01,              5.84
43.75,-123.75,2012,05,01,              4.84
43.75,-123.25,2012,05,01,              4.84
43.75,-122.75,2012,05,01,              5.61
43.75,-122.25,2012,05,01,              5.61
43.75,-121.75,2012,05,01,              7.18
43.75,-121.25,2012,05,01,              7.18
43.75,-120.75,2012,05,01,              7.56
43.75,-120.25,2012,05,01,              7.56
44.25,-124.25,2012,05,01,              5.26
44.25,-123.75,2012,05,01,              4.59
44.25,-123.25,2012,05,01,              4.59
44.25,-122.75,2012,05,01,              4.41
44.25,-122.25,2012,05,01,              4.41
44.25,-121.75,2012,05,01,              6.06
44.25,-121.25,2012,05,01,              6.06
44.25,-120.75,2012,05,01,              7.12
44.25,-120.25,2012,05,01,              7.12
44.75,-124.25,2012,05,01,              5.26
44.75,-123.75,2012,05,01,              4.59
44.75,-123.25,2012,05,01,              4.59
44.75,-122.75,2012,05,01,              4.41
44.75,-122.25,2012,05,01,              4.41
44.75,-121.75,2012,05,01,              6.06
44.75,-121.25,2012,05,01,              6.06
44.75,-120.75,2012,05,01,              7.12
44.75,-120.25,2012,05,01,              7.12
45.25,-124.25,2012,05,01,              4.40
45.25,-123.75,2012,05,01,              4.36
