-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-80.25,2012,05,01,              4.95
26.25,-79.75,2012,05,01,              4.80
26.25,-79.25,2012,05,01,              4.80
26.25,-78.75,2012,05,01,              4.11
26.25,-78.25,2012,05,01,              4.11
26.25,-77.75,2012,05,01,              5.04
26.25,-77.25,2012,05,01,              5.04
26.25,-76.75,2012,05,01,              5.59
26.25,-76.25,2012,05,01,              5.59
26.75,-80.25,2012,05,01,              4.95
26.75,-79.75,2012,05,01,              4.80
26.75,-79.25,2012,05,01,              4.80
26.75,-78.75,2012,05,01,              4.11
26.75,-78.25,2012,05,01,              4.11
26.75,-77.75,2012,05,01,              5.04
26.75,-77.25,2012,05,01,              5.04
26.75,-76.75,2012,05,01,              5.59
26.75,-76.25,2012,05,01,              5.59
27.25,-80.25,2012,05,01,              6.45
27.25,-79.75,2012,05,01,              6.34
27.25,-79.25,2012,05,01,              6.34
27.25,-78.75,2012,05,01,              5.73
27.25,-78.25,2012,05,01,              5.73
27.25,-77.75,2012,05,01,              6.68
27.25,-77.25,2012,05,01,              6.68
27.25,-76.75,2012,05,01,              6.30
27.25,-76.25,2012,05,01,              6.30
27.75,-80.25,2012,05,01,              6.45
27.75,-79.75,2012,05,01,              6.34
27.75,-79.25,2012,05,01,              6.34
27.75,-78.75,2012,05,01,              5.73
27.75,-78.25,2012,05,01,              5.73
27.75,-77.75,2012,05,01,              6.68
27.75,-77.25,2012,05,01,              6.68
27.75,-76.75,2012,05,01,              6.30
27.75,-76.25,2012,05,01,              6.30
28.25,-80.25,2012,05,01,              6.95
28.25,-79.75,2012,05,01,              6.93
28.25,-79.25,2012,05,01,              6.93
28.25,-78.75,2012,05,01,              6.18
28.25,-78.25,2012,05,01,              6.18
28.25,-77.75,2012,05,01,              5.55
28.25,-77.25,2012,05,01,              5.55
28.25,-76.75,2012,05,01,              5.26
28.25,-76.25,2012,05,01,              5.26
28.75,-80.25,2012,05,01,              6.95
28.75,-79.75,2012,05,01,              6.93
28.75,-79.25,2012,05,01,              6.93
28.75,-78.75,2012,05,01,              6.18
28.75,-78.25,2012,05,01,              6.18
28.75,-77.75,2012,05,01,              5.55
28.75,-77.25,2012,05,01,              5.55
28.75,-76.75,2012,05,01,              5.26
28.75,-76.25,2012,05,01,              5.26
29.25,-80.25,2012,05,01,              7.67
29.25,-79.75,2012,05,01,              7.62
29.25,-79.25,2012,05,01,              7.62
29.25,-78.75,2012,05,01,              7.49
29.25,-78.25,2012,05,01,              7.49
29.25,-77.75,2012,05,01,              7.22
29.25,-77.25,2012,05,01,              7.22
29.25,-76.75,2012,05,01,              6.62
